0: Ein spannendes für 2 4 Spieler von 9 Jahren Ravensburger Spiele; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
84: Jedes Spiel ist ein neues Abenteuer das aus unterschied Aufgaben besteht.; [3142: Verlierbedingung, ]
85: Um das Abenteuer zu bestehen und das Spiel zu gewinnen müsst ihr alle Aufgaben die der euch im Laufe des Spiels stellt gemeinsam lösen.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
86: Über die könnt ihr außerdem zu jedem Zeit punkt im Spiel abfragen was beziehungsweise wer sich gerade wo auf dem Schiff befindet.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
87: Die Aufgaben Jede Aufgabe besteht aus mehreren die im Laufe des Spiels auf Anweisung des auf dem Schiff verteilt werden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
88: Für die Kraken Seeungeheuer Segel Enterhaken und auch für die findet ihr Markierungen neben den Kunst des Schiffs die anzeigen wo die entsprechenden abgelegt oder angehängt werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
89: Achtet darauf dass ihr immer die farblich passenden verwendet.; []
90: Kraken; []
91: Seeungeheuer Enterhaken; []
92: Die Kraken Seeungeheuer und Enterhaken hängt ihr von außen über die Wand des Schiffes alle anderen legt ihr im entsprechenden Feld auf den Boden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
93: Außerdem gibt es noch Aufgaben mit Feuer Lecks Ratten und Piraten.; []
94: Wo ein Feuer ausbricht Lecks auftreten eine einzelne Ratte hinläuft oder ein Pirat entert sagt euch der während des Spiels an.; []
95: Dann legt ihr das angesagte Plättchen im entsprechenden Feld auf den Boden beziehungsweise stellt einen Piraten dorthin.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
96: Aufgaben werden gelöst indem alle zugehörigen Aufgaben plättchen wieder vom Schiff entfernt werden.; []
97: Feuer Lecks; []
98: Ratten Piraten; []
99: Um ein zu entfernen muss ein Matrose auf das entsprechende Feld ziehen und dort die Anweisungen des befolgen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
100: Achtung; []
101: Einige Aufgaben haben Plättchen mit grünen und roten Hintergrundfarben.; [1292: Zufall, ]
102: Dann müsst ihr immer zuerst alle grünen entfernen bevor ihr die roten entfernen könnt.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
103: Ein Spielzug besteht immer aus zwei Schritten 1. Würfeln Ziehen; [1292: Zufall, ]
104: Der vom benannte Matrose kommt an die Reihe.; []
105: Du würfelst mit dem weißen Würfel und bewegst dich maximal so viele Schritte wie es das Würfelergebnis zulässt.; [1292: Zufall, 8536: Aktionspunkte, ]
106: Du darfst Schritte verfallen lassen oder auch im gleichen Feld wie in der Vorrunde stehen bleiben.; [8536: Aktionspunkte, ]
107: Das Betreten eines angrenzenden Felds zählt als ein Schritt.; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
108: Felder können nur durch Öffnungen betreten werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
109: Würfelst du den Pfeil darfst du mit deiner Figur wie du möchtest.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
110: so weit ziehen 2. nachziehen Anweisungen; [1292: Zufall, ]
111: anhören Sobald du deine Spielfigur bewegt hast ziehst du den zu dir.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 166903: Ankommen, ]
112: Der wird auf das des entsprechenden Felds gestellt.; []
113: Dann drückst du den großen Knopf des Der sagt jetzt was geschieht.; []
114: Wenn du ein entfernt hast sagt der dir mit wie viel Gold er dich belohnt.; [8536: Aktionspunkte, ]
115: Nimm dir die aus dem Vorrat und sie vor dir ab.; []
116: Sobald du 5 gesammelt hast tausch sie gegen einen ein.; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
117: Im Verlauf des Spiels wird der euch manchmal auffordern statt einer Belohnung einen Teil der Insel auf zudecken.; [3173: Gemeinsames Spielfeld, ]
118: Nimm eins der drei verdeckten Inselteile es vor dem Schiff für alle sichtbar offen ab und nimm dir die auf dem Inselteil abgebildete Belohnung.; [1292: Zufall, ]
119: Die nächsten Teile der Insel legt ihr dann später entsprechend an das bereits Inselteil an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
120: Anschließend verkündet der manchmal noch welche Aufgaben auf dem Schiff neu hinzukommen.; [1292: Zufall, ]
121: Am Ende erinnert er wer als nächster an der Reihe ist.; [8528: Siegpunkte, 164466: Loswerden, ]
122: Aufgaben lösen; []
123: Die meisten werden entfernt indem ein Matrose in das entsprechende Feld zieht.; [1292: Zufall, 8536: Aktionspunkte, ]
124: Dort sagt ihm der dass er das Plättchen vom Schiff nehmen soll.; []
125: Manchmal erfordert ein allerdings besonderen Einsatz und es müssen zwei Matrosen auf dem Feld stehen oder es kommt zu einem Die werden vom erklärt.; []
126: Eine Erklärung der einzelnen findet ihr aber auch unter Weitere Regeln Sobald alle Plättchen einer Aufgabe vom Schiff entfernt sind ist diese Aufgabe komplett erledigt.; [7090: Kooperative Spielform, ]
127: Einige der Aufgaben geraten außer Kontrolle wenn die Matrosen sich zu lange nicht um sie kümmern.; [3173: Gemeinsames Spielfeld, ]
128: Der versucht euch Matrosen zu helfen.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
129: Er warnt euch und erinnert an Aufgaben um die ihr euch dringend kümmern solltet.; [3173: Gemeinsames Spielfeld, ]
130: Spielende; []
131: Das Spiel endet... wenn die Matrosen die Insel erreicht und alle Aufgaben gelöst haben.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
132: In diesem Fall haben alle gemeinsam gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
133: Stellt den auf die vollständige Insel und drückt seinen Knopf! wenn die Matrosen einer Aufgabe nicht Herr werden konnten und das Schiff gesunken ist oder in die Hände der Piraten gefallen ist.; []
134: In diesem Fall haben alle gemeinsam verloren.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
135: wenn die Dunkelheit hereinbricht.; []
136: In diesem Fall haben alle gemeinsam verloren.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
137: Weitere Regeln; []
138: Im Laufe des Spiels fordert der seine Mannschaft zu auf.; [3173: Gemeinsames Spielfeld, ]
139: Die werden vom er klärt können aber hier noch einmal im Detail nachgelesen werden das Ziel zu werfen.; []
140: Sollten sich zwei Matrosen einmal nicht einigen können wessen Stein näher am Ziel liegt tragen sie ein Stechen aus und werfen erneut.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
141: Sobald ein Sieger feststeht drückt ihr den großen Knopf des Piraten; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
142: Wenn ein Spieler seinen Matrosen in ein Feld mit Pirat zieht stellt er sich sofort dem Zweikampf.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
143: Dazu nimmt der Spieler die beiden schwarzen Würfel und muss so schnell wie möglich das vom geforderte Würfel ergebnis erwürfeln.; [1292: Zufall, 164466: Loswerden, ]
144: Er darf so oft würfeln wie er will und die Zeit es zulässt.; [1292: Zufall, ]
145: Dabei darf der Spieler einen Würfel mit dessen Ergebnis er bereits zufrieden ist jederzeit und nur mit dem anderen weiterwürfeln.; [1292: Zufall, 8536: Aktionspunkte, ]
146: Wird das geforderte Würfelergebnis innerhalb der verfügbaren Zeit erreicht oder übertroffen drückt ihr den großen Knopf des Schießen Felsen Krake Seeungeheuer Der; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
147: fordert seine Mannschaft auf auf einen Felsen die Krake oder das Seeungeheuer zu schießen.; [8536: Aktionspunkte, ]
148: Dazu wird das Felsen plättchen oder die gerade vertriebene Krake das vertriebe Seeungeheuer circa 2 entfernt von den Spielern auf den Boden gelegt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
149: Alle nehmen ihre und haben jetzt einen Versuch ihren Stein so nah wie möglich an Kniebeugen Liegestütze; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
150: Die Fitness seiner Mannschaft liegt dem sehr am Herzen und ist für körperliche Arbeiten wie das Pumpen enorm wichtig.; [8536: Aktionspunkte, ]
151: Deshalb fordert er seine Matrosen gerne auf Kniebeugen oder Liegestütze zu machen.; []
152: Wird die geforderte Anzahl innerhalb der vorgegebenen Zeit erfüllt drückt ihr; [1492: Siegbedingung, ]
153: den großen Knopf des Tasten Manchmal braucht der Gegenstände die sich unter den Werkzeugen unter dem Heck befinden.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
154: Der sagt welches Werkzeug er für die Aufgabe benötigt.; [8536: Aktionspunkte, ]
155: Der aktive Spieler tastet unter dem Heck nach dem gewünschten Werkzeug.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
156: Dabei hat er innerhalb der gesetzten Zeit mehrere Versuche.; [1492: Siegbedingung, ]
157: Er darf die Werkzeuge auch eins nach dem anderen herausnehmen und schauen ob er das richtige erwischt hat.; [8536: Aktionspunkte, ]
158: War es noch nicht das richtige Werkzeug muss er es zu bevor er ein weiteres herausnimmt.; [7090: Kooperative Spielform, ]
159: Sobald er das richtige Werkzeug gefunden hat drückt er den großen Knopf des Erinnern; [166903: Ankommen, ]
160: In einigen Fällen vermisst der einen Gegenstand.; [3173: Gemeinsames Spielfeld, ]
161: Stellt den in das Feld in dem ihr zuletzt einen Piraten besiegt habt und drückt seinen großen Knopf.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 166903: Ankommen, ]
162: Besonderheiten im Detail; []
163: Im Laufe des Spiels kann es Vorkommen dass der; [3173: Gemeinsames Spielfeld, ]
164: euch von Gold erzählt das er auf dem Schiff versteckt hat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
165: Derjenige von euch der dann zuerst in das vom erwähnte Feld zieht erhält das versprochene Gold.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
166: Doch überlegt euch gut wieviel euch die Zeit bis zum Einbruch der Dunkelheit wert ist...; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
167: Inselteile Im Laufe des Spiels wird der euch auffordern einzelne Teile der Insel aufzudecken.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
168: Deckt dann einen Teil der Insel auf und nehmt euch die Belohnung die auf dem Teil abgebildet ist aus dem Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
169: Den Inselteil legt ihr offen vor das Schiff.; [1292: Zufall, ]
170: So könnt ihr im Verlauf des Spiels die komplette Schatzinsel aneinanderlegen und am Ende den auf sie übersetzen lassen.; [8528: Siegpunkte, 164466: Loswerden, ]
171: Ansagen abbrechen Während der Ansage wo sich alles auf dem Schiff befindet und während der Wiederholung von Ansagen gibt es die Möglichkeit die Ansagen des durch das Drücken der zu unterbrechen und das Spiel fortzusetzen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
172: Die Zeit; []
173: Mit jedem Spielzug also immer wenn ihr ein neues Feld betretet und dort den großen Knopf des drückt rückt die Zeit voran.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
174: Solange ihr keinen Spielzug ausführt geht die Zeit nicht weiter.; [8536: Aktionspunkte, ]
175: Ihr könnt also das Spiel unterbrechen und später weiterspielen wenn ihr den eingeschaltet lasst.; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
176: Informationen zur Benutzung des elektronischen Das Einlegen der Batterien muss von einem Erwachsenen vorgenommen werden.; []
177: Auf der Unterseite des befindet sich das Batteriefach.; [3173: Gemeinsames Spielfeld, ]
178: Achten Sie darauf dass der Schalter an der Unterseite auf 0 steht.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
179: Öffnen Sie dann das Batteriefach mit einem Kreuzschlitzschraubendreher.; []
180: Legen Sie drei Batterien vom Typ 1 5 Volt so ein dass die und Minuspole mit den Markierungen im Fach übereinstimmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
181: Verschrauben Sie den wieder.; []
182: Wird länger als drei Minuten keine Taste gedrückt schaltet sich das elektronische in den um Strom zu sparen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
183: Auch in diesem Modus können sich die Batterien jedoch mit der Zeit entleeren.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
184: Um anschließend wieder weiterzuspielen muss eine beliebige Taste gedrückt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
185: Nicht wieder Batterien dürfen auf keinen Fall wieder aufgeladen werden!; []
186: Batterien dürfen nur unter Auf sicht von Erwachsenen geladen werden!; [8536: Aktionspunkte, ]
187: Batterien sind aus dem Spielzeug herauszunehmen bevor sie geladen werden!; [7090: Kooperative Spielform, ]
188: Ungleiche oder neue und gebrauchte Batterien dürfen nicht zusammen verwendet werden!; [8536: Aktionspunkte, ]
189: Batterien gemäß der und korrekt einlegen!; []
190: Schalten Sie das elektronische nach dem Spielen auf der Unterseite aus.; []
191: Das Gerät darf nicht auseinandergenommen werden.; []
192: Das Gerät nicht direkter Sonnenbestrahlung oder einer anderen Hitzequelle aussetzen.; [8536: Aktionspunkte, ]
193: Bitte darauf achten dass keine Flüssigkeiten in das Gerät dringen.; []
194: Zur Reinigung bitte die Oberfläche mit einem trockenen oder leicht feuchten Tuch abwischen.; [8536: Aktionspunkte, ]
195: Keine chemischen Lösungsmittel verwenden.; []
196: Wenn die Batterien entladen sind oder wenn das Spielzeug längere Zeit nicht benutzt wird müssen die Batterien entfernt werden!; []
197: Die dürfen nicht kurz geschlossen werden!; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
198: Wir empfehlen die Verwendung von batterien.; []
199: Nur Batterien des vorgegebenen Typs oder eines gleichwertigen Typs verwenden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
200: Ersetzen Sie immer alle Batterien gleichzeitig nicht nur einzelne.; []
201: Mit diesem Symbol gekennzeichnete Produkte sollen auf folgende Art entsorgt werden Werfen Sie die elektrischen teile des Spiels nicht in den sondern geben Sie sie in der Rückgabestelle für ab.; [1292: Zufall, 8528: Siegpunkte, ]
202: Erkundigen Sie sich in Ihrer Gemeinde nach den durch die kommunalen Entsorger zur Verfügung gestellten Möglichkeiten der Rückgabe oder Sammlung von Autor Copyright Dr. Reiner All Reiner dankt Sebastian für seine zahlreichen engagierten Beiträge zur Entwicklung dieses Spiels und Ross für die geniale Programmierung der aufwändigen Testsoftware.; []
203: Ein herzliches Dankeschön auch an alle insbesondere Adams Chris Hamilton Martin Kevin Simon Chris und Spring.; []
204: 2015 Ravensburger; []
205: Spieleverlag; []
206: Ravensburger Spieleverlag Postfach 24 60 Ravensburg SO http; []
