0: 0; []
23: Er legt sie auf das Ablagefeld am unteren Ende des Tornados und dreht dann den Tornado so weit 1. Handkarte spielen im Uhrzeigersinn dass das untere Ende des Tornados auf die Farm des nächsten Mitspielers zeigt.; [1292: Zufall, 164466: Loswerden, ]
24: Gedreht wird immer mit nur einer Hand.; []
25: Die andere Hand darf aber benutzt werden um das Gestell festzuhalten.; [8536: Aktionspunkte, ]
26: 2 zur nächsten Farm drehen; [8536: Aktionspunkte, ]
27: Der nächste Spieler muss nun ebenfalls eine Karte ausspielen die entweder Tierart zeigt Schwein auf Schwein oder eine andere Tierart jedoch mit einer höheren Anzahl Tiere.; [1292: Zufall, 8528: Siegpunkte, ]
28: Karten mit besonderen Funktionen; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
29: Es ist auch möglich eine zu spielen wenn darauf ein Tier der zuvor gespielten Tierart abgebildet ist.; [164466: Loswerden, ]
30: Wolke; []
31: Der Wind dreht.; []
32: Wird eine Wolke gespielt bedeutet das dass die Spielrichtung wechselt.; [164466: Loswerden, ]
33: wenn ihr den Tornado bislang im Uhrzeigersinn gedreht habt dreht ihr ihn nun gegen den Uhrzeigersinn bis erneut jemand eine Wolke mit einem passenden Tier spielt und der Wind wiederum die Richtung wechselt.; [164466: Loswerden, 166903: Ankommen, ]
34: Blitz; []
35: Jetzt schlägt sein.; []
36: Spielt ein Spieler einen Blitz muss er den Tornado nicht zum nächsten Mitspieler drehen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
37: Stattdessen muss dieser ihn selbst zu sich es sei denn auch er kann einen Blitz spielen egal mit welchen Tieren!; []
38: In diesem Fall muss der nächste Spieler in der Reihe den Tornado zu sich drehen.; [1492: Siegbedingung, ]
39: Dies geht so lange bis ein Spieler keinen Blitz mehr ausspielen kann.; [164466: Loswerden, 3142: Verlierbedingung, ]
40: Dieser muss dann den Tornado zu sich drehen das kann auch eine komplette Runde sein; [8536: Aktionspunkte, 1492: Siegbedingung, ]
41: wenn; []
42: es denjenigen trifft der als Erster einen Blitz ausgespielt hat.; [3142: Verlierbedingung, ]
43: Einzelnes Tier; []
44: Allein im Sturm.; []
45: Wird eine Karte mit einem einzelnen Tier gespielt muss der nächste Spieler eine passende Karte aus der ausspielen und anschließend die oberste Karte vom Nachziehstapel ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
46: Diese muss er ebenfalls ausspielen.; []
47: Passt die Karte dieselbe Tierart oder eine größere Anzahl einer anderen Tierart darf der Spieler den Tornado zum nächsten Spieler weiterdrehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
48: Passt die Karte nicht erleidet er Immer; [1292: Zufall, ]
49: wenn ihr eine Karte passend gespielt habt dreht ihr den Tornado bis zur nächsten Farm weiter.; [1292: Zufall, ]
50: Kann oder will ein Spieler keine passende Karte spielen kommt es zu auf seiner Farm.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
51: Die dieses Spielers zeigt die oberste Karte des an.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
52: Beispiel Ralf spielt eine Karte mit 3 Kühen und dreht den Tornado zu Daniela.; [1292: Zufall, 166903: Ankommen, ]
53: Daniela spielt eine Karte mit 5 Schafen und dreht den Tornado weiter zu Tim.; [1292: Zufall, ]
54: Tim hat keine Karten mit Schafen mehr auf der Hand also kommt es zu auf seiner Farm.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
55: Dazu schaut er welche Dinge auf der Rückseite der obersten Karte des abgebildet sind Kuh und Scheune Diese werden vom Sturm verschluckt; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
56: Tim nimmt eine Kuh und eine Scheune von seiner Farm und stapelt sie in beliebiger Reihenfolge und auf beliebige Weise auf die Er stellt die Scheune auf die bereits vorhandene am oberen Ende des Tornados und legt darauf die oberste Karte vom Nachziehstapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
57: Auf diese stapelt er die Kuh und legt wiederum eine Karte vom Nachziehstapel darauf.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
58: Nachdem ein Spieler erlitten und die wie oben beschrieben an Höhe gewonnen hat ergänzen alle Spieler ihre Handkarten wieder auf vier.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
59: Man zieht also nur in diesem Fall Karten nach.; [1292: Zufall, ]
60: Das heißt auch wenn einem Spieler die Handkarten ausgehen erleidet er; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
61: Der von den betroffene Spieler wird neuer Startspieler.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
62: Er entfernt die in der letzten Runde ausgespielten Handkarten vom Tornado.; [1292: Zufall, ]
63: Sie kommen aus dem Spiel.; []
64: Dann beginnt er eine neue Runde indem er eine beliebige Karte ausspielt und den Tornado zum nächsten Spieler dreht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
65: Versicherungsfall; []
66: Durch die an euren Farmen wächst die mit der Zeit in die Höhe und es wird immer riskanter den Tornado zu drehen.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
67: Stürzt einem von euch die oder Teile davon beim Weiterdrehen um erleidet er ebenfalls Nur dass in diesem Fall alle Mitspieler davon profitieren und soweit vorhanden 1 verlorenes Teil aus dem Vorrat zurücknehmen dürfen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
68: Beispiel Tim dreht den Tornado zu Daniela.; []
69: Diese spielt eine passende Karte aus doch beim Weiterdrehen stürzt die komplett ein.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
70: Alle heruntergefallenen Karten kommen aus dem Spiel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
71: Alle herunter gefallenen Scheunen Bäume und Kühe kommen in den offenen Vorrat auf dem Tisch.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
72: Dann erleidet Daniela und baut entsprechend der Rückseite der obersten Karte auf dem Nachziehstapel eine neue auf.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
73: Hinweis; []
74: Bleibt die teilweise stehen wird hierauf weitergebaut.; [3173: Gemeinsames Spielfeld, ]
75: Die Mitspieler die bereits Teile ihrer Farm an den Sturm verloren haben bekommen eine Entschädigung von der Versicherung.; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
76: Der Reihe nach nimmt jeder von ihnen soweit vorhanden 1 verlorenes aus dem offenen Vorrat und stellt es zu seiner Farm.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
77: Ralf entscheidet sich für einen Baum.; [3173: Gemeinsames Spielfeld, ]
78: Tim der bereits alle Kühe an die verloren hat nimmt sich eine Kuh.; [164466: Loswerden, 3142: Verlierbedingung, ]
79: Achtung; []
80: Wer noch keine erlitten hat kann auch nichts bei der Versicherung geltend machen bekommt also keine zusätzlichen Teile für seine Farm.; [8528: Siegpunkte, 1492: Siegbedingung, ]
81: Dies gilt ebenso für den Spezialfall wenn Ralf bislang nur 1 Baum verloren hat aber als er wählen im Vorrat nur noch Scheunen und Kühe sind; [3142: Verlierbedingung, ]
82: Weil er kein 4. Teil einer Kategorie Scheune oder Kuh haben kann erhält er kein Teil aus dem Vorrat.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
83: Dann ergänzen alle wieder ihre Handkarten auf 4 und Daniela ist die neue Startspielerin.; [1292: Zufall, 73230: Symmetrische Startbedingung, 164466: Loswerden, ]
84: Achtung; []
85: Der Sturm ist und die kann auch in Richtung eurer Farm Umstürzen.; [8536: Aktionspunkte, ]
86: Behaltet daher stets den Überblick welche Dinge sich noch auf eurer Farm befinden.; [3173: Gemeinsames Spielfeld, ]
87: Spielende; []
88: Das Spiel endet entweder wenn der Nachziehstapel aufgebraucht ist oder wenn einer von euch die nicht mehr vollständig bedienen kann.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
89: Achtung; []
90: Verliert ein Spieler sein letztes geht das Spiel noch weiter wenn die Forderung der Karte mit dem letzten Teil erfüllt werden konnte.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
91: Tritt im Zug eines anderen Spielers der Versicherungs fall ein kann der betreffende Spieler ein seiner Wahl aus dem offenen Vorrat zurückerhalten und so wieder zahlungsfähig werden.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
92: Ist der Nachziehstapel aufgebraucht oder konnte ein Spieler die nicht mehr vollständig bedienen endet das Spiel sofort.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
93: Im letzteren Fall legt derjenige der die Forderung der Karte nicht mehr erfüllen konnte alles was er noch besitzt in den offenen Vorrat und nimmt nicht mehr an der teil.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
94: Die übrigen Spieler zählen wie viele Teile sie noch auf ihren Farmen haben.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
95: Jede Scheune jeder Baum und jede Kuh zählt 1 Punkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
96: Für jedes komplette Set aus 3 Scheunen 3 Bäumen oder 3 Kühen das in diesem Augenblick noch auf der Farm ist gibt es zusätzlich 2 Punkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
97: Der Spieler mit den meisten Punkten gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
98: Als der Nachziehstapel aufgebraucht ist hat Tim noch 2 Bäume und erhält dafür 2 Punkte.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
99: Daniela hat noch 1 Kuh und bekommt 1 Punkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
100: Ralf besitzt noch 3 Kühe; [1492: Siegbedingung, ]
101: damit hat er insgesamt 5 Punkte je 1 Punkt pro Kuh und 2 Bonuspunkte weil er noch einen kompletten Satz Kühe auf der Farm hat Ralf gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
102: Bei Gleichstand stapeln die betroffenen Spieler abwechselnd jeweils ein beliebiges Teil Karte aus dem Vorrat in die ohne den Tornado zu drehen Der Spielendem die einstürzt ist raus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
103: Wer bis zuletzt erfolgreich stapelt gewinnt.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
104: Tipp Dreht jedes Mal nachdem die zusammengestürzt ist das Gestell um 90 im Uhrzeigersinn bevor ihr So könnt ihr die Streckenführung abwechslungsreicher gestalten da ihr nicht immer denselben Abschnitt zurücklegen müsst.; [8536: Aktionspunkte, ]
105: Design HUCH!; []
106: Redaktion Britta 2015; []
107: HUCH!; []
108: Autor Illustration Achtung!; []
109: Nicht geeignet für Kinder unter 3 Jahren Erstickungsgefahr durch de de 3 ans.; []
110: de 3 per che; []
111: da; []
112: Hersteller vertrieb Trade GmbH; []
113: Co KG Günzburg Variante für Fortgeschrittene; []
114: Um den Schwierigkeitsgrad zu erhöhen könnt ihr den Tornado so auflegen dass sich der Führungszylinder entlang der äußeren Spur bewegt.; [8536: Aktionspunkte, ]
115: Hierbei gilt Der Tornado muss so entlang der bewegt werden dass am Ende des Zuges die nicht durch die zu sehen ist.; [8536: Aktionspunkte, ]
116: http; []
