0: von Gomez mit Illustrationen von Spieler; [8528: Siegpunkte, 1492: Siegbedingung, ]
56: Der Fänger stellt seinen Pinguin in die Küche Box Nr. 2 beliebig innerhalb der roten Linie.; [1292: Zufall, ]
57: Das Platzieren der Läufer wird weiter unten beschrieben.; []
58: Phase 2; []
59: Spiel nein er Run de; [164466: Loswerden, ]
60: Und los geht; []
61: Die Runde wird im Uhrzeigersinn gespielt der linke Nachbar vom Fänger beginnt.; []
62: In einem Spiel mit 4 Spielern ist die Reihenfolge also Läufer Läufer Läufer Fänger usw. bis die Runde zu Ende ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
63: Ein Zug besteht immer aus einem Schnippen des eigenen Pinguins.; []
64: Der linke Nachbar des stellt seinen Pinguin auf den roten Punkt im Klassenzimmer Box Nr. und schnippt ihn.; [8528: Siegpunkte, ]
65: Der nächste Spieler im Uhrzeigersinn macht das gleiche usw.; [164466: Loswerden, ]
66: Der Fänger startet mit seinem Pinguin von dem Punkt auf den er ihn in Phase 1 gesetzt hat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
67: Achtung; []
68: Es kommt vor dass ein Läufer es mit seinem ersten nicht schafft seinen Pinguin vom roten Punkt zu bewegen oder der Pinguin wieder auf dem Punkt landet.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
69: Dann muss er seinen wiederholen bis sein Pinguin den roten Punkt verlassen hat.; [8528: Siegpunkte, ]
70: Diese Regel trifft nur auf die Läufer beim ersten der Runde zu.; []
71: Was in einem Zug passieren kann Wird ein Läufer vollständig durch eine Tür bewegt über der; [1292: Zufall, 8536: Aktionspunkte, ]
72: ein Fisch seiner Farbe steckt darf er diesen Fisch nehmen und sich die oberste Karte vom Kartenstapel ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
73: Er schaut die Karte geheim an und legt sie verdeckt auf seine Die Zahl auf jeder sind die gewonnenen Siegpunkte.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
74: Bist du sehr geschickt kannst du deinen Pinguin in einem Zug durch mehrere Türen bewegen und so mehrere Fische und erhalten.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
75: Wichtig! Vollständig durch eine Tür bedeutet dass der Pinguin vor dem komplett auf der einen Seite der Tür steht nach dem aber komplett auf der anderen Seite siehe die drei und Wenn du in einer Tür auf Seite 10; [8536: Aktionspunkte, ]
76: Achtung; []
77: Wenn dein Pinguin über eine Tür springt auf der ein Fisch in deiner Farbe steckt darfst du den Fisch nicht nehmen!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
78: Der Pinguin muss durch die Tür laufen damit du den Fisch bekommst.; [8536: Aktionspunkte, ]
79: Tja Pech gehabt!; []
80: Wenn der Fänger während seines Zuges einen oder mehrere Läufer berührt erhält er die Ausweise dieser Pinguine.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
81: Auch wenn ein Läufer aus Versehen den Fänger berührt muss er dem Fänger seinen Ausweis geben.; [1492: Siegbedingung, ]
82: Ausweis weg?; []
83: !; []
84: Keine Sorge auch wenn du deinen Ausweis dem Fänger geben bleibst du weiter im Spiel und kannst weiter Fische sammeln.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
85: Schlittschuhe mit dem Wert 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
86: Wenn du zwei mit dem Wert 1 hast darfst du sie am Ende deines Zuges aufdecken und bist dafür sofort noch einmal am Zug.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
87: Du darfst dann deinen Pinguin erneut schnippen.; []
88: Die beiden Karten musst du nicht abgeben sondern behältst sie und bekommst dafür Siegpunkte am Ende des Spiels.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
89: Du lässt die beiden Karten offen vor dir liegen damit du sie nicht erneut für einen benutzt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
90: Du kannst auch mehrere hintereinander machen wenn du genügend Karten mit dem Wert 1 hast.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
91: Schlittschuhe können sowohl die Läufer als auch der Fänger benutzen.; []
92: Phase 3; []
93: Da sEnde; []
94: de Run de Eine Runde endet wenn einer der Läufer alle drei Fische seiner Farbe eingesammelt hat; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
95: ODER der Fänger alle Läufer gefangen also alle Ausweise eingesammelt hat.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
96: Wenn eine Runde beendet ist; []
97: Je de Spieler nimmt sich vom verdeckten Stapel eine für jeden Ausweis den er in diesem Moment besitzt.; [1292: Zufall, ]
98: Der Fänger beginnt.; []
99: Er nimmt sich eine Karte für seinen eigenen Ausweis und je eine Karte für jeden Ausweis eines Pinguins den er in dieser Runde gefangen hat.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
100: Die Läufer erhalten nur dann eine wenn sie in dieser Runde nicht gefangen wurden.; [1492: Siegbedingung, ]
101: Alle Spieler nehmen ihre Ausweise und ihre drei Fische zu sich für die list Puh; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
102: Der linke Nachbar des ist in der nächsten Runde der neue Fänger.; []
103: Startet die neue Runde mit der Phase 1 Aufbau.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
104: SPIELENDE; []
105: Das Spiel endet sobald jeder Spieler einmal Fänger war.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
106: Zählt die Sieg punkte auf den zusammen.; [8528: Siegpunkte, ]
107: Der Spieler mit den meisten Punkten gewinnt!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
108: Vergesst nicht auch die verdeckten Karten zu zählen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
109: Bei einem Unentschieden gewinnt unter den Beteiligten der Spieler mit mehr Gibt es auch dort ein Unentschieden gewinnen mehrere Spieler.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
110: wir spielen gleich nochmal!; []
111: Falls ihr ausnahm einmal keine weitere Partie spielen möchtet steckt die Boxen in der abgebildeten ineinander.; [3142: Verlierbedingung, ]
112: Reihenfolge; []
113: BESONDERE; []
114: SITUATIONEN; []
115: Stehenbleiben vor einer Wand; []
116: Bleibt dein Pinguin dicht an einer Wand oder Tür stehen oder steckt er in einer Tür fest darfst du ihn vor deinem nächsten auf den dichtes ten freien Punkt der nächsten roten Linie stellen sodass die Linie durch die Mitte des Pinguins verläuft; [8528: Siegpunkte, 8536: Aktionspunkte, ]
117: Die rote Linie ist abgedeckt!; []
118: Manchmal ist die rote Linie von einem Bild verdeckt.; []
119: Dann stellt euch einfach die rote Linie vor wie sie unter dem Bild verlaufen würde.; []
120: Steckenbleiben in einer Tür Also erstmal vorweg Warum bleibt man in einer Tür stecken?; []
121: Genau du hättest mal lieber nicht den schwänzen sollen Um einen Fisch zu ergattern musst du in einem Zug vollständig durch eine Tür mit einem deiner Fische laufen.; [8536: Aktionspunkte, ]
122: Auch wenn nur ein kleiner Teil deiner Figur im Türrahmen bleibt wenn du von oben darauf schaust ist er nicht durch die Tür gelaufen.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
123: Wenn eine Figur so muss sie im nächsten Zug von einer roten Ich werde wohl erstmal Linie in der Nähe erneut geschnippt keinen Fisch kriegen werden siehe Seite 10 Wichtig; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
124: Es kommt vor dass dein Pinguin erst vollständig durch eine Tür läuft sich dann aber zurückdreht und doch noch in der Tür In diesem Fall zählt das Durchqueren der Tür und du darfst dir den Fisch und eine Karte nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
125: an Auch wen du nicht am Zu bis kann je de Menge pass er Manchmal; [8536: Aktionspunkte, ]
126: schiebt dich ein Spieler während seines Zuges entweder vollständig durch eine Tür mit einem deiner Fische darauf oder an den Fänger heran.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
127: Dann geschieht das gleiche als wenn du dies in deinem Zug selbst gemacht hättest; []
128: Du nimmst den Fisch und eine bzw. du verlierst deinen Ausweis an den Fänger weil ihn dein Pinguin berührt hat.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
129: Dein Pinguin bleibt auf der Stelle stehen auf die er geschoben; [3173: Gemeinsames Spielfeld, ]
130: Wenn du in einer Tür Siehst du beim Blick von oben auf bei den Seiten der Tür einen Teil deiner Figur darfst du dir aussuchen in welchem der beteiligten Räume du die Figur auf die dichteste rote Linie stellst.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
131: Siehst du beim Blick von oben deinen Pinguin nur auf einer Seite der Tür musst du ihn auf die rote Linie des Raumes stellen in dem du den Teil sehen kannst.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
132: Anmerkung; []
133: Das bedeutet dass du nicht einfach deinen Pinguin im nächsten Zug durch die Tür schnippen kannst um den Fisch zu kriegen.; [8536: Aktionspunkte, ]
134: Wenn du einmal in einer Tür musst du den Pinguin in deinem nächsten Zug erstmal auf eine rote Linie stellen und von dort aus in einer Bewegung durch die Tür schnippen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
135: Wahrscheinlich woll test du mir einfach nur nahe sein.; [8536: Aktionspunkte, ]
136: Welchen Raum soll ich nehmen?; []
137: Okay hier ist es klar!; []
138: Aus de Spiel fläche flog; [164466: Loswerden, ]
139: Wenn dein Pinguin die Spielfläche verlässt also aus den 5 Boxen fliegt wird er an die Stelle gestellt an der er zu Beginn dieses Zuges stand.; [3173: Gemeinsames Spielfeld, ]
140: Dein Zug ist beendet; []
141: du darfst aber die Schlittschuhe mit zwei benutzen Bringt ein Pinguin deine Figur dazu die Spielfläche zu verlassen stellt ihr deine Figur an die Stelle zurück an der sie vorher gestanden hat.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
142: Es gibt keine Strafe dafür.; [8528: Siegpunkte, 1492: Siegbedingung, ]
143: Aus Vers eh nein an de Figur bewegt Falls jemand aus Versehen mit der Hand eine fremde Figur berührt und bewegt wird diese Figur einfach wieder an ihre ursprüngliche Stelle gestellt.; []
144: REGELN; []
145: FÜR; []
146: DAS; []
147: Du fragst dich ob Lauch gut zu zweit spielbar ist?; [7090: Kooperative Spielform, ]
148: Und ob! Es gibt nur ein paar Änderungen 1; []
149: Der Fänger muss den Läufer zweimal fangen um die Runde zu beenden.; [1492: Siegbedingung, ]
150: Berührt der Fänger den Läufer zum ersten Mal nimmt er ihm dessen Ausweis ab.; []
151: Der Zug des ist damit beendet; []
152: er hat auch keinen mit zwei Schlittschuhe; []
153: Der Pinguin des Läufers wird ins Klassenzimmer auf den roten Punkt gestellt und wird von dort geschnippt.; [8528: Siegpunkte, ]
154: Die Runde ist entweder beendet wenn der Läufer seine drei Fische ergattert hat oder wenn der Fänger den Läufer zum zweiten Mal berührt hat.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
155: Anmerkung; []
156: Das zweite Fangen des Läufers bringt dem Fänger keine weiteren Vorteile außer dass er damit die Runde 2; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
157: Das Spiel ist beendet; []
158: wenn jeder zweimal Fänger war wobei sich die Spieler in ihren Rollen von Runde zu Runde abwechseln; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
159: Fänger Läufer Fänger Läufer; []
160: Alle anderen Regeln gelten unverändert.; [164466: Loswerden, ]
161: Viel Spaß!; []
162: Leute ihr glaubt nicht was ich draußen vor der Schule gesehen habe!; []
163: Unser besonderer Dank für die Hilfe bei der Spielentwicklung geht an Aaron ren ins lise Dora Eduard Emils Ende; [164466: Loswerden, 8536: Aktionspunkte, ]
164: Im ried Ivan Jan Je Je Laura ins Gran Rita Stieg Roberts Tom an Tom Sie; []
165: haben ein Qualitätsprodukt gekauft.; []
166: Sollten Sie dennoch Anlass zu einer Reklamation haben wenden Sie sich bitte direkt an uns.; []
167: Haben Sie noch Fragen?; []
168: Wir helfen Ihnen gerne Spiel Freizeit GmbH; [164466: Loswerden, ]
169: Waldstraße Dietzenbach hotline Version 1.0 Spiel; [164466: Loswerden, ]
170: Freizeit GmbH; []
171: Dietzenbach Games 2016 http hotline; []
