0: DAS SPANNENDE; []
17: Sollten Sie diese Regel zum ersten Mal lesen empfehlen wir die fett geschriebenen Texte im nicht zu beachten.; [7090: Kooperative Spielform, ]
18: Diese Texte dienen als Kurzspielregel mit deren Hilfe man auch nach einer längeren wieder schnell ins Spiel findet.; [164466: Loswerden, ]
19: 5 Inseln mit insgesamt 12 Gebieten je Gebirge Strand Wald und Steppe Jedes Gebiet zeigt einen Bauplatz; [8528: Siegpunkte, 1492: Siegbedingung, ]
20: Die Gebiete sind über bzw. verbunden Übersicht über den Ablauf eines Durchgangs Die Muscheln und werden für alle gut erreichbar als allgemeiner Vorrat neben dem Spielplan bereitgelegt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
21: Die Aktionskarten werden je nach Spielerzahl offen neben dem Plan ausgelegt 2 Spieler; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
22: 5 Karten; []
23: Helfer Tempel Bauen Frau Mann; [7090: Kooperative Spielform, ]
24: zusammen Landweg Wasserweg zusammen siehe dazu auch Seite 11 3; []
25: Spieler 6; []
26: Karten Helfer Tempel Bauen Mann; [1292: Zufall, 164466: Loswerden, ]
27: Frau Landweg Wasserweg zusammen siehe dazu auch Seite 11; []
28: 4 Spieler; []
29: alle 7 Karten Helfer Tempel Bauen Frau Mann Land weg; [1292: Zufall, 164466: Loswerden, ]
30: Wasserweg; []
31: Die 12 werden in zufälliger Reihenfolge offen auf die dafür vorgesehenen Flächen angrenzend an die 12 Gebiete gelegt so dass an jedem Gebiet ein Plättchen anliegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
32: Die je 36 Plättchen Frauen und Männer werden getrennt voneinander gemischt und als zwei verdeckte Vorräte neben dem Spielplan bereitgelegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
33: Davon werden je sechs offen auf die dafür vorgesehenen Felder unten rechts auf dem Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
34: Die 7 und 53 Rückseiten werden getrennt voneinander gemischt und als zwei verdeckte Vorräte neben dem Spielplan bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
35: Jeder Spieler erhält vom Vorrat Kranich ein zufällig gezogenes und vom Vorrat Papagei zwei zufällig gezogene Diese drei Plättchen legt er später sobald er sein Tableau erhalten hat in beliebiger Reihenfolge offen auf die drei dafür vorgesehenen Felder unten rechts auf seinem Tableau.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
36: Die restlichen kommen aus dem Spiel.; [1492: Siegbedingung, ]
37: Von den werden zwei Plättchen mehr als Spieler teilnehmen also 4 bis 6 Plättchen offen auf den entsprechenden Feldern des ausgelegt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
38: Die 24 werden gemischt und dann in zufälliger Reihen folge offen auf den 6 4 entsprechenden Feldern des ausgelegt.; [1292: Zufall, ]
39: An jedes Gebiet ein zufälliges offen anlegen Je 6 und offen auf dem Spielplan auslegen getrennt mischen und verteilen 1 und 2 Plättchen pro Spieler; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
40: 4 bis 6 Aufgaben plättchen offen auf den entsprechenden Feldern des auslegen Alle 24 offen auf Spielplan auslegen 6 der 10 werden als Stapel auf dem entsprechenden Feld des Tempels platziert.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
41: Die werden gemischt und als verdeckter Stapel neben dem Spielplan bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
42: Die obersten fünf Karten werden dann offen daneben ausgelegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
43: Jeder Spieler erhält 1 Tableau in der Farbe seiner Wahl das er offen vor sich ablegt 12 Hütten derselben Farbe die er auf die 12 entsprechenden Felder seines Tableaus stellt 6 Bauplättchen derselben Farbe die er mit der Würfelseite nach oben auf den sechs entsprechenden Feldern seines Tableaus ablegt 1 der restlichen vier das er auf dem dafür vor gesehenen Feld seines Tableaus ablegt 3 Würfel derselben Farbe; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
44: die er neben seinem Tableau 4 Priester derselben Farbe die er neben seinem Tableau bereitstellt 2 zufällig vom verdeckten Stapel gezogen die er; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
45: sehen von den Mitspielern auf die Hand nimmt 2 vom Vorrat die er für jedermann stets sichtbar neben seinem Tableau ablegt; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
46: 1 zufällig gezogen das er offen vor sich legt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
47: Spielen weniger als vier Spieler wird das gesamte nicht benötigte Spielmaterial wie alle Hütten Priester Bauplättchen oder Würfel aber auch entsprechende oder in der Schachtel belassen.; [1292: Zufall, 164466: Loswerden, ]
48: Nun platziert der Spieler der das 1. gezogen hat einen seiner auf dem 0 der Siegpunktleiste und den anderen auf dem Feld unterhalb der 0 der Der Spieler mit dem 2. platziert einen seiner Steine auf 1 Siegpunkt und den anderen auf der unter dem seines Vorgängers.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
49: Die anderen Spieler folgen gleichermaßen mit 2 und wieder unter den Stapel bzw. mit 3 und ganz unten im Stapel; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
50: In umgekehrter Zugreihenfolge setzen nun alle Spieler eine ihrer Hütten auf den Spielplan.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
51: Der letzte Spieler setzt also als Erster seine Hütte auf den Bauplatz eines der vier Gebiete an dem ein anliegt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
52: Die anderen Spieler folgen dann weiterhin entgegen der Zugreihenfolge und setzen ebenfalls je eine Hütte auf den Bauplatz eines freien Jeder Spieler erhält sofort den auf dem Bauplatz abgebildeten Baustoff Sand Holz oder Stein bzw. eine aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
53: werden sofort auf einem passenden freien Feld des eigenen abgelegt neben dem Tableau.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
54: Die der Gebiete werden noch nicht beachtet.; [1492: Siegbedingung, ]
55: 6 auf entsprechen dem Feld des Tempels platzieren Alle mischen und als Aufnahmestapel bereitlegen 5 Karten offen auslegen; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
56: Jeder Spieler erhält 1 Tableau 12 Hütten; [8528: Siegpunkte, 1492: Siegbedingung, ]
57: 6 Bauplättchen 1 3 Würfel; [1292: Zufall, ]
58: 4 Priester 2 2 1; []
59: Entgegen der Zugreihenfolge auf der alle 0 und der Siegpunktleiste platzieren Entgegen der Zugreihenfolge stellt jeder Spieler 1 Hütte auf ein Baustoff bzw. nehmen Übersicht über die Tauschmöglichkeiten bei der Helfer Ablagefelder für die bzw. Übersicht über die 12 verschiedenen bzw. Frauen Übersicht über die Funktion der fünf verschiedenen Götter Übersicht über den Übersicht über die zusätzlichen Sieg punkte bei Spielende Felder für die Hütten zu Beginn bzw. Ablagefelder; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
60: für die und Frauen plättchen später; [8528: Siegpunkte, 8536: Aktionspunkte, ]
61: Der Ablagefelder für die bzw. für die verbauten Bauplättchen Ablagefelder für die noch nicht verbauten Bauplättchen Ablagefelder für die noch zu erfüllenden Ablagefeld für die erfüllten Aufgaben plättchen nicht vergessen!; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
62: er für 4 Spieler; []
63: Das Spiel verläuft über sechs Durchgänge wobei jeder Durchgang aus den drei Phasen AB und besteht siehe dazu auch die unten links Phase Würfeln einsetzen Aktionen ausführen; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
64: Alle Spieler würfeln gleichzeitig mit allen ihren Würfeln.; [1292: Zufall, 164466: Loswerden, ]
65: Dann platziert der in der Zugreihenfolge erste Spieler 1. einen beliebigen seiner drei Würfel auf einer beliebigen Aktionskarte und führt direkt anschließend die entsprechende Aktion aus wobei die Augenzahl des Würfels zumeist den Umfang der Aktion bestimmt.; [1292: Zufall, 8536: Aktionspunkte, ]
66: Danach verfährt der in der Zugreihenfolge nächste Spieler auf dieselbe Weise auch er platziert einen beliebigen seiner Würfel auf einer beliebigen Aktionskarte und führt dann die entsprechende Aktion aus.; [1292: Zufall, 8536: Aktionspunkte, ]
67: In Zugreihenfolge geht es anschließend so lange weiter bis jeder Spieler seine drei Würfel eingesetzt und genutzt hat.; [1292: Zufall, 8536: Aktionspunkte, ]
68: Achtung!; []
69: Beim Einsetzen gilt immer dass nur solche Würfel auf einer Aktionskarte platziert werden dürfen deren Augen; [1292: Zufall, ]
70: zahl kleiner ist als der kleinste dort bereits liegende Würfel egal welcher Farbe; [1292: Zufall, 8536: Aktionspunkte, ]
71: Ausnahme Siehe Seite 10; [7090: Kooperative Spielform, ]
72: Blauer; []
73: Gott Beispiel; []
74: Auf einer Aktionskarte liegen bereits eine 5 und eine 3. Dort darf nun nur noch eine 2 oder eine 1 eingesetzt werden aber keine 3 4 5 oder 6 mehr.; [1292: Zufall, ]
75: Die Aktionskarten im Einzelnen Aktion Ausbreiten per oder Wasserweg; [1292: Zufall, 8536: Aktionspunkte, ]
76: Die eingesetzte Würfelzahl gibt an welchen Landweg braune Pfeile bzw. welchen Wasserweg blaue Pfeile der Spieler höchstens benutzen darf; [1292: Zufall, 8536: Aktionspunkte, ]
77: um sich auszubreiten kleinere Werte sind immer erlaubt!; [1492: Siegbedingung, ]
78: Ausbreiten bedeutet dass man von einer beliebigen eigenen Hütte ausgehend auf einem benachbarten Gebiet siedeln darf bei Landweg über einen entsprechend nummerierten braunen Pfeil bei Wasserweg über einen entsprechend nummerierten blauen Pfeil.; [1292: Zufall, 8536: Aktionspunkte, ]
79: Diagonal ausbreiten ist nicht erlaubt!; []
80: So käme man also beispielsweise vom Gebirge der zentralen Insel per Wasserweg mit einer eingesetzten 6 oder 5 zur Steppe der südlichen Insel oder mit einer 6 5 oder 4 zum Strand der östlichen Insel nicht aber auf die Waldgebiete dieser beiden Inseln!; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
81: Per Landweg käme man mit einer 6 5 oder 4 auf die Steppe im Norden oder mit einer 6 5 4 3 oder 2 auf den Strand im Westen.; []
82: Der Wald im Nordwesten wäre von hier aus aber nicht erreichbar.; []
83: Um sich auszubreiten nimmt der Spieler stets eine neue Hütte von einem beliebigen Feld seines Tableaus von seinem 12. Feld unten rechts auf seinem Tableau erst zum Spielende hin! und setzt sie auf den Bauplatz des neuen Gebiets.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 166903: Ankommen, ]
84: Steht hier bereits eine Hütte wird diese; []
85: von der neuen Hütte verdrängt in dem sie etwas zur Seite geschoben wird sie verbleibt aber in diesem Gebiet!; [3173: Gemeinsames Spielfeld, ]
86: Durch das Platzieren einer neuen Hütte hat der Spieler nun auch ein weiteres freies Feld auf seinem Tableau auf dem er später mit der entsprechenden Aktion ein oder platzieren kann Zudem erhält er den Baustoff des neuen Gebietes sofort auf ablegen oder eine neben Tableau ablegen Und zu guter Letzt muss der Spieler jetzt und nur jetzt entscheiden ob er das an dem neuen Gebiet anliegende werten möchte oder nicht.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
87: Mehr Details hierzu siehe auf Seite 10 unter Roter Gott Achtung!; [164466: Loswerden, ]
88: Jeder Spieler darf pro Gebiet maximal eine Hütte errichten!; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
89: PHASE Alle würfeln gleichzeitig alle Würfel; [1292: Zufall, 164466: Loswerden, ]
90: In Zugreihenfolge platzieren alle ihren 1. Würfel und führen die Aktion aus danach in Zugreihenfolge 2. Würfel platzieren und Aktion ausführen und schließlich auch den 3. Würfel mit 3. Aktion; [1292: Zufall, 8536: Aktionspunkte, ]
91: Würfelwerte auf einer Aktions karte müssen stets kleiner werden Ausnahme blauer Gott; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
92: Aktion Ausbreiten über Land oder Wasser; [8536: Aktionspunkte, ]
93: Eine Hütte vom Tableau auf ein zu einer eigenen Hütte benachbartes Gebiet stellen dabei erlaubten bzw. Wasserweg beachten!; [1492: Siegbedingung, ]
94: Hütte immer auf den Bauplatz des neuen Gebietes stellen evtl. vorhandene Hütte etwas zur Seite schieben; [3173: Gemeinsames Spielfeld, ]
95: Spieler erhält entsprechenden Baustoff bzw. Spieler kann nur je mittels eines roten Gottes das Fisch plättchen werten Maximal 1; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
96: Hütte pro Spieler pro Gebiet Aktion; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
97: Frau; []
98: Die Würfelzahl gibt an welches der Spieler höchstens vom Spiel plan nehmen darf kleinere Werte sind immer erlaubt Platziert er also beispielsweise eine 4 auf der Aktionskarte; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
99: Frau darf er sich ein beliebiges der nehmen die neben den 4 3 2 oder 1 liegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
100: Die neben der 5 oder 6 darf er in dem Fall nicht nehmen.; [1292: Zufall, ]
101: Danach legt er das Plättchen auf ein freies seiner 12 Felder rechts auf seinem Tableau und zwar in den oberen Bereich dieses Feldes so dass das grüne Häkchen verdeckt und die bzw. des Feldes sichtbar ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
102: Hat ein Spieler kein freies Feld da alle mit Plättchen bzw. Hütten belegt sind darf er diese Aktion nicht wählen.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
103: Achtung; []
104: Durch das Ablegen des neuen Plättchens geschieht noch nichts weiter der Spieler nutzt noch nicht was auf dem abgebildet ist!; [164466: Loswerden, 1492: Siegbedingung, ]
105: Aktion; []
106: Mann; []
107: Für diese Aktion gilt dasselbe wie gerade bei der Aktion Frau erklärt.; [8536: Aktionspunkte, ]
108: Aktion Helfer; []
109: Die Würfelzahl gibt an wie viele Dinge man eintauschen darf.; [1292: Zufall, 8536: Aktionspunkte, ]
110: Der Tausch wert wird auf den Spielertableaus oben links dargestellt Tätowieren bzw. Muscheln; [1492: Siegbedingung, ]
111: sammeln kosten je 1 Würfelpunkt ebenso das Vorrücken um ei Siegpunkt.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
112: Eine eine oder ein beliebiger Baustoff kosten je 2 Würfelpunkte ebenso das Versetzen einer Hütte auf sein 12. Feld.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
113: Die Tauschmöglichkeiten beim Helfer im Einzelnen Tätowieren; []
114: Der Spieler schiebt pro eingetauschtem Würfelpunkt einen noch nicht tätowierten Mann auf seinem Tableau ein wenig nach unten so dass nun auf diesem Feld die unten verschwindet und oben das grüne Häkchen erscheint Dieser Mann ist jetzt tätowiert und kann während des Spiels nicht noch einmal tätowiert werden.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
115: Für jedes Status symbol auf der linken Seite des herunter geschobenen rückt der Spieler seinen auf der um ein Feld weiter.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
116: Landet dieser dadurch auf anderen Steinen wird er; [3173: Gemeinsames Spielfeld, ]
117: Für weitere Würfelpunkte darf der Spieler noch weitere seiner Männer tätowieren muss es aber nicht.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, ]
118: Muscheln sammeln Verläuft auf dieselbe Weise wie das Tätowieren außer dass hier nach unten geschoben werden und der Spieler hierfür entsprechend viele Muscheln aus dem allgemeinen Vorrat nimmt und für jedermann stets sichtbar neben seinem Tableau ablegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
119: Beispiel Anna benutzt zwei ihrer; []
120: auf der Aktionskarte Helfer eingesetzten fünf Würfelpunkte fürs Tätowieren sie schiebt zwei ihrer her unter.; [1292: Zufall, 8528: Siegpunkte, 7090: Kooperative Spielform, ]
121: Darauf abgebildet sind links insgesamt fünf dementsprechend versetzt sie nun ihren Stein auf der von Feld 0 auf das erste Feld unter halb der 4. Einen weiteren Würfelpunkt; [1292: Zufall, 8528: Siegpunkte, 166903: Ankommen, ]
122: benutzt sie um eines ihrer herunter zuschieben.; [8536: Aktionspunkte, ]
123: Darauf abgebildet sind links drei Muscheln dementsprechend nimmt sie sich drei Muscheln aus dem Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
124: Die restlichen zwei Würfelpunkte verbraucht sie schließlich noch für eine Siegpunkte; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
125: Der Spieler rückt pro für Siegpunkte eingetauschtem Würfelpunkt seinen Stein auf der Siegpunktleiste ein Feld weiter.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
126: Der Spieler nimmt sich pro zwei eingetauschter Würfelpunkte eine aus dem Vorrat und legt sie für jedermann stets sichtbar neben seinem Tableau ab.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
127: Aktion; []
128: Frau Plättchen oder niedriger auf freiem Feld auf eigenem Tableau ablegen Wirkt sich im Moment des Ablegens noch nicht aus!; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
129: Aktion; []
130: Mann Siehe Aktion; [8536: Aktionspunkte, ]
131: Frau Aktion; []
132: Helfer; []
133: Entsprechend der platzierten Würfel zahl können verschiedene Dinge ein getauscht werden; [1292: Zufall, ]
134: Tätowieren Pro Würfelpunkt; [1292: Zufall, 8528: Siegpunkte, ]
135: ein Männer plättchen nach unten schieben und um entsprechend viel Status vorrücken; [8536: Aktionspunkte, ]
136: Muscheln sammeln; []
137: Pro Würfelpunkt; []
138: ein Frauen plättchen nach unten schieben und entsprechend viele Muscheln nehmen 7 Siegpunkte; [8528: Siegpunkte, 1492: Siegbedingung, ]
139: Pro Würfelpunkt 1; [1292: Zufall, 8528: Siegpunkte, ]
140: Siegpunkt weiterrücken; []
141: Pro 2 Würfelpunkte 1 nehmen; [1292: Zufall, 8528: Siegpunkte, ]
142: Der Spieler nimmt pro zwei eingetauschter Würfelpunkte eine beliebige der fünf offen ausliegenden sofort wieder vom Aufnahmestapel auf fünf ergänzen oder die oberste Karte vom verdeckten Aufnahmestapel auf die Hand.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
143: können während des Spiels unter Abgabe von ausgespielt und genutzt werden.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
144: Mehr dazu ab Seite 10; [164466: Loswerden, ]
145: Die Götter; []
146: Der Spieler nimmt sich pro zwei eingetauschter Würfelpunkte einen beliebigen Baustoff aus dem Vorrat und platziert ihn genau wie beim Ausbreiten auf einem passenden freien Feld seines Sollte ein Spieler kein freies passendes Feld mehr für einen Baustoff haben legt er ihn neben seinem Tableau ab nur wichtig im Zusammenhang mit entsprechendem Sollte es wider Erwarten einen benötigten Baustoff nicht mehr im Vorrat geben wird er kurzfristig durch etwas ersetzt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
147: Dasselbe gilt auch für und Muscheln.; []
148: Pro 2 Würfelpunkte 1 auf die Hand nehmen Pro 2 Würfelpunkte 1 Baustoff nehmen und auf passend ablegen Hütte versetzen; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
149: Der Spieler versetzt pro zwei eingetauschter Würfelpunkte eine seiner Hütten auf das letzte zwölfte Feld seines Tableaus unten rechts mit etwas hellerem Rahmen; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
150: Er schafft somit ohne die Aktion Ausbreiten zu verwenden Platz für ein weiteres bzw. Hütten die bereits auf dem Spielplan stehen dürfen nicht mehr versetzt werden!; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
151: Auf dem 12. Feld eines Spielers dürfen beliebig viele Hütten stehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
152: Beispiel für verschiedene Ben hat einen auf der Aktionskarte Helfer platziert; [1292: Zufall, ]
153: Er nimmt sich dafür ein Holz führt eine Tätowierung durch und sammelt einmal Muscheln; [8536: Aktionspunkte, ]
154: Für die letzten 2 Würfelpunkte rückt er seinen gestein um 2 Felder weiter.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, ]
155: Stattdessen hätte Ben aber auch 1 1 und 1 beliebigen Baustoff nehmen können.; [1292: Zufall, ]
156: Oder 6 und oder Männer plättchen herunter schieben können oder 2 und 2 Siegpunkte nehmen oder... oder oder... Hütte versetzen Pro 2 Würfelpunkte 1 Hütte auf 12. Feld versetzen Aktion Tempel; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
157: Wer hier einen Würfel platziert darf einen seiner Priester aus seinem Vorrat in den Tempel auf dem Spielplan setzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
158: Die Augenzahl des Würfels gibt dabei das Feld vor auf welchem der Priester höchstens eingesetzt wird kleinere Werte; [1292: Zufall, 8536: Aktionspunkte, ]
159: sind immer erlaubt Steht auf diesem Feld schon ein Priester egal welcher Farbe!; [1292: Zufall, 8536: Aktionspunkte, ]
160: wird dieser in Pfeilrichtung auf das nächst niedrigere Feld verschoben.; []
161: Eventuell werden dadurch noch weitere Priester nach rechts verdrängt bis entweder eine Lücke gefüllt oder der Priester auf Feld 1 aus der Leiste herausgeschoben wird zurück in den Vorrat seines Besitzers; [8536: Aktionspunkte, 1492: Siegbedingung, ]
162: Für jeden neuen Priester erhält der Spieler sofort und einmalig den Feuer; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
163: Bonus siehe nächste Seite; []
164: Zudem bringen alle Priester im Tempel am Ende jedes Durchgangs Siegpunkte.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
165: Mehr Details hierzu unter Phase Aktion Bauen; [8536: Aktionspunkte, 1492: Siegbedingung, ]
166: Wer hier einen Würfel platziert darf eines seiner noch nicht benutzten Bau plättchen verbauen das; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
167: höchstens die Würfelzahl zeigt; [1292: Zufall, ]
168: kleinere Werte sind immer erlaubt; [1492: Siegbedingung, ]
169: Dazu entfernt der Spieler je einen Baustoff von zwei oder senkrecht nebeneinander liegenden Feldern seines und legt sie zurück in den allgemeinen Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
170: Danach platziert er das gewünschte Bauplättchen mit der Würfelseite nach unten auf diesen zwei Feldern.; [1292: Zufall, ]
171: Hierfür erhält er sofort und einmalig die dem laufenden Durchgang entsprechenden Siegpunkte 10 7 oder 4 wie sie auf dem Spielplan oberhalb der angegeben sind.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
172: Zusätzlich erhält er sofort und einmalig den siehe nächste Seite nicht vergessen!; [8536: Aktionspunkte, 1492: Siegbedingung, ]
173: Aktion Tempel; []
174: Neuen Priester auf entsprechendes Feld stellen; []
175: evtl. anderen Priester verschieben; []
176: sofort nehmen Priester bringen zusätzlich am Ende jedes Durchgangs Sieg punkte Aktion Bauen Entsprechendes; [8528: Siegpunkte, 1492: Siegbedingung, ]
177: Bauplättchen verbauen sofort Siegpunkte vor rücken und Feuer Bonus nehmen Hat ein Spieler keine zwei nebeneinander kann er diese Aktion nicht wählen.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
178: Einmal auf dem bzw. Bauplättchen dürfen nicht mehr versetzt werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
