0: Gute Freunde; []
73: Der schwarze Stein kommt nicht wieder zurück ins Säckchen sondern wird aus dem Spiel genommen.; [1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
74: Sollte ein Spieler der wie schon anfangs erwähnt 3 Steine herausnehmen und auf das Blatt hinter seinem Frosch legen darf einen schwarzen Stein erwischen so darf er ihn zur Seite legen und den fehlenden Stein durch einen erneuten Griff ins Säckchen ersetzen.; [3173: Gemeinsames Spielfeld, ]
75: Aus seinem eigenen Besitz braucht er dabei nichts abzuge ben!; []
76: Noch eines ist wichtig; []
77: Wenn zwei oder mehr Frösche auf einem Blatt zum Stehen kommen und Gute Freunde werden geben sich die betreffenden Spieler die Hand und ziehen aus dem Säckchen je einen Stein zur Belohnung; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
78: Die Frösche werden dabei immer hintereinander in der Reihenfolge des Eintreffens auf das Blatt gesetzt damit man beim Würfeln weiß wer als nächster an der Reihe ist und mit Würfeln er werfen darf!; [1292: Zufall, ]
79: Spielende; []
80: Wenn alle und aus dem Säckchen genommen sind und in den Besitz der Spieler übergegangen sind ist das Spiel beendet.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
81: Nun wird der Wert der und gezählt Jede Goldmünze zählt 3 Punkte jede Silbermünze 1 Punkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
82: Wer die höchste erreicht hat ist Sieger des Spieles.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
83: Haben zwei Spieler die gleiche Summe sind beide Sieger.; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
84: Und nun viel Spaß ihr Guten Freunde!; []
85: First tale gold Not so still so in in high wild andis in beauty in spot ist well different most our live These gold summer down splendid see in sun.; []
86: golden joy Stands happy seen her was so getto her breaks out game king game First in put All in first land gold most end game.; []
87: 2 3 4 such game all divers fight; [164466: Loswerden, ]
88: Die game 2 5 Alex Design Alex Hannelore 12 4 4 45 15 gold 7 1 Game 12 in oval in player player put after Order player 4 all 4 3 2 just 2 extra put gold in put Extra put 2 3 4 27 36 45 9 12 15 gold 5 6 7; []
89: player in last Position 3 put player in turn will roll player in first Position; []
90: die.; []
91: 3 3 2 2 1; []
92: just 1. blank turn player in Position.; []
93: 2 so Chance first 2 in Position 3 total in Position all 4 turn.; []
94: in first Position just die in Position 2 first land 3 player in last Position sack 3 new first land game in same end game 6 in all last still 2 land same out bad put gold gold back put player in 3 put put player thing 2 land same in order so will turn.; []
95: shake 1 End Game game; []
96: all in gold gold 3 1. player game.; []
97: 2 same score; []
98: all De amis de 4 amis de mais cache milieu de fond de de de de de de de gens ade foule de idylle.; [164466: Loswerden, ]
99: de de de de de de de plus amis rouge herbe.; []
100: grand atout de fond de jours ensemble de du jour de blondes bord de eile du de eile Mais amis quelle belle champ dispute amis passe de faire du simple grand met de eton de celle Celle plus gros fina route du fond de mais teile pierre mais dispute.; []
101: dispute plus aller de du fond de ami de dispute carla belle nest eile de 2 4 de 5 ans Alex Realisation Alex Hannelore 12 des de 4 4 45 15 7 pierres 1 Regle du du 12 de eton met rouge de rouge des 1. rouge 2. 3. 4. couleur.; []
102: saute lesens des Sion de 4 döset de 4 de 3 döset de 3 de 2 döset de 2 de met pierres tableau de 2 3 4 27 36 45 9 12 15 5 6 7 pierres met main 3 met de ressort pierre du met de de main jeton.; []
103: du tour eton saute.; []
104: de; []
105: 3 faire de 3 lesens des 2 de 2 1 1; []
106: reste tour 2 des ensemble de ade 3 döset de ade 4 tour.; []
107: des de 2 des de suite.; []
108: premier tour des 3 session.; []
109: 3 du de des 3 vers du de 6 met de des pierres de de 2 de de Chance ensemble!; []
110: des des main Quelle des pierres bon ami du mais pierre ade chance pierre nest remise du 3 pier; []
111: du pierre de du den chose 1 de main du de de des tour de du du des termine.; []
112: des 3 1 plus de 2 de amis!; []
113: che in piccolo 6 da alte fee che verdi sulla dell che 6 in in schiere in che quest 6 täte eil 6 4 limone hanno gran che 6 vera esse sole.; []
114: bei delle Mai in tempo notare che che chi in tore Prima in grande da chi per prima sulla ha Chi ha grande Per solo in in in tale 6 vera mente per solo male Grazie chi ha che dato che per 2 5 Design Alex Hannelore 12 4 4 45 15 7 1 12 in messe delle Chi poste mente in in ha tutti 4 4 in 3 3 3 in 2 2 2 da pure messe da 2 3 4 27 36 45 9 12 15 5 6 7 per ultima 3 mette sulla da siede solo Seil in casella zero libero 2 per prima 2 3; []
115: tutti 4 Chi siede solo 2 Chi per giro delle sulla sulla quäle 3 che in ultimo 3 sulla Chi per 6; []
116: esse poste sulla dell ultima mente hanno fortuna!; []
117: Quäle hanno Chi da ha nonne ha nato all che sulla da dover 6 in sulla in chi 6 in delle 3 1 Chi ha hanno tutti divertimento!; []
118: van vier Niet van hier maar in kleine meer poel van riet wilde met die; []
119: de Als de mensen er in verborgen in kommen de idylle van prächtige van vogels vier den kleine geheim.; []
120: er; []
121: de van de ledere in de samen de in ende pracht; []
122: direkt de was met krullen de van de Maar de vier de geheime De was de met alle vier met haar wilden ten speien listen de met de mögen de worden de de in; []
123: worden 1 de wilde jacht beginnen.; []
124: Alle springen in de van tot wie met de gewonnen.; [164466: Loswerden, ]
125: Wie de gewonnen.; [164466: Loswerden, ]
126: mag meer geld de maar alleen samen met 2 3 4; []
127: De vier speien de lange springen enteilen.; []
128: alleen maar maar de schelen.; []
129: speien maar wie die was de niet niemand met was; []
130: 2 5 Design Alex Hannelore 12 met; []
131: 4 4 45 15 gele 7 1 spelregels De 12 met de worden in de tafel de De worden; []
132: in elke met er; []
133: De die de rode mag; []
134: De andere worden achter de achter de rode elke; []
135: De 1. 2. 3.; []
136: 4.; []
137: Elke eigen in; []
138: de van de van springen! met vier personen; []
139: alle 4 4 met 3 3; [164466: Loswerden, ]
140: met 2 2 2; []
141: die niet worden; []
142: de worden de de in worden 2 3 4 27 36 45 9 12 15 5 6 7; []
143: De die de in de in 3 legt de achter Indien; [3173: Gemeinsames Spielfeld, ]
144: er mag ende in de met de De die met maar 1 de 3; []
145: mag de 3 met de van de springen van 2 2 1 1 de met de in de de; []
146: mag met 2; []
147: de in de springt met De met de springt; []
148: De mag alle de; []
149: Wie de met maar 1 de met 2 enz.; []
150: Wie de met de mag mag de die moment in; []
