0: RELEASE Soll; []
22: FRUST RELEASE 5.12; []
23: SEITE 1; []
24: RELEASE 5.12 Zweite Aktivität; []
25: Chip aufnehmen Chip abgeben; [164466: Loswerden, ]
26: Es kann nach zwei Verfahren gewürfelt werden Erstes; [1292: Zufall, ]
27: Verfahren; []
28: Ein Würfel mit den Augen 1 bis 6 die Spielfigur wird entsprechend der Augenzahl gesetzt.; [1292: Zufall, ]
29: Zweites Verfahren; []
30: Zwei Würfel mit den Augen 1 bis 6 und ein Würfel mit den logischen Verknüpfungen UND ODER Hierbei werden die gewürfelten Augen logisch miteinander verknüpft.; [1292: Zufall, ]
31: Ist das Feld auf dem man ankommen würde schon besetzt muß noch einmal gewürfelt werden.; [1292: Zufall, ]
32: Es wird nicht rausgeworfen und auf einem Feld hat nur ein Stein Platz.; [3173: Gemeinsames Spielfeld, ]
33: Um auf die Felder oder SAMMELN zu gelangen muß man die erforderliche Augenzahl oder mehr würfeln.; [1292: Zufall, 8536: Aktionspunkte, ]
34: Eine genaue Augenzahl ist nicht notwendig.; [1292: Zufall, ]
35: Für die gute Übersicht der verschiedenen Aktivitäten nimmt sich jeder Spieler ein Blatt mit der Aufschrift AKTIVITÄTEN und füllt dem entsprechend das Blatt aus.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
36: Der Aufbau des Spiels und der Beginn Spielfeld; [3173: Gemeinsames Spielfeld, ]
37: PLANUNG; []
38: Die vier Spielfiguren werden auf den entsprechenden farbigen Feldern mit den Ziffern 1 2 3 und 4 aufgebaut.; []
39: Der Figur 1 und der Figur 4 sind die 1 und 4 zugeordnet und somit sind diese Spieler Teamleiter.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
40: Wer von den Spielern Teamleiter ist wird vor Spielbeginn ermittelt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
41: Wie sie die Teamleiter bestimmen ist ihrer Kreativität überlassen.; [1292: Zufall, 8528: Siegpunkte, ]
42: Spieler 2 und 3 suchen sich einen jeweiligen Teampartner.; [8536: Aktionspunkte, ]
43: Spieler 2 und 3 müssen für sich entscheiden auf welches sie ihre CHIPS plazieren.; [3142: Verlierbedingung, ]
44: Man kann es dem Zufall überlassen aus welchen Partnern sich ein Team zusammensetzt oder sich vor dem Spiel schon als Team zusammenfinden.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
45: FRUST RELEASE 5.12; []
46: SEITE 2; []
47: RELEASE Soll; []
48: Am Ausgang des PLANUNG sind Sie als Team zusammen.; [7090: Kooperative Spielform, ]
49: Das erste Team das auf dem Feld erhält als Belohnung zwei CHIPS zum Setzen im Das andere Team das noch nicht fertig ist auch wenn es nicht je 4 CHIPS gesammelt hat jetzt auch seine Spielfiguren auf das entsprechende Feld setzen.; [8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
50: Jetzt wird das nächste Feld REALISIERUNG beschritten.; []
51: Spielfeld; []
52: REALISIERUNG; []
53: Jeder Spieler muß über eins der beiden Felder in das Spielgeschehen eintreten.; [1292: Zufall, 1492: Siegbedingung, ]
54: Es muß den Linien entsprechend jede Bahn einmal durchlaufen werden bis über das Feld der Weg zum mit fortgesetzt wird.; [1292: Zufall, 8536: Aktionspunkte, ]
55: Beide Teams müssen auf den entsprechenden Feldern stehen damit alle gemeinsam in das nächste Spielfeld eintreten können.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 7090: Kooperative Spielform, 166903: Ankommen, ]
56: Spielfeld; []
57: TEST; []
58: In der nun folgenden Matrix jeder Spieler versuchen 4 Chips aufzunehmen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
59: Der erste Spieler der 4 CHIPS gesammelt hat sofort zum Feld SAMMELN gehen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
60: Alle anderen Spieler müssen dann ungeachtet wieviel CHIPS jeder gesammelt hat auch zum Feld; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
61: SAMMELN.; []
62: Danach wird auf dem nächsten Feld das ursprüngliche Team gebildet.; [7090: Kooperative Spielform, ]
63: Ab jetzt geht es taktisch weiter.; []
64: Je nach ist jetzt Sammeln angesagt oder schnell zum Ziel gelangen.; []
65: Der erste Stein im Feld DOKU beendet das Spiel.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 166903: Ankommen, ]
66: Spielfeld; []
67: TEAM; []
68: Auf dem Spielfeld TEAM werden auf den farbigen Feldern in der Mitte je 10 CHIPS der Farbe entsprechend gestapelt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
69: Die 48 Spielkarten werden mit der Rückseite nach oben auf das Spielfeld ALLTAG gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
70: Entsprechend der Aktivitäten in den drei werden die Karten aufgenommen und die Anweisungen befolgt oder es werden CHIPS gesetzt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
71: Erreicht ein Spieler das Feld DOKU ist das Spiel beendet und die Teams zählen entsprechend den CHIPS ihre Punkte.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
72: Das Team mit den meisten Punkten ist ACHTUNG; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
73: Wenn ein Feld bei der Abrechnung ohne CHIP ist gilt das Spiel für das TEAM als verloren.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
74: FRUST RELEASE 5.12; []
75: SEITE 5; []
76: RELEASE Soll; []
77: Anmerkungen Darf nur in diese Richtung durchlaufen werden.; []
78: wenn mit der logischen Verknüpfung gespielt wird.; [164466: Loswerden, 166903: Ankommen, ]
79: ODER; []
80: 1; []
81: 2 3; []
82: 4 5 6 1 1 2 3 2 3 3 3 3; []
83: 4 5 6 7 4 5 7 7 5 5 6 7 6 7 6 7 6; []
84: Ein Spiel besteht aus Spielfiguren 4 blau rot gelb grün CHIPS 10 blau 10 grün 20 gelb 20 weiß 30 rot Würfel 2; [1292: Zufall, ]
85: Ziffer 1; []
86: logische Und; []
87: Oder Zettel 12 bitte weitere kopieren Übersicht 1 Spielplan Übersicht.; [3173: Gemeinsames Spielfeld, ]
88: FRUST RELEASE 5.12; []
89: SEITE; []
90: 4; []
