0: genommen bis dieser aufgebraucht ist.; []
20: Es beginnt der Spieler der in Wirklichkeit die meisten Aktien besitzt.; [1492: Siegbedingung, 8528: Siegpunkte, ]
21: Der Preis einer Aktie; []
22: Der aktuelle Preis einer Aktie ist von der Position des zugehörigen sowie von seinem Standort abhängig.; []
23: Auf dem Spielplan befindet sich für jeden Abschnitt der durchnumerierten Laufbahn eine Preisliste in der gleichen Farbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
24: Der Preis einer Aktie steht immer in dem Kästchen der Farbe auf der der in diesem Moment steht.; [1292: Zufall, ]
25: Die Position des Steines zweiter oder fünfter egal auf welchem Abschnitt sich die übrigen befinden bestimmt den genauen Preis der Aktie.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
26: Hat eine Aktie einen negativen Wert so bekommt man den entsprechenden Wert von der Bank ausgezahlt wenn man eine solche Aktie erwirbt.; [1492: Siegbedingung, ]
27: Beispiel Der der Firma Rotschild steht auf Feld 18 vor ihm stehen nur Gelb Nippon auf Feld 21 und Grün auf Feld 19.; []
28: Damit ist Rotschild dritter.; [1492: Siegbedingung, 8528: Siegpunkte, ]
29: In den entsprechenden findet sich unter 3. 95 als aktueller Preis für Rotschild; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
30: Gelb Nippon wäre in diesem Falle 175 wert Grün 110 Steht im weiteren Verlauf des Spieles an letzter Position auf Feld 32 so erhält der Käufer einer solchen Aktie 10 Mäuse von der Bank ausbezahlt.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
31: Spielablauf; []
32: Die Spieler würfeln reihum im Uhrzeigersinn mit beiden Würfeln.; [1292: Zufall, 164466: Loswerden, ]
33: Bei jedem Wurf wird zunächst das Ergebnis des dann das des ausgeführt.; [1292: Zufall, ]
34: Ausnahme; []
35: Beim allerersten Zug wird der Würfel auf gelegt.; [1292: Zufall, ]
36: Der Symbolwürfel Handel 1 ein um eine Position nach vorn ein um eine Position zurück; [1292: Zufall, ]
37: Nur der Zahlenwürfel wird ausgeführt Handel bedeutet daß der Reihe nach jeder Spieler angefangen beim Spieler der gerade gewürfelt hat eine Aktie zum aktuellen Preis kaufen und oder eine Aktie verkaufen darf.; [1292: Zufall, 73230: Symmetrische Startbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
38: 1; []
39: Der Spieler der gewürfelt hat muß einen beliebigen um eine Position vorrücken auf das Feld vor dem davorliegenden setzen.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
40: Falls das Feld vor dem entsprechenden besetzt ist wird der Stein auf das nächste freie Feld gestellt.; [3173: Gemeinsames Spielfeld, ]
41: Sollten am Anfang des Spiels noch alle Steine am Start stehen ist die Ausführung nicht möglich und der Symbolwürfel verfällt einfach.; [1292: Zufall, 73230: Symmetrische Startbedingung, 164466: Loswerden, ]
42: Beispiel Gelb; []
43: Nippon Hegt an dritter Position auf Feld 23.; []
44: Davor liegen Grün auf Feld 28 und auf Feld; [3173: Gemeinsames Spielfeld, ]
45: 29. Gelb; []
46: Nippon soll eine Position nach vorne gesetzt werden müßte also vor Grün gesetzt werden.; []
47: Da Feld 29 besetzt ist muß Gelb Nippon auf Feld 30 gesetzt werden und liegt dadurch an erster Position.; []
48: Der Spieler der gewürfelt hat setzt einen auf die gleiche Weise um eine Position nach hinten.; [1292: Zufall, 8536: Aktionspunkte, ]
49: Falls das entsprechende Feld besetzt ist wird der Stein auf das nächste freie Feld dahinter gesetzt.; [3173: Gemeinsames Spielfeld, ]
50: Der Zahlenwürfel; []
51: Die geworfene Zahl bedeutet die Zugweite für alle die die vorgezogen werden.; [1292: Zufall, ]
52: Um zu bestimmen welche der vorgezogen werden legt jeder Spieler eine der beiden Karten; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 8528: Siegpunkte, ]
53: die er auf der Hand hat verdeckt auf den Tisch.; [1292: Zufall, ]
54: Diese Karten werden gleichzeitig aufgedeckt und der Reihe nach beginnend bei der vom Startspieler ausgespielten Karte werden die entsprechenden um die geworfene Zahl nach vorne gerückt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
55: Dabei zählen besetzte Felder nicht mit.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
56: Das heißt auch daß niemals zwei Steine auf dem gleichen Feld stehen können.; [8536: Aktionspunkte, ]
57: Achtung!; []
58: Falls mindestens ein Spieler die Karte; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
59: Alle Kurse ausgesetzt gespielt hat wird gar kein bewegt!; [164466: Loswerden, ]
60: Die ausgespielten Karten werden offen neben den verdeckten Stapel gelegt und es wird eine neue Karte vom verdeckten Stapel; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
