0: worden.; []
41: Bietet währenddessen ein Spieler mehr so muß dieser neu anfangen zu zählen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
42: Wer schließlich ungehindert zu Ende zählen konnte hat damit den Zuschlag.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
43: Er erhält vom Versteigerer die Tierkarte und bezahlt dafür den gebote Betrag an den Versteigerer.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
44: Damit ist die Versteigerung abgeschlossen falls nicht der Versteigerer von seinem Gebrauch macht.; []
45: Die Spieler legen alle Tierkarten die sie besitzen grundsätzlich offen und ausgebreitet vor sich auf den Tisch.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
46: Wenn niemand bietet darf der Versteigerer sich selbst den Zuschlag erteilen indem er beispiels weise ruft; [8536: Aktionspunkte, ]
47: Eine Gans zum ersten eine Gans zum zweiten eine Gans dritten!; []
48: Dabei muß er das Tier laut und deutlich beim Namen nennen.; []
49: Wenn bis dahin niemand etwas geboten hat nimmt sich der Versteigerer dieses Tier um sonst.; []
50: Falls aber inzwischen ein Spieler einen noch so geringen Betrag bietet gibt der Versteigerer das Tier ab und erhält dafür das Geld.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
51: des Der Versteigerer hat das Recht das Tier zum doppelten Preis zurückzukaufen nur unmittelbar nach Ab; [8528: Siegpunkte, ]
52: schluß der Versteigerung Ergibt dem höchsten Bieter sein Geld zurück und legt vom eigenen Geld nochmals den mündlich gebotenen Betrag dazu.; [8528: Siegpunkte, 1492: Siegbedingung, ]
53: Dafür erhält er selbst die Tierkarte zum doppelten Preis da ihm die Einnahme entgeht und er denselben Preis nochmals bezahlt Kuhhandel Sobald zwei Spieler gleiche Tiere besitzen darf der Spieler der an der Reihe ist dem anderen einen Kuhhandel anbieten.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
54: Haben mehrere Spieler dasselbe Tier wie er kann er sich entscheiden; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
55: wem erden Kuhhandel anbietet.; [1492: Siegbedingung, ]
56: Der Kuhhandel beginnt damit daß man dem anderen Spieler ein verdecktes Angebot macht indem man einen beliebigen Geldbetrag verdeckt auf den Tisch legt und ihm sagt welches Tier man dafür will.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
57: Dem gebotenen Geldbetrag dürfen auch die Karten mit dem Wert 0 beige mischt sein.; [1292: Zufall, ]
58: Es ist auch erlaubt nur die hinzulegen.; []
59: Der andere Spieler kann jedenfalls aus der Anzahl der Karten nicht ohne weiteres erkennen wieviel ihm geboten wird.; [1292: Zufall, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
60: Der angesprochene Spieler darf den Handel nicht ablehnen.; []
61: Er muß ein Gegenangebot machen.; []
62: Dafür legt er ebenfalls einen verdeck ten Stoß auf den Tisch.; [3173: Gemeinsames Spielfeld, ]
63: Anschließend decken beide Spieler ihr Geld auf.; [164466: Loswerden, 1492: Siegbedingung, ]
64: Ist das Gegenangebot geringer oder nur gleich hoch so hat der Spieler der den Kuh handel angeboten hat gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
65: Der Gegen spieler muß sein Tier hergeben bekommt dafür aber das gebotene Geld.; [8528: Siegpunkte, 1492: Siegbedingung, ]
66: Ist das Gegenangebot höher geht der Handel anders als erwartet aus; []
67: Der Spieler der den Kuhhandel angeboten hatte nimmt sein Geld zurück; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
68: verliert sein Tier und bekommt dafür den Betrag des Gegenangebots.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
69: Manchmal kann das Absicht sein um zu Geld zu kommen.; [1492: Siegbedingung, ]
70: die einem Angebot beigelegen haben müssen immer sofort zurückgegeben werden.; [8528: Siegpunkte, ]
71: Wenn einer der beiden am Kuhhandel beteiligten Spieler nur ein Tier der angesprochenen Art besitzt dann geht der Handel auch immer nur um ein Tier selbst dann wenn der andere zwei oder drei davon besitzt; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
72: Wenn aber beide Spieler je zwei Karten des gleichen Tieres besitzen geht der Handel grundsätzlich um beide Karten.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
73: Einer von beiden wird die Karten des anderen erwerben und damit eine Vierergruppe vervollständigen.; [1292: Zufall, ]
74: Vollständige Vierergruppe Hat ein Vierergruppe vollständig erworben so sind die Tiere damit aus dem Spiel.; [164466: Loswerden, 166903: Ankommen, ]
75: Sie können ihm nicht mehr genommen werden.; [164466: Loswerden, ]
76: Der Spieler kann die vier Karten deshalb zusammenschieben.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
77: Prämie; []
78: Wer es als erster schafft eines der folgenden Tierpaare komplett zu erwerben darf sich dafür als zusätzliche Prämie die Tauben karte mit dem Wert 500 nehmen alle Hähne und Gänse alle Katzen und Hunde alle Schafe und Ziegen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
79: Das Recht auf die muß sofort aus geübt werden sonst verfällt es.; []
80: Dann darf die von demjenigen genommen wer den der das nächste Tierpaar komplett erwirbt.; []
81: Der Goldesel Der Esel ist nicht nur ein Tier mit Punktwert wie alle anderen Tiere sondern er bringt als Goldesel auch neues Geld ins Spiel.; [8528: Siegpunkte, 164466: Loswerden, ]
82: Jedesmal wenn ein Esel aufgedeckt wird teilt der Spieler der an der Reihe ist als erstes an alle Spieler auch an sich selbst zusätzliches Spielgeld aus.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
83: Beim ersten Esel erhält jeder Spieler 50 beim zweiten 100 beim dritten 200 und beim vierten 500.; [8528: Siegpunkte, 1492: Siegbedingung, ]
84: Erst wenn dieses Geld verteilt ist wird der Esel versteigert.; [1492: Siegbedingung, ]
85: Kein passendes Geld?; []
86: Zahlungsunfähig?; []
87: Es wird kein Geld gewechselt weder unter den Spielern noch aus der Kasse.; [164466: Loswerden, 1492: Siegbedingung, ]
88: Wer beim Ersteigern nicht passend zahlen kann muß einen höheren Preis bezahlen.; [8536: Aktionspunkte, ]
89: Wer feststellt daß er den von ihm gebotenen Betrag nicht aufbringen kann muß all sein Geld vorzeigen und dann wird die Versteigerung wiederholt.; [164466: Loswerden, ]
90: Auch beim Rückkäufen darf der Versteigerer das Angebot des höchsten Bieters nicht zum Wechseln aufnehmen.; [8536: Aktionspunkte, ]
91: Er braucht allerdings auch nur soviel dazuzulegen wie dieser mündlich geboten hatte und nicht etwa soviel wie dieser mangels Kleingeld auf den Tisch gelegt hat.; [3173: Gemeinsames Spielfeld, ]
92: Tierkarten zu Ende!; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
93: Wenn keine Tiere mehr zum Versteigern da sind ist das Handeln Pflicht.; []
94: Wer zu diesem Zeitpunkt nur noch vollständige von Tieren hat kann nicht handeln und wird übergangen.; [8528: Siegpunkte, ]
95: Ende des Spiels; []
96: Wenn alle vollständig sind ist das Spiel zu Ende.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
97: Jeder Spieler zählt seine Punkte zusammen; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
98: Die Zahl auf jeder Karte gibt den Punktwert der ganzen Vierergruppe an.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
99: 4 Kühe sind zum Beispiel 800 wert.; []
100: Das Spielgeld ist am Ende nichts mehr wert!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
101: Wer die meisten Punkte hat ist Gewinner.; [8528: Siegpunkte, 1492: Siegbedingung, ]
102: Andere Spielmöglichkeiten; []
103: Bei dieser Variante des Spiels muß man sich sein verdecktes Angebot bzw. Gegenangebot beim Kuhhandel genau merken da das Spielgeld das die beiden Spieler geboten haben ausgetauscht und nicht mehr zurückgegeben wird.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
104: Wer nun beim Zählen des Geldes das er erhalten hat feststellt daß sein eigenes Angebot höher war; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
105: der erhält vom Gegenspieler das Tier behält aber auch dessen Geld.; [8528: Siegpunkte, 1492: Siegbedingung, ]
106: Dies ist der eigentliche hinterlistige handel bei dem man versuchen muß entweder etwas mehr als der andere oder so gut wie gar nichts dagegen zu bieten.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
107: Bei gleich hohem Gebot erhält derjenige Spieler der den Handel angefangen hat das Tier des anderen praktisch umsonst.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
108: Bei dieser Spielweise wird das gebotene Geld nie aufgedeckt so daß die anderen Spieler nicht erfahren wieviel Geld den Besitzer wechselt.; [8536: Aktionspunkte, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
109: müssen auch hier sofort zurückgegeben werden.; []
110: Verdecktes Versteigern; []
111: Das Spiel kann da durch bereichert werden daß zu Anfang jeder Spieler einmal ein Tier verdeckt versteigert.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
112: Die abgehobene Karte wird nicht aufgedeckt bis sie versteigert ist.; [1292: Zufall, ]
113: Wenn der Versteigerer eine verdeckt versteigerte Karte zurückkaufen möchte geht das nur solange sie nicht aufgedeckt wurde.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
114: Nachdem jeder Spieler einmal ein Tier verdeckt versteigert hat wird jedes weitere Tier vor dem Versteigern aufgedeckt.; [1292: Zufall, 1492: Siegbedingung, ]
115: 1985; []
116: Otto Maier Verlag Ravensburg; []
117: BLUFF; []
118: Ravensburger 01 081 3; []
119: Rüdiger; []
120: Design Josef de 3 5 de 10 ans.; []
121: 40 4 de des 10 55 10 de 0 25 de 10 5 des 50 100 200 500 1 prime du des plus nest des achat!; []
122: coup plus des des des des 10 prime du milieu de 0 10 50 100 200 500 2 de 0 5 de de 10. des du main.; []
123: reste des; []
