0: GmbH 6072 Dreieich 1988 1; []
52: Schwarz muß jetzt Zusehen wie er wieder zu einem Schiff kommt.; []
53: Das heißt natürlich daß der Spieler der am Zug ist; [164466: Loswerden, ]
54: jedesmal neu entscheiden muß Ist es für ihn im Moment wichtiger dem Ziel näherzukommen oder ist es günstiger die anderen Mitspieler von ihrem Weg abzubringen.; []
55: Ziehen der Schiffe; [1292: Zufall, ]
56: Die Schiffe sind die jeweils nur auf den Linien ihrer Farbe fahren.; [1292: Zufall, 8536: Aktionspunkte, ]
57: Die Route bestimmen die Spieler in jedem Hafen aufs Neue indem sie das Schiff in Fahrtrichtung stellen.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
58: Unterwegs also zwischen zwei Häfen fährt ein Schiff immer nur vorwärts.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
59: Zur Verdeutlichung; []
60: Der Bug der Schiffe ist am Anker zu erkennen.; []
61: Unter umdrehen oder rückwärts fahren ist nicht er es sei denn die befiehlt; []
62: es siehe und Jedes Schiff muß grundsätzlich in einem erreichten Hafen anhalten.; [1492: Siegbedingung, ]
63: Man darf nicht in einem Zug durch einen Hafen durchfahren es sei denn man bezahlt dafür mit siehe Erreicht ein Schiff einen Hafen können mitfahrende Urlauber aussteigen und im Hafen Wartende einsteigen ohne daß die jeweiligen Spieler am Zug sind.; [8536: Aktionspunkte, ]
64: Ein und ausgestiegen wird vom großes Rechteck aus in dem auch das Schiff anlegt.; [8528: Siegpunkte, ]
65: Man kann also nicht von einem braunen aus an Bord gehen Schiff zieht nur auf Linien seiner Farbe Schiff nur vorwärts Drehung im Hafen möglich; [1292: Zufall, 8536: Aktionspunkte, ]
66: Im Hafen kann und ausgestiegen werden auch wenn man nicht am Zug ist Das Betreten und Verlassen eines Schiffes kostet keinen Bewegungspunkt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
67: In einem Hafen kann nur ein Schiff anlegen.; [8536: Aktionspunkte, ]
68: Auf einem Schiff können höchstens 2 Spielfiguren mitfahren.; []
69: Wenn mehrere Figuren auf ein Schiff warten gilt die Reihenfolge ihrer Hafen ankunft für das Einsteigen kann man allerdings nur wenn freie Plätze an Bord sind.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
70: Wenn also ein Schiff mit 2 Personen in den Hafen kommt und keine geht von Bord so kann auch niemand einsteigen.; []
71: Ziehen der Urlauber Sind die Urlauber vom Schiff ausgestiegen so kann man seine Spielfigur an Land bewegen.; [1292: Zufall, 8536: Aktionspunkte, ]
72: Auch hier zählt jedes Feld ein Bewegungspunkt; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
73: Auf jedem Feld außer Hafen und Sehenswürdigkeit darf aber nur ein Urlauber stehen.; [8536: Aktionspunkte, ]
74: Andere Urlauber dürfen übersprungen werden.; []
75: Bei Ziehen vom Land in den Hafen sollten sich die Spieler die Reihenfolge der Ankunft merken da der zuerst ankommende Urlauber zuerst an Bord gehen darf.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
76: Besuch der Sehenswürdigkeiten; []
77: Wenn eine Spielfigur eine brau Viereck erreicht erhält der betreffende Spieler die entsprechende Karte.; [1292: Zufall, 1492: Siegbedingung, ]
78: Diese muß er für alle Spieler sichtbar vor sich hinlegen.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
79: Seine Figur kann er erst beim nächsten Zug vom Feld der Sehenswürdigkeit wegbewegen.; [7090: Kooperative Spielform, ]
80: Pro Schiff max. 2 Urlauber; []
81: An Land nur eigene Figur bewegen Außer Hafen und Sehenswürdigkeit auf je dem Feld nur eine Figur; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
82: Bei Ankunft an Sehens würdigkeit erhält Spieler entsprechendes Kärtchen; [8536: Aktionspunkte, 1492: Siegbedingung, ]
83: Offen vor sich hinlegen Weiterziehen erst nächste Runde; [1292: Zufall, ]
84: 7 4.2.; []
85: Die und Anstelle eines Zuges mit den Schiffen oder Statt Bewegung kann mit der eigenen Spielfigur kann man sich gezogen werden entweder eine oder eine Karten sind verdeckt nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
86: Zuerst werden die Karten neu gemischt der Spieler zieht sich eine von 5 Karten und entscheidet sich für eine der angeführten Alter nativen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
87: Diese Karten werden verdeckt gezogen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
88: Durch die erhofft sich der Spieler Erleichterungen und durch die hofft er anderen Mitspielern Hindernisse in den Weg legen zu können Wege sperren Orkane aufkommen lassen Aber da der Spieler nicht weiß welche Karte er zieht hat er keine Garantie ob er die Karte sinnvoll nutzen kann.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
89: Beispiel 1 Wer die Karte Sandsturm zieht kann die auf den Feldern zwischen Hafen und Pyramide anbringen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
90: Jetzt können alle Urlauber bis zur Entfernung der Attrappe durch die entsprechenden auf diesem Weg nur ein Feld pro Zug vorrücken.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
91: Der Spieler kann aber auch auf den Sandsturm verzichten und statt dessen einen Chip an die Bank abgeben.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
92: Beispiel 2 Wird die Orkan gezogen kann der Spieler als einzige Ausnahme vom in beliebiges Schiff auf See in den nächsten Hafen oder er muß einen Chip an die Bank abgeben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
93: Hat man keinen Chip mehr so ist die obere Alternative einer Karte zwingend ist diese im Spiel bereits ausgeführt so gilt der Zug als verloren; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
94: Der Spieler kann nichts tun.; [164466: Loswerden, 1492: Siegbedingung, ]
95: Zieht ein Spieler eine der beiden so Man darf nicht mehrfach hat er die Wahl unter den 4 angeführten sperren! ten.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
96: Es ist nicht erlaubt einen Weg an derselben Stelle mehrfach zu sperren.; []
97: Die sind mit Linie gekennzeichnet 4.3.; []
98: Die Die sind ein äußerst nützliches Kapital für die Reise denn mit ihnen läßt sich folgendes machen; [8536: Aktionspunkte, ]
99: Bei Abgabe eines Chips kann man ein Schiff; [8536: Aktionspunkte, 1492: Siegbedingung, ]
100: Eine zusätzliche bzw.die eigene Spielfigur an Land um ein kostet 1 Chip weiteres Feld pro Zug rücken den Chip; [8536: Aktionspunkte, ]
101: erhält die Bank.; [8528: Siegpunkte, 1492: Siegbedingung, ]
102: Die Abgabe mehrerer Chips erlaubt es nicht entsprechende zusätzlich zu verwenden.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
103: Bei Abgabe von vier Chips an die Bank darf Ohne Halt durch Hafen man mit einem Schiff ohne Halt durch einen kostet; [8536: Aktionspunkte, ]
104: 4 Chips Hafen fahren also in einem Zug so daß niemand oder aussteigen kann.; [8536: Aktionspunkte, ]
105: Jeder Spieler darf bis zu 6 Chips besitzen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
106: Chips bekommt man 3 Stück zu Beginn des Spiels 2 Stück beim Ziehen einer und Wahl der unteren Alternative nicht aber bei der durch Einhandeln von Chips von den Mitspielern 9 Einhandeln von Chips; [1292: Zufall, ]
107: Um Chips von den Mitspielern zu erhalten darf gehandelt werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
108: 1.; []
109: Man kann eine Karte verkaufen die man selbst nicht gebrauchen kann.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
110: Beispiel Schwarz zieht Keine Überschwemmung mehr Weg zum Kloster frei; [1292: Zufall, 164466: Loswerden, ]
111: Da er aber bereits im Kloster war einigt er sich mit Weiß die Sperre gegen 2 Chips zu beseitigen.; []
112: 2.; []
113: Man kann sich mit Chips bezahlen lassen um bestimmte Dinge zu unterlassen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
114: Beispiel Orange zieht den und will einen Sandsturm loslassen; [1292: Zufall, ]
115: Rosa will gerade zur Pyramide und bietet Orange Chips wenn er dessen etwas anderes macht.; [164466: Loswerden, 8536: Aktionspunkte, ]
116: 3.; []
117: Man kann sich kaufen lassen.; []
118: Erstes Beispiel Schwarz der schon lange auf ein Schiff wartet bietet Orange; []
119: 2 Chips damit dieser ein Schiff in seine Richtung zieht.; [1292: Zufall, 8536: Aktionspunkte, ]
120: Zweites Beispiel Weiß bietet Schwarz mehrere Chips damit dieser unter Einsatz von Chips ohne Halt durch einen Hafen fährt weil er im nächsten Hafen wartet.; []
121: 6. Spielende und Spielsieger; [8528: Siegpunkte, ]
122: Das Spiel ist zu Ende sobald ein Spieler 3 verschiedene besitzt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
123: Dieser Spieler ist Sieger des Spiels.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
124: Der freie Handel von Chips gegen gewisse Leistungen ist generell erlaubt Ende wenn Erster 3 Sehenswürdigkeiten besucht hat; [164466: Loswerden, 1492: Siegbedingung, ]
