0: Auf den meisten Karten ist genau beschrieben zu welchem Zeitpunkt ihr sie ausspielen dürft.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
56: 45 Spielkarten 25 5 in 5 Spielerfarben 20 in 5 Spieler; [1292: Zufall, ]
57: 5 Baut vor eurer ersten Partie die zusammen.; []
58: Faltet dazu an den gestanzten Stellen das Dach die und die beiden Laschen um.; [8536: Aktionspunkte, ]
59: Steckt dann die Laschen in die Schlitze des Daches wie abgebildet.; []
60: Nach dem Spiel könnt ihr die zusammengesteckt lassen.; [164466: Loswerden, 3142: Verlierbedingung, ]
61: Sie sind so konzipiert dass sie ineinander gestapelt und so in die Schachtel gelegt werden können.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
62: Noch ein Hinweis zu den Manche Plättchen wie Hubschrauberlandeplatz oder Swimmingpool sind zwar keine Gebäude im eigentlichen Sinn werden aber von den Mitgliedern der Junta üblicherweise trotzdem als Gebäude bezeichnet.; [8528: Siegpunkte, 1492: Siegbedingung, ]
63: Auch das bereits bei Spielbeginn auf dem Anwesen befindliche Hauptgebäude gilt als Gebäude.; [8536: Aktionspunkte, ]
64: 5 Anwesen in 5 Spielerfarben; [1292: Zufall, ]
65: Hauptgebäude Zahl für Felder für Feld für Ablagefeld für abgehandelte Milizen Junta; [8536: Aktionspunkte, ]
66: 1 Karten ziehen; [1292: Zufall, ]
67: Jeder Spieler erhält 1 Wählt eine Spielerfarbe und nehmt euch in dieser Farbe euer Anwesen eure Übersichtskarte sowie 1 Die übrigen Würfel und alle Gebäude plättchen legt ihr als Vorrat in die Tischmitte.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
68: Der Präsident beginnt.; []
69: Er zieht so viele Karten vom Nachziehstapel auf seine Hand wie die gesamte Spieleranzahl plus 2. Spielt ihr zum Beispiel mit 4 Spielern zieht der Präsident in dieser Phase 6 4 2 Karten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
70: Mischt alle 45 Spielkarten und legt sie als verdeckten Nachziehstapel neben den Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
71: Bildet im Laufe des Spiels daneben einen offenen Ablagestapel auf den ihr ausgespielte und abgeworfene Karten ablegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
72: Sobald der Nachziehstapel leer ist mischt ihr den Ablagestapel und macht daraus einen neuen verdeckten Nachziehstapel.; [1292: Zufall, ]
73: Würfelt darum wer zuerst euer Präsident sein darf.; [1292: Zufall, ]
74: Der Sieger nimmt sich die An der Brille könnt ihr während des Spiels immer leicht erkennen wer amtierender Präsident ist.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
75: Alle Spieler die nicht Präsident sind bezeichnen wir in dieser Anleitung als Putschisten.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
76: Ihr dürft nicht zugleich den Präsidenten angreifen und ihn verteidigen.; [8536: Aktionspunkte, ]
77: Danach folgen die Putschisten reihum im und ziehen je 1 Karte auf ihre Hand.; [1292: Zufall, ]
78: Ausnahme; []
79: In der ersten Runde des Spiels zieht jeder Putschist 1 zusätzliche Karte insgesamt also 2 Karten.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
80: Hinweis; []
81: Eure Handkarten müsst ihr stets verdeckt halten.; [1292: Zufall, ]
82: Ihr dürft auch nicht darüber sprechen welche Karten ihr habt oder welche euch bei einem Kampf abgenommen wurden!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
83: Allerdings dürft ihr die Anzahl eurer Karten nicht geheim halten.; [1292: Zufall, ]
84: 2 Versprechungen machen 1; []
85: An einigen Stellen in dieser Anleitung findet ihr einen Kasten mit der Dort werden besondere Regeln erklärt die im Zusammenhang mit dem Präsidenten gelten.; []
86: ZWEI SPIEL; []
87: Der Präsident wählt für jeden Putschisten mindestens 1 seiner Handkarten aus.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
88: Diese Karten legt er als Versprechungen verdeckt auf die der jeweiligen Anwesen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
89: Die Putschisten dürfen sich die Versprechungen ansehen jedoch nicht auf ihre Hand nehmen sondern müssen sie auf die Kartenfelder zurücklegen.; [1292: Zufall, ]
90: Hinweis; []
91: Unmittelbar nach den Versprechungen ist der Zeitpunkt zu dem die Karte Einbrecher ausgespielt werden darf; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
92: SPIELABLAUF; []
93: Ihr könnt Junta in zwei verschiedenen Versionen spielen.; [164466: Loswerden, 3142: Verlierbedingung, ]
94: Zunächst erklären wir die Regeln für das Grundspiel.; []
95: Danach folgen die Regeln für das Susanne Falls ihr zum ersten Mal Junta spielt solltet ihr das Grundspiel spielen um das Spielgefühl kennenzulernen.; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
96: Ab eurer zweiten Partie könnt ihr euch dann ans wagen.; []
97: Dieses ist noch gemeiner und hinterhältiger als das Grundspiel.; []
98: Und darauf steht ihr doch oder?; []
99: Andy Malte; []
100: Ein Spiel läuft über mehrere Runden.; [1492: Siegbedingung, 166903: Ankommen, ]
101: Jede Runde ist in 6 Phasen unterteilt die nacheinander durchlaufen werden.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
102: Es gibt keine sondern ihr dürft meist in allen Phasen agieren.; []
103: Folgende Phasen gibt es; []
104: 1 Karten ziehen; [1292: Zufall, ]
105: 2 Versprechungen machen; []
106: 3 Milizen befehligen; []
107: 4 Kämpfe austrage; []
108: 5 Geld ausgebe; []
109: 6 Handkartenlimit prüfen Lars Beispiel Lars blau ist Präsident.; [1292: Zufall, ]
110: Er entscheidet sich Andy rot und Susanne gelb je 1 Karte von seiner Hand zu versprechen.; [1292: Zufall, ]
111: Vor Malte schwarz legt er sogar 2 seiner Handkarten ab.; [1292: Zufall, ]
112: Andy Susanne und Malte schauen sich ihre Versprechungen an und legen sie dann wieder auf die Kartenfelder zurück.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
113: 3; []
114: Milizen befehligen Jeder Würfel; [1292: Zufall, 1492: Siegbedingung, ]
115: repräsentiert 1 Miliz.; []
116: Ihr beginnt das Spiel mit 1 Miliz im Spielverlauf könnt ihr weitere hinzubekommen.; [3142: Verlierbedingung, ]
117: 1 Hinweis; []
118: Unmittelbar nach dem Einstellen aller Würfel ist der Zeitpunkt zu dem die Karte Spion ausgespielt werden darf.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
119: Sobald alle Putschisten ihre Milizen befehligt haben und niemand einen Spion spielen möchte nehmt ihr auf Kommando des Präsidenten; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
120: eure zur Seite damit alle Spieler freie Sicht auf alle Milizen haben.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
121: 4 Kämpfe austrage für Milizen fuhren zu Kämpfen.; [8536: Aktionspunkte, ]
122: Die Kämpfe werden in einer festgelegten Reihenfolge ausgetragen.; []
123: Falls jemand den Präsidenten angreift wird dieser Kampf immer zuerst ausgetragen.; [7090: Kooperative Spielform, ]
124: Anschließend werden reihum im Uhrzeigersinn bei allen Putschisten die Kämpfe ausgetragen bei denen sie die Verteidiger sind also angegriffen werden.; []
125: Greifen mehrere Putschisten denselben Spieler an erfolgt dieser Angriff immer gemeinsam und wird im Kampf ausgetragen.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
126: In dieser Phase erteilen alle Putschisten ihren Milizen Befehle für Angriffe oder Dazu stellt ihr zunächst euren auf die eures Anwesens.; [3173: Gemeinsames Spielfeld, ]
127: Danach legt ihr verdeckt hinter dem bei euren bestimmte Zahlen nach oben Lars Malte Beispiels Andy rot hat 2 Milizen auf gestellt damit greift er Lars blau an der momentan Präsident ist.; [1292: Zufall, ]
128: Die nächste Miliz zeigt eine 0 damit greift er Malte schwarz an.; []
129: Und vierte Miliz zeigt 171 damit verteidigt er sich selbst.; []
130: Susanne gelb greift mit 2 Milizen 0 0 Malte an mit ihrer anderen 0 verteidigt sie sich selbst.; [8536: Aktionspunkte, ]
131: Malte hilft mit einer Miliz Präsident Lars bei dessen Verteidigung.; []
132: Weitere 2 Milizen 0 von Malte greifen Susanne an.; []
133: Susanne 0 Jemanden angreifen; []
134: Um mit einer Miliz einen anderen Putschisten oder den Präsidenten anzugreifen legt ihr die Zahl nach oben die auf dem Anwesen zu sehen ist.; [3173: Gemeinsames Spielfeld, ]
135: Euch selbst verteidigen; []
136: Zu eurer eigenen Verteidigung legt ihr die Zahl nach oben die auf eurem eigenen Anwesen zu sehen ist.; [1292: Zufall, 1492: Siegbedingung, ]
137: Den Präsidenten verteidigen; []
138: Ihr könnt dem Präsidenten bei seiner Verteidigung helfen.; []
139: Dazu legt ihr die Zahl 6 nach oben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
140: Die 6 gilt immer für die Verteidigung des Präsidenten unabhängig davon; []
141: wer gerade Präsident ist.; [1492: Siegbedingung, ]
142: Habt ihr 2 oder mehr Milizen so könnt ihr diese unabhängig voneinander befehligen.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
143: Ihr entscheidet also für jede Miliz einzeln welche Zahl ihr nach oben legt.; [1292: Zufall, 1492: Siegbedingung, ]
144: Ihr dürft nicht zugleich den Präsidenten angreifen und ihn verteidigen.; [8536: Aktionspunkte, ]
145: Die Milizen des Präsidenten erhalten keine Befehle; [8528: Siegpunkte, 1492: Siegbedingung, ]
146: sie müssen den Präsidenten verteidigen.; []
147: Der Präsident darf keine Mitspieler angreifen.; []
148: Beispiel Lars ist amtierender Präsident.; []
149: Zuerst wird der Kampf abgewickelt bei dem Lars angegriffen wird.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
150: Links von ihm sitzt Andy aber niemand greift Andy in dieser Runde an.; []
151: Im Uhrzeigersinn folgt Susanne Angriff gegen sie wird als nächstes ausgetragen.; []
152: Zum Schluss folgt der Kampf von Andy und Susanne gegen Malte der links von Susanne sitzt.; [7090: Kooperative Spielform, ]
153: Greift niemand den Präsidenten an erhalten alle Spieler sofort ihre Versprechungen noch bevor die Kämpfe unter den Putschisten ausgetragen werden.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
154: Generell laufen alle Kämpfe identisch ab.; [164466: Loswerden, ]
155: Ein Kampf besteht aus 4 Kampfschritten die ihr der Reihe nach abwickelt Karten des Verteidigers; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
156: Karten der Angreifer Milizen würfeln; [1292: Zufall, 164466: Loswerden, ]
157: Beute machen Hinweis Achtet während dieser Phase darauf dass ihr; []
158: die schon verwendeten gut von denjenigen trennt die noch nicht abgehandelt wurden.; [1292: Zufall, 7090: Kooperative Spielform, ]
159: Legt am besten alle Milizen nach dem Aufdecken des vorne neben euer Alle abgehandelten Milizen legt ihr auf das runde Feld unten links das euren Charakter zeigt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
160: Karten des Verteidigers; [1292: Zufall, ]
161: Der verteidigende Spieler darf beliebig viele Karten von seiner Hand ausspielen sofern diese laut vor einem Kam gespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
162: Verliert dadurch ein Angreifer alle angreifenden ist er nicht länger am Kampf beteiligt.; [164466: Loswerden, ]
163: Falls es keinen Angreifer mehr gibt endet der Kampf sofort.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
164: Alle Spieler die mit mindestens 1 Miliz den Präsidenten verteidigen gelten ebenfalls als Verteidiger des Präsidenten und dürfen auch Karten ausspielen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
165: Karten der Angreifer; [1292: Zufall, ]
166: Alle angreifenden Spieler die noch am Kampf beteiligt sind dürfen beliebig viele Karten von ihrer Hand ausspielen sofern diese laut vor einem Kam gespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
167: Unabhängig davon bleibt der Verteidiger auf jeden Fall am Kampf beteiligt.; [1492: Siegbedingung, ]
168: Sollte ein Spieler der den Präsidenten verteidigt alle verteidigenden Würfel verlieren ist er nicht länger am Kampf beteiligt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
169: Von diesem Spieler bereits ausgespielte Karten gelten weiterhin aber er darf keine weiteren Karten mehr während dieses Kampfes ausspielen.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
170: Milizen würfeln; []
171: Alle Spieler würfeln nun gleichzeitig ihre Milizen die an diesem Kampf beteiligt sind.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
172: Ihr dürft keine Milizen würfeln die andere Befehle erhalten haben.; [1292: Zufall, 8536: Aktionspunkte, ]
173: Es ist möglich dass der Verteidiger; []
174: keine beteiligte Miliz hat in diesem Fall würfeln nur alle Angreifer.; [1292: Zufall, 164466: Loswerden, ]
175: Hinweis; []
176: Unmittelbar nach dem Würfeln ist der Zeitpunkt zu dem ein am Kampf beteiligter Spieler die Karte Ablenkungsmanöver ausspielen darf.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
177: Jeder Angreifer ermittelt nun zunächst seinen persönlichen indem er seine gewürfelten Zahlen zusammenzählt.; [1292: Zufall, ]
178: Die Summe dieser Kampfwerte aller Angreifer ist der gesamte Der Verteidiger addiert ebenfalls seine gewürfelten Zahlen rechnet aber noch die Anzahl seiner Gebäude hinzu.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
179: Die Summe ist der Verteidigungswert.; []
180: Jedes Gebäude auch das Hauptgebäude erhöht also den Verteidigungswert um 1.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
181: Der Präsident darf seine Milizen nicht würfeln!; [1292: Zufall, 8536: Aktionspunkte, ]
182: Stattdessen wird jede Miliz des Präsidenten so behandelt als hatte er eine 1 gewürfelt.; [1292: Zufall, 1492: Siegbedingung, ]
183: Somit entspricht sein Verteidigungswert der Anzahl seiner Gebäude plus Milizen.; [1492: Siegbedingung, ]
184: Hinzu kommen die von Spielern die den Präsidenten verteidigt haben.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
185: Ist der Angriffswert niedriger als der Verteidigungswert oder gleich hoch war der Angriff nicht erfolgreich.; [8528: Siegpunkte, 1492: Siegbedingung, ]
186: Ist der wert jedoch höher dürfen die Angreifer Beute machen.; []
187: Beute machen War der Angriff erfolgreich macht jeder angreifende Spieler Beute indem er 1 Handkarte des Verteidigers zufällig zieht.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
188: Zuerst darf 1 Karte ziehen der den höchsten persönlichen hatte.; [1292: Zufall, ]
189: Bei Gleichstand gibt es ein Stechen indem die beteiligten Spieler je 1 Würfel werfen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
190: Es folgen die übrigen Angreifer in Reihenfolge ihrer Kampfwerte.; [1492: Siegbedingung, ]
191: Falls mehr Spieler Beute machen; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
192: als der Verteidiger Handkarten hat gehen manche Angreifer entsprechend leer aus.; [1292: Zufall, ]
193: War ein Angriff gegen den Präsidenten erfolgreich machen die Angreifer zunächst Beute indem sie; []
194: 1 Hand karte des Präsidenten ziehen.; [1292: Zufall, 164466: Loswerden, ]
195: Alle Spieler legen ihre Versprechungen die der Präsident ihnen in dieser Runde gemacht hat offen auf den Ablagestapel; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
196: niemand bekommt sie.; []
197: Der Angreifer mit dem höchsten persönlichen erhalt nach allen Kämpfen die und wird neuer Präsident.; []
198: Die Kämpfe unter den Putschisten werden also zunächst noch ausgetragen bevor der neue Präsident sein Amt antritt.; []
199: War ein Angriff auf den Präsidenten nicht erfolgreich dürfen alle Spieler die den Präsidenten nicht angegriffen haben ihre Versprechungen sofort auf die Hand nehmen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
200: Es macht dazu keinen Unterschied ob jemand dem Präsidenten bei der Verteidigung geholfen hat oder nicht.; []
201: Die Angreifer müssen dagegen ihre Versprechungen offen auf den Ablagestapel legen.; [1292: Zufall, ]
202: 2. Kampfbeispiel 2; []
203: Milizen von Malte schwarz greifen Susanne gelb an die 3 Gebäude besitzt und 1 Miliz zu ihrer Verteidigung einsetzt.; []
204: Beide möchten keine Karten spielen und würfeln ihre Milizen.; [1292: Zufall, 164466: Loswerden, ]
205: Susanne wirft eine 4 Malte 6 und 3.; [1292: Zufall, ]
206: Somit beträgt Angriffswert 9 Susannes; []
207: Verteidigungswert beträgt 7.; []
208: Angriff ist erfolgreich; []
209: er macht Beute und zieht 1 Karte von Susannes Hand.; [1292: Zufall, ]
210: Danach darf Andy Karten spielen.; [1292: Zufall, 164466: Loswerden, ]
211: Er spielt ein Attentat auf Miliz die dadurch zerstört also in den Vorrat wird.; [1492: Siegbedingung, ]
212: Nach dem Attentat hat Malte keine Miliz mehr die an diesem Kampf beteiligt ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
213: Deshalb scheidet Malte aus diesem Kampf aus.; []
214: Sein bereits gespieltes Kanonenboot gilt aber weiterhin für Lars.; [8536: Aktionspunkte, ]
215: Nun würfelt Andy seine beiden angreifenden Milizen das Resultat ist; [1292: Zufall, ]
216: eine 6 4 2 Lars darf als Präsident seine Milizen nicht würfeln.; [1292: Zufall, 8536: Aktionspunkte, ]
217: Sein Verteidigungswert beträgt 1 für 1 Gebäude 2 für seine 2 Milizen und 3 durch das Kanonenboot also insgesamt ebenfalls 6.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
218: Es besteht Gleichstand somit der Angriff nicht erfolgreich.; [1492: Siegbedingung, ]
219: Angriff ist gescheitert; []
220: er darf keine Beute machen.; []
221: Susanne und Malte dürfen nun ihre Versprechungen auf die Hand nehmen.; [1292: Zufall, ]
222: Andy muss seine Versprechung ablegen.; [164466: Loswerden, ]
223: Susanne 1. Kampfbeispiel 2; []
224: Milizen von Andy rot greifen Präsident Lars blau an der 1 Gebäude und 2 Milizen besitzt.; []
225: Malte schwarz schickt 1 Miliz zu Verteidigung.; []
226: Zuerst dürfen Lars und Malte Karten ausspielen da sie die Verteidiger in diesem Kampf sind.; [1292: Zufall, 164466: Loswerden, ]
227: Lars möchte keine Karte spielen.; [1292: Zufall, ]
228: Malte spielt ein Kanonenboot aus das den für Präsident Lars um 3 erhöht.; [3142: Verlierbedingung, ]
229: Andy Malte Lars Malte; []
230: 3. Kampflbeispiel; []
231: Andy greift Malte mit 1 Miliz an Susanne; []
232: schickt sogar 2 Milizen zu Anwesen.; [1492: Siegbedingung, ]
233: Malte hat keine Miliz zu seiner Verteidigung eingesetzt.; []
234: Niemand möchte eine Karte ausspielen also würfeln Andy und Susanne ihre Milizen.; [1292: Zufall, ]
235: Andy würfelt eine 5 Susanne 2 und 3.; [1292: Zufall, ]
236: Damit erreichen beide einen persönlichen von 5.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
237: Der gesamte Angriffswert ist entsprechend; []
238: 10. Verteidigungswert ist 2 durch seine beiden Gebäude.; [1492: Siegbedingung, ]
239: Der Angriff ist mit 10 2 erfolgreich.; []
240: Andy und Susanne machen Beute.; []
241: Beide haben einen identischen deshalb werfen beide je 1 Würfel für ein Stechen Andy; [1292: Zufall, 8536: Aktionspunkte, ]
242: wirft eine 2 Susanne; []
243: eine 4. Somit darf Susanne zuerst 1 Karte von Hand ziehen.; [1292: Zufall, ]
244: Da Malte nur diese eine Karte auf der Hand hatte geht Andy leer aus.; [1292: Zufall, ]
245: Andy Susanne; []
