0: Erfinder für Kinder Baby Kleinkind Infant Baby Geschenke; [8536: Aktionspunkte, ]
30: Spielen weniger als vier Spieler so kommen die nicht benötigten Schafe und Blumen in den Schachteldeckel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
31: Spielablauf; []
32: Ihr spielt reihum im Uhrzeigersinn.; [164466: Loswerden, ]
33: Wer zuletzt ein Schäfchen gestreichelt hat darf beginnen.; []
34: Wenn ihr euch nicht einigen könnt beginnt der jüngste Spieler und würfelt einmal mit dem Würfel.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
35: 4 Was ist auf dem Würfel zu sehen?; [1292: Zufall, ]
36: Eine Augenzahl?; [1292: Zufall, ]
37: Zähle entsprechend viele Karten in Laufrichtung deines Schafes vorwärts.; [1292: Zufall, 164466: Loswerden, ]
38: Auf welcher Karte würde dein Schaf landen?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
39: Auf einer Karte mit einer Blume der eigenen Farbe?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
40: Prima!; []
41: Dein Schaf wird von der Blume angelockt.; []
42: Ziehe dein Schaf auf diese Karte vor.; [1292: Zufall, ]
43: Wichtig; []
44: Die Blume kann eine auf der Karte abgebildete Blume oder eine der eigenen Farbe sein!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
45: Auf einer Karte ohne eine Blume der eigenen Farbe?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
46: Schade!; []
47: Du kannst dein Schaf nicht auf diese Karte locken.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
48: Aber du darfst eine eigene Blume aus deinem Vorrat auf diese Karte legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
49: Hast du keine Blume mehr in deinem Vorrat dann kannst du eine bereits gelegte Blume auf diese Karte umsetzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
50: Eine Blume?; []
51: So ein Glück!; [1292: Zufall, ]
52: Du darfst eine deiner Blumen auf eine beliebige Karte der Wegstrecke legen auf der noch keine Blume deiner Farbe liegt oder abgebildet ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
53: Nimm dafür eine Blume aus deinem Vorrat oder setze eine bereits gelegte Blume um.; [8536: Aktionspunkte, ]
54: Anschließend ist der nächste Schäfer mit Würfeln an der Reihe.; [1292: Zufall, ]
55: Spielende; []
56: Es gewinnt der Schäfer dessen Schaf als Erstes im Stall ankommt.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
57: Den Stall müssen die Schafe nicht mit genauer Punktezahl erreichen.; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
58: Überzählige Würfelpunkte verfallen dabei.; [1292: Zufall, 8528: Siegpunkte, ]
59: 5 DE; []
60: Varianten; []
61: Taktische Variante; []
62: Der Spielablauf entspricht dem des jedoch mit folgender Änderung Landet dein Schaf auf einer Karte auf der eine oder mehrere farbige Blumen der Mitspieler abgebildet sind?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
63: Du darfst jetzt eine eigene auf eine beliebige abgebildete Blume eines Mitspielers auf dieser Karte legen und die Blume somit verdecken.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
64: Damit kannst du deine Mitspieler ärgern da sie mit ihrem Schaf nicht mehr auf die Blume dieser Karte ziehen können!; [1292: Zufall, 3142: Verlierbedingung, ]
65: Längere Variante; []
66: Einen zusätzlichen Reiz bekommt das Spiel wenn ihr die Karten bei Spielbeginn mit der Seite auslegt.; [1292: Zufall, ]
67: Es sind dann noch keine Blumen auf den Karten abgebildet und das Spiel dauert länger.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 3173: Gemeinsames Spielfeld, ]
68: Wollt ihr den Spielaufbau ein wenig variieren?; [164466: Loswerden, ]
69: Probiert es doch einfach mit folgendem Spielaufbau aus Legt zuerst eine Strecke mit acht Karten vom Stall zur Weide aus.; [1292: Zufall, ]
70: Dann legt ihr eine zweite Strecke mit acht Karten von der Weide zum Stall aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
71: Die Schafe starten dieses Mal im Stall.; []
72: Welcher Schäfer führt sein Schaf am schnellsten zur Weide und sofort wieder in den Stall zurück?; [8536: Aktionspunkte, ]
73: 6 Herd game 2 4 Variation game nr.; []
74: 4487 Wolfgang Irene Mohr game 10 down so back warm; [7090: Kooperative Spielform, ]
75: In Order all back falls bit back 7; []
