0: Für zwei Spieler Jeder Spieler erhält 2 Spielfiguren 5 und Karten im Wert von 98 Karotten.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
37: Jeder Spieler erhält eine Spielfigur eine drei Rest beiseite legen und eine bestimmte Anzahl von Karottenkarten; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
38: Bei 3 oder 4 Spielern je 68 Karotten das sind 3 Karten mit dem Wert 1 Karotte 2 Karten mit dem Wert 5 Karotten 1 Karte mit dem Wert 10 Karotten 1 Karte mit dem Wert 15 Karotten 1 Karte mit dem Wert 30 Karotten; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
39: Bei 5 oder 6 Spielern bekommt jeder Spieler eine weitere Karte mit dem Wert 30 Karotten insgesamt also 98 Karotten; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
40: Die übrigen Karotten werden offen und nach Werten geordnet auf die entsprechenden Kartenfelder in der Mitte des abgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
41: Dies ist der Karottenvorrat.; []
42: Von dort werden neue Karotten entnommen und die im Rennen verbrauchten Karotten eingezahlt.; [8536: Aktionspunkte, ]
43: Die Spieler sollten ihre Karottenkarten in der Hand halten damit die Mitspieler nicht sehen können über wieviel Karotten man noch verfügt.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
44: Die sind Sie werden gut gemischt und verdeckt Hase nach oben neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
45: Die Spieler stellen ihre Figuren vor dem Startfeld auf den Spielplan und losen aus wer beginnt.; [3173: Gemeinsames Spielfeld, ]
46: Die Spielvorbereitung für 2 Spieler steht auf Seite 12.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
47: 4; []
48: Wie man zieht; [1292: Zufall, ]
49: In diesem Spiel kann man vorwärts und rückwärts ziehen aber nicht im gleichen Zug und zurück; [1292: Zufall, 3142: Verlierbedingung, ]
50: Für muß man Karotten bezahlen; [8536: Aktionspunkte, ]
51: wieviel das steht auf der Für erhält man Karotten stockt also seine Kraftreserve wieder auf.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
52: Auf jedem Feld darf nur eine Spielfigur stehen.; [8536: Aktionspunkte, ]
53: Besetzte Felder können übersprungen werden müssen aber mitgezählt werden.; []
54: sind auf alle freien Felder möglich außer auf Igelfelder.; [164466: Loswerden, ]
55: Die Anzahl der Felder die man in einem Zug rennen möchte kann man sich selber aussuchen allerdings muß man genügend Karotten besitzen um für die Strecke bezahlen zu können.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
56: Der Karottenpreis für die zurück gelegten Felder eines Zuges ergibt sich aus der Hier wird auch deutlich daß für einen weiten Zug sehr viel mehr Karotten erforderlich sind als wenn man die gleiche Strecke in zwei oder drei Zügen zurücklegt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
57: Man muß sofort nach dem Zug bezahlen indem man die entsprechenden Karottenkarten auf den in der Mitte des ablegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
58: sind nur auf das nächste zurückliegende freie Igelfeld möglich.; []
59: Igelfelder dürfen ausschließlich in also nicht durch Vorwärtsziehen erreicht werden.; [1292: Zufall, 8536: Aktionspunkte, ]
60: Zieht man auf ein Igelfeld zurück muß man keine Karotten bezahlen sondern erhält welche.; [1292: Zufall, 1492: Siegbedingung, ]
61: Man zählt die Zahl der Felder die man bis zum nächsten Igelfeld zurückgeht und erhält das dieser Zahl an Karotten aus dem Vorrat.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
62: BEISPIEL; []
63: Liegt das Igelfeld zwei Felder zurück erhält der Spieler zwanzig Karotten wenn es drei Felder zurückliegt erhält er 30 Karotten.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
64: Wenn es direkt hinter der Figur des Spieles liegt bekommt er nur 10 Karotten fürs Zurückziehen.; [1292: Zufall, 7090: Kooperative Spielform, ]
65: Ist das nächste zurückliegende Igelfeld besetzt kann man kein Igelfeld; []
66: aufsuchen Ausnahme siehe; []
67: Man kann von einem Igelfeld im nächsten Zug wieder vor gehen oder noch weiter zurück zum nächsten Igelfeld ziehen sofern dies frei ist 5; [1292: Zufall, 8536: Aktionspunkte, ]
68: Die Bedeutung der Felder; []
69: Die Felder des bieten verschiedene Möglichkeiten neue Karotten zu erhalten.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
70: Der Karottenvorrat den die Spieler zu Beginn erhalten reicht nicht aus um ins Ziel zu gelangen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
71: Deshalb muß man seine Kraftreserve unterwegs immer wieder aufstocken.; []
72: Setzt ein Spieler seine Spielfigur auf ein so nimmt er sofort die oberste auf und führt die entsprechende Anweisung aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
73: Anschließend wird die Karte wieder unter den Stapel zurückgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
74: Erläuterungen zu den siehe Seite 10; [7090: Kooperative Spielform, ]
75: Karottenfelder Landet ein Spieler auf einem Karottenfeld und zieht im nächsten Zug normal weiter geschieht gar nichts.; [1292: Zufall, ]
76: Man kann aber auch freiwillig auf einem Karottenfeld aussetzen und erhält für jede Runde die man nicht weiterzieht 10 Karotten aus dem Vorrat.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
77: Man kann beliebig viele Runden hintereinander aussetzen und jedesmal 10 Karotten einnehmen.; [1292: Zufall, 1492: Siegbedingung, ]
78: Auf Karottenfeldern kann man aber auch Karotten abgeben dies ist vor allem dann wichtig wenn man gegen Ende des Spiels noch zu viele Karotten in der Hand hält um ins Ziel einlaufen zu können.; [164466: Loswerden, 1492: Siegbedingung, ]
79: Statt zu ziehen bleibt man in diesem Fall ebenfalls auf dem Karottenfeld stehen setzt also aus und gibt dafür 10 Karotten in den Vorrat ab.; [1292: Zufall, 1492: Siegbedingung, ]
80: Auch dies kann man wiederholen so oft man 6 und Es ist in diesem Spiel sehr wichtig an Stelle man im Rennen liegt in welcher Position man sich also befindet.; [3173: Gemeinsames Spielfeld, ]
81: Die und beziehen sich auf die Position auf die Rangfolge der Spieler in dem Rennen.; [1292: Zufall, ]
82: Man versucht Übereinstimmung zwischen seiner Position im Rennen und der Ziffer auf dem Feld zu erreichen.; [7090: Kooperative Spielform, ]
83: Felder mit der Zahl 2 3 oder 4 haben für Spieler in der Position 2 3 oder 4 Bedeutung.; [8536: Aktionspunkte, 166903: Ankommen, ]
84: Felder mit Flaggen gelten für Spieler in der Position 1 5 oder 6.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
85: Sind nur 3 Spieler beteiligt so sind Felder mit höheren ohne Bedeutung.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
86: Kommt man auf ein oder geschieht zunächst nichts sondern erst wenn man wieder an der Reihe ist.; []
87: Stimmt dann die Zahl auf dem Feld mit der eigenen Position im Rennen überein so erhält man das dieser Zahl an Karotten aus dem Vorrat.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
88: BEISPIEL; []
89: Ein Spieler steht auf einem Feld mit der Zahl 2 und befindet sich wenn er wieder an der Reihe ist an zweiter Stelle im Rennen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
90: Der Spieler erhält dann 20 Karotten bevor er zieht.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
91: Befindet er sich in erster Position auf einem erhält er 10 Karotten befindet er sich in fünfter Position auf einem; [1492: Siegbedingung, 8528: Siegpunkte, ]
92: erhält er 50 Karotten.; [1492: Siegbedingung, 8528: Siegpunkte, ]
93: ACHTUNG!; []
94: Zwischen Ankunft und Weiterziehen kann sich die eigene Position durch die Züge der Mitspieler wesentlich verändern.; [1292: Zufall, 8536: Aktionspunkte, ]
95: Man muß also möglichst genau abschätzen wie die anderen Spieler wohl ziehen werden und welche Situation eingetreten sein wird wenn man selber wieder an der Reihe ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
96: 7; []
97: Jeder Spieler muß im Laufe des Rennens seine drei Salat karten Stück für Stück loswerden seinen Salat fressen; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
98: Solange man noch im Besitz einer ist darf man nicht ins Ziel einlaufen.; []
99: Den Salat darf man nur auf den fressen und nur zu diesem Zweck darf man ein betreten.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
100: Kommt man auf ein geschieht zunächst nichts ist man das nächste Mal an der Reihe zieht man nicht weiter sondern gibt eine ab.; [1292: Zufall, ]
101: Dafür erhält man Karotten aus dem Vorrat und zwar die Menge seiner Position im Rennen das seiner BEISPIEL; [1492: Siegbedingung, 8528: Siegpunkte, ]
102: Befindet man sich an dritter Stelle in dem Rennen erhält man 30 Karotten.; [1492: Siegbedingung, 8528: Siegpunkte, ]
103: Ist man an vierter Stelle 40 Karotten; []
104: Wenn man das übernächste Mal an der Reihe ist muß man das verlassen und normal weiterziehen.; [1292: Zufall, ]
105: Wer all seinen Salat gefressen hat darf nicht mehr auf ein ziehen.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
106: Man darf nicht unmittelbar nacheinander 2 auf dem gleichen loswerden; []
107: man kann aber mehrmals auf dem gleichen landen wenn man zwischendurch auf ein Igelfeld zurückgeht und dann wieder vorwärts zieht.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
108: Igelfelder Siehe unter Seite 5; [8536: Aktionspunkte, ]
109: Wenn die Karotten ausgegangen sind; []
110: Wenn ein Spieler nicht mehr genügend Karotten besitzt um einen weiteren Zug auszuführen und das nächste zurück liegende Igelfeld besetzt ist kann er sich keine Karotten mehr beschaffen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
111: Der Spieler muß noch einmal am Start beginnen.; []
112: Er ergänzt seinen Karottenvorrat auf die Menge seines ursprünglichen 68 bzw. 98 Karotten er erhält jedoch keine neuen 8 Ende des Spiels; [3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
113: Um ins Ziel einzulaufen muß man auf das Zielfeld ziehen und die dafür erforderlichen Karotten bezahlen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
114: Das Zielfeld ist die Die wird als letztes Feld mit gezählt.; [1492: Siegbedingung, ]
115: Man kann nicht ins Ziel einlaufen solange man nicht alle losgeworden ist.; [73230: Symmetrische Startbedingung, 164466: Loswerden, 7090: Kooperative Spielform, ]
116: Man darf beim nicht zu viele Karotten übrig haben; []
117: Der erste darf nach seinem letzten Zug nicht mehr als zehn Karotten in der Hand halten der zweite nicht mehr als zwanzig der dritte nicht mehr als dreißig usw. ACHTUNG!; [164466: Loswerden, 1492: Siegbedingung, ]
118: Spieler die das Rennen beendet haben behalten ihre Positionen entsprechend der Reihenfolge ihres Zieleinlaufs.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
119: Dies ist für die übrigen Spieler zum Beispiel auf den und beim und bei den Anweisungen einiger von Wichtigkeit.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
120: Wird ein Spieler auf der die letzten vier Felder vor dem Ziel zugunfähig er noch zu viele Karotten für den hat und das letzte Igelfeld besetzt ist muß er so lange zurückziehen bis er ein freies Igelfeld erreicht.; [1292: Zufall, 164466: Loswerden, 7090: Kooperative Spielform, 166903: Ankommen, ]
121: Er nimmt die hierfür vorgeschriebene Anzahl von Karotten auf.; []
122: 9 Erläuterungen zu den Die Anordnungen auf den gehen den sonst für die Züge und die einzelnen Felder geltenden Regeln vor.; [8536: Aktionspunkte, ]
123: Es gelten folgende Auslegungen; []
124: DU MUSST; []
125: EINMAL; []
126: AUSSETZEN; []
127: !; []
128: Man bleibt das nächste Mal auf dem stehen statt zu ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
129: ZIEHE SOFORT; []
130: ZURÜCK; []
131: VORWÄRTS; []
132: ZUM NÄCHSTEN; []
133: KAROTTENFELD; []
134: !; []
135: Man zieht hier je nach Anordnung zum nächsten freien Karottenfeld zurück bzw. vorwärts.; [1292: Zufall, 1492: Siegbedingung, ]
136: Dort darf man alle des Karottenfeldes in Anspruch nehmen.; [3173: Gemeinsames Spielfeld, ]
137: Für die gezogene Strecke braucht man weder Karotten zu bezahlen noch bekommt man welche.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
138: Ist das nächste Karottenfeld besetzt so ist die Karte wirkungs los.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
139: ZIEHE GLEICH; []
140: NOCH; []
141: EINMAL; []
142: !; []
143: Man darf wenn man will und kann sofort noch einen normalen weiteren Zug ausführen.; [8536: Aktionspunkte, ]
144: Zieht man vorwärts muß man bezahlen.; [1292: Zufall, ]
145: Zieht man rückwärts auf ein Igelfeld erhält man die entsprechende Menge Karotten.; [1292: Zufall, 1492: Siegbedingung, ]
146: DEIN LETZTER; []
147: ZUG; []
148: KOSTET NICHTS; []
149: !; []
150: Man erhält die Karotten aus dem Vorrat zurück die man bezahlt hat um auf das zu kommen.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
151: DU DARFST; []
152: 10; []
153: KAROTTEN; []
154: NEHMEN; []
155: ODER; []
156: ABGEBEN; []
157: !; []
158: Eines von beiden darf man sofort tun muß aber nicht.; [8536: Aktionspunkte, ]
159: Wenn man das nächste Mal an der Reihe ist zieht man normal weiter.; [1292: Zufall, ]
160: FRISS SOFORT; []
161: EINEN SALAT!; []
162: Man verhält sich so als ob man gerade auf einem angekommen wäre also beim nächsten Mal eine gegen Karotten eintauschen und beim übernächsten Mal weiterziehen.; [1292: Zufall, ]
163: Wenn man mehr hat setzt man einmal aus erhält aber keine Karotten.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
164: 10 DU; []
165: MUSST SOFORT; []
166: UM; []
167: EINE; []
168: POSITION ZURÜCKFALLEN; []
169: !; []
170: Man zieht sofort auf das freie Feld hinter dem Spieler der im Rennen hinter einem liegt Rangfolge im Rennen!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
171: Für das gibt es keine Karotten auch dann nicht wenn man auf einem Igelfeld landet.; [8536: Aktionspunkte, ]
172: Ein freies ist nur dann geeignet wenn man noch Salat hat sonst darf man es nicht betreten und muß noch weiter zurückziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
173: Wenn es kein geeignetes freies Feld gibt kann es erforderlich sein zwei oder mehrere Positionen zurückzufallen bei Spiel beginn gelegentlich auch hinter das Startfeld zurückzugehen.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 166903: Ankommen, ]
174: Steht der Spieler bereits an letzter Stelle im Rennen ist die Karte wirkungslos.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
175: RÜCKE SOFORT; []
176: UM; []
177: EINE; []
178: POSITION VOR!; []
179: Man zieht sofort auf das freie Feld vor dem Spieler der im Rennen vor einem liegt ohne Karotten zu bezahlen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
180: Wenn es kein geeignetes freies Feld gibt darf man auch eine weitere Position vorrücken.; [8536: Aktionspunkte, ]
181: Sollte sich ergeben daß man auf Grund dieser Anweisung bis ins Ziel vorrücken müßte ist dies nur möglich wenn man die Bedingungen des Zieleinlaufs erfüllen kann.; []
182: Andernfalls ist diese Anweisung bedeutungslos.; [73230: Symmetrische Startbedingung, ]
183: Für den Spieler an erster Position hat diese Karte keine Bedeutung.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8528: Siegpunkte, ]
184: 11; []
