0: passen Du kannst auch passen anstatt eine Karte zu spielen.; [1292: Zufall, ]
24: Falls du die nicht gewinnst hast du kein Gold und scheidest aus dem Spiel aus.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
25: In seinem Zug spielt Fleck Zocken?; []
26: Ich bin dabei! und eröffnet eine spielt Dieses Spiel dumm!; [164466: Loswerden, 166903: Ankommen, ]
27: um die zu verlassen.; []
28: Er muss kein Gold einsetzen kann aber für den Rest der keine oder spielen.; [3142: Verlierbedingung, ]
29: Fleck und setzen jeweils 1 Gold ein.; [1492: Siegbedingung, 8528: Siegpunkte, ]
30: Weil Fleck die Runde eröffnet hat wäre er derzeit der Gewinner.; [8528: Siegpunkte, ]
31: Als Nächste ist dran die links von Fleck sitzt.; []
32: passt.; []
33: spielt Ich erhöhe!. eine die alle Spieler in der Runde zwingt noch 1 Gold einzusetzen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
34: Fleck und setzen jeweils noch 1 Gold ein was den Pott auf 6 Gold erhöht.; [1492: Siegbedingung, 8528: Siegpunkte, ]
35: Die Karte Ich erhöhe! bringt gleichzeitig die Kontrolle über die er wäre also derzeit der Gewinner.; [1292: Zufall, 8528: Siegpunkte, ]
36: Fleck passt.; []
37: spielt; []
38: Ich habe meine Karten verloren eine wäre derzeit die Gewinnerin.; [1292: Zufall, ]
39: hat keine weiteren und passt.; []
40: Fleck passt auch.; []
41: gewinnt 6 Gold.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
42: von Ereignissen Falls es Fragen zur Reihenfolge von Ereignissen gibt weil bei 2 Spieler gleichzeitig spielen wer den; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
43: die Ereignisse in der Zugreihenfolge abgearbeitet beginnend mit dem Spieler der derzeit am Zug ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
44: Spieldesign und Illustrationen James Rose Studios und Trott Art und Layout Übersetzung Niels Stephan Layout und Satz der deutschen Ausgabe Ralf Andreas Pegasus Spiele Str. 2 61169 Friedberg unter Lizenz von Games der deutschen Ausgabe 2011 bei Pegasus Spiele; []
45: GmbH. Alle Rechte Vorbehalten.; [164466: Loswerden, ]
46: Pegasus Spiele http 4 Fleck und 37 Karten 1 28 4 in den Spielerfarben; [1292: Zufall, 164466: Loswerden, ]
47: 4 Marker rot 4; [8528: Siegpunkte, ]
48: Marker Alkoholgehalt durchsichtig; [1492: Siegbedingung, 8528: Siegpunkte, ]
49: 50 Goldstücke; []
50: Nach bestandenem Abenteuer finden sich die vier Recken Fleck und in der Taverne; [7090: Kooperative Spielform, ]
51: Zum Blaue Drachen ein.; []
52: Eine fröhliche Zecherei beginnt und auch wollen sich alle natürlich als heldenhaft erweisen!; [164466: Loswerden, ]
53: Jeder Spieler übernimmt einen der vier Charaktere.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
54: Behalte dein Gold und bei Bewusstsein!; [1492: Siegbedingung, 8528: Siegpunkte, ]
55: Falls du kein Gold mehr hast oder dein Alkoholgehalt jemals gleich oder größer als deine ist scheidest du aus dem Spiel aus.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
56: Der letzte Charakter der sich noch im Spiel befindet gewinnt.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
57: die Illusionistin spottet jeder Beschreibung was im Wesentlichen daran liegt dass niemand so genau weiß wie sie ihre Illusionen aussieht.; [8536: Aktionspunkte, ]
58: Ihre Künste haben die Helden ein ums andere Mal vor extrem leichtgläubigen Monstern bewahrt.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
59: Das Gute ist eine fällige Illusionistin.; []
60: Das Schlechte; []
61: Wenn ihr langweilig ist testet sie ihre Magie schon mal an ihren Mithelden Pieck der Fleck ist ein schneidiger der ein Lächeln im Gesicht und ein Lied auf den Lippen hat.; []
62: Seine heroischen Geschichten und sein mitreißendes Lautenspiel heben stets die Stimmung seiner wenn diese den Schrecken der tiefen gegenübertreten.; []
63: Das Gute Frauen wollen ihn.; []
64: Männer wollen so sein wie er.; []
65: Das Schlechte nun gut sehr oft steigt das zu Kopf.; [7090: Kooperative Spielform, ]
66: Mische den und lege ilm verdeckt so hin dass jeder davon ziehen kann.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
67: Daneben muss etwas Platz für den sein.; []
68: Jeder Spieler nimmt sich einen roten Marker einen durch Marker 10 Goldstücke sowie einen seiner mitsamt der dazugehörigen und legt sie vor sich.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
69: Wollen mehrere Spieler denselben ha ben muss gelost werden.; []
70: Das restliche Gold beiseite.; [1492: Siegbedingung, 8528: Siegpunkte, ]
71: Dies ist die Taverne Lege den roten Marker auf die 20 deiner Dies ist deine wenn du im Laufe des Spiels verlierst oder gewinnst musst du den Marker entsprechend verschieben.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
72: Lege den durchsichtigen Marker auf die 0 deiner Dies ist dein Alkoholgehalt.; [8528: Siegpunkte, ]
73: wenn du im Laufe des Spiels Alkoholgehalt verlierst oder gewinnst musst du den Marker entsprechend verschieben.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
74: Mische deinen und lege ilm verdeckt vor dir hin.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
75: Wenn du während des Spiels Karten deines ablegen musst lege sie daneben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
76: Ziehe die obersten 7 Karten von deinem und nimm sie auf die Hand.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
77: Zu letzt nimmst du 2 vom Getränke Stapel und legst sie ebenfalls verdeckt vor dir hin.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
78: Dies ist dein Trink mich!-Stapel.; [1292: Zufall, ]
79: Sieh dir die Karten in deinem Trink mich!-Stapel noch nicht an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
80: Wer zuletzt in einer Kneipe war beginnt.; []
81: der Zwerg hebt Gold Äxte und Bier und er scheint irgendwo noch ein geheimes zu haben.; []
82: Er ist wirklich richtig gut mit seinen Äxten.; [7090: Kooperative Spielform, ]
83: Jedoch ist er nicht so gut wenn es ans geht.; []
84: Wenn er damit anfängt sollte man sich ducken.; []
85: Das Gute Er hat eine Menge Gold und kann so ziemlich jeden unter den Tisch trinken.; [1492: Siegbedingung, ]
86: Das Schlechte ist er ein richtiger kleiner stiefel der der ist groß grün und dumm.; []
87: Aber er bemüht sich.; []
88: Wenn man ilm mal kennen gelernt hat ist er ein richtig netter Kerl... wenn man sich an den Geruch gewöhnt hat sowie an die Tatsache dass er zwei linke Füße besitzt.; []
89: Tanze niemals mit Wie du dir vorstellen kannst tut es möglicherweise well mit rumzuhängen.; [8536: Aktionspunkte, ]
90: Das Gute ist richtig stark!; []
91: Das Schlechte nicht kennen eigene Kraft.; []
92: Wenn du auch Zum Roten Drachen besitzt kannst du beide Spiele kombinieren und eine riesige Kneipensause mit bis zu acht Spielern feiern!; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
93: 1 Gewinnen und verlieren In deinem Zug mal und Karten; [1292: Zufall, ]
94: Wenn du auf diese Weise Getränke kaufst bezahlst du dafür zunächst nichts.; [8536: Aktionspunkte, ]
95: Die Taverne schreibt an und du musst später für diese Getränke bezahlen.; [8536: Aktionspunkte, ]
96: Einzelheiten dazu findest du im Abschnitt Weitere Regeln zu Getränken.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
97: 4. Decke die oberste deines eigenen Trink mich auf folge ihren Anweisungen und lege sie dann auf den Ablagestapel des Wenn du keine auf deinem Trink hast obwohl du trinken musst; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
98: reduziere deinen Alkoholgehalt um 1. Du gewinnst das Spiel wenn alle anderen Charaktere bis auf deinen aus dem Spiel ausgeschieden sind.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
99: Ausscheiden kann man auf 2 Arten; []
100: Ein Charakter hat kein Gold oder ein Charakter fällt in einen und wird bewusstlos.; [8536: Aktionspunkte, ]
101: Kein Gold mehr; []
102: Wenn du kein Gold hast wirft die Bedienung dich aus der Taverne und du musst den Rest der Nacht im Pferdestall verbringen.; [1292: Zufall, 8536: Aktionspunkte, ]
103: Du scheidest aus dem Spiel aus.; [164466: Loswerden, ]
104: bewusstlos werden Falls dein Alkoholgehalt jemals gleich oder größer deiner Trink; [3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
105: festigkeit ist wirst du bewusstlos und die Bedienung schleppt dich hoch in dein Zimmer damit du deinen Rausch ausschlafen kannst.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
106: Die Taverne und die Spieler die noch im Spiel sind teilen dein Gold untereinander auf Die Taverne die Hälfte aufgerundet; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
107: Die andere Hälfte wird gleichmäßig an die Mit spieler im Spiel verteilt eventuell überzähliges Gold die Taverne.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
108: Hast du noch übrig lege sie unter den Du scheidest aus dem Spiel aus.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
109: mal Karten kannst du nur unter bestimmten Bedingungen ausspielen die in ihrem beschrieben werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
110: Du darfst nicht mehr als 1 Manchmal auf ein mal spielen.; [164466: Loswerden, ]
111: Spielst du eine und wird ihr Effekt durch eine andere Karte aufgehoben darfst du eine weitere spielen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
112: Abgelegte für alle Spieler Gold der Taverne Trink Mich!; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
113: Stapel; []
114: Dein Zug besteht aus 4 Phasen die in folgender Reihenfolge durchlaufen werden 1. Ablegen und Ziehen 2. Aktion; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
115: ausführen; []
116: 3. Getränke kaufen; []
117: 4. Trinken; []
118: Danach ist der nächste Spieler im Uhrzeigersinn dran.; [164466: Loswerden, ]
119: Phase 1 wird in der ersten Runde übersprungen.; []
120: 1. und Ziehen; [1292: Zufall, ]
121: Du darfst beliebig viele Karten von deiner Hand ablegen die du nicht gebrauchen kannst und nimmst dann so viele Karten von deinem bis du wieder 7 Karten in deiner Hand hast.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
122: Du kannst keine Karten spielen bis du das Ziehen beendet hast.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
123: Sobald du die letzte Karte von deinem genommen hast mische deine abgelegten Charakterkarten und lege sie wieder verdeckt vor dich hin.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
124: Hattest du vorher noch nicht auf 7 Handkarten aufgezogen tust du es jetzt.; [1292: Zufall, ]
125: 2. Aktion; [8536: Aktionspunkte, ]
126: Du kannst 1 Aktionskarte spielen.; [1292: Zufall, 164466: Loswerden, ]
127: Um eine Aktions karte zu spielen lies den Namen der Karte laut vor folge ihren Anweisungen und lege sie dann auf dein Ab lagefeld.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
128: Wenn du Zocken?; []
129: Ich bin dabei!; []
130: gespielt hast beginnst du eine Einzelheiten dazu findest du im Abschnitt Zocken.; [3142: Verlierbedingung, 166903: Ankommen, ]
131: Falls du keine Aktionskarte spielen kannst oder willst lässt du diese Phase aus.; [1292: Zufall, 3142: Verlierbedingung, ]
132: 3.; []
133: Getränke kaufen Nimm die oberste vom und lege sie verdeckt auf den Trink eines beliebigen Spielers sie dir vorher anzusehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
134: Karten kannst du jederzeit ausspie selbst während des Zuges eines Mitspielers oder wenn sie eine andere Phase unterbrechen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
135: Handkarten Abgelegte Charakterkarten eitere flegeln Getränken; [1292: Zufall, ]
136: Wenn die Getränke alle sind Wenn du die letzte des genommen hast muss jeder Spieler; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
137: 1 Gold an die Taverne bezahlen damit die Bedienung neue Getränke bringt.; [1492: Siegbedingung, 8528: Siegpunkte, ]
138: Mische dann die abgelegten Karten des und lege sie als neuen bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
139: Es liegen also immer im die auf Trink liegen bleiben dort liegen.; []
140: Geteilte Getränke; []
141: Mit Hilfe mancher Karten kannst du ein einzelnes Getränk in 2 Getränke aufteilen etwa etwa mit Flecks Ich mag es überhaupt nicht allein zu trinken.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
142: Eine anschließend gespielte Karte die ein Getränk beispielsweise Nebenbei gesagt ist; [1292: Zufall, ]
143: das bezieht sich nur auf eines dieser beiden Getränke.; [1292: Zufall, 8536: Aktionspunkte, ]
144: Einige Karten im Getränke Stapel sind; [1292: Zufall, ]
145: Wenn du eine aufdeckst folge ihren Anweisungen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
146: Karten die den Alkoholgehalt eines Getränks erhöhen oder reduzieren können den Ausgang eines beeinflussen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
147: Karten die ein Getränk teilen eine ignorieren oder das Getränk einem anderen Spieler geben lassen können zwar gespielt werden beeinflussen den Ausgang aber nicht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
148: Beispiel Während eines deckt Alkoholgehalt 4 auf.; []
149: dagegen zieht ein Dunkles Bier Alkoholgehalt 1; [1292: Zufall, ]
150: spielt jetzt Das hier kannst du haben!; []
151: Ich warte auf den guten Stoff! und gibt sein Getränk an weiter.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
152: Alkoholgehalt erhöht sich um 5 aber ist nach wie vor Gewinner des Wenn dir während eines das Gold ausgeht hat dies zunächst keine Auswirkungen.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
153: Ignoriere bis zum Ende des alle Karten die dich zum Einsetzen von Gold Falls du das nicht gewinnst hast du jedoch kein Gold und scheidest aus dem Spiel aus.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
154: Wenn du eine Trink karte aufdeckst deren Name auf mit Nach spülen endet decke die nächste Karte deines Trink mich auf.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8528: Siegpunkte, ]
155: Falls es eine Trink karte ist füge ihren Effekt dem ursprünglichen Getränk hinzu.; [1292: Zufall, 164466: Loswerden, ]
156: Falls es ein weiteres Getränk mit Nachspülen ist füge dem ursprünglichen Getränk ihren Effekt hinzu und decke erneut die nächste auf.; []
157: Falls keine Karten auf deinem Stapel liegen oder wenn du eine ziehst gibt es keinen zusätzlichen Effekt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
158: Du ziehst nicht weiter und reduzierst auch deinen Alkohol gehalt nicht um; [1292: Zufall, 8536: Aktionspunkte, ]
159: 1. Der dagegen kann niemals leer werden siehe oben; [1492: Siegbedingung, ]
160: Wenn die Getränke alle sind Das ursprüngliche Getränk und alles mit Nachspülen zählen zusammen als 1 Getränk.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
161: Eine Karte die dir erlaubt ein Getränk zu ignorieren wird das ursprüngliche Getränk und alles mit Nachspülen ignorieren.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
162: 1 trinkt von ihrem Trink mich!- Stapel und zieht Wein mit Nachspülen.; [1292: Zufall, ]
163: Sie deckt die nächste Karte von ihrem Trink mich!-Stapel auf Bier.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
164: Sie addiert die Effekte beider Getränke zusammen und erhält einen von 6. spielt; [3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
165: Was soll ich trinken?; []
166: Der hier ist leer!; []
167: um den Effekt des Getränks zu ignorieren; [8536: Aktionspunkte, ]
168: ihr Alkoholgehalt ändert sich also nicht.; []
169: Was für eine Verschwendung!; []
170: 2 zieht Helles Bier mit Nach spülen.; [1292: Zufall, ]
171: Er deckt nun die nächste Karte vom auf und erhält Eine Runde aufs Haus!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8528: Siegpunkte, ]
172: Da Eine Runde aufs Haus! eine ist hat sie keinen Effekt.; []
173: erhöht seinen Alkoholgehalt um 1. Zücken; [8536: Aktionspunkte, ]
174: Eine wird eröffnet wenn ein Spieler; []
175: sich entschließt die Karte Zocken?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
176: Da bin ich dabei! während der Aktionsphase seines Zuges zu spielen.; []
177: Wenn eine beginnt wird das normale Spiel unter und jeder Spieler muss 1 Gold einsetzen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
178: Um dies zu tun muss er 1 Gold in die Mitte der Spielfläche legen.; [3173: Gemeinsames Spielfeld, ]
179: Sei vorsichtig dass dieses Gold nicht mit dem der Taverne durch einander; [8536: Aktionspunkte, ]
180: Der Spieler der die gestartet hat ist derzeit der Gewinner.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
181: Er hat die Kontrolle; []
182: Das Spiel geht im Uhrzeigersinn weiter.; []
183: In deinem Zug kannst du entweder eine oder spielen oder passen.; [3142: Verlierbedingung, 166903: Ankommen, ]
184: Zocken oder Karte spielen diese Karten an! sein!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
185: Das Spielen eines dieser beiden Kartentypen lässt dich die Kontrolle über diese übernehmen.; [1292: Zufall, 164466: Loswerden, ]
186: Auf oder steht unten im Text welche Arten von Karten sie übertrumpfen.; [1292: Zufall, ]
187: Du darfst eine Karte nur spielen falls sie die zuletzt gespielte Karte übertrumpfen kann.; [1292: Zufall, ]
