0: Die zwei Gewinner eines Stichs; []
16: Spieler hat die niedrigste Fremdfarbe blaue 2 gespielt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
17: Er bekommt die übrigen beiden Karten und eröffnet den nächsten Stich mit einer beliebigen Karte seiner Wahl.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
18: Seite 3; []
19: 6 Spieler; []
20: Karten in rot und gelb sowie Karten in grün und blau alle 84 Karten 5 Spieler Karten in rot und gelb sowie Karten in grün und blau 70 Karten; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
21: 4 Spielen Karten in rot und gelb sowie Karten in grün und blau 56 Karten; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
22: Es wird ein Kartengeber bestimmt.; [1292: Zufall, ]
23: Er mischt die Karten und teilt an alle Spieler verdeckt 14 Karten aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
24: Die Spieler nehmen ihre Karten auf die Hand.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
25: Spielablauf; []
26: Der Spieler links vom Geber spielt eine beliebige Karte aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
27: Mit dieser Karte wird ein Stich eröffnet ihre Farbe ist in diesem Stich die Trumpffarbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
28: Jede andere Farbe ist in diesem Stich eine Fremdfarbe.; [1292: Zufall, 8536: Aktionspunkte, ]
29: Die ausgespielte Karte wird so in die Tischmitte gelegt daß klar ersichtlich ist wer diese Karte aus gespielt hat und welches die Trumpffarbe in diesem Stich ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
30: Reihum legt nun jeder Spieler eine beliebige Karte aus seiner Hand dazu und zwar auch so daß man gut erkennen kann wer welche Karte gespielt hat.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
31: Die angespielte Trumpffarbe muß nicht bedient werden!; [1292: Zufall, ]
32: Allerdings dürfen in einem Stich maximal drei Farben vorhanden sein liegen von den Spielern zuvor schon Karten in drei verschiedenen Farben so dürfen nur noch Karten in diesen drei Farben gespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
33: Die vierte Farbe darf nicht mehr ausgespielt werden oder anders ausgedrückt drei von vier Farben müssen bedient werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
34: Seite 2; []
35: MIT LIST UND Ein Kartenspiel von Klaus Spieler; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
36: 4 6 Personen Alter ab 10 Jahren Spieldauer 30 Minuten Inhalt 84 Spielkarten; [1292: Zufall, 7090: Kooperative Spielform, ]
37: 6 Karten Spielanleitung; [1292: Zufall, 164466: Loswerden, ]
38: Spielbeschreibung; []
39: Einen Stich bekommt man nie allein.; []
40: Jeder Spieler versucht möglichst viele Karten in zwei Farben zu gewinnen und die Karten der bei den anderen Farben zu meiden.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
41: Nur die Karten von zwei Farben zählen Pluspunkte.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
42: Derjenige Spieler der in einer Runde die höchste Karte in der angespielten Farbe ausspielt darf sich als erster einige Karten des Stichs nehmen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
43: Derjenige Spieler der die niedrigste Karte in einer Fremdfarbe ausgespielt hat bekommt dann die übrigen Karten des Stichs.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
44: Die beiden Stichgewinner teilen sich also die Karten eines Stichs wobei es natürlich vorteilhaft ist sich als erster die Karten auszusuchen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
45: Wer die meisten Punkte erzielt gewinnt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
46: Spielvorbereitung; []
47: Je nach Anzahl der Spieler werden folgende Karten im Spiel benötigt die nicht benötigten Karten; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
48: wer den beiseite gelegt Seite 1; [1292: Zufall, ]
49: Besitzt ein Spieler nur Karten von einer einzigen Farbe so hat er 0 Punkte!; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
50: Besitzt ein Spieler nur Karten von zwei Farben so wird nicht durch 0 geteilt!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
51: Beispiele Spieler hat offen 5 grüne 6 rote und 3 gelbe Karten liegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
52: Dies ergibt 30 und nun 30 geteilt durch 3 ergibt 10 Punkte für Spieler Spieler hat offen 5 rote 4 blaue und 3 gelbe Karten liegen.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
53: Dies ergibt 20 und nun 20 geteilt durch 3 ergibt abgerundet; []
54: 6 Punkte für Spieler Chat offen 7 blaue und 8 grüne Karten gesammelt verdeckt liegen 4 Karten.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
55: Da er alle 4 Farben bekam mußten die Karten von 2 Farben verdeckt gelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
56: Dies ergibt 56 und nun 56 geteilt durch 4 ergibt 14 Punkte für Spieler hat offen 7 gelbe 1 rote und 1 blaue Karte liegen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
57: Dies ergibt 7 und nun 7 geteilt durch 1; [3173: Gemeinsames Spielfeld, ]
58: ergibt 7 Punkte für Spieler hat offen 3 grüne und 5 blaue Karten liegen.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
59: Dies ergibt 15 Punkte für Auf zur nächsten Runde; [8528: Siegpunkte, ]
60: Nachdem für jeden Spieler seine erreichten Punkte notiert wurden beginnt eine neue Runde.; [8528: Siegpunkte, 1492: Siegbedingung, ]
61: Neuer Geber wird der links vom vorherigen Geber sitzen de Spieler.; []
62: Es werden so viele durch geführt wie Spieler teilnehmen.; [1292: Zufall, 1492: Siegbedingung, ]
63: Der Spieler mit der höchsten Punktzahl hat gewonnen!; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
64: Seite 6; []
65: Ende einer Runde; []
66: Nach dem 14. Stich ist eine Runde zu Ende!; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
67: Eine Runde kann aber auch früher zu Ende sein wenn ein Spieler die 3 Farben die in einem Stich schon gespielt wurden nicht bedienen kann.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
68: In die Fall endet diese Runde sofort ohne daß die Karten dieses abgebrochenen Stichs und evtl. Karten die die Spieler noch besitzen in die Wertung kommen diese Karten sind wertlos.; [1292: Zufall, 8528: Siegpunkte, 73230: Symmetrische Startbedingung, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
69: Beispiel Spieler besitzt noch 2 blaue Karten.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
70: Gespielt wurden im aktuellen Stich schon rot grün und gelb.; [3173: Gemeinsames Spielfeld, ]
71: Da die vierte Farbe blau in einem Stich nicht gespielt werden darf Spieler somit nicht bedienen kann ist diese Runde sofort beendet.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
72: Die Wertung Jeder Spieler zählt die Anzahl seiner Karten in den Farben die er offen gesammelt hat und gegebenenfalls seine verdeckt liegenden Karten.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
73: Die Kartenanzahl der zwei Farben von denen man am meisten Karten hat werden miteinander multipliziert.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
74: Diese Summe wird nun durch die Kartenanzahl der beiden anderen Farben geteilt.; [1292: Zufall, 8536: Aktionspunkte, ]
75: Gegebenenfalls wird das Ergebnis abgerundet.; []
76: Also Die Kartenanzahl von zwei Farben werden miteinander multipliziert diese Summe; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
77: wird durch die restliche Kartenanzahl geteilt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
78: Seite 5; []
79: Haben mehrere Spieler gleichermaßen die niedrig Fremdfarbe gespielt erhält derjenige die übrigen Karten des Stichs der seine Karte zuerst gespielt hat.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
80: Die zwei Teilgewinner des Stichs nehmen die Karten an sich und legen die Karten offen nach Farben getrennt vor sich ab.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
81: So können alle Spieler erkennen wer welche Farben sammelt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
82: Den nächsten Stich eröffnet der Spieler der im Stich zuvor die niedrigste Fremdfarbe spielte Er spielt eine beliebige neue Karte aus ihre Farbe ist in diesem Stich die Trumpffarbe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
83: Besonderheit; []
84: Wurden nur Karten in der Trumpf; [1292: Zufall, ]
85: farbe gespielt nimmt sich der Spieler der die höchste Trumpffarbe spielte seine je nach Spielerzahl gewonnenen Karten wie bereits erklärt; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
86: Die übrigen Karten kommen nun ganz aus dem Spiel.; [1292: Zufall, 164466: Loswerden, ]
87: In diesem besonderen Fall eröffnet der Spieler der die höchste Trumpfkarte spielte den nächsten Stich.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
88: Sofort nachdem ein Spieler Karten von allen vier Farben besitzt muß er sich entscheiden welche zwei Farben; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
89: er sammelt und welche zwei Farben er nicht möchte.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
90: Er dreht einfach zwei Farbstapel um damit diese verdeckt liegen.; [1292: Zufall, 8536: Aktionspunkte, ]
91: Die beiden anderen Farbstapel bleiben weiterhin offen liegen.; [1292: Zufall, 8536: Aktionspunkte, ]
92: Erhält der Spieler im weiteren Verlauf des Spiels noch Karten in den zwei Farben die er verdeckt liegen hat so legt er diese Karten einfach verdeckt dazu.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
93: Seite 4; []
