0: Wettlauf gegen die Zeit; []
65: Wenn nach der Bewegung einer oder mehrerer die erste Karte einer Reihe eine verdeckte ist wird sie aufgedeckt.; [1292: Zufall, ]
66: Dadurch können vielleicht weitere Passagiere bewegt und weitere Karten aufgedeckt werden bis irgendwann keine Bewegung mehr möglich ist oder man keine mehr durchführen möchte.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
67: 2 Aktiv wer de muss ausgeführt werden; []
68: Entweder ein Akt ion; []
69: art spiel Man wählt eine seiner und führt ihren Effekt aus; []
70: wie auf Seite 8 beschrieben Danach wird sie abgeworfen.; [1292: Zufall, ]
71: sind mächtig.; []
72: Spielt sie zur rechten Zeit um so viele Passagiere wie möglich zu retten.; [8536: Aktionspunkte, ]
73: 4; []
74: Oder die Rettung der Passagiere vorbereiten Unter dem Porträt auf den steht eine Bandbreite; [8536: Aktionspunkte, ]
75: Es wird eine Anzahl von mindestens 1 und höchstens gewählt die man vom Passagier Stapel ziehen möchte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
76: Man muss die gewählte Anzahl an Karten ziehen ehe man sie sich ansieht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
77: Man darf sie sich also nicht einzeln ansehen und dann weitere Karten ziehen Es wird überprüft ob von den gezogenen Passagieren mindestens eine Karte nach den üblichen Bewegungsregeln für Passagiere gespielt werden kann.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
78: Zwei Situationen sind jetzt möglich; []
79: Mindestens einer der gezogenen Passagiere passt in eine Reihe oder eine Gruppe Überlebender; [1292: Zufall, ]
80: Wenn das der Fall ist muss genau eine Karte gespielt werden nicht mehr und nicht weniger; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
81: Die Karte wird auf den passenden Platz gespielt und die anderen werden abgelegt siehe Beispiel Keiner der gezogenen Passagiere passt in eine Reihe oder eine Gruppe Überlebender; [1292: Zufall, 3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
82: Die Rettungsaktion ist gescheitert!; []
83: In diesem Fall werden alle gerade gezogenen abgelegt und es wird auf die nächste Seite des umgeblättert.; [1292: Zufall, 7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, ]
84: Zum Ausgleich zieht man eine und legt sie vor sich ab.; [1292: Zufall, ]
85: Was passiert wenn ein Deck komplett vollgelaufen ist?; []
86: Wenn eine Seite umgeblättert wird und damit das letzte Abteil eines vollläuft bricht Panik aus noch bevor ein Spieler eine zum Ausgleich zieht; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
87: Die Passagiere fliehen zum Heck des Schiffs und bringen damit die Reihen in Unordnung; [8528: Siegpunkte, ]
88: Alle Passagier Karten vor dem Deck werden mit allen vor dem nächsten Deck gemischt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
89: Aus diesen Karten wird eine neue verdeckte Reihe vor dem letzten noch nicht Deck gebildet die natürlich länger ist als die beiden vorherigen Reihen.; [1292: Zufall, ]
90: Nur die oberste Karte der neuen Reihe wird aufgedeckt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
91: Wenn das Deck leer ist werden die des nächsten nicht gemischt.; [1292: Zufall, ]
92: Wenn ihr eine Seite des Buchs umblättert und damit ein Deck komplett vollläuft bringen die fliehenden Passagiere des die Reihe des nächsten in Unordnung.; [7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, ]
93: 5 Regeln für den und Man kann nie mehr ziehen als noch im Stapel vorhanden sind.; [1292: Zufall, 3142: Verlierbedingung, ]
94: Wenn der Stapel leer ist und ein Spieler ziehen möchte werden die im gründlich gemischt um aus ihnen einen neuen verdeckten Passagier Stapel zu bilden.; [1292: Zufall, 3142: Verlierbedingung, 3173: Gemeinsames Spielfeld, ]
95: Sobald dies geschieht wird auf die nächste Seite des umgeblättert.; [1292: Zufall, ]
96: Der Spieler am Zug zieht hierbei allerdings keine Sobald der leer ist wird der gemischt und als neuer verdeckter Stapel bereit gelegt.; [1292: Zufall, 164466: Loswerden, 3173: Gemeinsames Spielfeld, ]
97: Die abgelegten Karten in ihren jeweiligen Ablagestapeln dürfen zu keiner Zeit im Spiel durchgesehen werden.; [1292: Zufall, 164466: Loswerden, ]
98: End de Spiel; [164466: Loswerden, ]
99: Das Spiel geht Zug um Zug nach den oben genannten Regeln weiter bis ENTWEDER die letzte Seite des Buchs umgeblättert wird.; []
100: Dann versinkt das Schiff mit einem bedrückenden Ächzen in den eisigen Wellen des Ozeans und reißt dabei die letzten Passagiere mit sich in die Tiefe.; []
101: ODER der letzte Passagier in eine Gruppe Überlebender gelegt wird.; [1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
102: Herzlichen Glückwunsch!; [1292: Zufall, ]
103: Ihr habt alle Passagiere gerettet.; [164466: Loswerden, ]
104: Nun wird die erzielte Punktzahl ermittelt es; [8528: Siegpunkte, ]
105: besteht kein Zweifel; []
106: dass es beim nächsten Mal noch besser laufen wird!; []
107: Punk; []
108: wer tun; []
109: Die Punktzahl ergibt sich durch Addition der Karte mit dem höchsten Rang in jeder der bis zu vier Gruppen Überlebender da; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
110: es vier im Spiel gibt der Zahl auf der aktuellen Buchseite bei Spielende.; [1492: Siegbedingung, ]
111: der Anzahl an Karten in der größten zusammenhängenden mit einem in jeder Klasse siehe Beispiel Diese Punkte werden nur vergeben wenn alle Passagiere gerettet wurden.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
112: Beispiel 1; []
113: Das Schiff ging unter ehe alle Passagiere gerettet werden konnten.; [164466: Loswerden, ]
114: 19 von 60 Passagieren wurden gerettet.; []
115: Dies ist der Anteil an Überlebenden der dem historischen Untergang der Titanic entspricht.; []
116: Beispiel 2; []
117: Alle Passagiere wurden gerettet ehe die Titanic unterging.; [164466: Loswerden, ]
118: 60 Überlebende.; []
119: 5 zusammenhängende Anker in der 1. Klasse 3 zusammenhängende Anker in der 2. Klasse 2 Punkte für die Buchseite.; [8528: Siegpunkte, 1492: Siegbedingung, ]
120: 7; []
121: Die Crew erhält 19 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
122: 6; []
123: Die Crew erhält 70 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
124: Experte ten; []
125: Die Schwierigkeit des Spiels kann hochgeschraubt werden indem beim Aufbau vor die ersten vier jeweils 7 statt der normalen 4 6 8 10 gelegt werden.; [1292: Zufall, ]
126: Wenn das Spiel dann immer noch zu leicht ist kann der ultimative Modus gespielt werden und 10 8 6 4 vor die ersten vier gelegt werden.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
127: Fähig end; []
128: er Crew lied er William Erster Offizier; []
129: Wenn er die Rettung der Passagiere vorbereitet darf er; []
130: ALLE passenden Passagiere spielen.; []
131: Wenn er allerdings scheitert zieht er keine zum Ausgleich.; [1292: Zufall, ]
132: Lee Ausguck; []
133: Er zieht nie arten zum Ausgleich wenn er bei der Vorbereitung der Rettung der Passagiere scheitert.; [1292: Zufall, 8536: Aktionspunkte, ]
134: Joseph Vierter Offizier; []
135: Wenn er bei der Vorbereitung der Rettung der Passagiere scheitert zieht und behält er 2 Aktions Karten nach dem Umblättern; [1292: Zufall, 164466: Loswerden, ]
136: Harold Fünfter Offizier; []
137: Statt seines normalen Zugs kann er einzeln Karten vom abwerfen bis er einen Passagier mit Ankersymbol abwirft.; [1292: Zufall, ]
138: Dann können zwei Passagiere in unterschiedlichen Gruppen Überlebender die Plätze tauschen sofern sie derselben Klasse angehören und denselben Rang haben die Zahl auf der abgeworfenen spielt keine Rolle; [3142: Verlierbedingung, ]
139: Andrew Er zieht jedes Mal eine Aktions Karte wenn ein Spieler auch er selbst einen Passagier zu einer Gruppe Überlebender legt und dadurch eine neue Serie von genau 3 Passagieren mit Ankersymbol Ausguck; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 3173: Gemeinsames Spielfeld, ]
140: Wenn er bei der Vorbereitung der Rettung der Passagiere scheitert zieht er 3 behält 1 davon und wirft die anderen ab nach dem Umblättern für Spiele mit mindestens 2 Spielern.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
141: Edward John Smith Kapitän; []
142: Statt seines normalen Zugs kann er alle aller Spieler auch die eigenen beliebig neu unter den Spielern verteilen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
143: Dabei muss mindestens ein Spieler eine Aktions; [164466: Loswerden, 1492: Siegbedingung, ]
144: Karte bekommen die er davor nicht hatte.; [1292: Zufall, ]
145: Jack Funker; []
146: Wenn er eine spielt kann er statt einer eigenen eine Karte eines anderen Spielers spielen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
147: Herbert John Dritter Offizier; []
148: Wenn er bei der Vorbereitung der Rettung der Passagiere scheitert zieht er keine Dafür zieht er jedes Mal eine wenn ein Spieler scheitert.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
149: Charles Zweiter Offizier; []
150: Wenn er bei der Vorbereitung der Rettung der Passagiere scheitert darf er nach dem Umblättern sofort eine die er gerade gezogen hat spielen.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
151: 7 Akt; []
152: ion art Bereit machen!; []
153: 2 Karten Sieh dir die obersten 5 Karten des an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
154: Wenn der Stapel weniger als 5 Karten hat siehst du dir eben weniger an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
155: Du kannst diese Karten in beliebiger Reihenfolge auf und oder unter den Stapel legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
156: 3; []
157: Karten Durchsuche den und spiele sofort eine beliebige Karte daraus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
158: Mische den Stapel danach.; [1292: Zufall, ]
159: Wenn du keine Karte aus dem Stapel spielen kannst musst du eine Seite im Buch umblättern.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
160: Dabei darfst du KEINE nehmen.; [8536: Aktionspunkte, ]
161: Zurück; []
162: !; []
163: 3 Karten Durchsuche den Passagier Ablagestapel und spiele sofort eine beliebige Karte daraus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
164: Wenn du keine Karte aus dem Ablagestapel spielen kannst musst du eine Seite im Buch umblättern.; [1292: Zufall, 164466: Loswerden, 3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
165: Dabei darfst du KEINE nehmen.; [8536: Aktionspunkte, ]
166: Nach Ihnen!; []
167: 2 Karten Wähle eine Reihe.; [1292: Zufall, ]
168: Sieh dir alle Karten dieser Reihe verdeckte und aufgedeckte an und lege eine beliebige aufgedeckt als erste Karte der Reihe hin.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
169: Mische die anderen Karten der Reihe und lege sie verdeckt unter die erste Karte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
170: Gleichmäßig verteilen!; []
171: 2 Karten Wähle zwei Reihen; [1292: Zufall, 164466: Loswerden, ]
172: nicht das Brüchige; []
173: Boot Eine davon darf leer sein.; []
174: Sie müssen nicht benachbart sein.; []
175: Mische alle Karten beider Reihen verdeckt und teile sie gleichmäßig auf die beiden Reihen auf.; [1292: Zufall, 164466: Loswerden, ]
176: Bei einer ungeraden Zahl Karten legst du die letzte Karte in die Reihe die näher am Heck ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
177: Decke dann die erste Karte jeder Reihe auf.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
178: Die anderen verdeckten Karten darfst du dir nicht ansehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
179: Moment noch!; []
180: 2 Karten Lege alle aufgedeckten Karten einer Reihe auf den Passagier Ablagestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
181: Decke dann die erste der verbliebenen Karten der Reihe auf.; [1292: Zufall, 164466: Loswerden, 3173: Gemeinsames Spielfeld, ]
182: 1 Zeit gewinnen 1 Karte Mische den Passagier Ablagestapel zurück in den Ist der Passagier Stapel leer mischst du einfach nur den Ablagestapel und legst ihn als neuen bereit.; [1292: Zufall, 164466: Loswerden, ]
183: Blättere dabei; []
184: KEINE; []
185: Seite des Buchs um!; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
186: Plan 1; []
187: Karte Durchsuche den und lege eine beliebige Karte daraus vor dir ab.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
188: Mische dann den Plan 1 Karte Durchsuche den Aktions Ablagestapel und lege eine beliebige Karte daraus vor dir ab.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
189: Plan hat keinen Effekt wenn der leer ist.; []
190: Brüchiges Boot 1 Karte Lege diese Karte neben das Buch.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
191: Lege sofort eine beliebige Serie aufgedeckter Passagiere einer beliebigen Reihe auf diese Karte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
192: Diese Reihe funktioniert im Wesentlichen wie die anderen Reihen.; []
193: Wenn am Spielende aber noch Passagiere hierauf liegen zählen sie nicht als gerettet und werden auch nicht bei der berücksichtigt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
194: Sobald die Reihe auf dieser Karte leer ist wird die Karte abgeworfen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
195: Das Brüchige Boot wird ignoriert wenn ein Deck vollläuft oder wenn die Karte Gleichmäßig verteilen!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
196: gespielt wird.; []
197: Blinder Passagier; []
198: 1 Karte Karten können eine Zeit lang den Platz eines Passagiers eines beliebigen Rangs der jeweiligen Klasse einnehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
199: Die Karte des entsprechenden Rangs kann bewegt oder gespielt werden um den Blinden Passagier zu ersetzen; [1292: Zufall, 164466: Loswerden, ]
200: egal wo er liegt; []
201: Der Blinde Passagier wird dann auf den gelegt.; [3173: Gemeinsames Spielfeld, ]
202: Solange ein Blinder Passagier aufgedeckt im Spiel ist behält er seinen Rang und seine Klasse.; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
203: Ist er bei Spielende noch im Spiel gilt er für die Wertung als der Passagier dessen Platz er einnimmt.; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
204: 8; []
