0: Spiel 3; []
91: Helft und legt die bunten Steine in die farblich richtigen Löcher der Schafft ihr es bevor sie vom Bauern mit dem Traktor abgeholt wird?; [3173: Gemeinsames Spielfeld, ]
92: Nur gemeinsam könnt ihr dieses Spiel gewinnen!; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
93: Spielmaterial 4 1; []
94: Laufleiste; []
95: 1 Spielfigur in Gelb 20 Holzsteine 5 blaue 5 gelbe 5 5; [1292: Zufall, ]
96: grüne 1 Farbwürfel mit 6 Stickern Stern Blau Gelb Rosa Grün; [1292: Zufall, ]
97: Ziel des Spiels Spielvorbereitung Legt die und die Laufleiste in die Tischmitte.; [3173: Gemeinsames Spielfeld, ]
98: Stellt die Spielfigur auf das Startfeld mit dem Pfeil auf der linken Seite.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
99: Legt die Holzsteine und den Farb würfel gut erreichbar neben die Das Spiel beginnt; [1292: Zufall, ]
100: Es wird im Uhrzeigersinn gespielt.; [164466: Loswerden, ]
101: Der Spieler der zuletzt auf einem Bauernhof war beginnt und würfelt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
102: Hast du eine Farbe gewürfelt?; [1292: Zufall, 8536: Aktionspunkte, ]
103: Nimm einen Holzstein dieser Farbe und ihn in ein farblich passendes Loch auf einer Gibt es in dieser Farbe keinen Holzstein mehr ist dein Zug leider vorbei.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
104: Hast du den Stern gewürfelt?; [1292: Zufall, ]
105: Super!; []
106: Such dir einen Holzstein aus und ihn in ein farblich passendes Loch.; []
107: Hast du gewürfelt?; [1292: Zufall, ]
108: Dann auf der Laufleiste ein Feld in Richtung Traktor weiter.; [8536: Aktionspunkte, ]
109: Nun ist der im Uhrzeigersinn nächste Spieler an der Reihe.; []
110: Ende des Spiels; []
111: Das Spiel endet wenn alle Holzsteine in den farblich passenden Löchern auf den liegen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
112: Super!; []
113: Ihr habt das Spiel gemeinsam gewonnen! oder wenn am Traktor angekommen ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
114: Schade ihr habt es dieses Mal leider nicht geschafft alle Steine zu verteilen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
115: Spielt am besten gleich noch einmal!; []
116: 4; []
