0: IM 0 0 0 0 21 Hi Hi 0 00 0 0 0 21 Hi 0 0 0 0 0 15 HI IM 1 eh; []
60: Ist der Neuankömmling neutral zahlt der andere Spieler einen Chip in den Ist der andere neutral erhält der Ankommende einen Chip aus dem Topf.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
61: Landet ein auf einem Feld das; []
62: von zwei anderen besetzt ist erhält der Ankommende alle Chips aus dem und beendet damit sofort die Spielrunde.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
63: Ist der Ankömmling neutral endet die Runde ebenfalls sofort doch keiner der Spieler gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
64: 6.; []
65: Die Runde ist beendet wenn ein Spieler; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
66: den kassiert falls das niemandem gelingt wenn jeder bewegt wurde.; [1492: Siegbedingung, ]
67: Alle Spieler nehmen ihre wieder an sich.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
68: Der neue Meister der Sterne verteilt die neu auf dem Spielplan.; [3173: Gemeinsames Spielfeld, ]
69: Liegen im weniger Chips als Spieler mitspielen zahlt jeder einen Chip in den Topf.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
70: Dann beginnt eine neue Runde.; []
71: 7.; []
72: Gehen einem Spieler die Chips aus bleibt er trotzdem im Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
73: Er braucht so lange nichts zu zahlen bis er wieder Chips besitzt.; [164466: Loswerden, ]
74: Seine Schulden werden nicht angeschrieben.; []
75: Spielende; []
76: Das Spiel geht über mehrere Runden.; [164466: Loswerden, 1492: Siegbedingung, ]
77: Nachdem der dreimal geleert wurde kann das Spiel von jedem Spieler der den Topf in einer der folgenden Runden gewinnt beendet werden.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
78: Sieger ist der Spieler mit den meisten Chips.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
79: Nur wer glaubt daß er die meisten Chips besitzt wird das Spiel beenden.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
80: Wer sich nicht sicher ist läßt weiterspielen.; []
81: 4; []
82: Ein Denkspiel für beliebig viele Spieler war ursprünglich als zu gedacht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
83: Diesmal sind es sieben Himmelskörper die sich auf einer Umlaufbahn von 12 Feldern bewegen.; [8536: Aktionspunkte, ]
84: Auch 4 bunte sind auf der Umlaufbahn verteilt.; []
85: Sinn des Spieles ist es die Himmelskörper auf die Felder mit den zu ziehen Dafür gibt es Punkte.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
86: Zu Beginn jeder Runde wird geboten Jeder Spieler kann die Punktzahl die er glaubt erreichen zu können laut nennen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
87: Wer das höchste Angebot abgibt gewinnt das Recht des Erreicht der Spieler dann sein Angebot wird er reichlich belohnt aber wehe wenn er sein Angebot nicht erreicht...; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
88: Spielmaterial 1 Spielplan mit 12 Rückseite von Orbit; [3173: Gemeinsames Spielfeld, ]
89: 7 Himmelskörper 7 schwarze Würfel 4 2 mit roten Symbolen 2 mit schwarzen 1 Sanduhr; [1292: Zufall, ]
90: 1 Minute Laufzeit; [7090: Kooperative Spielform, ]
91: 72 hölzerne Chips; [164466: Loswerden, ]
92: Vor dem Spiel; []
93: Ein Spieler wird zum Meister der Sterne gewählt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
94: Seine Aufgabe ist es die erste Ausgangssituation zu schaffen.; []
95: In den folgenden Runden wird diese Rolle jeweils an den Spieler zur Linken weitergegeben.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
96: Die Chips werden griffbereit neben das Spielbrett gelegt sie bilden die Kasse.; [3173: Gemeinsames Spielfeld, ]
97: Der Ablauf einer Spielrunde 1.; []
98: Der Meister verteilt die 4 und die 7 beliebig auf die 12 Felder des Auf einem Feld können auch zwei oder mehr liegen aber nie mehr als ein Fixstern.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
99: 2. Dann wirft der Meister die 7 Würfel ins Schwarze Loch Mitte des und dreht die Sanduhr um Alle Spieler haben jetzt eine Minute Zeit um die Situation auf dem Spielfeld einzuschätzen und ihre Entscheidung zu treffen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
100: 3.; []
101: Bei der Einschätzung der Situation soll man folgendes berücksichtigen Später beim Ausspielen wird jeder einen Würfel tragen und entsprechend der Augenzahl in die eine oder andere Richtung ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
102: 5 Spielziel ist es die auf Felder mit zu ziehen bei einem roten Fixstern; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
103: erhält der Spieler 1 Punkt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
104: Landet ein bei einem schwarzen Fixstern erhält er 2 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
105: 4; []
106: Jeder Spieler überlegt also während dieser Minute wie er die 7 Würfel auf dia 7 verteilen könnte um möglichst viele Punkte zu erzielen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
107: Immer sind mehrere vernünftige Verteilungen der Würfel möglich; [1292: Zufall, 1492: Siegbedingung, ]
108: es gilt aber die beste zu finden.; [7090: Kooperative Spielform, ]
109: 5.; []
110: Sobald sich ein Spieler für eine Punktezahl entschieden hat während die Sanduhr noch läuft kann er diese Zahl laut nennen.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
111: kann er 10 rufen wenn er sieht daß 4 auf Feldern mit schwarzen landen könnten 4 2 Punkte und 2 Träger auf Feldern mit roten 2 1 Punkt Natürlich können während dieser Minute auch die anderen Spieler ohne bestimmte Reihenfolge Angebote rufen.; [8528: Siegpunkte, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
112: Die einzige Bedingung ist daß jedes neue Angebot höher sein muß als das vorherige.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
113: 6.; []
114: Ist die Sanduhr abgelaufen kann der Spieler der das höchste Angebot; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
115: ab gegeben hat die Runde ausspielen; [8528: Siegpunkte, 1492: Siegbedingung, ]
116: Er setzt jeden Würfel auf den den er dafür vorgesehen hat bis jeder im einen Würfel trägt.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
117: Dann zieht er jeden um so viele Felder nach rechts oder links wie der Würfel; [1292: Zufall, 8536: Aktionspunkte, ]
118: den er trägt es bestimmt.; [8528: Siegpunkte, ]
119: Gleich nach dem Zug nimmt er den Würfel wieder ab.; [1292: Zufall, ]
120: So ist leicht zu erkennen welcher schon gezogen wurde und welcher nicht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
121: 7.; []
122: Nachdem alle gezogen sind vergleicht man die erreichte Punktezahl mit der gebotenen der Spieler sein Angebot erreicht oder übertroffen erhält er aus der Kasse so viele wie sein Angebot lautete.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
123: Hat der Spieler sein Angebot nicht erreicht erhält er keine Chips und er darf in der nächsten Runde kein Angebot machen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
124: Alle anderen Spieler erhalten als Entschädigung 3 Chips aus der Kasse.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
125: Das Ende des Spiels; []
126: Das Spiel geht Runde um Runde weiter bis die Kasse nach einer Auszahlung weniger als 10 Chips enthält.; [164466: Loswerden, 1492: Siegbedingung, ]
127: Die restlichen Chips aus der Kasse bekommt der Spieler der zuletzt erfolgreich war sein Angebot erreicht hat Wer dann die meisten Chips besitzt hat gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
128: erschien 1984 unter dem gleichen Titel bei der Edition Perlhuhn Göttingen in einer kleinen liebevoll ausgestatteten Auflage.; []
129: 6; []
130: Ein wahres Denkspiel für beliebig viele Spieler enthält viele Elemente von ist aber obwohl nur 6 Himmelskörper in nur eine Richtung; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
131: ziehen so viel schwieriger daß sich vielleicht nur Spieler die schon beherrschen an dieses Spiel wagen sollten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
132: Der wichtigste Unterschied ist daß sich bei die Punkte summieren.; [8528: Siegpunkte, 1492: Siegbedingung, ]
133: Punkte gibt es nach jeder Bewegung eines So viele wie Träger nach dem Zug auf dem Jeder Zug wird einzeln gewertet.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
134: Das bedeutet daß die richtige Planung der entscheidend ist.; []
135: Wie bei bieten Spieler die die sie glauben erreichen zu können.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
136: Wer das höchste Angebot abgibt darf ausspielen.; [8528: Siegpunkte, ]
137: Erreicht er dann sein Angebot erhält er von jedem Mitspieler einen Chip.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
138: Erreicht er es nicht muß er jedem Mitspieler einen Chip abgeben.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
139: Spielmaterial Spielplan mit 12 Feldern Rückseite von Orbit; [3173: Gemeinsames Spielfeld, ]
140: 6 Himmelskörper in 6 Farben außer schwarz 6 schwarze Würfel; [1292: Zufall, ]
141: 1 Sanduhr 100 hölzerne Chips; [1492: Siegbedingung, ]
142: Vor dem Spiel Jeder Spieler erhält doppelt so viele Chips wie Spieler mitmachen plus 2 Chips mehr.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
143: Bei 5 Spielern erhält jeder 12 Chips 2 5 2; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
144: Die restlichen Chips werden in die Schachtel zurückgelegt.; [1292: Zufall, ]
145: Bei mehr als 6 Spieler werden zusätzliche Chips benötigt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
146: Dann wird ein Spieler zum Meister der Sterne gewählt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
147: Seine Aufgabe ist die erste Ausgangssituation aufzubauen.; [166903: Ankommen, ]
148: In den folgenden Runden diese Rolle jeweils an den Spieler zur Linken weitergegeben.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
149: Spielablauf einer Runde 1; [8528: Siegpunkte, ]
150: Der Meister verteilt die 6 nach Belieben auf den 12 Feldern des Auf einem Feld dürfen auch mehrere Träger stehen.; []
151: 2.; []
152: Dann wirft der Meister die 6 Würfel in die Mitte des und dreht die Sanduhr um.; [1292: Zufall, 8536: Aktionspunkte, ]
153: Die Spieler haben nun eine Minute Zeit um die Situation auf dem Spielplan zu bewerten und eine Entscheidung zu treffen.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 7090: Kooperative Spielform, ]
154: 7 3.; []
155: Um die Situation sinnvoll einschätzen zu können müssen die Spieler aber folgendes klar verstanden haben Daß das Spielziel ist möglichst viele auf einem Feld zu versammeln daß beim Ausspielen jeder einen Würfel tragen wird und daß jeder Träger entsprechend der des Würfels im Uhrzeigersinn ziehen wird daß man nach jedem Zug eines Punkte erhält.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
156: Landet ein Träger auf einem leeren Feld; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
157: 1 Punkt landet er auf einem Feld mit einem anderen Träger; [8528: Siegpunkte, ]
158: 2 Punkte landet er auf einem Feld mit zwei anderen Trägern 3 Punkte usw.; [8528: Siegpunkte, 1492: Siegbedingung, ]
159: Jede Bewegung wird einzeln gewertet und die Punkte aufaddiert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
160: landen drei nacheinander auf dem gleichen Feld erhält der erste 1 Punkt der zweite 2 Punkte der dritte 3 zusammen also 6 Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
161: Daß es wichtig ist die Reihenfolge der Züge vorauszusehen.; []
162: Man sollte vermeiden daß ein auf ein besetztes Feld ziehen sollte dieses aber zum Zeitpunkt des Zuges schon wieder leer ist.; [1292: Zufall, 8528: Siegpunkte, 166903: Ankommen, ]
163: 4; []
164: Während dieser Minute überlegen die Spieler welche Würfel sie welchen zuordnen sollen in welcher Reihenfolge sie die ziehen werden wie viele Punkte sie dadurch erzielen können.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
165: Hinweis; []
166: Sehen Sie sich zur Verdeutlichung der Problemstellung das Beispiel und die Aufgaben zu an ab Seite; [7090: Kooperative Spielform, ]
167: 10. 5; []
168: Hat sich ein Spieler für eine Punktezahl entschieden während die Sanduhr; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
169: noch läuft so sagt er diese laut an.; []
170: Alle anderen Spieler können ebenfalls während dieser Minute ohne eine bestimmte Reihenfolge einzuhalten ihre Angebote rufen und ein Spieler kann auch mehrere Angebote machen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
171: Einzige Bedingung Jedes; [1492: Siegbedingung, ]
172: neue Angebot muß höher sein als das vorherige.; []
173: 6.; []
174: Wer nach Ablauf der Sanduhr die höchste Punktzahl angesagt hat darf die Runde ausspielen; [8528: Siegpunkte, 1492: Siegbedingung, ]
175: Der Spieler verteilt zunächst die 6 Würfel auf die 6 Dann zieht er die Träger im Uhrzeigersinn wie es die Würfel bestimmen und natürlich in der Reihenfolge die er sich ausgedacht hat.; [1292: Zufall, 8536: Aktionspunkte, ]
176: Gleich nach dem Zug nimmt der Spieler den Würfel wieder vom ab.; [1292: Zufall, ]
177: So ist leicht zu erkennen welcher Träger schon gezogen wurde und welcher nicht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
178: Nach jedem Zug wird die erreichte Punktezahl aufgeschrieben; [8528: Siegpunkte, 1492: Siegbedingung, ]
179: es ist die Anzahl der; []
180: die nach dem Zug auf dem Landefeld stehen 7. Haben alle; []
181: ihren Zug beendet vergleicht man die erzielte Punktzahl mit der gebotenen Hat der Spieler sein Angebot erreicht oder übertroffen erhält er einen Chip von jedem Mitspieler.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
182: Hat er sein Angebot nicht erreicht muß er jedem Mitspieler einen Chip zahlen.; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
183: Außerdem darf er in der nächsten Runde nicht mitbieten.; []
184: 8; []
185: Trotz dieser Zwangspause aber wird er am Ende der nächsten Runde je nach Aus gang einen Chip zahlen oder erhalten.; [8528: Siegpunkte, 1492: Siegbedingung, ]
186: Spielende; []
187: Es gibt verschiedene Möglichkeiten.; [8528: Siegpunkte, ]
188: Das Spiel endet wenn jeder Spieler einmal Meister der Sterne war oder wenn eine vereinbarte Spieldauer abgelaufen ist 30 Minuten oder wenn ein Spieler keine Chips mehr hat oder wenn ein Spieler sein Startkapital verdoppelt hat.; [8528: Siegpunkte, 73230: Symmetrische Startbedingung, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
189: Da das Spiel spannend aber sehr anstrengend ist sollte es jedenfalls nicht länger als 30 bis 40 Minuten dauern.; []
190: Der Spieler der am Ende die meisten Chips besitzt ist Sieger.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
191: war unter dem gleichen Titel schon in den Jahren auf dem Markt.; []
192: Der Otto Maier Verlag veröffentlichte es in der berühmten Solitaire Hauptsächlich zu Ihrem Vergnügen aber auch um Ihnen zu helfen ein starker zu werden finden Sie auf den folgenden Seiten 20 interessante sind nie schwierig; [7090: Kooperative Spielform, ]
193: Die Schwierigkeit entsteht durch die Zeitnot und auch durch die Vorstellungskraft die man für jede neue Situation benötigt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
194: Bei den folgenden Aufgaben können Sie aber ruhig und ohne jeden Druck jede der Situationen betrachten und bewerten und sich so an das Spielgefühl von gewöhnen.; [8536: Aktionspunkte, ]
195: Bemühen Sie sich aber trotzdem die Aufgaben so rasch wie möglich zu lösen.; [3173: Gemeinsames Spielfeld, ]
196: Ein Wort über die Zeitnot.; []
197: Eine gute ist es nach jedem Würfelwurf so schnell wie möglich eine erste leicht erreichbare Punktezahl zu bieten 131 oder 14! und dann erst anfangen richtig zu rechnen.; [1292: Zufall, 8528: Siegpunkte, 73230: Symmetrische Startbedingung, 7090: Kooperative Spielform, ]
198: Denn eine Minute ist eine kurze Zeit aber auch eine lange für den der sie bewußt und ohne Atemnot zu benützen weiß...; []
199: Die Lösungen der Aufgaben auf Seite 16 sind alle nach dem gleichen Schema aufgebaut.; [7090: Kooperative Spielform, ]
200: Sie zeigen Welcher Würfel Pfeil auf welche Figur zu legen ist.; [1292: Zufall, ]
201: Die Reihenfolge der Züge von oben nach unten Das Punktergebnis in Klammern für jeden Zug.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
202: In einigen Aufgaben gibt es mehr als einen Weg die höchste Punktezahl zu erreichen gezeigt wird aber nur eine Lösung.; [8528: Siegpunkte, 1492: Siegbedingung, ]
203: 9; []
204: Ein Beispiel Die sind verteilt die Würfelaugen liegen vor.; [1292: Zufall, ]
205: Die Lösung Bestmögliche 16 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
206: Die Verteilung der Würfel; [1292: Zufall, ]
207: Die Zugreihenfolge; []
208: Die Punkte Violett; [8528: Siegpunkte, ]
209: 2 1. Violett 3; []
210: Gelb 3 2; []
211: .; []
212: Gelb 4 Orange; []
213: 4 3. Orange 2; []
214: Blau; []
215: 5 4 Blau; []
216: 5 Rot 4; []
217: 5.; []
218: Rot 1 Grün; []
219: 5 6.; []
220: Grün 1; []
221: Alex Text Alex und Wolf Grafik Franz Vohwinkel 1993; []
222: Co Stuttgart; []
223: Das Spiel einschließlich aller seiner Teile ist urheberrechtlich geschützt.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
224: Jede Verwertung außerhalb der engen Grenzen des ist ohne Zustimmung des Verlages unzulässig und strafbar.; [8528: Siegpunkte, 1492: Siegbedingung, ]
225: Das gilt insbesondere für Übersetzungen und die und Verarbeitung in elektronischen Systemen.; []
226: 10 Erreichbar; []
227: 21 Punkte Erreichbar 13 Punkte Erreichbar 15 Punkte Erreichbar 17 Punkte; [8528: Siegpunkte, ]
