0: 1 von Alter ab; []
31: es dein viertes Kissen ins Bett zu schleudern ohne dabei eine deiner Figuren von einem zu werfen ist das Spiel beendet und du hast gewonnen.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
32: Bis zum nächsten Spiel trägst du nun den Titel Bester Kissenwerfer Schleuderst du dein zweites oder drittes Kissen ins Bett stellst du entsprechend deine zweite oder dritte Figur auf einen Auf einem dürfen mehrere Figuren stehen auch mehrere von einem Spieler.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
33: Beispiel Teddy hat zwei Kissen im Bett liegen und daher zwei Figuren auf den Schweinchen hat schon drei Kissen im Bett und daher drei Figuren auf den Landet dein Kissen nicht im Bett nimmst du es wieder zu dir.; [3173: Gemeinsames Spielfeld, ]
34: Du darfst dann auch keine Figur auf einen stellen.; [3173: Gemeinsames Spielfeld, ]
35: Du hast immer nur einen Versuch danach ist der nächste Spieler an der Reihe.; [164466: Loswerden, 1492: Siegbedingung, ]
36: Volltreffer!; []
37: Es kann passieren dass du mit dem Kissen eine Figur auf einem triffst so dass diese herunterfällt.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
38: Der Besitzer der Figur nimmt sie wieder zu sich und muss außerdem eines seiner Kissen wieder aus dem Bett nehmen und vor sich ablegen.; [3173: Gemeinsames Spielfeld, ]
39: Beim Spielen der werdet ihr sicherlich bemerkt haben dass die Kissen nicht immer gleich weit fliegen.; []
40: Mal landen sie deutlich vor dem Bett mal fliegen sie im hohen Bogen bis auf die andere Tischseite.; []
41: Und nur wenn alles gut geht fliegen die Kissen in einem schönen Bogen direkt ins Bett.; []
42: Habt ihr eine Idee woran das liegen könnte?; []
43: Machen wir doch einmal gemeinsam einen Versuch und nehmen dazu eine Wippe und ein Kissen.; [7090: Kooperative Spielform, ]
44: 1.; []
45: Versuch; []
46: Unterschied lich stark drücken Zuerst schauen wir wie weit das Kissen fliegt wenn wir unterschiedlich stark auf die Wippe drücken.; []
47: Legt dafür bitte das Kissen immer ganz an das Ende der langen Wenn ihr nun leicht auf die Wippe drückt wird das Kissen nur in einem kleinen Bogen fliegen und schon sehr schnell wieder auf dem Tisch landen.; [3173: Gemeinsames Spielfeld, ]
48: Drückt ihr deutlich stärker fliegt das Kissen höher und weiter.; []
49: Aber bitte nicht übertreiben sonst müsst ihr das Kissen noch hinter dem Sofa hervorholen oder eure Eltern ganz oben im Regal suchen lassen.; []
50: Wie ihr bei diesem Versuch seht könnt ihr das Kissen weiter und höher fliegen lassen je kräftiger ihr auf die Wippe drückt.; [8536: Aktionspunkte, ]
51: Ihr habt etwas Vergleichbares vielleicht schon einmal im Zirkus gesehen wenn ein Artist durch eine Wippe von seinen Freunden hoch in die Luft geschleudert wird.; []
52: Soll der Artist höher fliegen springen gleich zwei seiner Freunde zusammen auf die Wippe damit sie schwerer sind und stärker drücken können!; [7090: Kooperative Spielform, ]
53: 5 2. Versuch; [7090: Kooperative Spielform, ]
54: Das Kissen auf verschiedene Stellen der Wippe legen; [3173: Gemeinsames Spielfeld, ]
55: Nun wollen wir ausprobieren ob das Kissen anders fliegt wenn es nicht an das Ende der Wippe gelegt wird.; []
56: Dazu legt ihr das Kissen bitte bei jedem ein Stück weiter weg vom Ende der Wippe also immer näher zur Mitte.; [1492: Siegbedingung, ]
57: Für diesen Versuch ist es wichtig dass ihr immer möglichst gleich stark auf die Wippe drückt!; [7090: Kooperative Spielform, 8528: Siegpunkte, ]
58: Und was könnt ihr dabei feststellen?; []
59: Je weiter das Kissen in Richtung Mitte gelegt wird desto niedriger und kürzer fliegt es durch die Luft!; []
60: Die Erklärung ist ganz einfach; []
61: Wenn ihr das Kissen an das Ende der Wippe legt kann es den meisten Schwung bekommen und weiter fliegen.; [1492: Siegbedingung, ]
62: Wenn es aber weiter in die Mitte gelegt wird und ihr immer gleich stark auf die Wippe drückt bekommt es nicht mehr so viel Schwung und landet dadurch schneller wieder auf dem Tisch.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
63: Damit das Kissen in diesem Versuch immer gleich weit fliegen kann müsst ihr immer stärker auf die Wippe drücken je weiter das Kissen in Richtung der Mitte der Wippe gelegt wird.; []
64: Viel Spaß beim Ausprobieren und Spielen wünscht euch der kleine; [3173: Gemeinsames Spielfeld, ]
