0: Spieler; []
68: Die Minuspunkte werden von den abgezogen Der Spieler mit dem besten Punktergebnis Summe ist Sieger.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
69: Beispiel in hat alle Zahlen bis auf die 4 mit sei er Strecke er reicht.; [164466: Loswerden, ]
70: Für die Zahlen 3 6 8 und 9 hat er die volle Punk erhalten da er die zuerst vor den Mit spiel er reicht hat.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
71: Für die Zahlen 2 5 7 und 10 hat er nur die ha Punk erhalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
72: hat so mit 39 Plus punk erzielt.; []
73: Zehn Felder hat nicht mit seine Strecke erreicht da macht 10 Min punkte.; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
74: Gesa lautet somit 29 Punkte 39 10 29 Solospiel; [8528: Siegpunkte, ]
75: Der Spielablauf bleibt gen aus wie bereits beschrieben es werden alle 15 Karten einzeln nacheinander aufgedeckt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
76: Die Punkt wertung ändert sich wie folgt; [8528: Siegpunkte, 1492: Siegbedingung, ]
77: Der Spieler bekommt für jede er reichte Zahl nur dann die volle Punktzahl wenn er zuvor noch keine höhere Zahl erreicht hat; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
78: andern fall erhält er nur die halbe Punktzahl.; [8528: Siegpunkte, 1492: Siegbedingung, ]
79: Beispiel Tim er reicht zunächst die 4 und bekommt 4 Punkte; [8528: Siegpunkte, 1492: Siegbedingung, ]
80: An schließ end er reich er die 7 und bekommt 7 Punk; []
81: Als nächste erreicht er die 5.; [7090: Kooperative Spielform, ]
82: Da er bereit seine höhere Zahl als 5 erreicht hat die 7 bekommt er nur die halbe Punktzahl also 3 2 5 aufgerundet; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
83: Als nächste erreicht er die 9 und bekommt 9 Punkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
84: Er 40 Punkte sind super; [8528: Siegpunkte, 1492: Siegbedingung, ]
85: ! GmbH 3 bach http; []
