0: Schmidt; []
21: Die werden zusammengesteckt und am Rand bereitgehalten.; []
22: Das große Startplättchen mit 5 Feldern wird in der Tischmitte platziert.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
23: Es zeigt alle 5 Landschaftstypen die in dem Spiel vorkommen Moor Wald Berg Dorf und Wiese.; [3142: Verlierbedingung, ]
24: 1 Beginnend mit dem Startspieler wird reihum im Uhrzeigersinn gespielt.; []
25: Ein Spieler führt in seinem Zug folgende Aktionen in genau dieser Reihenfolge aus 1; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
26: Ein Plättchen aufdecken und anlegen 2 Spielfiguren platzieren optional 3; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
27: Gegebenenfalls Gebiete werten 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
28: Ein Plättchen aufdecken und anlegen; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
29: Der Spieler am Zug deckt ein Plättchen vom Nachziehstapel auf und muss es an bereits ausgelegte Plättchen anlegen zu Beginn des Spiels liegt; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
30: nur das Start plättchen aus; []
31: Das Plättchen kann beliebig gedreht werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
32: Es sind folgende zu beachten; []
33: Kein Plättchen darf andere Plättchen überdecken.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
34: ausliegenden Landschaftstyp angelegt werden und dieses Gebiet damit vergrößern.; [1492: Siegbedingung, ]
35: Kanten des neuen Plättchens müssen an beliebige Kanten angelegt werden.; [1292: Zufall, ]
36: Gebiet mit gleichem Landschaftstyp vergrößert werden.; []
37: Als Zeichen dass das Gebiet abgeschlossen ist wird ein auf das Feld mit der gestellt.; [3173: Gemeinsames Spielfeld, ]
38: Gelingt es einem Spieler mit dem Anlegen eines Plättchens 2 unterschiedliche zu vergrößern siehe bekommt er sofort 1 Münze aus dem allgemeinen Vorrat.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
39: Wird bestehendes Gebiet erweitert siehe Beispiel oder 2 Gebiete miteinander verbunden siehe Beispiel so gibt es keine Münze.; [1492: Siegbedingung, ]
40: Gelingt es einem Spieler mit einem Plättchen gleichzeitig 3 unterschiedliche Gebiete zu vergrößern siehe Beispiel bekommt er sofort 2 Münzen aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
41: Mindestens ein Landschaftstyp Gebiet des neuen Plättchens muss an einen gleichen bereits Beispiele Falsch Wald wird nicht an Wald angelegt.; []
42: Falsch Wald wird zwar an Wald angelegt aber das neue Plättchen liegt nur mit einer Kante an.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
43: Richtig Berg wird an Berg angelegt.; []
44: Insgesamt liegen 3 Kanten an.; []
45: Ein Gebiet das bereits ein Hinweis; [8536: Aktionspunkte, ]
46: Beim Anlegen eines Plättchens mit hat der Spieler noch die Möglichkeit auf das eine eigene Spielfigur einzusetzen.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
47: Beispiel Falsch; []
48: Da die Wiese blau umrandet mit abgeschlossen ist darf an diese Wiese kein weiteres angelegt werden.; [8536: Aktionspunkte, ]
49: Nach dem Anlegen überprüft der Spieler wie viele bereits bestehende Gebiete vergrößert wurden ADa; [164466: Loswerden, 1492: Siegbedingung, ]
50: 2 Gebiete Berg und Wiese erweitert werden erhält der Spieler 1 Münze.; [8528: Siegpunkte, 1492: Siegbedingung, ]
51: 2 Wiesenfelder werden an die Wiese korrekt angelegt der Spieler bekommt dafür aber keine Münze da nur 1 Gebiet vergrößert wurde.; [8528: Siegpunkte, 1492: Siegbedingung, ]
52: Das neu gelegte Feld mit Berg verbindet 2 bereits bestehende mit einander.; []
53: Dafür bekommt der Spieler keine Münze.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
54: Da das neue Plättchen 3; [8528: Siegpunkte, 1492: Siegbedingung, ]
55: verschiedene Gebiete Dorf Wiese und Berg erweitert bekommt der Spieler 2 Münzen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
56: In extrem seltenen Fällen kann es Vorkommen dass ein Spieler sein Plättchen nicht anlegen kann.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
57: In dem Fall wird das Plättchen unter den Stapel gelegt und der Spieler zieht ein neues Plättchen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
58: 2 Spielfigur platzieren optional; []
59: Der Spieler am Zug kann nun bis zu 3 seiner noch vor ihm stehenden Spielfiguren egal welcher Größe auf dem eben ausgelegten Plättchen platzieren.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
60: Pro Feld ist nur eine Spielfigur möglich.; [8536: Aktionspunkte, ]
61: Setzt er nur eine einzige Figur ein so ist dies sofern sich auf dem entsprechenden Gebiet noch keine weitere Figur egal welcher Farbe befindet.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
62: Für jede Spielfigur die sich in dem entsprechen den Gebiet bereits befindet muss 1 Münze in den allgemeinen Vorrat gelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
63: Dies gilt auch für eigene Figuren.; [8536: Aktionspunkte, ]
64: Möchte der Spieler weitere Figuren einsetzen so kann er diese nur noch auf den beiden übrigen Feldern seines Plättchens platzieren.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
65: Für jedes weitere Feld das er mit einer Figur besetzen will muss er jedoch 1 Münze in den allgemeinen Vorrat legen.; [8536: Aktionspunkte, ]
66: Für eventuell bereits in diesem Gebiet Figuren zahlt er zusätzlich Münzen entsprechend deren Anzahl.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
67: Setzt ein Spieler seine Spielfigur auf ein Feld mit Kapelle geht er mit seinem sofort 3 Punkte auf der Wertungstafel vorwärts.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
68: Seine Spielfigur bleibt auf dem stehen.; [3173: Gemeinsames Spielfeld, ]
69: Beispiele Carsten erweitert mit seinem Plättchen die Gebiete Berg und Dorf das bringt ihm 1 Münze.; [8528: Siegpunkte, 1492: Siegbedingung, ]
70: Anschließend setzt er eine kleine Figur auf die Wiese und eine weitere kleine Figur auf das Dorf mit Flagge.; [7090: Kooperative Spielform, ]
71: Für die zweite Figur muss er 1 Münze bezahlen.; []
72: Achtung werden Spielende gewertet auch wenn anderen Gebieten umschlossen sind.; [1492: Siegbedingung, ]
73: Das bedeutet dass einmal dort Spielfiguren von einem Spieler kein weiteres Mal verwendet werden können!; [8536: Aktionspunkte, ]
74: Wertung; []
75: Wenn ein Gebiet gewertet wird wird zunächst ermittelt welcher Spieler in dem Gebiet die Mehrheit besitzt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
76: Die Figuren haben dabei unterschiedliche Werte Befinden sich in einem Gebiet mehrere Figuren eines Spielers so addieren sich die Werte dieser Figuren.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
77: In allen Gebieten ohne die Flagge gibt es nur für den Spieler der die Mehrheit in diesem Gebiet hat pro Feld 1 Punkt Ausnahme Moor Sofern; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
78: sich in dem Gebiet mindestens 1 Flagge befindet ändern sich die Punkte und es gibt auch für den Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
79: Ronald erweitert die Wiese und erhält keine Münze da nur ein Gebiet erweitert wird.; [8528: Siegpunkte, 1492: Siegbedingung, ]
80: Er setzt eine lange schmale Figur auf die Wiese.; []
81: Diese wäre grundsätzlich kostenfrei da aber bereits eine Figur blau auf der Wiese steht muss er trotzdem 1 Münze bezahlen.; []
82: Für die zweite Figur klein die er in den Wald setzt muss er noch eine weitere Münze bezahlen.; []
83: Nina erweitert mit ihrem Plättchen die Gebiete Wald und Wiese das bringt ihr 1 Münze.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
84: Dann setzt sie kostenfrei eine kleine Figur auf das mit der Kapelle dafür erhält sie sofort 3 Punkte auf der Wertungstafel.; [8528: Siegpunkte, 1492: Siegbedingung, ]
85: Zusätzlich setzt sie noch eine lange schmale Figur in den Wald das kostet sie 2 Münzen 1 Münze für das weitere Feld sowie 1 Münze für die gelbe Figur; [8536: Aktionspunkte, ]
86: die bereits im Wald steht Marie erweitert Berg und Wiese.; []
87: Dafür bekommt sie 1 Münze.; [1492: Siegbedingung, ]
88: Mit der Flagge mehr dazu später hat sie das große aufgewertet.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, ]
89: Deshalb setzt sie auch ihre große dicke Figur auf die Wiese.; []
90: Da bereits 2 Figuren auf der Wiese stehen gelb und blau muss sie dafür 2 Münzen bezahlen.; []
91: 3; []
92: Gegebenenfalls; []
93: Gebiete werten; []
94: Am Ende des Zuges werden Gebiete gewertet wenn ein 1 in ein Gebiet gesetzt wurde.; [1492: Siegbedingung, ]
95: ein Gebiet nicht mehr vergrößert werden kann weil es von anderen Plättchen umschlossen ist.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
96: Nach einer Wertung werden alle Figuren des gewerteten Gebietes in den Pub gestellt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
97: Mit werden erst bei Spielende gewertet.; [8528: Siegpunkte, 1492: Siegbedingung, ]
98: Auf befinden sich keine Flaggen.; [3173: Gemeinsames Spielfeld, ]
99: Der Spieler mit der Mehrheit erhält 2 Punkte pro Feld.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
100: Der Spieler mit dem zweit höchsten Wert erhält 1 Punkt je Feld.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
101: 1 Wertung; []
102: Punkte für Mehrheit Punkte für Im Spiel Phase 3; [8528: Siegpunkte, 1492: Siegbedingung, ]
103: Gebiete werten und am Spielende 1 pro Feld 2 pro Feld 1 pro Feld 3 pro Feld 1 pro Feld; [1492: Siegbedingung, ]
104: Nur am Spielende nr an 2 pro Feld 1 pro Feld; [8536: Aktionspunkte, 1492: Siegbedingung, ]
105: Bei Gleichstand bei Platz 1 werden die Punkte für den 1. und 2. Platz addiert und die Gesamtsumme aller Felder unter den betreffenden Spielern aufgeteilt es wird aufgerundet.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
106: In diesem Fall entfällt die Wer für dahinter liegende Spieler.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
107: Hat bei einem Gebiet mit Flagge genau ein Spieler die Mehrheit und mehrere Spieler den Wert so teilen sich diese Spieler die Punkte für dieses Gebiet 1 Punkt pro Feld beim Teilen wird aufgerundet Gibt es in einem Gebiet mit Fahne keinen so werden die Punkte für den zweiten Platz nicht vergeben.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
108: Die Spieler bewegen ihre Marker um die gewonnenen Punkte auf der Wertungstafel vorwärts.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
109: Pub; []
110: Figuren die durch das Abschließen und Werten eines Gebietes vom Spielfeld entfernt werden kommen nicht zu den Spielern zurück sondern werden in den Pub gestellt.; [3173: Gemeinsames Spielfeld, ]
111: Jeder Spieler kann unmittelbar nach dem Anlegen des Plättchens und evtl. Erhalt von Münzen alle seine dort platzierten Spielfiguren gegen Abgabe von 1 Münze nehmen vor sich ablegen und gegebenenfalls auch gleich auf das angelegte Plättchen einsetzen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
112: Hinweis; []
113: Es ist zu beachten dass in der durch geschicktes Platzieren eines Plättchens Gebiete Spieler zu einer Wertung gezwungen werden können bevor deren zu groß wird.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
114: Umgekehrt kann es auch Sinn machen eigene Gebiete durch entsprechendes Platzieren eines Plättchens frühzeitig zu werten wenn etwa wieder dringend Spielfiguren benötigt werden oder zu befürchten ist dass andere Spieler durch Abgabe von Münzen die Mehrheit in diesem Gebiet übernehmen könnten.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
115: Beispiele; []
116: Carsten legt Berg an Berg.; [1292: Zufall, ]
117: 1 Spielfigur setzt er kostenfrei auf den Berg.; [1292: Zufall, ]
118: Da aber bereits eine grüne Figur in dem Gebiet steht muss er dafür 1 Münze in den allgemeinen Vorrat abgeben.; [1492: Siegbedingung, ]
119: Durch das wird der Berg abgeschlossen.; []
120: Da die lange blaue Figur höherwertig ist als die kleine grüne Figur bekommt Carsten; []
121: 3 Punkte für die 3 Anschließend stellt er ein auf das An diesen Berg darf nun kein mehr angelegt werden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
122: Anschließend werden seine lange blaue und die kleine grüne Figur in den Pub gestellt.; [3173: Gemeinsames Spielfeld, ]
123: Ronald legt ein perfekt passendes Plättchen an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
124: Wiese an Wiese Dorf an Dorf und Wald an Wald.; []
125: Dafür erhält er 2 Münzen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
126: Da er keine große dicke Figur mehr hat setzt er auf die Wiese eine kleine Figur was ihn; [3142: Verlierbedingung, ]
127: 3 Münzen kostet bereits 3 Figuren im Gebiet; [8536: Aktionspunkte, ]
128: Die lange schmale Figur kostet ihn weitere 2 Münzen 1 Münze für das weitere Feld sowie 1 Münze weil in dem Dorf; [8536: Aktionspunkte, ]
129: schon 1 Figur steht Da; [7090: Kooperative Spielform, ]
130: die angelegte Wiese ein zeigt wird dieses Gebiet sofort gewertet.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
131: Gelb und Rot sind auf der Wiese mit je 3 Punkten gleich stark vertreten so dass die Punkte für Platz 1 und 2 addiert werden.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
132: Jedes der 6 Wiesenfelder ist somit; [1492: Siegbedingung, ]
133: 2 1 3 Punkte wert was 6 3 18 Punkte für die komplette Wiese bedeutet.; [8528: Siegpunkte, ]
134: Diese Punkte teilen sich nun Rot und Gelb jeweils also 9 Punkte Blau bekommt für die Wiese keine Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
135: Das ebenfalls er Dorf kann nicht weiter vergrößert werden.; [8536: Aktionspunkte, ]
136: Es gilt damit auch als abgeschlossen und wird gewertet.; [1492: Siegbedingung, ]
137: Gelb erhält dafür 3 3 9 Punkte und Blau 3 1 3 Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
138: Anschließend kommen die beiden blauen die große rote und die drei an der Wertung beteiligten gelben Figuren in den Pub.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
139: Das Spiel endet wenn alle Plättchen angelegt sind.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
140: Alle Gebiete die noch nicht gewertet wurden also auch die werden nun gewertet.; [8528: Siegpunkte, 1492: Siegbedingung, ]
141: Für jede Münze die die Spieler noch vor sich liegen haben erhalten sie jeweils 1 weiteren Siegpunkt.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
142: Wer nun die meisten Punkte besitzt hat gewonnen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
143: Haben mehrere Spieler die höchste Punktzahl so gewinnt von diesen der Spieler der noch mehr Münzen besitzt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
144: Autor und Redaktion bedanken sich bei allen Testspielern und Regellesern.; []
145: Besonderer; []
146: Dank des Autors gilt seiner Frau Magdalena.; []
147: Ihr Urlaub in Cornwall und die vielen bildhaften dieser einzigartigen Landschaft setzten den Grundstein zu diesem Spiel.; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
148: An Johannes 8 28 7 in different 4 1 1 5 36 3 11 2 40 1 pub 4 game 1 board im am Lot lot claim Cornwall in England.; []
149: ranges player not player like gentleman end game may not all still in most end game Game setup player marker same 0 40 board.; []
150: player; []
151: 7 1 1 game Put board.; []
152: pub last person England togo first.; [7090: Kooperative Spielform, ]
153: 36 3; []
154: put; []
155: put Put 5 in shows all 5 in game After check see manage 2 different see 1 1; []
156: region see Bor 2 see; []
157: manage 3 different see single 2 irr player in turn out in order 1 Turn in 2 optional; []
158: 3 1 Turn in turn turn in game in in may cover region new region.; []
159: 2 not new 3 in total.; []
160: region 1 region same show region put 0 top; []
161: Note option top in 2 player 1 2 player not 1 region new 2 player not new 3; []
162: different player; []
163: 2; []
164: In pick new 2 optional turn 3 not just matter.; []
165: single in same region.; []
166: in same region 1 same just additional 1 in region additional bon marker 3 board.; []
167: Carsten 1 1 Ronald region was not 1 in Nina her her 1 her 3 board.; []
168: her 2 1 ran additional 1 account in region Marie 1 region her 2 2 3; []
169: end player turn 1 was in region region After evaluation all in pub.; []
170: Note game!; []
171: Evaluation region first player in region.; []
172: player multiple in region these 4 player in region all Cornwall 4 1 per 1 in region player most in region also end game.; []
173: in player 2 per player score 1 Evaluation fora score game phase 3 end game 1 per 0 2 per 1 per 3 per 1 per end game 2 per 1 per first first total all split player fora region multiple these region 1 per player in region not marker board Pub not back.; []
174: in pub.; []
175: after player 1 pick all in pub.; []
176: Note phase game bea smart in such evaluation player region total high.; []
177: may also sense evaluation player may in region wEn; []
178: VIDEO Ronald 2 3 3 in region 2 1 additional 1 1 in was just region 3; []
179: so first 6 2 1 3 region 18 Player these 9 region.; []
180: was also region also 9 3 After evaluation all in pub.; []
181: game all All tobe player end game marker 1 board.; [164466: Loswerden, ]
182: player most multiple first most Carsten 1 in region 1 region Carsten 3 3 put; []
183: pub.; []
184: editor like all test Magdalena.; [164466: Loswerden, ]
185: Her Cornwall; []
186: was game.; []
187: Schmidt; []
188: Spiele GmbH Postfach; [164466: Loswerden, ]
189: 470437 Berlin http de de Johannes 2 4 de 8 ans.; []
190: 28 7 couleur; []
191: de differentes 4 de 1 couleur 1 de 5 36 3 11 40 de 1 pub 4; []
192: memo 1; []
193: tableau des lot lot des de des des de plus grand de font du raffinement reste de plus grand de partie.; []
194: couleur pose de de couleur 0 40; []
195: du tableau des 7 de couleur pose 1 de 1 memo.; []
196: Pendant partie; []
197: de reserve du tableau des pub 36 3 grande de 5 de Elle ensemble des 5 de De de lesens des Pendant tour 1 2 des option 3 1; []
198: tour de des de partie de de pose de de pose de 2 de an importe pose.; [3173: Gemeinsames Spielfeld, ]
199: nest mais 3 total.; []
200: 1 plus de pose image du Remarque de de de de pose de 2 de 1 de reserve commune.; []
201: 1 2; []
202: de 3 2 de reserve commune.; []
203: lau; []
204: 2 1 2 de mais de 1 2 de de 3 2 des 2 des option tour 3; []
205: de peu importe taille de peu importe couleur 1 reserve commune.; [3173: Gemeinsames Spielfeld, ]
206: faire de 1 reserve commune.; []
207: verse des du 1 de 3; []
208: tableau des reste Carsten 1 1 finde partie plus des differentes de des 4 1 1 des Marie Elle; []
209: 1 Elle grand; []
210: de Elle pose grand gros 2 elle donner 2 3; []
211: du tour 1 plus evaluation du pub.; []
212: Ronald de pose mais 1 donner Nina 1 elle 3 tableau des Elle 2 1 1 finde partie.; []
213: de 2 1 des Pendant partie phase 3 finde partie 1 1 1 1 0 2 1 3 1 finde partie; []
214: 2 1 Ire Ire total de chiffre evaluation plus grand; []
215: de 1 chiffre de du de tableau des Pub du plateau de vers mais pub.; []
216: de des 1 Remarque pendant phase de pose evaluation de interessant ade de sion des VIDEO Carsten pose pose 1 Mais 1 reserve commune.; []
217: plus de Carsten 3 3 pose plus de bleuet pub.; []
218: Ronald 2 plus; []
219: de grand; []
220: gros 3 3 2 1 1 rouge 3 des Ire des 6 2 1 3 6 3 18 ensemble de rouge 9 plus; []
221: 3 3 9 3 1 3; []
222: grand rouge evaluation pub.; []
223: partie plus grand de de de test des Magdalena.; []
224: de form; []
225: de de Schmidt; []
226: Spiele GmbH Postfach; [164466: Loswerden, ]
227: 470437 Berlin http da Johannes per da 8 eta.; []
228: 28 7 per grandezza 4 1 per via 5 36 3 in; []
229: 40 1 pub 4 tabelle 1 per dell in tutti modi che hanno per Chi ha mette sulla casella 0 40 7 che see 1 1 messe pub.; [1292: Zufall, ]
230: che per ultimo in 36 3 in grande 5 5 tipi che dell co in in quest 1 2 Piazza 3; []
231: Valuta; []
232: 1 che messe all solo via Per uno 2; [164466: Loswerden, ]
233: solo 3 che che mette Nota ha in sulla casella casella 2 tipi 1 1 2 3 2 2 1 2 in; []
234: 1 casella 2 tori Per 3 2; []
235: In che In tal mette eil 2 Piazza che 3 che grandezza sulla per casella.; []
236: mette solo che Per 1 per Seil; []
237: Per casella che 1 versa tante in in mette casella 3 casella Carlo 1 mette piccolo piccolo Per 1 per prime da che da valuta hanno; []
238: Sein In tutti 1 casella solo per che ha in 1 per Roberto Mette 1; []
239: Per piccolo che mette Nina 1 mette piccolo sulla casella per 3 mette costa 2 1 per casella 1 per che 3 Valuta 11 1 da tutti pub.; []
240: Maria 1; []
241: ha grande mette grande 2 2; []
242: Mit solo 2 casella.; []
243: 1 casella.; []
244: per chi ha per In fase fase 3; []
245: Valuta 1 per casella 0 2 per casella 1 per casella 3 per casella 1 per casella 1 Solo 2 per casella 1 per; []
246: casella 1 In per 1 per 1 eil 2 totale per In ha per che ha hanno per 1 casella per in per per Pub in pub.; []
247: tutti che ha 1; []
248: Nota; []
249: che fase prima che da ha che in Carlo Mette 1 1 ha piccolo Carlo 3 per 3 mette sulla casella mette eil piccolo pub.; []
250: Roberto che 2 mette piccolo che 3 3 costa 2 1 per casella 1 eil 3 per; []
251: per 1 2. delle 6 2 1 3; []
252: che 6 3 18 per 9 per 3 3 9 eil 3 1 3 grande ei che hanno pub.; []
253: tutti che 1 per che hanno Chi ha numero ha hanno che ha autore che hanno ei delle autore in Magdalena.; []
254: per Schmidt; []
255: JETZT WIR ZU; []
256: RÜCK; []
257: BIS IN CO; []
258: PLUS ESSO RICA ILM 9; []
259: Cut Ross Cords 1; []
260: vis; []
261: Co; []
262: 1; []
263: Schmidt; []
264: Spiele GmbH Postfach 470437 Berlin Johannes Editor; [164466: Loswerden, ]
265: Thorsten Cover Irene Anne Illustration Anne Layout Leon Schiffer Schmidt http; []
