0: Worum geht Leicht; []
42: Glaubt ihr einen Code knacken zu können stellt ihr ihn unter dem entsprechenden Symbol auf der Scheibe ein.; [1292: Zufall, 8536: Aktionspunkte, ]
43: Im Sichtfenster der kleinsten Scheibe erscheint dann eine Zahl.; [3173: Gemeinsames Spielfeld, ]
44: 3 Diese gibt die Nummer der an die ihr euch dann anschauen dürft.; [8536: Aktionspunkte, ]
45: War der Code falsch müsst ihr weiter nach einer Lösung suchen oder zunächst an Stelle War der Code richtig verrät euch die wie es weitergeht.; [8536: Aktionspunkte, ]
46: Beispiel Ihr habt als Lösung für das Rätsel mit dem Symbol die Gefäße ermittelt.; [1292: Zufall, ]
47: Diese Kombination stellt ihr nun unterhalb des Symbols auf der ein.; [1292: Zufall, ]
48: Im kleinen Fenster erscheint die Nummer der die ihr dann aus dem StaDel heraussuchen und anschauen dürft.; []
49: Dann wird euch das auf der mitgeteilt.; []
50: In diesem Fall sortiert ihr die Karte einfach zurück in den Stapel und seht euch das soeben falsch gelöste Rätsel noch mal an vielleicht habt; [1292: Zufall, ]
51: ihr etwas übersehen Manchmal fehlen auch noch Hinweise um das Rätsel überhaupt lösen zu können.; [8536: Aktionspunkte, ]
52: Dann müsst ihr an einer anderen Stelle weitermachen.; []
53: Ist der Code eventuell richtig?; []
54: Dann sieht die wie folgt aus Worauf ist das zu sehen?; []
55: Gute Frage!; []
56: Um sie zu beantworten müsst ihr euch die Bilder im Buch oder auf den genau ansehen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
57: Dort finden sich alle möglichen verschlossenen Gegenstände.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, ]
58: Alle diese Gegenstände sind mit einem Symbol gekennzeichnet.; [1292: Zufall, ]
59: In unserem Beispiel geht es um 4 die Flasche mit dem Symbol darauf.; [1292: Zufall, ]
60: Ihr schaut also auf der neben der Flasche und seht dass ihr nun noch 18 aus dem Stapel heraussuchen sollt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
61: Ist der Code wirklich richtig?; []
62: Dann sagt euch die wie es nun weitergeht.; []
63: Ihr werdet eine oder mehrere neue finden die ihr sofort aus dem Stapel der heraussuchen und anschauen dürft.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
64: Tja dann habt ihr einen hier gemacht und müsst noch einmal neu überlegen um auf einen anderen Code zu kommen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
65: Egal Ob falsch oder richtig sortiert wieder in den der Es geht also nicht darum einfach Benötigt ihr Hilfe?; [8536: Aktionspunkte, ]
66: Natürlich kann euch das Spiel auch geben falls ihr mal nicht weiterkommt.; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
67: Zu jedem Code gibt es drei passende die ihr am Symbol auf der Rückseite erkennt.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
68: Jede 1. TIPP verrät euch neben einem ersten nützlichen Tipp auch welche ihr gefunden haben müsst um das entsprechende Rätsel lösen zu können.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
69: Die 2. TIPP helfen euch etwas konkreter eine Lösung für das entsprechende Rätsel zu finden; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
70: Die AUFLÖSUNG geben euch die Auflösung für das Rätsel.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
71: 5; []
72: WICHTIG; []
73: Nehmt Rätsel im niCht zu nutzen wenn ihr Habt also ein wenig Geduld; [164466: Loswerden, 1492: Siegbedingung, ]
74: viele Rätsel lassen sich nur mithilfe mehrerer lösen.; [8536: Aktionspunkte, ]
75: Nicht immer habt ihr sofort alle Karten zur Hand.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
76: Manchmal müsst ihr euch erst mit anderen Rätseln befassen um an neue Karten zu kommen.; [1292: Zufall, ]
77: Aber scheut euch auch nicht Hilfe Karten zu nutzen wenn ihr einmal nicht weiterkommt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
78: Genutzte legt ihr auf einen offenen Ablagestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
79: Zusätzliches Spielmaterial Zusätzlich zum enthaltenen Spielmaterial benötigt ihr noch Papier und Stift um euch Notizen zu machen.; []
80: Außerdem benötigt ihr eine Uhr Stoppuhr.; []
81: WICHTIG; []
82: Ihr könnt das könnt; []
83: das Spiel Alles ist er und ihr auf Rätsel und benötigt das nr um Material zu statt zu eie 1.; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
84: Wann endet das Spiel?; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
85: Das Spiel endet wenn ihr das letzte Rätsel gelöst habt und aus dem geheimen Labor entkommen seid.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
86: Eine Karte wird euch dies mitteilen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
87: Startet zu Beginn des Spiels eine Stoppuhr damit ihr wisst wie lange ihr gebraucht habt.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
88: Ihr könnt in folgender Tabelle nachschauen wie gut ihr gewesen seid.; [1292: Zufall, 7090: Kooperative Spielform, ]
89: Bei der Anzahl der verwendeten zählen natürlich nur die Karten die euch neue Hinweise Lösungen verraten haben.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
90: Wenn auf 6 einer nur etwas stand das ihr sowieso schon wusstet zählt diese nicht für die Wertung.ö 60 Min.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
91: 75 Min.; []
92: 90 Min.; []
93: 90 Min.; []
94: Keine 10 10 Sterne 8 Sterne 7; []
95: Sterne; []
96: 5 Sterne; []
97: 4 Sterne; []
98: 9 Sterne; []
99: 7 Sterne; []
100: 6 Sterne; []
101: 4 Sterne 3; []
102: Sterne; []
103: 8 Sterne; []
104: 6 Sterne; []
105: 5 Sterne 3; []
106: Sterne 2; []
107: Sterne; []
108: 7 Sterne; []
109: 5 Sterne; []
110: 4 Sterne 2 Sterne 1; []
111: Stern; []
112: Noch ein letzter Tipp Spielmaterial; [1492: Siegbedingung, ]
113: das ihr erfolgreich für die Lösung eines Rätsels verwendet habt legt ihr am besten beiseite.; []
114: So behaltet ihr besser den Überblick und kommt weniger durcheinander.; [7090: Kooperative Spielform, ]
115: Nur die Abbildungen der Räume benötigt ihr für mehrere Rätsel.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
116: Das Spiel beginnt; []
117: Worauf wartet ihr?; []
118: Startet jetzt die Stoppuhr und entkommt aus dem Labor bevor es zu spät ist!; [7090: Kooperative Spielform, ]
119: Ab jetzt dürft ihr euch das Buch anschauen und mit dem Rätseln beginnen.; []
120: Scheut euch während des Spiels nicht auch noch mal in der Anleitung nachzulesen wenn etwas unklar ist.; [8528: Siegpunkte, 164466: Loswerden, ]
121: Inka Markus Brand und KOSMOS danken allen Testspielern und Regellesern.; []
122: Die Autoren Inka Markus Brand leben mit ihren Kindern Lukas und in Gummersbach.; []
123: Zusammen haben sie zahlreiche und Familienspiele veröffentlicht und viele Preise gewonnen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
124: Natürlich sind sie begeisterte und KOSMOS; []
125: Ralph; []
126: Sandra Illustration Franz Vohwinkel Silvia Christoph Michaela Grafik München Redaktion Ralph; []
127: 2016 Co. KG Stuttgart Tel. 49 711 Fax 49 711 info kosmos.de kosmos.de; []
128: Alle Rechte vorbehalten.; [164466: Loswerden, ]
129: MADE; []
130: IN GERMANY; []
131: Art.; []
132: Nr.; []
133: 692742 7; []
134: info kosmos.de; []
135: SPIEL; []
136: 21 3 65; []
137: URKUNDE; []
138: Folgende Spieler sind am erfolgreich aus dem geheimen Labor entkommen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
139: Was für eine Leistung und welch Glück dass sie nun doch nicht für immer im Labor eingeschlossen sind!; [1292: Zufall, ]
140: Dafür benötigten sie Insgesamt haben sie verwendet.; []
141: Somit wurden in der Wertung Sterne erzielt!; [8528: Siegpunkte, ]
142: Das coolste Rätsel war; []
143: Das kniffligste Rätsel war Gelöst hat dieses Rätsel 1 4 1 Minuten Sek und; [7090: Kooperative Spielform, ]
