0: Nr. 172 1; []
18: Bei zwei Spielern müssen die Eingänge zum Mittelfeld auf den gegenüberliegen den Seiten an denen keine Spieler sitzen ebenfalls durch drei Zäune verriegelt werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
19: Alle Spieler würfeln und der Spieler mit der höchsten Würfelzahl beginnt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
20: Das Spiel; []
21: Bevor der erste Spieler würfelt hat er das Recht einen seiner eigenen Zäune in einen Schlitz irgendwo auf dem Spielplan zu versetzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
22: Er muß den Zaun nicht versetzen wird es aber meistens tun um sich das Vorwärts kommen zu erleichtern oder um einem Gegner den Weg zu versperren.; [8536: Aktionspunkte, ]
23: Danach würfelt der Spieler und hat die Wahl zwischen folgenden Er kann die Augenzahl beider Würfel zusammenzählen und mit einem Spiel stein ziehen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
24: Er kann mit einem Spielstein die Augenzahl des einen Würfels ziehen und mit anderen seiner die Augenzahl des anderen Würfels.; [1292: Zufall, 8536: Aktionspunkte, ]
25: Der Spieler der an der Reihe ist kann in jeder beliebigen horizontalen oder Richtung soweit ziehen bis ihm der Weg durch einen Zaun versperrt ist.; [1292: Zufall, 8536: Aktionspunkte, ]
26: Ein Spieler darf niemals in diagonaler Richtung ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
27: Wenn ein Spieler beim Spielzug in einer Richtung zu ziehen begonnen hat darf er diese Richtung während dieses nicht ändern.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
28: Trifft er im Spielzug direkt auf einen Zaun so muß er im rechten Winkel nach rechts oder nach links weiterziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
29: Er fährt dann in der neuen Richtung weiter bis er seinen Spielzug beendet hat oder einen anderen Zaun erreicht.; [3142: Verlierbedingung, 8536: Aktionspunkte, 166903: Ankommen, ]
30: Kommt ein Spieler mit einem Spielstein an eine Stelle die an drei Seiten von Zäunen umgeben ist so muß er auf demselben Weg wieder rückwärts ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
31: Zäune; []
32: Ein Spieler darf einen seiner Zäune nur versetzen wenn er an der Reihe ist und bevor er gewürfelt hat.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
33: Er darf aber jedesmal nur einen Zaun seiner eigenen Farbe versetzen.; [1292: Zufall, 8536: Aktionspunkte, ]
34: Ein Spieler kann diesen Zaun in beliebigen Schlitz auf dem Spielplan versetzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
35: Im Laufe des Spieles ergibt sich daß die Zäune sowohl offensiv als auch defensiv verwendet werden können.; [3173: Gemeinsames Spielfeld, ]
36: Ein Zaun kann so gesetzt werden daß er einem gegnerischen Spielstein den Weg versperrt oder einem eigenen Spielstein den Weg zum Mittelfeld erleichtert.; [8536: Aktionspunkte, ]
37: Die Spieler können auch Eingangsfelder versperren oder den Spielstein eines anderen Spielers vollkommen mit Zäunen umgeben.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
38: Im Laufe des Spieles werden deshalb die Zäune eines jeden Spielers auf dem ganzen Spielfeld verteilt sein.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
39: Pasch Wenn ein Spieler zwei gleiche Zahlen Pasch würfelt kann er wie gewöhnlich weiterspielen; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
40: er kann aber auch mit einem seiner der genau vor einem Zaun steht über den Zaun auf das Feld springen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
41: Wenn ein Spieler über einen Zaun springt opfert er dafür die Punktzahl des Schlagen eines Gegners Kommt ein Spieler mit seiner genau auf ein Feld auf dem schon ein Spielstein eines Gegners steht darf er den Spielstein des Gegners schlagen und auf der vier zurücksetzen.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
42: Der Spielstein muß nicht auf das Startfeld zurückgesetzt werden von dem aus er begonnen hat.; [3173: Gemeinsames Spielfeld, ]
43: Um einen gegnerischen Spielstein zu schlagen kann der Spieler die Punktzahl von einem oder von beiden Würfeln nehmen.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
44: Wenn ein Spieler eine 5 und eine 3 würfelt kann er mit der 5 einen Gegner schlagen und dann mit dem Spielstein oder einem anderen noch 3 Felder weiterziehen; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
45: er kann aber auch mit 8 einen gegnerischen Stein schlagen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
46: Ziel; []
47: Ein Spieler kann seine durch jede der vier Öffnungen ins Ziel bringen; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
48: er muß aber mit einem oder beiden Würfeln die genaue Zahl würfeln die er zum Erreichen des Ziels braucht.; [1292: Zufall, 8536: Aktionspunkte, ]
49: Hat ein Spieler nur noch einen Stein der ins Ziel gebracht werden muß verwendet er die Augenzahl von beiden Würfeln auch wenn er rückwärts gehen muß.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
50: Zieht er mit der genauen Augen zahl eines Würfels ins Ziel bleibt die Zahl des anderen Würfels außer Betracht.; [1292: Zufall, 8536: Aktionspunkte, ]
51: Der Sieger Der Spieler der als Erster alle 4 Steine im Mittelfeld hat gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
