0: Erbgut; []
136: Rückgewinnung von Energien; []
137: Krönung einer Unternehmung voller Erfolg; []
138: Beförderung Lohn Erbe; []
139: BEDEUTUNG DER KLEINEN; []
140: FARBE KELCHE; []
141: KÖNIG Geschäftsmann oder günstig.; []
142: Großmut.; []
143: KÖNIGIN; []
144: Frau Freundin Ehefrau oder treue Verlobte.; []
145: Romantik; []
146: Sinnlichkeit.; []
147: RITTER; []
148: junge Geliebte enge Freunde.; []
149: Unterhaltung; []
150: Ferien.; []
151: BUBE Neuheit; []
152: Eifersucht übermäßige Anhänglichkeit.; []
153: 10 Zufriedenheit Ruhe Erkennungen.; []
154: 9 Sieg Glück Befriedigung.; [1292: Zufall, ]
155: 8 Feiern Liebe.; []
156: 7 Phantasterei unglaubliche Pläne.; []
157: 6 Erneuerung frohe Zukunft.5 Erbe 6; []
