0: DAS KOOPERATIVE; []
71: Wenn ihr bei eurer Aktion die Holzscheibe auf dem platziert darf sie nicht über dessen obere Kante hinausragen.; [8536: Aktionspunkte, ]
72: Wie hier abgebildet ist es richtig.; []
73: Anschließend prüft ihr wo die Holzscheibe liegt 3 Genau auf einem ein zig Akt ion feld Führt die entsprechende Aktion aus siehe nächste Seite; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
74: Aktionen auf dem Spielplan ausführen 3; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
75: Zwischen mehre ren Akt ion feld; []
76: Es gilt das Aktionsfeld auf das der Pfeil zeigt siehe Abbildung; [3173: Gemeinsames Spielfeld, ]
77: unten Zeigt der Pfeil genau zwischen zwei darfst du dir eines davon aussuchen.; [8536: Aktionspunkte, ]
78: Führe anschließend die entsprechende Aktion aus.; [8536: Aktionspunkte, ]
79: 3; []
80: Auf keinem Akt ion feld Insgesamt hast du 3; []
81: Versuche um die Holzscheibe auf ein Aktionsfeld zu bringen.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
82: Liegt sie also auf keinem Aktionsfeld hast du nur noch 2 Versuche um den 5 Freunden mit einer Aktion zu helfen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
83: Hast du alle 3 Versuche verbraucht ohne dass die Holzscheibe eines der 9 berührt musst du sofort die Sanduhr um drehen und sie 1 Feld weiter in Richtung des Dorfes ziehen!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
84: Anschließend ist der nächste Spieler an der Reihe.; [1292: Zufall, 164466: Loswerden, ]
85: 3 Vor oder auf den blauen Zack linie Du darfst erneut die Aktion mit der Holzscheibe ausführen ohne dass du einen Versuch verbrauchst.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
86: Bleibt die Holzscheibe nach eurer Aktion auf mehreren liegen gilt das Feld auf das die weist.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
87: Im hier abgebildeten Fall ist es das Aktionsfeld; []
88: Kleiner Dachs 2011 Aktion auf dem Spielplan ausführen Yak Klein er Donner Regenbogen Klein er Dachs oder Groß er Adle Ziehe die jeweilige Figur sofort 1 Feld weiter in Richtung des Dorfes.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
89: Ist sie schon im Dorf darfst du eine beliebige andere Figur 1 Spielfeld weiter ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
90: Biber; []
91: Rücke die am weitesten zurückliegende Figur zur nächsten Figur vor.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
92: Sind mehrere Figuren an letzter Stelle darfst du nur eine davon nach vorn ziehen!; [1292: Zufall, 8536: Aktionspunkte, ]
93: Sind alle Figuren auf dem gleichen Spielfeld darfst du eine beliebige Figur 1 Feld nach vorn ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
94: Sonne drehe sofort die Sanduhr um.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
95: Achtung; []
96: Sie bleibt auf dem Spielfeld auf dem sie gerade steht und rückt nicht voran!; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
97: SPIELENDE Das Spiel kann auf folgende Arten enden; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
98: Die Spiele gewinn wen alle 5 Freunde im Dorf angekommen sind oder 4 Freunde im Dorf sind und der fünfte Freund als Späher liegende Figur unterwegs ist.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
99: Die Spiele verl ren wen; [1492: Siegbedingung, 166903: Ankommen, ]
100: die Sanduhr auf ein Spielfeld zieht auf der eine Figur steht oder die Sanduhr den Späher liegende Figur überholt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
101: Fährte Benutze mit einer Figur die auf einem Spielfeld mit Schleichweg steht die Abkürzung.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
102: Die Figur folgt dabei der geheimnisvollen Fährte zum mit ihr verbundenen Spielfeld.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
103: Steht keine Figur auf einem Spielfeld mit Schleichweg so passiert leider nichts.; [3173: Gemeinsames Spielfeld, ]
104: Die Fährte kennzeichnet einen Schleichweg.; []
105: Hier könnt ihr die Abkürzung benutzen.; []
106: Schuhe Mache eine Figur deiner Wahl zum Späher und schicke sie auf die Suche nach einem schnelleren Nachhauseweg.; [3173: Gemeinsames Spielfeld, ]
107: Lege dazu eine Figur deiner Wahl auf ihrem aktuellen Spielfeld so auf den Plan dass der grüne Hintergrund nach oben weist.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
108: Der Späher kann wie alle anderen Figuren voran gezogen werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
109: Der Vorteil des Spähers ist dass er euch etwas mehr Zeit gibt wenn die Sanduhr schon knapp hinter dieser Figur ist!; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
110: Denn wenn der Späher von der Sanduhr eingeholt wird habt ihr noch eine letzte Chance.; []
111: Ihr verliert das Spiel erst dann wenn die Sanduhr den Späher überholt.; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
112: Achtung; []
113: Es kann immer nur einen Späher geben!; [8536: Aktionspunkte, ]
114: Landet die Holzscheibe erneut auf dem Aktionsfeld mit den Schuhen müsst ihr eine andere Figur zum neuen Späher machen.; [3173: Gemeinsames Spielfeld, ]
115: Der bisherige Späher wird wieder aufgerichtet.; []
116: Steht diese Figur nun auf dem gleichen Feld wie die Sanduhr habt ihr sofort verloren!; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
117: Made in Germany 2011; []
118: HUCH!; []
119: Vertrieb Trade GmbH; []
120: Co KG Günzburg Autoren Lobet und Roberto Gestaltung Volker Maas HUCH!; []
121: Job Lombard 2011; []
122: Euro; []
123: Lizenzen München; []
124: Hast du erfolgreich eine Aktion auf dem Spielplan ausgeführt ist der nächste Spieler am Zug.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
125: http; []
