0: Idee; []
22: indem sie weiter nach gültigen Worten suchen Spielende Sobald ein Spieler keine Karte mehr aufdecken kann endet das Spiel; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
23: Jeder zahlt seine zusammen Wer die meisten hat.; [1492: Siegbedingung, 8528: Siegpunkte, ]
24: gewinnt; []
25: Bei Gleichstand der Spieler der mehr gesammelt hat Hinweis zu; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
26: Es sind nur Wörter aus der deutschen Sprache möglich Eigennamen und sind nicht erlaubt Sonderfalle und werden mit oder mit einer Jokerkarte einzelnes oder doppeltes Fragezeichen gebildet darf nur mit einem einzelnen Fragezeichen gebildet werden auf den Karten müssen auch als solche eingesetzt werden; [1292: Zufall, ]
27: Ein darf nicht als verwendet werden; []
28: Das gleiche gilt für Damit Wund; []
29: eindeutig unterschieden werden können sind die beiden nur beim parallel 4 Beispiele Joker; []
30: ES; []
31: GAST; []
32: .; []
33: RAST; []
34: FAST; []
35: .; []
36: STAR; []
37: TASSE; []
38: SEEN; []
39: TEER; []
40: LASSO; []
41: GRAL AUTO; []
42: .; []
43: LAMM RAT.; []
44: ART; []
45: Varianten; []
46: Spielen Erwachsene mit Kindern dürfen Kinder auch Worte suchen; []
47: die aus mindestens 2 Karten bestehen Außerdem legen die Kinder ihre zu einem verdeckten Stapel neben sich so dass von deren keine Karten mehr werden können Spielen Erwachsene miteinander die unter stark sind kann vereinbart werden; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
48: dass die besseren Spieler Wörter aus mindestens 4 Karten bilden müssen; [1292: Zufall, 164466: Loswerden, 8528: Siegpunkte, ]
49: Spielen Spieler miteinander können diese auch beide Farben gleichzeitig verwenden; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
50: So sind Worte aus schwarzen und weißen Buchstaben bzw Fragezeichen in beliebiger Kombination möglich; [1292: Zufall, ]
51: Allerdings darf pro Karte nur eine der beiden Farben verwendet werden; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
52: 5; []
