0: 1; []
35: Sonderaktion dieser Karte Maxim Anzahl an die der Spieler von seinem nach Spanien bringen kann.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
36: Bringen Sie 3 von Ihrem Hof nach Spanien.; [8528: Siegpunkte, ]
37: Setzen Sie diese in zum Könnt und oder in Spielrunde Jede der 9 besteht aus den folgenden Hand lungen die in dieser Reihenfolge durchzuführen sind Rundenzähler Reihum je eine Aktionskarte ausspielen; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
38: In der 1. Runde beginnt der jüngste Spieler.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
39: Ab der 2. Runde bestimmt der Spieler der in der vorhergehen den Runde die niedrigste Karte gespielt hat wer beginnt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
40: Wie gewohnt dürfen keine Karten mit gleichen Zahlen gespielt werden.; [1292: Zufall, ]
41: Königskarte und verteilen Der Spieler mit der höchsten ausgespielten Aktionskarte erhält die Königskarte und die höchste Der Spieler mit der Aktionskarte erhält die zweithöchste usw.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
42: Der Spieler mit der niedrigsten Aktionskarte erhält zusätzlich die Intriganten karte.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
43: Jeder Spieler führt seinen Zug aus Beginnend mit dem Spieler der die Königskarte besitzt dann folgend mit dem Spieler mit der usw.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
44: fuhrt jeder Spieler seine Zug aus laut Aktionskarte von der Provinz an den Hof holen Sonderaktion durchführen und laut vom Hof nach Spanien bringen.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
45: Die Reihen folge der Handlungen ist dem Spieler überlassen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
46: Der Spieler mit der höchsten Aktionskarte wird immer König.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
47: Er darf die Sonderaktion seiner Karte nicht ausführen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
48: Er muß die durchführen.; []
49: Der Spieler mit der niedrigsten Aktionskarte wird immer Intrigant; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
50: Er darf die Sonderaktion sei Karte nicht ausführen.; [1292: Zufall, ]
51: Er muß die durchführen.; []
52: Alle anderen Spieler müssen die Sonderaktion ihrer Karten durchführen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
53: Ausnahme; []
54: Die Sonderaktion enthält Sie dürfen... oder Sie können...; [8536: Aktionspunkte, ]
55: Nur in diesen Fällen muß die Sonderaktion nicht ausgeführt werden.; []
56: Alle Spieler also auch König und Intrigant erhalten viele aus der Provinz wie auf ihrer Aktions karte angegeben.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
57: Alle ausliegenden Aktionskarten kommen nach Zug ende aus dem Spiel.; [1292: Zufall, ]
58: Die die Königs und liegen wieder neben dem Spielplan für die nächste Runde bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
