0: Markus Spielidee; []
35: Von euren 11 Spiel figuren stellt ihr jeweils die 4 Figuren mit der Zahl 1 auf eurem Hofplan ab.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
36: Dies ist die erste Generation eurer Familien.; []
37: Die restlichen Figuren bilden die nachkommenden Generationen.; [7090: Kooperative Spielform, ]
38: Da diese noch gar nicht geboren sind kommen sie in einen allgemeinen Vorrat.; []
39: 4. Legt einen eurer Marker auf die Wolke rechts neben der Brücke am oberen Rand eures Hofplans.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
40: Einen weiteren Marker legt ihr auf das Buch Feld 0 der links oben auf dem Spielplan.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
41: 5.; []
42: Jeder von euch erhält 1 Münze die er neben seinem Hof ablegt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
43: Die restlichen Münzen kommen als Vorrat neben den Spielplan.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
44: 6.; []
45: Die Kundenplättchen werden verdeckt gemischt und neben dem Markt als verdeckter Stapel bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
46: Je nach Spielerzahl werden von diesem Stapel mehrere Plättchen offen auf den Markt gelegt 1 im Spiel zu viert werden alle 10 Felder; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
47: belegt 1 im Spiel zu dritt bleibt das Feld mit der 4; [7090: Kooperative Spielform, ]
48: leer 1 im Spiel zu zweit bleiben die Felder mit der 3 und 4 leer Beispiel für das Spiel zu dritt 7.; [3142: Verlierbedingung, ]
49: Bei weniger als 4 Spielern werden einige anonyme Gräber und Plätze in der mit Figuren einer ungenutzten Spielerfarbe belegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
50: 1 im Spiel zu dritt werden das Grab sowie die Plätze in der abgedeckt die eine 4 zeigen 1; [3173: Gemeinsames Spielfeld, ]
51: im Spiel zu zweit werden die Gräber sowie die Plätze in der abgedeckt die eine 3 oder 4 zeigen 8.; [3173: Gemeinsames Spielfeld, ]
52: Der Marker Nächster Startspieler wird auf das entsprechende Feld in der gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
53: Beispiel für das Spiel zu dritt 9. Die mit Pferd Ochse Planwagen und Pflug wer den links neben dem Spielplan als allgemeiner Vorrat bereitgelegt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
54: 10.; []
55: Die sowie die und werden rechts neben dem Spielplan bereitgelegt und bilden dort einen allgemeinen Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
56: Der grüne Beutel wird dort ebenfalls bereitgelegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
57: 11.; []
58: Die 4 schwarzen Figuren werden in den schwarzen Beutel gegeben und dieser unterhalb der Kirche abgelegt.; [1292: Zufall, ]
59: 12. Sucht das heraus das eurer Spielerzahl entspricht und legt es bereit.; [1292: Zufall, ]
60: Die übrigen 2 werden zurück in die Schachtel gelegt.; [1292: Zufall, ]
61: Legt auch das für die Messe bereit.; []
62: 13.; []
63: Der älteste Spieler wird Startspieler und erhält den Startspielermarker.; [8528: Siegpunkte, 1492: Siegbedingung, ]
64: Spielablauf; []
65: Das Spiel läuft über mehrere Runden in denen ihr die Geschicke eurer Familien lenkt.; [3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
66: Dazu müsst ihr eure Familienmitglieder im Dorf sinnvoll einsetzen.; []
67: Auf dem Hof sorgen sie für eine gute Ernte in der Kirche bringen sie in der bringen sie und Privilegien.; [8528: Siegpunkte, ]
68: Wer sich für eine Reise entscheidet erwirbt neben auch Einfluss oder Geld je nachdem wohin es ihn treibt.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
69: Familienmitglieder in den; []
70: er möglichen die Produktion von Gütern.; []
71: Die produzierten Güter und das Getreide können am Markt gegen getauscht werden.; [1292: Zufall, 7090: Kooperative Spielform, ]
72: Die vielfältigen Möglichkeiten werden über die verschieden Bereiche des Dorfes gesteuert.; [8528: Siegpunkte, ]
73: Zu jedem Bereich gehört ein Aktionsfeld auf dem ihr verschiede Arten von erwerben und damit bestimmte Aktionen auslösen könnt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
74: Da heißt es sich zu entscheiden denn selten passen die Art des Einflusses und die jeweilige Aktion zusammen; [8536: Aktionspunkte, ]
75: Zudem kosten viele dieser Aktionen Zeit.; [8536: Aktionspunkte, ]
76: Und wie im wirklichen Leben sterben die ältesten Familienmitglieder nach und nach.; []
77: Wenn ein Familienmitglied das Zeitliche segnet entscheidet sein Beruf darüber ob es in der verewigt wird oder nicht.; []
78: Sobald entweder die oder die anonymen Gräber vollständig belegt sind endet das Spiel und ihr erhaltet noch einmal Punkte für die verschiedenen Bereiche im Dorf.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
79: Wer danach die meisten sammeln konnte gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
80: Gen Rundenablauf Aktion; [8536: Aktionspunkte, ]
81: er bestücken; []
82: Zu Beginn jeder Runde werden die mit und bestückt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
83: Danach führt ihr beginnend mit dem Startspieler und dann immer im Uhrzeiger sinn je eine Aktion aus.; [8536: Aktionspunkte, ]
84: Wer dran ist nimmt sich jeweils einen Stein von einem Aktionsfeld und führt die Aktion dieses Feldes aus.; [8536: Aktionspunkte, ]
85: Wenn der insgesamt letzte Stein genommen wird ist die laufende Runde beendet.; [1492: Siegbedingung, ]
86: Die neue Runde beginnt wieder mit dem Auffüllen des grünen Beutels und dem anschließenden Bestücken der tEin und in Einflusssteine werden benötigt um bestimmte Aktionen im Dorf auszuführen.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
87: Es gibt folgende Arten von Einfluss; []
88: Das zeigt euch wie viele verschiedene Einflusssteine aus dem Vorrat ihr zu Rundenbeginn in den grünen Beutel werfen müsst.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
89: Außerdem wer den immer alle verfügbaren mit in den Beutel geworfen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
90: Sobald alle Steine im Beutel sind mischt sie gut durch.; [1292: Zufall, 164466: Loswerden, ]
91: Verteilt dann auf jedes Aktionsfeld des eine bestimmte Anzahl zufällig gezogener Steine.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
92: Die Anzahl der Steine pro Aktionsfeld entnehmt ihr ebenfalls dem Farbe steht für wird benötigt für orange Können; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
93: Handwerk Reise; []
94: 1 grün Überzeugungskraft Markt braun Glaube Kirche Reise; []
95: 0 rosa Wissen; []
96: Handwerk Reise schwarz; []
97: Die schwarzen Steine stellen keinen Einfluss dar sondern sind die die Lebenserwartung der Spielfiguren reduzieren.; [3173: Gemeinsames Spielfeld, ]
98: Beispiel für das Spiel zu; []
99: dritt Übrigens Es werden normalerweise weniger Steine aus dem Beutel gezogen als hineingeworfen werden.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
100: Dadurch verbleiben jede Runde zusätzliche Steine im Beutel die zu Rundenbeginn wieder mitgemischt werden.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
101: Hinweis; []
102: Sollten einmal weniger Einflusssteine einer Farbe im Vorrat vorhanden sein; [1292: Zufall, 1492: Siegbedingung, ]
103: als in den Beutel geworfen werden müssten werft ihr nur die verfügbare Anzahl hinein.; [1292: Zufall, 1492: Siegbedingung, ]
104: Da jede Runde ohnehin Steine im Beutel verbleiben können die dennoch voll bestückt werden.; [1292: Zufall, 1492: Siegbedingung, ]
105: Dann beginnt der Startspieler mit seinem Spielzug.; []
106: 4; []
107: Der eigene Wenn du an der Reihe bist musst du einen oder deiner Wahl von einem Aktionsfeld nehmen.; [3173: Gemeinsames Spielfeld, ]
108: Handelt es sich um einen Einflussstein so legst du ihn auf deinem Hof ab.; []
109: Es dürfen beliebig viele Einflusssteine auf dem eigenen Hofplan liegen.; [1292: Zufall, 8536: Aktionspunkte, ]
110: Hast du einen genommen legst du ihn sofort in den Vorrat zurück und musst dafür 2 Zeit abgeben.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
111: du ziehst deinen Marker auf der Lebenszeitleiste deines Hofes um 2 Felder im Uhrzeigersinn vorwärts.; [1292: Zufall, 8536: Aktionspunkte, ]
112: Siehe rechts; []
113: Die Währung Zeit Anschließend kannst du die Aktion des Feldes nutzen von dem du den Einfluss oder genommen hast.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
114: Es ist erlaubt nur einen Stein zu nehmen und auf die Aktion zu verzichten.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
115: Ausnahme; []
116: Ein ausgerufener Markttag muss stattfinden.; []
117: Siehe Markt Seite 7; []
118: Immer wenn du eine Aktion durchführst die dich Zeit kostet jedes steht für eine Zeiteinheit musst du deinen Marker auf deiner Lebenszeitleiste die entsprechende Anzahl Felder im Uhr vorwärtsziehen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
119: Zusätzlich verlierst du immer 2 Zeit wenn du einen nimmst.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
120: Überschreitet dein Marker auf deiner Lebenszeitleiste die Brücke stirbt eine deiner ältesten Spielfiguren.; []
121: Siehe; []
122: Ein Familienmitglied stirbt Seite 10; [7090: Kooperative Spielform, ]
123: Die einzelnen Aktionen; []
124: Getreideernte; []
125: Hast du eine oder mehr Spielfiguren auf deinem Hof können diese als Bauern eine Ernte durchführen.; [8536: Aktionspunkte, ]
126: Dafür erhältst du sofort 2 aus dem Vorrat die du auf den da für vorgesehenen Feldern deines Hofplans ablegst.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
127: Hast du keine Spielfigur auf deinem Hof ist keine Ernte möglich!; []
128: Besitzt du zudem ein Pferd und einen Pflug erhältst du 3; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
129: Besitzt du; []
130: einen Ochsen und einen Pflug erhältst du 4; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
131: Du kannst immer nur eine Kombination nutzen mehrere Figuren Pflüge Ochsen oder Pferde nützen dir bei der Ernte nichts.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
132: Im Gegensatz zu anderen Aktionen genügt es dass du die Güter besitzt.; [8536: Aktionspunkte, ]
133: Nutzt du also Ochse und Pflug bei der Ernte musst du sie nicht in den Vorrat legen.; [1292: Zufall, 1492: Siegbedingung, ]
134: Die Spielfiguren bleiben auf deinem Hof stehen.; []
135: Achtung; []
136: Jeder Hof hat eine von 5!; [1492: Siegbedingung, ]
137: Ein Spieler kann also nie mals mehr als 5 besitzen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
138: Familie Deine Familie erwartet Nachwuchs.; []
139: Du erhältst sofort aus dem allgemeinen Vorrat eine Spielfigur deiner Farbe die du auf deinem Hof abstellst.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
140: Da bei musst du immer die Spielfigur mit der möglichen Zahl aus dem Vorrat nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
141: Beispiel; []
142: Im Vorrat hat Peter noch eine Spielfigur mit der Zahl 2 zwei mit der Zahl 3 und zwei mit der Zahl 4 Er muss die Figur mit der aufgeklebten 2 nehmen.; [7090: Kooperative Spielform, ]
143: Wichtig; []
144: Anstatt eine neue Figur aus dem Vorrat zu nehmen kannst du mit die Aktion auch eine beliebige noch nicht verstorbene eigene Figur vom Spiel plan zurück auf deinen Hof stellen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
145: Hinweis; []
146: Jede Spielfigur die bei einer der folgenden Aktionen auf dem Spiel plan eingesetzt oder bei der Aktion Kirche in den schwarzen Beutel geworfen wird muss immer vom eigenen Hofplan genommen werden.; [1292: Zufall, 1492: Siegbedingung, ]
147: Handwerk; []
148: Mit dieser Aktion darfst du in einem der 5 Hand genau ein entsprechendes Gut her stellen.; [8536: Aktionspunkte, ]
149: Du nimmst das entsprechende und legst es neben deinem Hof ab; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
150: In der Mühle erhältst du stattdessen 2 Münzen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
151: Dein Familienmitglied bleibt für den Rest des Spiels in dem eingesetzten Hand stehen bis es stirbt oder durch die Aktion Familie auf den Hof zurückkehrt; [8536: Aktionspunkte, ]
152: Solange es dort steht kannst du über die Aktion Handwerk in diesem Betrieb erneut ein Gut herstellen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
153: Diesmal verlierst du jedoch nur so viel Zeit wie in dem Herstellungspfeil angegeben ist.; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
154: Das Familienmitglied muss ja nicht noch einmal ausgebildet werden.; []
155: Abgesehen von der Mühle hast du in jedem die Wahl ob du das Gut mit Zeit bezahlst hierfür musst du; [8528: Siegpunkte, 1492: Siegbedingung, ]
156: ein Familienmitglied im jeweiligen Betrieb haben Achtung Jedes zum Handwerker ausgebildete Familienmitglied kann natürlich nur das Gut herstellen das sein Betrieb vorgibt.; [7090: Kooperative Spielform, ]
157: Ein Schmied kann also nur ei Pflug herstellen und keine In jedem können beliebig viele Figuren stehen.; [1292: Zufall, 8536: Aktionspunkte, ]
158: Ausnahme; []
159: In der Mühle dürfen gar keine Figuren eingesetzt werden.; []
160: ODER durch die Abgabe von bestimmten bzw. Getreide erwirbst Gut mit Zeit bezahlen Willst du ein Gut mit Zeit bezahlen musst du im entsprechenden Betrieb zu nächst ein eigenes Familienmitglied ausbilden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
161: Dazu stellst du eine Figur von deinem Hof in das das du nutzen willst.; []
162: Das kostet dich die angegebene Menge Zeit.; [8528: Siegpunkte, 7090: Kooperative Spielform, ]
163: Anzahl links neben dem auf dem Dach.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
164: Im Anschluss kannst du auch gleich noch das entsprechende Gut herstellen in dem du zusätzlich so viel Zeit bezahlst wie in dem Herstellungspfeil angegeben ist.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
165: Gut mit bzw. Getreide erwerben Unabhängig davon ob du eine Figur in einem stehen hast oder nicht darfst du ein Gut auch durch die Abgabe der auf dem Dach angegebenen Menge Einflusssteine bzw. Getreide in den Ställen erwerben.; [8536: Aktionspunkte, ]
166: Hierfür ist es also nicht notwendig eine Figur in dem entsprechenden Betrieb zu haben.; [7090: Kooperative Spielform, ]
167: Im Beispiel links hätte Philipp also den Planwagen auch durch die Abgabe von 1 und 1 Einflussstein erwerben können ohne eine Figur einzusetzen und damit Zeit zu verlieren.; [3142: Verlierbedingung, ]
168: Kosten für die in der Übersicht 1 Figur einsetzen 8 8; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
169: Mit Figur 1; []
170: Planwagen bauen 8 8 1 Planwagen mit Einfluss erwerben; [8528: Siegpunkte, ]
171: 0 0 Beispiel Philipp möchte einen Planwagen herstellen.; []
172: Er stellt eine Figur von seinem Hof in die das kostet ihn 2 Zeit für die Ausbildung und produziert den Planwagen das kostet ihn erneut 2 Zeit; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
173: Er nimmt den Planwagen aus dem Vorrat und legt ihn neben seinen Hof.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
174: Ställe 1; []
175: Figur einsetzen; []
176: Mit Figur 1; []
177: Ochsen; []
178: ODER; []
179: 1 Pferd züchten 1 Ochsen; []
180: ODER; []
181: 1 Pferd mit Getreide erwerben Schreibstube; []
182: 1 Figur einsetzen 8 8; [7090: Kooperative Spielform, ]
183: Mit Figur 1 anfertigen 2 8 1 mit Einfluss erwerben Schmiede; []
184: 1 Figur einsetzen 8 8 8; [7090: Kooperative Spielform, ]
185: Mit Figur 1; []
186: Pflug bauen 8 8 8 1 Pflug mit Einfluss erwerben; [8528: Siegpunkte, ]
187: 0 0 Mühle Hier können keine Figuren eingesetzt werden.; [7090: Kooperative Spielform, ]
188: Gegen Abgabe von 2 Zeit und 2 erhältst du einfach 2 Münzen aus dem Vorrat.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
189: Markt; []
190: Mit dieser Aktion rufst du einen Markttag aus an dem alle Spieler teilnehmen dürfen.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
191: Auf diese Aktion kann man nicht verzichten.; [8536: Aktionspunkte, ]
192: Ein Markttag findet immer statt!; [7090: Kooperative Spielform, ]
193: Wenn du die Aktion ausgelöst hast bist du der Erste der einen Kunden bedienen darf.; [8536: Aktionspunkte, ]
194: Zur Auswahl stehen alle Kunden die direkt vor den Marktständen platziert sind auf einem Feld mit einer blauen Umrandung liegen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
195: Die Kunden auf den restlichen Feldern stehen in der Warteschlange und können noch nicht bedient werden.; [3173: Gemeinsames Spielfeld, ]
196: Jeder Kunde verlangt ganz bestimmte Güter und oder Getreide.; [8528: Siegpunkte, ]
197: Du legst einfach die geforderten Güter bzw. die geforderte Menge in den Vorrat nimmst dir das Kundenplättchen und legst es verdeckt neben deinen Hof.; [1292: Zufall, ]
198: Dieser Kunde ist bei Spielende die wert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
199: Danach sind im Uhrzeigersinn die anderen Spieler an der Reihe und können sich jeweils einen der übrigen Kunden aussuchen.; []
200: Zusätzlich zu den geforderten Gütern bzw. muss jedoch jeder von ihnen immer noch 1 grünen Einflussstein und 1 Zeit abgeben.; [8528: Siegpunkte, 1492: Siegbedingung, ]
201: Wer nichts verkaufen will oder kann muss passen und darf dann nicht wieder in den Markttag einsteigen.; [8536: Aktionspunkte, ]
202: Sobald du als auslösender Spieler wieder an die Reihe kommst kannst du er neut einen von den verbliebenen Kunden bedienen.; [164466: Loswerden, 7090: Kooperative Spielform, ]
203: Diesmal musst du jedoch ebenfalls zusätzlich 1 grünen Einflussstein und 1 Zeit abgeben.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
204: Nur dein erster Verkauf ist frei.; []
205: Im Anschluss geht es im Uhrzeigersinn so lange weiter bis alle Kunden bedient sind oder alle Spieler gepasst haben.; [164466: Loswerden, 3142: Verlierbedingung, ]
206: Dann endet der Markttag und je nach Spielerzahl werden die blau umrandeten Felder mit neuen Kunden aufgefüllt.; [1292: Zufall, ]
207: Dabei rutschen die Kunden aus der Warte schlange der Reihe nach auf.; []
208: Anschließend wird die Warteschlange mit neuen Kunden vom verdeckten Stapel aufgefüllt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
209: Wenn gar keine Kunden bedient wurden bleibt alles liegen wie es ist.; []
210: Hinweis; []
211: Sollten einmal alle Kundenplättchen aufgebraucht sein bleiben die Marktstände ganz einfach leer.; [164466: Loswerden, ]
212: Beispiel Markttag Martina hat nichts mehr das sie verkaufen könnte und passt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
213: Zuletzt passt auch Peter.; []
214: Damit ist der Markttag beendet.; []
215: Nun rücken die Kunden aus der Warteschlange auf 1; []
216: Die 3 leeren Felder vor den Marktständen werden mit den obersten Plättchen der Warteschlange belegt.; [1292: Zufall, 1492: Siegbedingung, ]
217: 2; []
218: Die beiden unteren Plättchen rücken in der Warte schlange nach oben.; [1292: Zufall, 1492: Siegbedingung, ]
219: 3; []
220: Die restlichen Felder der Warteschlange werden mit neuen Kundenplättchen vom Stapel belegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
221: Peter löst im Spiel zu dritt den Markttag aus indem er den Einflussstein vom Aktionsfeld Markt nimmt.; [3142: Verlierbedingung, ]
222: Er legt 1 Pferd und 1 Pflug zurück in den Vorrat nimmt sich das entsprechende Kundenplättchen und legt es verdeckt neben seinen Hof.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
223: Damit hat er am Ende des Spiels 6 sicher.; [164466: Loswerden, ]
224: Als Nächster ist Philipp dran.; []
225: Er besitzt zwar eine aber keinen oder Pflug.; [1492: Siegbedingung, ]
226: Deswegen muss er passen.; []
227: Nun ist wieder Peter an der Reihe.; []
228: Im Gegensatz zu Philipp besitzt er sowohl eine als auch einen Um das Plättchen zu erwerben muss auch er zunächst 1 grünen Einflussstein sowie 1 Zeit abgeben.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
229: Dann legt er und in den Vorrat und erhält das Plättchen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
230: Nach ihm ist Martina an der Reihe.; []
231: Sie möchte das Plättchen mit den 3 haben.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
232: Dafür muss sie zunächst 1 grünen Einflussstein sowie 1 Zeit abgeben.; [8528: Siegpunkte, ]
233: Dann legt sie die 3 in den Vorrat und erhält dafür das entsprechende Kundenplättchen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
234: Reise; []
235: Mit dieser Aktion kannst du ein Familienmitglied auf Reisen schicken.; [8536: Aktionspunkte, ]
236: Hast du noch keine Figur auf dem Reiseplan nimmst du eine Spielfigur von deinem Hof und stellst sie auf einen der beiden Orte die vom Dorf aus erreicht werden können.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
237: Nun musst du noch die Kosten für die Reise zahlen die auf dem Weg angegeben sind.; [8536: Aktionspunkte, ]
238: Du musst auf jeden Fall 2 Zeit abgeben sowie 1 Planwagen zurück in den Vorrat legen.; [1292: Zufall, 1492: Siegbedingung, ]
239: Außerdem musst du je nachdem welchen Weg du nimmst entweder 2 oder 2 braune Einflusssteine in den Vorrat legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
240: Danach du einen deiner runden Marker auf dem erreichten Ort und erhältst die dort Belohnung 3 Beispiel Philipp lässt eine Figur vom Dorf aus in den nördlichen Nachbarort reisen.; [1492: Siegbedingung, ]
241: Er nimmt eine Figur von sei Hof und stellt sie dort ab.; []
242: Dafür zahlt er 2 Zeit und legt 1 Planwagen sowie 2 braune Steine in den Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
243: Danach legt er noch einen sei Marker auf den erreichten Ort und erhält die dortige Belohnung 3 auf der Vorrat Hast du bereits mindestens eine Spielfigur auf einem Ort des kannst du dich entscheiden Entweder schickst du noch eine weitere Figur von deinem Hof auf Reisen also zu; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
244: den beiden vom Dorf aus erreichbaren ODER du bewegst eine deiner Figuren die sich bereits auf einem Ort des befindet in einen dazu benachbarten Ort.; [8536: Aktionspunkte, ]
245: Benachbart sind alle Orte; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
246: die über einen Weg direkt erreichbar sind ohne einen Ort zu überspringen Dazu bezahlst du wieder die auf dem Weg angegebenen Reisekosten und legst an dem erreichten Ort einen deiner runden Marker ab.; [1292: Zufall, 1492: Siegbedingung, ]
