0: KOSMOS; []
84: den jeder Spieler zu Beginn erhalten hat kann man im Laufe des Spiels noch weitere kleine Marktstände bauen indem man eine entsprechende Karte von der Hand ausspielt.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
85: Dieser kleine Marktstand wird neben den großen Marktstand gelegt und bleibt dort bis zum Spielende liegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
86: Die kleinen Marktstände bieten Platz für drei Waren.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
87: Der Spieler der als Erster einen kleinen Marktstand errichtet muss für diesen 6 Gold in die Kasse bezahlen.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
88: Alle weiteren kleinen Marktstände dieses Spielers oder seines Gegners kosten nur noch je 3 Gold.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
89: Ein Spieler darf mehrere kleine Marktstände besitzen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
90: Die Karten im Einzelnen Warenkarten; [1292: Zufall, 164466: Loswerden, 8528: Siegpunkte, ]
91: Die Warenkarten können zum Einkauf oder zum Verkauf genutzt werden und werden nach dem Ausspielen auf den Ablagestapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
92: Auf den meisten Warenkarten sind drei Waren abgebildet auf einigen wenigen Karten sind sechs Waren zu sehen.; [1292: Zufall, 1492: Siegbedingung, 8528: Siegpunkte, ]
93: Beim Einkauf zahlt man in die Kasse den Preis in Gold der auf der ausgespielten Warenkarte unten links angegeben ist und nimmt sich alle auf der Karte abgebildeten Waren aus dem Vorrat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
94: Die Waren werden sofort auf freie Plätze der eigenen Marktstände gelegt.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
95: Hat ein Spieler auf seinen Marktständen nicht genug Platz für alle Waren darf die Warenkarte nicht gespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
96: Die Warenkarte darf ebenfalls nicht gespielt werden wenn nicht mehr alle auf der Karte abgebildeten Waren im Vorrat liegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
97: Es müssen immer alle abgebildeten Waren auf einmal eingekauft werden.; []
98: Auf dem großen Marktstand ist Platz für sechs Waren.; [3173: Gemeinsames Spielfeld, ]
99: Allerdings sind nur fünf davon kostenlos.; [73230: Symmetrische Startbedingung, ]
100: Wird ein Feld mit einer Ware belegt muss man dafür sofort 2 Gold in die Kasse zahlen.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
101: Diese Zahlung muss jedes Mal vorgenommen werden wenn das Feld des großen egal welches das ist belegt wird.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
102: Hinweis Meistens ist es daher von Vorteil einen kleinen zu So vermeidet man die Kosten fürs Feld und kann mehr Waren anbieten.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
103: Beim Verkauf nimmt man aus der Kasse den Preis in Gold der auf der ausgespielten Waren karte unten rechts angegeben ist und legt die abgebildeten Waren in den Vorrat zurück.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
104: Man darf die Warenkarte zum Verkauf jedoch nur nutzen wenn man tatsächlich alle abgebildeten Waren auf seinen Marktständen liegen hat.; [1292: Zufall, 8536: Aktionspunkte, ]
105: Gegenstände; []
106: Wenn man einen Gegenstand ausspielt wird dieser offen vor dem Spieler aus gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
107: Gegenstände werden am Ende des Zuges nicht auf den Ablagestapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
108: Wenn die Karte vor dem Spieler ausliegt kann ihre Funktion genutzt werden auch schon in demselben Zug in dem der Gegenstand ausgelegt wurde.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
109: Wichtig Jede Nutzung eines Gegenstandes kostet 1 Aktion!; [8536: Aktionspunkte, 1492: Siegbedingung, ]
110: Jeder Gegenstand darf von seinem Besitzer nur einmal pro Zug genutzt werden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
111: Als Zeichen dass man einen Gegenstand schon einmal genutzt hat dreht man die Karte auf den Kopf.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
112: Man darf nicht mehr als 3 Gegenstände vor sich liegen haben.; [8536: Aktionspunkte, ]
113: Möchte man einen weiteren Gegenstand aus legen muss man einen seiner drei Gegenstände auf den Ablagestapel legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
114: Das darf auch eine Karte sein die in demselben Zug schon genutzt worden ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
115: Den gleichen Gegenstand darf man durchaus mehrmals vor sich ausliegen haben und so die entsprechende Funktion auch mehrmals pro Zug nutzen.; [8536: Aktionspunkte, ]
116: Am Ende des Zuges werden die auf den Kopf gedrehten Gegenstände wieder zurückgedreht so dass man sie im nächsten Zug erneut nutzen kann.; [3173: Gemeinsames Spielfeld, ]
117: Personen; []
118: Wenn man eine Person ausspielt wird die entsprechende ausgeführt und die Karte auf den Ablagestapel gelegt Tiere; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
119: Wenn man ein Tier ausspielt wird die entsprechende ausgeführt und die Karte auf den Ablagestapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
120: Allerdings kann sich der Gegner vor Tieren mit einem Wächter schützen.; [8536: Aktionspunkte, ]
121: Er spielt den Wächter außer der Reihe was keine Aktion kostet! und macht das Tier für beide Spieler unwirksam.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
122: Der Wächter wird sofort auf den Ablagestapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
123: SPIEL END; []
124: Sobald ein Spieler am Ende seines Zuges 60 oder mehr Gold besitzt wird das Spielende eingeleitet.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
125: Sein Gegner hat nun noch genau einen vollständigen Spielzug mit 5 Aktionen Hat der Gegner nach diesem Zug gleich viel oder mehr Gold so hat er gewonnen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
126: Sonst gewinnt der Spieler der das Spielende eingeleitet hat.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
127: WICHTIGE; []
128: HI; []
129: Nicht vergessen Hat ein Spieler am Ende seines Zuges; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
130: noch 2 oder mehr Aktionen übrig erhält er 1 Gold aus der Kasse!; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
131: Die Spieler dürfen beliebig viele Karten auf der Hand halten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
132: Das Gold der Spieler muss stets sichtbar ausliegen.; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
133: Hat ein Spieler kein Gold mehr darf er eine Handlung für die er Gold bezahlen müsste nicht ausführen.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
134: Hat ein Spieler auf seinen Marktständen nicht genug Platz für alle Waren die er aufgrund von Personen oder Tierkarten bekommt darf er entscheiden welche er auf seine Marktstände legt und welche im Vorrat bleiben bzw. dorthin gelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
135: Um Gegenstände leichter von Personen und Tieren zu unterscheiden haben diese Karten einen anderen Rahmen und ein dunkleres Sollte der seltene Fall eintreten dass der Nachziehstapel einmal aufgebraucht ist wird der Ablagestapel gemischt und als neuer Nachziehstapel verdeckt ausgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
136: Der Autor Rüdiger Dom geboren 1969 lebt mit seiner Frau Maja und den drei Kindern in Nürnberg.; []
137: Der lehrer hat schon zahlreiche und Erwachsenenspiele entwickelt.; []
138: Besonders Spiele bei denen sich immer neue Möglichkeiten ergeben haben es ihm angetan so wie bei seinem abwechslungsreichen das sein erstes Spiel im Kosmos; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
139: Verlag ist Redaktionelle; []
140: Bearbeitung; []
141: Illustration Michael Menzel Gestaltung; []
142: Pohl Der Autor und der Verlag danken allen Testspielern und Regellesern.; []
143: 2004 KOSMOS; []
144: Verlag Postfach 106011; []
145: Stuttgart Telefon; []
146: 0 Fax 0 info kosmos.de Art.-Nr 690038; []
147: Alle Rechte Vorbehalten.; [164466: Loswerden, ]
148: Weitere Informationen zu Spiele für Zwei finden Sie auf unserer Webseite Made in Germany http info kosmos.de http; []
