0: Anschluss besetzt oder hebt am anderen Ende niemand ab gilt der Joker trotzdem als gesetzt.; []
42: Diese Aufgabe geht reihum bis jeder gleich oft an der Reihe war.; []
43: Der Spielleiter stellt den Spielern die Fragen und trägt in der ersten Runde die Namen der Spieler und seinen eigenen in die Felder des ein.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
44: Wenn mehr als 4 Spieler mitspielen müssen mehrere Seiten des Blocks genommen werden.; [164466: Loswerden, 1492: Siegbedingung, ]
45: Es ist die Aufgabe des bei einer richtigen Antwort das entsprechende Antwortfeld auf dem Wertungsblock für den Spieler zu markieren und für eventuell eingesetzte Joker die entsprechenden Symbole abzustreichen.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, ]
46: Der Spielleiter beginnt die erste Runde indem er eine Karte zu 50 in das Spielmodul steckt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
47: Der Kennbuchstabe erscheint in der Aussparung auf der Rückseite des Moduls.; [3173: Gemeinsames Spielfeld, ]
48: Der Spielleiter liest die Frage und die vier möglichen Antworten mit den entsprechenden laut vor und zeigt das Spielmodul dann so den Spielern dass diese alles noch einmal lesen können.; []
49: Die Spieler wählen eine Antwort aus indem sie verdeckt eine AB oder in die Hand nehmen.; [1292: Zufall, 3142: Verlierbedingung, ]
50: Gespielt wird im Uhrzeigersinn.; []
51: Der Spielleiter fragt die Spielrunde beginnend mit dem Spieler zu seiner Linken ob jemand einen Joker einsetzen möchte.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
52: Jeder Joker kann pro Spielrunde nur einmal benutzt werden auch wenn die Spieler bis zu drei Joker auf einmal pro Frage verwenden dürfen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
53: Wenn ein Spieler sich für eine Antwort entschieden hat gilt diese und darf nicht mehr geändert werden.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
54: Die werden noch nicht offen gezeigt.; []
55: Haben alle Spieler sich für eine Antwort entschieden werden die gleichzeitig aufgedeckt.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
56: Der Spielleiter liest die richtige Antwort und den vor.; [7090: Kooperative Spielform, ]
57: Für alle Spieler die eine richtige Antwort gegeben haben markiert der Spielleiter das entsprechende Feld auf dem Wertungsblock.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
58: Bei einer richtigen Antwort kommt der Spieler weiter zur Die Spieler die eine falsche Antwort gegeben haben scheiden aus dieser Runde aus und erhalten keine Punkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
59: Der Spielleiter nimmt nun die 100 Frage und liest diese sowie die vier Antwortmöglichkeiten mit den vor.; []
60: Die Spieler können nun entscheiden ob sie die Frage beantworten möchten oder lieber passen und die erspielten 50 Punkte für diese Spielrunde behalten.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
61: Wer sich für die Punkte entscheidet spielt in dieser Runde nicht mehr mit.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
62: Die Punkte werden auf dem Wertungsblock als Gesamtergebnis eingetragen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
63: Die Spieler die die 100 Frage richtig beantworten erreichen die nächste Spieler die eine falsche Antwort geben scheiden aus der Runde aus und bekommen keine Punkte.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
64: Das Spiel geht so lange weiter bis der Erste 1 Million.; [3142: Verlierbedingung, ]
65: Euro gewonnen hat bzw. alle Spieler durch falsche Antworten oder Passen aus dem Spiel ausgeschieden sind.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
66: Bei einer fest vereinbarten Anzahl von endet das Spiel wenn diese Anzahl erreicht ist.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
67: Der Spielleiter trägt dafür Sorge dass das Ergebnis jeder Runde für die einzelnen Spieler sorgfältig auf dem Wertungsblock notiert wird.; [8528: Siegpunkte, 1492: Siegbedingung, ]
68: Das gilt auch für die Spieler die von sich aus das Spiel in einer Runde beenden und die bis dahin erspielten Punkte behalten.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
69: Bei einer falschen Antwort auf eine Frage der Kategorien 50 bis 500 scheidet der Spieler aus und erhält keine Punkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
70: Antwort ein Spieler falsch auf eine Frage der Kategorien 1 000 bis 16 000 scheidet er aus und es werden ihm 1 000 als Punkte gutgeschrieben.; [8528: Siegpunkte, ]
71: Bei einer falschen Antwort auf eine Frage der Kategorien 32 000 bis 1 000 000 scheidet der Spieler für diese Runde aus und erhält 16 000 als Punkte gutgeschrieben.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
72: Stimmkarten; []
73: AB; []
74: Wenn kein Spieler mehr im Spiel ist beginnt eine neue Runde und der Spieler zur Linken des übernimmt dessen Rolle.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
75: Er stellt nun die Fragen und führt den Wertungsblock.; [8528: Siegpunkte, ]
76: Der neue Spielleiter beginnt wieder mit einer Frage zu 50 Es wird im Uhrzeigersinn gespielt.; []
77: Joker; []
78: Der Spielleiter fragt die Kandidaten reihum ob sie für eine Frage einen Joker verwenden möchten.; []
79: Jeder Spieler entscheidet sich nachdem er die Frage und Antwortmöglichkeiten gehört hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
80: Wird ein Joker eingesetzt streicht der Spielleiter das entsprechende Symbol auf dem Wertungsblock für den Spieler durch.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, ]
81: 50 50 Joker Setzt ein Spieler den 5.0 50 Joker ein streicht der Spielleiter das Symbol auf dem Wertungsblock durch.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
82: Der Spieler gibt seine Stimmkarten AB an den Spielleiter.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
83: Der Spielleiter wählt zwei aus von denen eine den richtigen zeigen muss.; [3173: Gemeinsames Spielfeld, ]
84: Ohne dass die anderen Spieler die Karten sehen gibt der Spielleiter dann diese zwei der Karten an den Spieler zurück.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
85: Der Spieler kann nun eine Karte hiervon als seine Antwort auswählen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
86: Ist er noch nicht sicher welche Antwort die richtige ist darf er noch weitere Joker ins Spiel bringen oder auch für sich das Spiel beenden und die bis dahin erspielten Punkte als Gesamtergebnis für diese Runde behalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
87: Setzt ein Spieler den ein streicht der Spielleiter das Symbol auf dem Wertungsblock durch.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
88: Die anderen Spieler müssen nun eine Antwortmöglichkeit auswählen und die entsprechende AB oder an den Spielleiter geben.; [8536: Aktionspunkte, ]
89: Dabei sollte die Vorderseite der Karte nicht für die übrigen Mitspieler zu sehen sein.; [1292: Zufall, ]
90: Der Spielleiter fügt von seinen Stimmkarten die mit dem richtigen hinzu mischt die Karten und überreicht sie dem Spieler der den Joker eingesetzt hat.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
91: Aus den für die Antworten kann der Spieler der den Joker gesetzt hat nun einen auswählen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
92: Ist er noch nicht sicher welche Antwort die richtige ist darf er noch weitere Joker ins Spiel bringen oder auch für sich das Spiel beenden und die bis dahin erspielten Punkte als Gesamtergebnis für diese Runde behalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
93: Für den gilt eine veränderte Regel wenn das Spiel nur mit 2 Personen gespielt wird.; [166903: Ankommen, ]
94: Setzt ein Spieler den ein streicht der Spielleiter das Symbol auf dem Wertungsblock durch.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
95: Der Spieler darf einen Mitspieler als auswählen und Ihn anrufen; [8536: Aktionspunkte, ]
96: Dieser gibt nun seine mit der seiner Meinung nach richtigen Antwort verdeckt an den Spielleiter.; []
97: Der Spielleiter legt nun eine mit dem für die richtige dazu mischt die Karten und reicht sie an den Spieler weiter der den Joker eingesetzt hat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
98: Der Spieler kann sich nun für diese Antwort oder bei zwei verschiedenen für eine Antwort entscheiden.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
99: Ist er noch nicht sicher welche Antwort die richtige ist darf er noch weitere Joker ins Spiel bringen oder auch für sich das Spiel beenden und die bis dahin erspielten Punkte als Gesamtergebnis für diese Runde behalten.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
100: Alternativ kann ein Spieler wenn er den einsetzt auch jemanden anrufen der nicht am Spiel beteiligt ist und diesen bitten ihm bei der Beantwortung zu helfen.; [164466: Loswerden, 3142: Verlierbedingung, ]
101: Für die Beantwortung hat der Angerufene 30 Sekunden Zeit.; [7090: Kooperative Spielform, ]
102: Der Spielleiter überwacht die Zeit.; [7090: Kooperative Spielform, ]
103: Ist der; []
