0: Mehr Spielplan!; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
33: Die Karten sollte jeder so auf die Hand nehmen dass sie von den Mitspielern nicht ein gesehen werden können.; [1292: Zufall, ]
34: Weitere 5 Karten werden als Beginn des Ablagestapels offen in der Spielplanmitte platziert so.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
35: dass alle Spieler nur die oberste der fünf Karten einsehen können; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
36: Die restlichen Karten bilden den Aufnahmestapel der verdeckt in der platziert wird.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
37: Der jüngste Spieler erhält die zwei Würfel; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
38: er beginnt den ersten Durchgang.; []
39: Fläche für Aufnahmestapel; [1292: Zufall, ]
40: Räche für Ablagestapel 10 Phasen Rundkurs Eng 5; [1292: Zufall, ]
41: Karten fort 4 0 Drilling.; [1292: Zufall, 164466: Loswerden, ]
42: 1 0 6 Karten färbe.; [1292: Zufall, 164466: Loswerden, ]
43: 1 0 0 0 2 0 1 0 1 2; []
44: Es wird reihum im Uhrzeigersinn gespielt.; [164466: Loswerden, ]
45: Wer an der Reihe ist. macht einen Spielzug.; []
46: Jeder Spielzug besteht immer aus denselben drei aufeinander folgenden Schritten Schritt 1 Als erstes muss ein Spieler; [1492: Siegbedingung, ]
47: beide Würfel werfen seinen Spielstein versetzen und die Aktion des ausführen.; [1292: Zufall, 8536: Aktionspunkte, ]
48: Schritt 2; []
49: Danach kann er vollkommen unabhängig davon welche Aktion er gerade ausgeführt hat seine Phase auslegen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
50: Schritt 3; []
51: Und schließlich muss er als letztes eine Karte offen auf den Ablagestapel abwerfen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
52: Schritt; []
53: 1 Muss!; []
54: Spielstein bewegen und Aktion ausführen Schritt 2; [8536: Aktionspunkte, ]
55: Kann!; []
56: Phase auslegen; []
57: Als erstes würfelt der Spieler mit beiden Würfeln.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
58: Dann wählt; []
59: Genauere Erklärungen zu den einzelnen Phasen finden Sie auf Seite 6.; [7090: Kooperative Spielform, ]
60: er einen der zwei Würfel aus und zieht seinen Spielstein um entsprechend viele Felder im Uhrzeigersinn voran.; [1292: Zufall, 8536: Aktionspunkte, ]
61: Nachdem ein Spieler seine Aktion ausgeführt hat kann er die Ausnahme Wurde zweimal dieselbe Zahl; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
62: geworfen Pasch zieht man seine Figur entweder um die einfache oder um die doppelte Zahl voran.; [1292: Zufall, 8536: Aktionspunkte, ]
63: Achtung; []
64: Beim Ziehen werden mit besetzte Felder im er übersprungen und nie mitgezählt.; [1292: Zufall, ]
65: Phase in der; []
66: er sich gerade befindet angezeigt durch seinen offen vor sich auslegen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
67: Dazu muss er alle für die Phase erforderlichen Karten von seiner Hand offen vor sich auf den Tisch legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
68: Diese Karten sollten dabei etwas auf gefächert ausgelegt werden so dass sie von allen Spielern gut erkannt werden können.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
69: Achtung Man muss im er die vollständige Phase auslegen nur einen Teil seiner Phase auszulegen ist verboten!; []
70: 0 0 Beispiel Annas befindet sich auf dem Feld Phase 2 4; [3173: Gemeinsames Spielfeld, ]
71: Zwillinge; []
72: Sie hat zwei zwei Her und drei auf der Hand und hat gerade durch ihre Aktion eine weitere 8 erhalten.; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
73: Sie besitzt nun die erforderlichen 4 Zwillinge 8 8. 8 11 11 und darf diese 8 Karten offen vor sich auslegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
74: Hätte Anna die vierte 8 nicht erhalten hätte sie ihre Phase noch nicht auslegen dürfen.; [1492: Siegbedingung, ]
75: Hat ein Spieler seine Phase ausgelegt sollte er nun so schnell wie möglich versuchen seine restlichen Handkarten durch Anlegen an Phasen loszuwerden.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
76: Dazu kann er immer wieder in Schritt 2 seiner eine oder mehrere passende Karten sowohl an die eigene als auch an die bereits ausliegenden Phasen seiner Mitspieler anlegen.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
77: Als passend gelten alle Karten die die ausliegenden Kartenkombinationen verlängern nicht aber neue Kombinationen schaffen!; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
78: Das Feld auf dem der Spielstein landet gibt an welche Aktion der Spieler anschließend ausführen muss.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
79: Es gibt acht verschiedene sie werden auf Seite 5 ausführlich erklärt.; [8536: Aktionspunkte, ]
80: Beispiel Björn hat die 8. Phase 2; []
81: Vierlinge; []
82: 8 8 8 1 1 1 1 1 1 1 1 und Carla die 9. Phase 3 9 0 ausliegen.; []
83: Björn und Carla dürfen nun an die entsprechenden Sets beliebig viele und sowie an die Folge eine 2 und dann eine 1 und eine 12 anlegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
84: Sie dürften aber kein anderes Set wie 4 4 oder eine neue Folge wie 3 auslegen.; [8536: Aktionspunkte, ]
85: 3; []
86: Ein neuer Durchgang Wirft ein Spieler in Schritt 3 seine letzte Handkarte ab das kann auch der Fall sein; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
87: wenn er gerade erst seine Phase ausgelegt hat beendet er damit den Durchgang und es kommt zur Auswertung des Durchgangs kann; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
88: beginnen Es werden wieder alle Karten und Ablagestapel zusammen!; [1292: Zufall, 164466: Loswerden, ]
89: gemischt mit Ausnahme de jeweils bis zu 5 auf der Hand zurückbehaltenen Karten Dann werden reihum so lange Karten einzeln an die Spieler aus geteilt.; [1292: Zufall, ]
90: bis wieder jede insgesamt 10 Karten auf der Hand hat.; [1292: Zufall, 1492: Siegbedingung, ]
91: Der offene Ablagestapel mit 5 Karten und der verdeckte Auf werden wieder in der Spielplanmitte bereitgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
92: Die verbleiben an Ort und Stelle sie werden also nicht wieder zurück auf das größere Aktionsfeld mit den Sternen gestellt!; []
93: Einen neuen Durchgang beginnt im er der Spieler links von demjenigen der den letzten Durchgang beendet hat.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
94: Spielende Sobald ein Spieler während der Auswertung eines Durchgangs mit seinem auf das Feld mit dem Lorbeerkranz zieht endet das Spiel so fort und dieser Spieler ist Sieger!; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
95: Die Auswertung eines Durchgangs erfolgt immer in dieser Reihen folge; [8528: Siegpunkte, 1492: Siegbedingung, ]
96: Zuerst zieht der.; [1292: Zufall, 164466: Loswerden, ]
97: der den Durchgang beendet hat.; []
98: 2 Phasen felder weiter dann von ihm ausgehend reihum alle anderen Spieler die ihre Phase ausliegen haben.; [164466: Loswerden, 3142: Verlierbedingung, ]
99: 1 Feld weiter.; []
100: Wer auf diese Weise zuerst den Lorbeerkranz erreicht ist Sieger!; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
101: Dieser Spieler darf zur Belohnung seinen um zwei weiterziehen.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
102: Er überspringt dadurch also eine komplette Phase!; []
103: Danach darf reihum jeder Spieler der auch seine Phase vor sich aus liegen hat seinen ein Feld weiterziehen.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
104: Seine rest Handkarten wirft er auf den Ablagestapel.; [1292: Zufall, ]
105: Alle Spieler die ihre Phase nicht aus liegen haben lassen ihren Phasen anzeiger stehen; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
106: sie müssen also im nächsten Durchgang dieselbe Phase erneut versuchen.; [1492: Siegbedingung, ]
107: Als kleinen Trost dürfen sie jeweils bis zu 5 ihrer Hand karten Joker auf der Hand behalten alle weiteren Handkarten müssen auch sie auf den Ablagestapel werfen.; [1292: Zufall, ]
108: Anmerkung; []
109: Handkarten zählen in diesem Spiel im Gegensatz zum Kartenspiel am keine Minuspunkte!; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
110: Wichtig Passende; []
111: Karten dürfen bereits im Zug an gelegt werden in dem die Phase ausgelegt wird.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
112: Im gerade genannten Beispiel hätte Carla also direkt eine Folge mit mehr als neun Karten auslegen und zusätzlich auch noch sofort eine oder mehrere 8 er ran; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
113: Björns Phase anlegen können.; []
114: Zur Erinnerung Erst wenn ein Spieler seine Phase ausgelegt hat darf er Karten an gegnerische Phasen anlegen!; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
115: Schritt 3; []
116: Muss!; []
117: Eine Karte abwerfen Unabhängig davon ob ein Spieler in Schritt 2 seine Phase aus gelegt hat oder nicht muss er zum Abschluss seines eine seiner Handkarten offen auf den Ablagestapel abwerfen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
118: Anschließend kommt der reihum nächste Spieler an die Reihe usw. Ausnahme Aktion; []
119: Eine Karte nehmen.; [1292: Zufall, ]
120: Mache einen weiteren Zug.; [8536: Aktionspunkte, ]
121: siehe Seite 5; []
122: Ende eines Durchgangs 1 1 1 1 1 1 1 1 1; [164466: Loswerden, 1492: Siegbedingung, ]
123: Die Aktionen; []
124: Der Spieler muss genau so viele Karten vom und oder Ablagestapel auf die Hand nehmen wie auf dem Feld angegeben ist.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
125: Bei 2 Karten darf er zunächst die erste Karte aufnehmen und danach entscheiden.; [1292: Zufall, 164466: Loswerden, ]
126: von welchem Stapel er die zweite aufnimmt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
127: Das Gleiche gilt in entsprechender Form auch für die Aktion 3; [8536: Aktionspunkte, ]
128: Karten; []
129: Der Spieler nimmt die oberste Karte vom oder Ablagestapel auf die Hand legt danach evtl seine Phase aus bzw. passende Karten an und wirft schließlich eine Karte auf den Ablagestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
130: Anschließend macht er einen kompletten weiteren Zug wieder Schritte 1; [8536: Aktionspunkte, ]
131: Sollte er dadurch er neut auf einem solchen Aktionsfeld landen gilt auch dieses wieder; []
132: usw. Hinweis; []
133: Sollte ein Spieler mit einer solchen Aktion bereits in seinem ersten Zug den Durchgang beenden verliert er in diesem Fall den zweiten Zug!; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
134: Der Spieler nimmt den gesamten Ablage stapel und sucht sich eine beliebige Karte daraus aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
135: Diese Karte nimmt er auf die Hand ohne sie seinen Mitspielern zu zeigen Anschließend legt er den Ablage stapel wieder in die Spielplanmitte zurück ohne die Reihenfolge der restlichen Karten verändert zu haben; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
136: Zunächst wirft der Spieler bis zu vier seiner Handkarten auf den Ablagestapel so.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
137: dass die Mitspieler nur die oberste Karte er kennen können Dann nimmt er vom Auf eine Karte mehr auf die Hand als er gerade abgeworfen hat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
138: Der Spieler nimmt die oberste Karte vom Aufnahm auf die Hand.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
139: Direkt an schließend müssen reihum auch alle an deren Spieler je eine Karte vom Aufnahme stapel auf die Hand nehmen.; [1292: Zufall, 3142: Verlierbedingung, ]
140: Hinweis; []
141: Auf diese Weise erhalten die Mit spielern eine Karte mehr auf die Hand.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
142: Der Spieler nimmt die oberste Karte vom Aufnahmestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
143: Er schaut sie sich kurz an und steckt sie dann umgedreht auf seine Hand also so dass er nun ihre Rückseite sieht und die anderen Spieler die Vorder seite; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
144: Diese umgedrehte Karte gilt nun als Joker; [1292: Zufall, ]
145: er darf sie als jede beliebige Zahl bzw. Farbe benutzen.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
146: Weitere Regeln zu den Jokern finden Sie auf Seite 6 bei den Erläuterungen zu den Phasen.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
147: Der Spieler fragt reihum oder linksherum seine Mitspieler nach einer Karte mit einer beliebigen Zahl zwischen 1 und 12 nach einer Farbe kann nicht gefragt werden!; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
148: Der erste Spieler der eine solche Zahlenkarte besitzt muss sie dem Spieler am Zug geben.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
149: Er erhält dafür ob er will oder nicht umgehend die oberste Karte vom Aufnahm als Ersatz auf die Hand.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
150: Besitzt niemand eine Karte mit der abgefragten Zahl muss der Spieler am Zug die oberste Karte vom Aufnahm nehmen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
151: Achtung; []
152: Zeigt ein Joker; []
153: die abgefragte Zahl jeder Spieler sieh sie ja und hat der betroffene Spieler wenn die Reihe an ihn kommt keine andere passende Zahlenkarte auf der Hand muss er den Joker herausrücken und anschließend eine normale Ersatzkarte ziehen; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
154: Der Spieler am Zug muss diese Karte dann aber wieder mit der ihm Vorderseite auf die Hand nehmen sie ist für ihn nun kein Joker mehr!; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
155: Der Spieler darf sich eine beliebige der anderen Aktionen aussuchen indem er seinen Spielstein auf das im Uhrzeigersinn nächste freie Feld dieser Aktion versetzt und sie an schließend ausführt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
156: Sind alle Felder der gewünschten Aktion besetzt alle Jokerfelder muss der Spieler eine andere Aktion wählen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
157: Zur Verdeutlichung; []
158: Nachdem ein Spieler die Aktion des Feldes auf dem sein Spielstein gelandet ist aus geführt hat; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
159: Schritt 1 kann er seine Phase auslegen bzw. passende Karten anlegen Schritt 2 und muss schließlich eine Karte offen auf den Ablagestapel abwerfen Schritt 3; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
160: Dies gilt bei jeder Aktion!; [8536: Aktionspunkte, 1492: Siegbedingung, ]
161: Dann kommt der reihum nächste Spieler mit seinem Zug Schritt 1 bis Schritt 3 an die Reihe usw. Ausnahme Aktion Karte nehmen.; [1292: Zufall, ]
162: Mache einen weiteren Zug.; [8536: Aktionspunkte, ]
