0: SPIELIDEE; []
46: Es wird noch bis zum nächsten Klingeln weitergespielt.; []
47: Hier gilt folgende Klingelt einer von euch falsch erhält der andere Spieler alle aufgedeckten Karten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, 8528: Siegpunkte, ]
48: Es gewinnt derjenige der die meisten Karten hat.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
49: Bei einem Gleichstand haben beide Spieler gewonnen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
50: ALTERNATIVES SPIELENDE; []
51: Wenn ihr möchtet könnt ihr auch weiter spielen bis ein Spieler alle Karten gewonnen hat.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
52: Dieser Spieler gewinnt das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
53: Besuche uns auf; []
54: Facebook Facebook.com; []
55: Spiel; []
56: Freizeit GmbH; []
57: Dietzenbach Version 2.0; []
58: Haben Sie noch Fragen?; []
59: Wir helfen Ihnen gerne!; []
60: Spiel Freizeit GmbH Waldstraße; [164466: Loswerden, ]
61: Dietzenbach hotline 8 http hotline; []
