0: SOLO; []
62: Der Spieler darf dann eine beliebige Farbe rot grün blau oder gelb wählen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
63: Beispiel; []
64: Ein Spieler legt die Aktionskarte und sagt Ich wünsche mir ROT.; [1292: Zufall, 3142: Verlierbedingung, ]
65: Der nächste Spieler muss mit einer roten Karte weiterspielen oder selbst eine schwarze Aktionskarte legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
66: Diese Aktionskarte ist ebenfalls ein Joker und kann auf jede Karte des Ablagestapels abgelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
67: Sie hat zwei Bedeutungen Erstens darf der Spieler eine Farbe wählen und zweitens muss der nächste Spieler vier Karten ziehen.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
68: Natürlich kann der nächste Spieler auch verlängern indem er die gleiche Karte ausspielt!; [1292: Zufall, 164466: Loswerden, ]
69: Hat ein Spieler vier oder mehr Karten gezogen führt er danach seinen normalen Spielzug mit Ablegen oder Ziehen einer Karte durch.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
70: KARTENTAUSCH REIHUM; []
71: Diese Aktionskarte ist ebenfalls ein Joker und kann auf jede Karte des Ablagestapels abgelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
72: Wird diese Karte von einem Spieler ausgespielt müssen alle Spieler ihre Karten auf der Hand vollständig an ihren in Spielrichtung nachfolgenden Nachbarn weitergeben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
73: Der nächste Spieler darf danach eine beliebige Karte ausspielen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
74: SPIELENDE; []
75: Vor dem Ablegen der vorletzten Karte muss deutlich; [1292: Zufall, 164466: Loswerden, ]
76: SOLO! gesagt werden.; []
77: Dies ist eine Warnung an alle dass der Spieler nur noch eine Karte besitzt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
78: Wer vergisst; []
79: SOLO!; []
80: zu rufen muss zwei Karten vom Zugstapel ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
81: Konnte ein Spieler seine letzte Karte ablegen hat er gewonnen und die Runde ist sofort vorüber.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
82: Ist die letzte Karte eine Aktionskarte wird sie nicht mehr befolgt.; [1292: Zufall, 164466: Loswerden, ]
83: Die anderen Spieler müssen nun die Punkte der Karten die sie noch auf der Hand haben zusammenzählen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
84: Diese Punkte werden den Spielern als Minuspunkte aufgeschrieben.; [8528: Siegpunkte, 1492: Siegbedingung, ]
85: Das Spiel endet nach mehreren Runden sobald mindestens ein Spieler 500 Minuspunkte überschritten hat.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
86: Es gewinnt der Spieler mit den wenigsten Minuspunkten.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
87: WERTUNG; []
88: Zahlenkarten Punkte 10 Punkte Aussetzen 20 Punkte 2 30 Punkte Kartentausch mit einem Mitspieler 30 Punkte Kartentausch reihum 40 Punkte 40 Punkte; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
89: 4 50 Punkte Sie haben ein Qualitätsprodukt gekauft.; [8528: Siegpunkte, 1492: Siegbedingung, ]
90: Sollten Sie dennoch Anlass zu einer Reklamation haben wenden Sie sich bitte direkt an uns.; []
91: Haben Sie noch Fragen?; []
92: Wir helfen Ihnen gerne Spiel Freizeit GmbH Waldstraße Dietzenbach hotline Spiel; [164466: Loswerden, ]
93: Freizeit GmbH; []
94: Dietzenbach Version 2.1; []
95: http hotline; []
