0: INHALTSÜBERSICHT SPIELPLAN; []
77: Auf dem Spielplan gibt es sechs Großmächte Italien; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
78: Frankreich Großbritannien; []
79: Deutsches Reich und Russland.; []
80: Diese Großmächte werden nachfolgend auch als Staaten bezeichnet.; []
81: Jede Großmacht hat 5 Landgebiete außerhalb der Großmächte werden als Landregionen bezeichnet.; [8528: Siegpunkte, 1492: Siegbedingung, ]
82: Provinz Rondell Hier führen die sechs Staaten ihre aus Berlin; []
83: Jeder Staat besitzt fünf Heimat provinzen mit jeweils einer Stadt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
84: In jeder Stadt kann eine Fabrik gebaut werden und zwar entweder als Werft 15 Städte oder als Waffenfabrik 15 braune Städte SPIELMATERIAL; [8528: Siegpunkte, 1492: Siegbedingung, ]
85: 1 Spielplan; []
86: 48 Armeen in 6 Farben 10 gelbe 6 rote alle anderen 8 48 Flotten in 6 Farben 6 gelbe 10 rote alle anderen 8 60 in 6 Farben 10 runde pro Farbe 30 Fabriken je 15 braune und 15 Werften 18 achteckige in 6 Farben für Rondell und Zählleiste 1 Holzfigur 48 Karten der Kredite an die sechs Groß mächte nachfolgend Kredite genannt; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
87: 2 4 6 9 12 16 20 25 1 2 3 4 5 6 7 8 6 Flaggen 1 1 als Ersatz 50 1 40 2 30 5 und 10 10 1 Spielregel; []
88: 1 Almanach der sechs Großmächte; []
89: SPIELVORBEREITUNG; []
90: 1. Spiel aufbauen siehe Abbildung unten; [164466: Loswerden, ]
91: Von jeder Farbe werden die drei achteckigen auf den Spielplan gestellt; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
92: Je ein Spielstein in die Mitte des Rondells auf das unterste Feld der und auf das erste Feld der Zählleiste 0 Fabriken Jeder Staat startet mit zwei Fabriken die auf dem Spielplan in den quadratischen Städten platziert werden.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
93: In den braunen Städten eine braune Waffenfabrik in den Städten eine Werft.; [1492: Siegbedingung, ]
94: Die noch nicht gebauten 18 Fabriken werden neben dem Spielplan als Vorrat der Bank abgelegt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
95: Kredite; []
96: Die 48 Kredite werden nach ihren Staaten in sechs Stapeln aufsteigend sortiert.; [1292: Zufall, ]
97: Jeder Stapel wird neben dem Spielplan in der Nähe der zugehörigen abgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
98: Bank; []
99: Das Spielgeld wird sortiert und neben dem Spielplan als Bank abgelegt.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
100: 3; []
101: SPIELVORBEREITUNG; []
102: 2. Kredite verteilen; []
103: Die anfänglichen Kredite sind auf der Rückseite der Flaggen abgebildet.; []
104: Abhängig von der Spiel erhalten die Spieler und Flaggen ausgehändigt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
105: 4 bis 6; []
106: Spieler; []
107: Jeder Spieler erhält aus der Bank ein von 13 1 5 4 2; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
108: Die 6 Flaggen werden verdeckt gemischt und reihum so an die Mitspieler verteilt dass jeder eine Flagge erhält.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
109: 3; []
110: Spieler; []
111: Jeder Spieler erhält aus der Bank ein von 26 2 5 8 2; [8528: Siegpunkte, 1492: Siegbedingung, ]
112: Die Flaggen von Italien und Frankreich werden verdeckt gemischt und reihum an die Mitspieler verteilt.; [1292: Zufall, ]
113: Nachfolgend erhält jeder Spieler eine weitere Flagge Großbritannien zu Russland zu Italien; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
114: Deutsches Reich zu Frankreich 2; []
115: Spieler; []
116: Jeder Spieler erhält aus der Bank ein von 39 3 5 12 2; [8528: Siegpunkte, 1492: Siegbedingung, ]
117: Die Flaggen von und Italien werden verdeckt gemischt und reihum an die Mit spieler verteilt.; [1292: Zufall, ]
118: Nachfolgend erhält jeder Spieler zwei weitere Flaggen Frankreich und Deutsches Reich zu Russland und Großbritannien zu Italien; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
119: Die der Kredite ist auf der Rückseite der Flaggen abgebildet.; []
120: Die Spieler nehmen jeweils die Kredite die auf der Rück seite ihrer Flagge abgebildet sind aus ihrem und zahlen den Kreditbetrag in die des jeweiligen Staates ein.; [1292: Zufall, 7090: Kooperative Spielform, ]
121: Wenn alle anfänglichen Kredite verteilt sind liegt das der Spieler vollständig in den Staats kassen auf dem Spielplan.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
122: Wer einem Staat die höchste Kreditsumme gegeben hat stellt dort die Regierung.; [8528: Siegpunkte, 1492: Siegbedingung, ]
123: Dies wird je durch den Besitz der Flagge dieses Staates angezeigt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
124: Daher behalten alle Spieler zunächst ihre ausgehändigten Flaggen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
125: Bei 4 und 5 Spielern sind noch nicht alle Flaggen verteilt.; [164466: Loswerden, 1492: Siegbedingung, ]
126: Die restlichen Flaggen erhält jeweils der Spieler der diesem Staat 4 Kredit gegeben hat er hat die höchste Kreditsumme Ist kein Kredit; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
127: aus dem des Staates vergeben bleibt die Flagge zunächst in der Bank liegen.; []
128: Kredite verteilen für erfahrene Spieler Diese Variante der erhöht die strategischen Möglichkeiten und wird daher er Spielern empfohlen.; [8528: Siegpunkte, ]
129: Jeder Spieler erhält aus der Bank folgendes bei 6 Spielern 15 bei 5 Spielern 18 bei 4 Spielern 22 bei 3 Spielern 28 bei 2 Spielern; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
130: 40 Ein durch Los bestimmter Spieler darf zuerst einen Kredit von aussuchen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
131: Nimmt er einen Kredit an sich zahlt er den Betrag des Kredites in die die sich auf dem Spielplan befindet.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
132: Danach dürfen alle anderen Spieler im Uhrzeigersinn jeweils einen noch freien Kredit auswählen und in die einzahlen.; [8536: Aktionspunkte, ]
133: Nach werden Kredite an Italien vergeben.; []
134: Der links vom Startspieler sitzen de Spieler darf zuerst einen italienischen Kredit auswählen.; [3173: Gemeinsames Spielfeld, ]
135: Danach dürfen alle anderen Spieler im Uhrzeigersinn jeweils einen noch freien italienischen Kredit auswählen.; [164466: Loswerden, 8536: Aktionspunkte, ]
136: Auf diese Weise werden danach reihum auch in Frankreich Großbritannien dem Deutschen Reich und Russland Kredite vergeben.; []
137: Der Betrag eines ausgewählten Kredites muss jeweils in die eingezahlt werden.; []
138: SPIELABLAUF; []
139: Auf dem Spielplan agieren die sechs imperialen Großmächte Staaten; [3173: Gemeinsames Spielfeld, ]
140: Die Spieler sind Investoren die diesen Staaten Kredite geben.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
141: Der Spieler der einem Staat die höchste Kreditsumme gegeben hat übt die Kontrolle über die Regierung des Staates aus und entscheidet daher über die auf dem Spielplan.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
142: Nachfolgend wird dieser Spieler deshalb auch als Regierung des Staates bezeichnet.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
143: Unabhängig von der Anzahl der Mitspieler sind an jedem Spiel alle 6 Großmächte Staaten beteiligt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
144: Spielzug; []
145: In jedem Spielzug eines Staates wird auf dem Rondell ein neues Feld ausgewählt und der Staat führt die entsprechende Aktion aus.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
146: Im ersten Zug eines Staates wird hierbei der Spielstein auf ein beliebiges Feld des Rondells gesetzt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 166903: Ankommen, ]
147: Alle späteren werden auf dem Rondell durch Vorrücken des im Uhrzeigersinn ausgewählt.; [7090: Kooperative Spielform, ]
148: Ein Stehenbleiben auf dem bisherigen Feld ist dabei nicht möglich.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
149: Beim Vor rücken darf jeweils eines der drei den Felder kostenfrei ausgewählt werden.; [1292: Zufall, 8536: Aktionspunkte, ]
150: Jedes weiter entfernt liegende Feld kostet den Spieler der die Regierung führt 2 an die Bank.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
151: Auf dem Rondell darf insgesamt um maximal 6 Felder vorgerückt werden.; [8536: Aktionspunkte, ]
152: SPIELZIEL; []
153: Entsprechend ihrer ökonomischen Macht Fabriken und ihrer militärischen Macht mit markierte und Landregionen sammeln die Staaten im Laufe des Spiels Macht punkte die auf der Zählleiste markiert werden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
154: Sobald ein Staat 25 Machtpunkte erreicht hat endet das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
155: Zur Ermittlung der Siegpunkte der Spieler werden nun die der Kredite mit den Faktoren auf der Zählleiste gewichtet.; [8528: Siegpunkte, 1492: Siegbedingung, ]
156: 1 Beispiel Frankreich hat 17 Machtpunkte auf der Zähl leiste lässt sich der Faktor 3 ablesen.; [8528: Siegpunkte, ]
157: Der französische Kredit über 12 hat eine Zins nächsten Zug Steuer auszuwählen muss Italien 4 Felder vorrücken.; [3173: Gemeinsames Spielfeld, 166903: Ankommen, ]
158: Die Regierung von Italien Spieler mit der Flagge muss entsprechend 2 an die Bank zahlen.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
159: Um alternativ von Investor auf Fabrik vorzurücken müsste die Regierung 4. an die Bank zahlen usw.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
160: SPIELENDE zahlung von 5 und liefert somit folgenden Wert 5 3 15; []
161: Die Spieler zählen die Werte für alle ihre Kredite zusammen und addieren noch die Summe ihres Bargelds.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
162: Jede die sich so ergibt zählt einen Siegpunkt.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
163: Der Spieler mit den meisten gewinnt das Spiel.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
164: Bei einem Gleichstand gewinnt der Spieler der im Staat mit den meisten Machtpunkten den höheren Kreditbetrag besitzt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
165: Gibt es auch hier einen Gleichstand werden die im Staat mit den Machtpunkten verglichen usw. 5; [8528: Siegpunkte, 1492: Siegbedingung, ]
166: STAATSKASSEN; []
167: SPIELBEGINN; []
168: Getrennte Kassen; []
169: Die Staatskassen der sechs Großmächte und das private Geld der Spieler bilden jeweils strikt getrennte Kassen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
170: Die Spieler verwalten die von ihnen kontrollierten Staatskassen treuhänderisch.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
171: Sie dürfen über die nicht privat verfügen und aus der weder Geld verleihen noch verschenken.; []
172: Es ist den Spielern jedoch gestattet einer je derzeit privates Geld zu schenken um sie finanziell zu unterstützen.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
173: Jeder Spieler darf den Inhalt aller Staatskassen jederzeit zu einsehen sein eigenes privates Geld jedoch vor den anderen Spielern geheim halten.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
174: Spieler dürfen untereinander weder Geld verleihen oder verschenken.; [8536: Aktionspunkte, ]
175: Sie dürfen auch nicht mit ihren Krediten untereinander handeln oder sie auf andere Art weitergeben.; [8536: Aktionspunkte, ]
176: Spielbeginn; []
177: Das Spiel beginnt danach ziehen die Staaten im Uhrzeigersinn entsprechend der Reihenfolge ihrer Staatskassen am Spielfeldrand 1. 2. Italien; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
178: 3. Frankreich; []
179: 4. Großbritannien; []
180: 5.; []
181: Deutsches Reich und 6. Russland; []
182: Mit dem wird jeweils der Staat markiert der am Zug ist.; []
183: Sollte von einem Staat noch kein Kredit vergeben worden sein hat der Staat noch keine Regie; []
184: In diesem Fall wird der Zug dieses Staates ausgelassen.; [3173: Gemeinsames Spielfeld, ]
185: Die erhält zu Beginn der Spieler der links von dem Spieler mit der Flagge sitzt.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
186: Hat kein Spieler die Flagge erhält der Spieler links von dem Spieler mit der italienischen Flagge; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
187: die Die Bedeutung der auf dem Rondell wird im Folgenden erläutert.; []
188: Fabrik; []
189: Der Staat darf maximal eine neue Fabrik bau dürfen nur in braunen und Werften nur in Städten gebaut werden.; []
190: Eine Fabrik darf nur in einer eigenen Stadt gebaut werden in deren Heimatprovinz sich keine feind aufrecht stehenden Armeen befinden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
191: In jeder Stadt darf sich nur eine Fabrik befinden.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
192: Der Staat zahlt 5 in die Bank und die gewählte Fabrik wird auf dem Spielplan in der je Stadt aufgestellt.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
193: Beispiel Das Deutsche Reich hat Fabriken in Berlin und Hamburg.; []
194: In Köln befindet sich eine feindliche Armee.; [3173: Gemeinsames Spielfeld, ]
195: Eine Fabrik kann daher nur in München oder Danzig gebaut werden.; []
196: Das Deutsche Reich kann also auf dem Feld Fabrik entweder eine Werft in Danzig hellblau oder eine Waffenfabrik in München braun aufstellen Hierfür müssen 5 aus der an die Bank gezahlt werden.; [8536: Aktionspunkte, ]
197: Produktion Jede Waffenfabrik und Werft des Staates darf je eine Armee bzw. je eine Flotte produzieren.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
198: Die Produktion ist kostenfrei.; []
199: Fabriken in deren Heimatprovinz sich feindliche aufrecht stehende Armeen befinden können nicht produzieren.; [8536: Aktionspunkte, ]
200: Auch der Besatzer selbst kann in einer besetzten fremden Fabrik nicht produzieren.; [8536: Aktionspunkte, ]
201: Die neuen Armeen und Flotten werden auf dem Spielplan jeweils in der Heimatprovinz ihrer Fabrik aufgestellt.; [3173: Gemeinsames Spielfeld, ]
202: Dabei ist es unerheblich wie viele Militäreinheiten sich bereits in der Region befinden.; [8536: Aktionspunkte, ]
203: Beispiel Das Deutsche Reich besitzt Fabriken in Berlin Hamburg und München.; []
204: In Berlin befindet sich eine feindliche aufrecht stehende russische Armee in München; [8536: Aktionspunkte, ]
205: eine befreundete liegen de französische Armee.; []
206: Auf Produktion wird in Hamburg eine deutsche Flotte und in München eine deutsche Armee aufgestellt.; []
207: im IMPORT; []
208: MANÖVER Import; []
209: Der Staat darf Militäreinheiten für je 1 bei der Bank kaufen.; [8536: Aktionspunkte, ]
210: Die Anzahl der Militäreinheiten ist jedoch auf insgesamt drei beschränkt.; [8528: Siegpunkte, ]
211: Die Militäreinheiten können in allen ohne feindliche aufrecht stehende Armeen frei aufgestellt werden Flotten allerdings nur in Hafenstädten.; [8536: Aktionspunkte, ]
212: In derselben Heimatprovinz dürfen auch mehrere Militäreinheiten gleichzeitig aufgestellt werden.; []
213: Region sie abtauschen will.; []
214: Wollen sich bereits in der befindende Flotten kämpfen so müssen sie den Kampf direkt nach dem Hi erklären.; []
215: Möchte keine Seite kämpfen bleiben alle Flotten friedlich nebeneinander in derselben liegen.; [3173: Gemeinsames Spielfeld, ]
216: Auch Flotten des aktiven Staates die sich nicht bewegen können Flotten; [8536: Aktionspunkte, ]
217: Staaten die sich in derselben befinden abtauschen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
218: Beispiel importiert zwei Flotten und eine Armee.; []
219: Dafür zahlt 3 aus seiner in die Bank.; [1492: Siegbedingung, ]
220: Alle drei Militäreinheiten werden in Triest aufgestellt.; []
221: Die Armee hätte auch in einer der anderen 4 aufgestellt werden können.; []
222: Beispiel für den Kampf von Flotten Manöver Dieser Spielzug wird in drei Schritten ausgeführt.; [8536: Aktionspunkte, ]
223: Zunächst werden die Flotten gezogen dann die Armeen schließlich die abgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
224: 1. Flotten; []
225: Alle Flotten des Staates dürfen in eine benachbarte ziehen.; [1292: Zufall, ]
226: Flotten stehen nach ihrer Produktion bzw. ihrem Import im Hafen.; [1492: Siegbedingung, ]
227: Ihr erster Zug ist daher immer ein Zug in die an den Hafen angrenzende die zusätzlich durch einen Anker gekennzeichnet ist.; [8536: Aktionspunkte, ]
228: Sobald sich Flotten auf See befinden können sie nicht mehr in eine Landregion zurückkehren.; [3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, ]
229: Beispiel Eine in Hamburg produzierte oder importierte Flotte darf nur in die Nordsee auslaufen da sich der Anker von Hamburg in der Nordsee befindet.; []
230: Zieht eine Flotte in eine in der sich Flotten Staaten befinden kommt es zum Kampf wenn mindestens eine Seite dies verlangt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
231: Bei einem Kampf werden die beteiligten Flotten im Verhältnis 1 1 vom Spielplan genommen; [3173: Gemeinsames Spielfeld, ]
232: Die ziehende Flotte kann gegebenenfalls aussuchen welche Flotte in der Wenn die lila Flotte in die linke Meeresregion zieht kann zunächst Lila entscheiden ob die Flotte ab getauscht werden soll.; [1292: Zufall, 8536: Aktionspunkte, ]
233: Bei einem kann Lila zudem entscheiden ob die Lila Flotte gegen die grüne oder gegen die gelbe Flotte wird.; [3173: Gemeinsames Spielfeld, ]
234: Will Lila nicht abtauschen zieht die lila Flotte in die linke Meeresregion.; [1292: Zufall, ]
235: Wenn nun nicht direkt nach dem Ziehen ins Meer; [1292: Zufall, ]
236: Gelb oder Grün einen verlangen bleiben alle drei Flotten in der Meeresregion liegen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
237: 2. Armeen; []
238: Alle Armeen des Staates dürfen in eine benachbarte Landregion ziehen außer in die Schweiz; [1292: Zufall, ]
239: Alternativ können sie auch mit eigenen Flotten über See transportiert werden; []
240: Konvoi Dabei überschreiten sie eine oder mehrere benachbarte in denen sich jeweils eigene Flotten befinden müssen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
241: Jede Flotte darf pro Zug nur eine Armee transportieren.; [8536: Aktionspunkte, ]
242: Ein ist nur möglich wenn sich die Armee in einer an die angrenzenden Landregion befindet oder diese Region mit der Eisenbahn siehe nächster Punkt erreicht.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
243: Nach Abschluss des befindet sich die Armee wieder in einer Landregion.; [3173: Gemeinsames Spielfeld, ]
244: MANÖVER; []
245: Beispiel für In Triest stehen zwei gelbe Armeen.; []
246: Über die Flotten kann eine der Armeen in Algerien landen.; []
247: Die zweite Armee kann dann aber nicht mehr über das Westliche; [164466: Loswerden, ]
248: Mit transportiert werden denn die Flotte im Westlichen Mittelmeer wurde schon von der ersten Armee benutzt.; []
249: Die zweite Armee kann aber in Tunis landen denn im Meer; []
250: befindet sich noch eine zweite Flotte die noch keine Armee transportiert hat und Tunis grenzt auch an das Meer.; [1492: Siegbedingung, ]
251: deutliches Tunis; []
252: Jeder Staat verfügt über ein Eisenbahnnetz das aber nur zwischen den existiert und somit an den eigenen Staatsgrenzen endet.; [1492: Siegbedingung, ]
253: Befinden sich in einer Heimatprovinz feindliche aufrecht stehende Armeen ist das Eisenbahnnetz in dieser Heimat provinz unterbrochen.; []
254: Armeen dürfen entweder vor oder nach ihrem Zug im Inland beliebig mit der Eisenbahn transportiert werden.; [1292: Zufall, 8536: Aktionspunkte, ]
255: Beispiel für Kampf; []
256: Der Kampf zwischen Armeen entspricht dem Kampf zwischen Flotten.; []
257: der aktive Staat kann Armeen in Landregionen 1 1 abtauschen.; [8536: Aktionspunkte, ]
258: Armeen; []
259: Staaten können einen Kampf verlangen wenn ihre Landregion betreten wird.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
260: Flotten und Armeen können nur dann gegeneinander kämpfen wenn sich die Flotte noch im Hafen befindet.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
261: In diesem Fall kann sowohl eine hineinziehende Armee als auch die Flotte im Hafen den verlangen.; [1292: Zufall, 3142: Verlierbedingung, ]
262: Für die Armee aus Holland siehe die neben stehende Abbildung ist es nicht möglich nach Dänemark Schweden oder Norwegen zu gelangen.; [8536: Aktionspunkte, ]
263: Ein direkter ist nicht möglich denn in den an Holland angrenzenden befindet sich keine deutsche Flotte.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
264: Die Armee kann zunächst nach Hamburg ziehen nun kann sie zwar noch mit der Eisen bahn in jede andere deutsche Heimatprovinz gelangen aber ihr Manöverzug ist verbraucht und sie kann weder über eine Landgrenze Deutschland verlassen noch über die Flotte in der Ostsee in eine andere Landregion ziehen.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
265: Die deutsche Armee aus Köln kann zunächst mit der Eisenbahn nach Hamburg fahren und dann mit ihrem eigentlichen Manöverzug entweder direkt nach Dänemark oder über die Flotte in der Ostsee nach Dänemark Schweden oder Norwegen ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
266: MANÖVER INVESTOR; []
267: Provinzen; []
268: Großmächte betreten Zieht eine Armee in die Heimatprovinz einer anderen Großmacht so hat die Regierung der Armee zu entscheiden ob dies in feindlicher oder freundlicher Absicht geschieht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
269: Eine feind Armee wird aufrecht in die Provinz gestellt und blockiert die Provinz keine Produktion kein Import keine Fabrik bauen keine Steuer; []
270: Eine befreundete Armee wird hingegen auf die Seite gelegt sie; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
271: führt zu keinerlei Beeinträchtigung.; []
272: Bei dem nächsten Manöverzug des Landes kann der Status der Armeen geändert werden auch ohne dass diese in eine andere Provinz gezogen werden.; [1292: Zufall, 8536: Aktionspunkte, ]
273: Auch bei einer derartigen Änderung des Status können Armeen Staaten in der Provinz einen verlangen.; [8536: Aktionspunkte, ]
274: Hat ein Staat nur eine einzige Fabrik die nicht von feindlichen aufrecht stehenden Armeen besetzt ist so darf die Provinz dieser Fabrik nicht mit feindlichen Armeen betreten werden Armeen Staaten; [8536: Aktionspunkte, ]
275: die diese Provinz betreten wer den auf jeden Fall auf die Seite gelegt.; [1292: Zufall, ]
276: Zerstörung; []
277: Eine fremde Fabrik darf mit drei Armeen zerstört werden wenn sich in der Heimatprovinz keine Armeen Flotten des Verteidigers mehr befinden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
278: Die fremde Fabrik und die drei Armeen werden vom Spielplan genommen.; [3173: Gemeinsames Spielfeld, ]
279: Ausnahme; []
280: Hat ein Staat nur eine einzige Fabrik die nicht von feindlichen aufrecht stehenden Armeen besetzt ist; [8536: Aktionspunkte, ]
281: so darf diese Fabrik nicht zerstört werden.; []
282: Venedig befindet sich eine Werft und eine Flotte liegt noch im Hafen von Venedig.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
