0: DAS SUPER; []
65: Er ist soviel wert wie 2 Pilze.; []
66: Die ist soviel wert wie ein Herz oder zwei Pilze.; [1492: Siegbedingung, ]
67: Super Mario ist unbesiegbar.; []
68: Er schützt vor allen Feinden verhindert das Abstürzen in Schluchten und sogar von Mitspielern geschlagen zu werden.; []
69: Er muß allerdings so fort gegen den nächsten Gegner eingesetzt werden.; []
70: Herr kann er nicht über winden.; []
71: Münze; []
72: MARIO in der Rakete; []
73: Diese Karte befördert Dich auf das erste Feld im nächsten Königreich.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
74: Bist Du schon in angekommen darfst Du mit dieser Karte direkt auf das letzte Feld vorrücken.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
75: Du kannst Pilze sammeln oder gegen bestimmte Feinde setzen.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
76: Du kannst Münzen sam; []
77: Drei Münzen sind soviel wert wie ein Pilz.; [1492: Siegbedingung, ]
78: SUPER; []
79: MARIO; []
80: Mit einer 1 3 oder 5 kannst Du besiegen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
81: Würfelst Du eine 2 4 oder 6 explodiert die Bombe auf seinem Rücken und Du mußt zurück auf Start; [1292: Zufall, ]
82: Nur; []
83: SUPER MARIO kann Dich noch retten.; []
84: Diesen Roboter kannst Du nur mit einer 1 oder 6 besiegen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
85: Zwei Pilze ein Stern; []
86: eine oder SUPER MARIO können ihn aber auch besiegen und ersparen Dir so das Diese kann nur durch eine 2 oder 4 besiegt wer den.; []
87: Würfelst Du eine 1 3 5 oder 6 mußt Du zum Eingang des in dem Du Dich gera de befindest zurück.; [1292: Zufall, ]
88: SUPER MARIO oder ein Pilz ersparen Dir die Eine Blume die Du nur mit SUPER; []
89: MARIO besiegen kannst!; [1492: Siegbedingung, ]
90: Weder Pilz noch Herz noch Wunder blume können Dich retten.; []
91: Zu rück zum Anfang des König reiches wenn; []
92: Du SUPER MARIO nicht hast!; []
93: Dieses kann mit ei 1 2 3 oder 5 besiegt werden.; [8536: Aktionspunkte, ]
94: Würfelst Du 4 oder 6 so mußt Du zum Eingang des in dem Du Dich gerade befindest zurück.; [1292: Zufall, ]
95: Pilze sind nutz los; []
96: nur SUPER; []
97: MARIO kann Dich retten.; [8536: Aktionspunkte, ]
98: durch die Luft und beschießt Dich mit Pfeilen.; [8536: Aktionspunkte, ]
99: SUPER MARIO oder ein Pilz kann Dich beschützen.; [8536: Aktionspunkte, ]
100: Ansonsten zurück zum; []
101: An fang des in dem Du Dich befindest.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
102: Willst Du von einem ins nächste Königreich wechseln mußt; []
103: Du folgendes wissen; []
104: König bewacht den Ausgang von Wenn Du 2 Pilze 6 Münzen oder eine hast läßt er Dich in eintreten.; [8536: Aktionspunkte, ]
105: Wenn Du keine Pilze besitzt oder diese lieber behalten möchtest so darfst Du dreimal würfeln um eine 6 zu bekommen die Dir den Zu gang nach ebenfalls ermöglicht.; [1292: Zufall, 8536: Aktionspunkte, ]
106: Schaffst; []
107: Du es in dieser Runde nicht so kannst Du es immer wieder versuchen wenn Du an der Reihe bist.; []
108: König bewacht den Ausgang von Besitzt; []
109: Du 3 Pilze so darfst Du sofort passieren.; []
110: Ansonsten hast Du zwei Würfe frei um eine 1 zu würfeln die Dir den Eintritt nach ebenfalls ermöglicht.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
111: Schaffst Du es; []
112: nicht so darfst Du es jedesmal wieder versuchen wenn Du an der Reihe bist.; []
113: ist der Herrscher des Reiches und bewacht dessen Ausgang.; []
114: Du kannst ihn nur überwinden wenn Luigi und Mario gemein sam am Ausgang stehen.; [8536: Aktionspunkte, ]
115: Außerdem mußt Du mit drei Würfen drei gerade Zahlen würfeln; [1292: Zufall, ]
116: 2 4 oder 6 Du darfst es jedesmal wieder versuchen wenn Du an der Reihe bist.; [7090: Kooperative Spielform, ]
117: Ein Stern ein Herz ersparen Dir das Würfeln.; [1292: Zufall, 8536: Aktionspunkte, ]
118: Achtung; []
119: Du mußt Deinen Mitspielern jeweils vorher ankündigen ob Du Dich mit einer Spielfigur in ein Königreich würfeln willst oder ob Du lieber mit Deiner zweiten Spielfigur ziehen willst.; [1292: Zufall, 8536: Aktionspunkte, ]
120: 1 9 9 1 NINTENDO all Design; [164466: Loswerden, ]
121: Lizenz durch München 182 8000 München 81; []
