0: Wer hilft gewinnt; [164466: Loswerden, 1492: Siegbedingung, 8528: Siegpunkte, ]
125: Auch wenn 3 schwarze Wolken die drei gen eines Flughafens oder eines blockieren darf auf den Abflug verzichtet werden.; [8536: Aktionspunkte, ]
126: Ein Hubschrauber der einen andersfarbigen Touristen transportiert kann nach Absprache auch ab sichtlich bis zu einem durch schwarze Wolken schwer gefährdeten Feld ziehen wenn er noch in derselben Spielrunde in ein oder zwei Zügen den Flughafen des Touristen erreichen kann.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
127: In diesem Fall kann also der Hubschrauber durch Kooperation innerhalb einer Runde 3 bis 4 Züge hintereinander machen da ihm eine zusätzliche übertragen werden darf.; [3173: Gemeinsames Spielfeld, ]
128: Spieler deren Touristen eigener Farbe in die Heimat zurückgekehrt sind bleiben noch weiter im Spiel.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
129: Sie dürfen sich jetzt uneingeschränkt mit ihren Hub an den der übrigen Touristen beteiligen.; [8536: Aktionspunkte, ]
130: Spieler die ihren Hubschrauber verloren haben blei ben auch weiter im Spiel solange sie etwas für die Rettung ihrer eigenen Touristen tun können.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
131: Sie dürfen also ihre Mitspieler im Rahmen der Hilfsmöglichkeiten um Hilfe bitten aber keinesfalls selber fremde Hubschrauber bewegen.; [8536: Aktionspunkte, ]
132: 7. Spielende; [8528: Siegpunkte, ]
133: Alle Spieler haben gewonnen wenn sie in gemeinsamer Anstrengung alle 8 Touristen gerettet und die Hub schrauber sicher in die zurückgebracht haben.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, 8528: Siegpunkte, ]
134: Gingen 3; []
135: Hubschrauber durch Absturz verloren ist das Spiel nur noch mit knapper Not gewonnen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
136: Verloren ist das Spiel für die gesamte wenn ein Hubschrauber mit Tourist von einer Sturm wolke getroffen wurde oder wenn alle 4 Hubschrauber verloren gingen.; [164466: Loswerden, 3142: Verlierbedingung, ]
137: Variante; []
138: Um das Spiel vor allem für den Anfang leichter zu machen kann man statt einer Kurve auch zwei Kurven und damit 3 Züge zulassen.; [73230: Symmetrische Startbedingung, 3142: Verlierbedingung, ]
139: 5 in action cooperative game game 20 30 Background; []
140: In fair well in in storm winds teams in order in falls in high in sand in courage ness in rapid out in these missions.; []
141: In game chance such in out game pilot cloud out most back game in missions not lost in storms In all game lost.; [73230: Symmetrische Startbedingung, ]
142: materials game board in in different blueChips 1 8 cloud storm clouds die.; []
143: wind wind wind wind west wind wind; []
144: SO wind wind wind 1.; []
145: player sets in heliport heliports out game.; []
146: transit these positions tobe down down 1 blueChips also down board.; []
147: After cloud down tobe cloud board.; []
148: in these positions cloud Start game.; []
149: 2. wind; []
150: Order wind leader die wind; []
151: In missions tobe Order bluechip.; []
152: Chip an person tobe person; []
153: 3. leader lot tobe leader first leader leader; []
154: die wind cloud see 4. leader in turn see 5.; []
155: leader first in; []
156: In last also Aas leader die clouds in order.; [7090: Kooperative Spielform, ]
157: leader die clouds in order.; []
158: leader; []
159: die 4. cloud wind leader cloud tobe Position in in wind wind 6; []
160: in wind west in an cloud such positions so; []
161: die shows wind cloud Position cloud same 5. player first check see an person lies not player not an board tobe bluechip chip tobe person 6. may most these pilot may flyover cloud may Position cloud cloud end port an may not flyover storm cloud cloud.; []
162: not in position cloud all storm clouds clouds player sole in 8 may in In an board not player in position in cloud.; []
163: out turn in; []
164: storm board pilot lost player in game turn leader see an board pilot thein in crash game lost; []
165: all 7. Transit board land; [164466: Loswerden, ]
166: port player may land in transit sport an person in port.; []
167: 8. pilot first all in basic Obligation in pilot may in all clouds.; []
168: player may in Situation pilot player person player express position storm cloud an additional in same port.; []
169: player may pilot additional player player lost in game may may not pilot 9. end game game.; []
170: lost an lost game lost all Variation game made in game first 7 de 2 4 de 9 ans.; []
171: du 20 30 du de gens de simples de des des du des Operation Premiers.; []
172: du total de Situation des de de grande de des des des des couleur des terrains 2. melange 8 eton partie du 8; []
173: lees du 12 bon du des du de milieu de des 4 plus; []
174: gens plus 8 bon port 4; []
175: base Mais suite du ilse ilse partie de 1; []
176: plan du; []
177: 4 2 4 de 4 differentes 8 de 1 8 12 8 4 1 de 8; []
178: des nord sud SO du 1. 4 couleur base de de pendant du 2 2 3 Charge 2 de 8 pendant; []
179: etat du 8 Quelle eile eile des radios du 1. du premier tour de tour tour tour tour tour 5 tour de tour de de etA. de DA de tour de AB du suite mais 8 2. de des de lire de quelle 12 des 8 de.; []
180: du de cent du nord sud sud vers nord.; []
181: so bord du du de du du nord bord; []
182: du sud bord du nord.; []
183: ilse vers sud 3.; []
184: tour bleue 4 bleue du numero 4.; []
185: de de des bords du 4. des 3 de de Manches des de 2 font; []
186: des de mais de de 2 de tour des de plus de bord de du bord 2 du du du tel 5.; []
187: base.; []
188: couleur bord; []
189: de couleur du 6. premier de de necessaire faire 3 3 de port de transporte couleur tour de 3 4; [3173: Gemeinsames Spielfeld, ]
190: tour plus de de mais faire des 7. du 8; []
191: base 3; []
192: nest 4 1 1 bord Variation de 3 de 2 2 de 3 9 Helikopters strategisch verlangt 2 4 9 van 20 30 minuten ten eiland in in de in bossen.; []
193: worden sporen lang die als lang van de van Mistbanken tot stürmen andere worden.; []
194: van De piloten helikopters de sturen.; []
195: starten de 4 met de via de eigen De gewonnen alle 8 in land van alle 4 helikopters werden.; [164466: Loswerden, ]
196: er echter 1 4 2 in 4 4; []
197: helikopters in 4 12 Wolken 8 4; []
198: met 1; []
199: met de westen; []
200: 1. De 4 helikopters worden de met van met starten landen De links rechts van de de van de helikopters met de andere Links rechts van de die de die als 2. De 8 worden; []
201: de rode de rand; []
202: van de 8.; []
203: De 8 met de 8 worden ten de 12 worden; []
204: de worden alle ledere van van de 4 helikopters.; []
205: 2 helikopters 3 2 helikopters.; []
206: de de welke de in welke Er 8 worden.; []
207: de van de ende manier welke welke gebracht worden.; []
208: 1.; []
209: De loten wie er mag beginnen.; []
210: Er de ronde de de met de de de 1. ronde de de met enD 2. ronde de enz.; []
211: Den 3. ronde de enz.; []
212: CAen 4.; []
213: ronde de enz; []
214: .; []
215: AB 5.; []
216: ronde als de 1. ronde enz.; []
217: de van de 1.; []
218: ronde ronde de de ronde echter de met risiko 2. de de van de wind; []
219: de worden.; []
220: Alle 12 worden in de de Staat alle van Staat er de alle 10 WO De in de manier van in de de wind in in hier in in; []
221: in alle andere in 3. van de In ronde er er de die de worden.; []
222: van nummer wie Staat er nummer 4 de in rode 4 mag alleen helikopter niemand anders er andere in wacht.; []
223: 4.; []
224: ledere helikopter mag in van de 3 andere de Start de via de de in rechte in met; []
225: mögen andere helikopters echter niet in die worden.; [3173: Gemeinsames Spielfeld, ]
226: er meer helikopters starten de helikopter niet in van de met risiko; []
227: In de helikopter wach ten tot mag maar helikopter er helikopter getroffen; []
228: als van De helikopter met wachten tot de helikopter Staat.; []
229: de mag met helikopter van hier er helikopter achter getroffen; []
230: ledere helikopter die getroffen stört; []
231: met helikopter de mag de van met helikopters.; []
232: helikopter tot de als passagier.; []
233: alle verloren niet 5.; [164466: Loswerden, 7090: Kooperative Spielform, ]
234: De helikopters mögen met passagier eigen helikopters mögen alleen maar die de ding 6. ledere eigen helikopter de eigen passagiers echter helikopter de De alleen in de de er 3 de Start in de 3 de helikopter niet helikopter die met tot met de andere piloten ronde van passagier in de helikopter binnen ronde 3 4 achter; [73230: Symmetrische Startbedingung, ]
235: extra die de andere De die eigen passagiers van mögen der speien.; []
236: mögen met helikopters de van de De die helikopters verloren in lang de van eigen mögen de andere maar in met helikopters 7. van De gewonnen alle 8 ende helikopters de den van er 2 helikopters met gewonnen.; [164466: Loswerden, ]
237: De verloren er helikopter met passagier getroffen alle 4 helikopters in worden de helikopters 3; []
238: mögen; []
239: 11; []
