0: top!; []
64: Es sei denn man besitzt eine entsprechende passendes Spielplanteil.; [3173: Gemeinsames Spielfeld, ]
65: Wer auf das zu einem der 12 gehörende zieht hat gut lachen.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
66: Denn als Belohnung gibt sein des Die selbst stellen aber Hindernisse dar.; []
67: Spiel; []
68: Vorbereitung; []
69: Jeder Spieler erhält eine Spielfigur die auf das Startfeld gestellt wird.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
70: Dazu gibt als kleine Gedächtnisstütze die farblich passenden Kurzspielregeln.; []
71: Die werden auf ihre entsprechenden gelegt.; [1292: Zufall, ]
72: Die werden gemischt und verdeckt neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
73: Für die gilt dasselbe.; []
74: Ein Aktionsfeld mit dazu gehörendem; []
75: Ein Ein Spielablauf; []
76: Ein beliebiger Spieler beginnt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
77: Er würfe und zieht seine Figur entsprechend.; [1292: Zufall, ]
78: Danach geht im Uhrzeigersinn weiter.; []
79: Ein Würfelsymbole Zeigt 4 5 oder 6 müssen Sie mit Ihrer Figur entsprechend weit ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
80: Bei einer 1 können Sie 1 2 oder 3 Felder weit ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
81: Bei top haben Sie doppeltes Glück 1. ziehen Sie 1 oder 2 Felder; [1292: Zufall, 166903: Ankommen, ]
82: weit und 2. nehmen Sie sich ein Spielplanteil oder eine Merke; [3173: Gemeinsames Spielfeld, ]
83: Die gewählte Karte bzw. das darf erst ab dem nächsten Zug eingesetzt werden.; [1292: Zufall, ]
84: Die Würfelsymbole Ziehen der Spielfiguren; [1292: Zufall, ]
85: Vom Startfeld aus können Sie in jede Richtung ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
86: Übrigens Ein entspricht einem Würfelpunkt.; [1292: Zufall, 8528: Siegpunkte, ]
87: Sie haben immer die Wahl ob Sie die gewürfelte Augenzahl ziehen wollen oder lieber verzichten und stehenbleiben.; [1292: Zufall, ]
88: Es ist erlaubt beliebige Umwege zu gehen und im Kreis zu ziehen.; [1292: Zufall, 8536: Aktionspunkte, ]
89: Dagegen ist es verboten die Spiel figur und herzuziehen.; [1292: Zufall, 7090: Kooperative Spielform, ]
90: Im Kreis gehen Sonderfelder Wer mit seiner Figur auf einem landet hat die Wahl wie auch beim auf dem Würfel; [1292: Zufall, ]
91: Entweder er nimmt ein Spielplanteil oder eine Natürlich dürfen beide erst ab dem nächsten Zug eingesetzt werden.; [3173: Gemeinsames Spielfeld, ]
92: Mit etwas Glück erbeuten Sie pro Spielzug gleich mehrere oder Wer top würfe und auf ein zieht wird dafür mit zwei bzw. zwei bzw. einem Spielplanteil und einer belohnt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
93: Ein Wer auf ein zieht ist besonders schnell und deshalb gleich noch mal an der Reihe.; [1292: Zufall, ]
94: Wer auf ein trifft erhält ein des betreffenden und erwirbt die darauf angegebenen; [8528: Siegpunkte, 1492: Siegbedingung, ]
95: Von jedem Aktionsfeld darf man nur ein Kärtchen besitzen.; [8536: Aktionspunkte, ]
96: Liegt auf einem Aktionsfeld kein Kärtchen mehr geht der Spieler leer aus.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
97: Ein Ein Zielfeld; []
98: Am Ziel sind Sie erst dann wenn Sie die erforderliche an eingeheimst haben und das Zielfeld exakt erreichen.; [3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
99: und Sie können in Ihrem Zug mehrere aber nur 1 einsetzen.; [8536: Aktionspunkte, ]
100: Die und die können Sie vor und oder nach dem Ziehen ausspielen.; [1292: Zufall, ]
101: Nach dem Zug darf ein Spieler maximal 6 und besitzen.; [1492: Siegbedingung, ]
102: Wer mehr hat muß entsprechend ausspielen.; [164466: Loswerden, ]
103: Aber pro Zug nur eine Die zeigen Wege Hindernisse und Motive der Sonderfelder.; []
104: Sie dürfen auf alle Felder gelegt werden ausgenommen sind und Zielfeld Felder auf denen; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
105: Figuren stehen Felder auf denen bereits liegen.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
106: die auf den Spielplan gelegt wurden können von allen Spielern benutzt werden.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
107: Sie geben den Spielern die Möglichkeit zu entfernen oder zu versetzen und Hindernisse spielend leicht zu überwinden.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
108: Außerdem erhält man mit ihnen zusätzliche Würfelpunkte oder Die ausgespielten bilden einen Ablagestapel.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
109: Geht der Vorrat an zu Ende wird dieser Stapel neu gemischt und wieder als verwendet.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
110: Auf eine andere Figur treffen; []
111: Der Spielplan ist in eine und eine unter teilt Treffen in der 2 oder mehr Spielfiguren aufeinander so hat dies keine weitere Bedeutung.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, ]
112: Geschieht dies jedoch in der darf der ankommende Spieler den wartenden Spielern jeweils ein beliebiges abnehmen ausgenommen ist das des Zur Erinnerung; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
113: Man darf von jedem Aktionsfeld nur ein besitzen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
114: Sir Durchlaufzeit.; []
115: Durch bessere Zusammenarbeit haben Sie die Laufzeit eines entscheidenden Geschäfts prozesses halbiert.; []
116: Das lohnt sich.; []
117: Ziehen Sie 1 bis 5 Felder weiter.; [1292: Zufall, 8536: Aktionspunkte, ]
118: Eine Eingeschlossen; []
119: Ein Spieler dessen Figur bewegungsunfähig ist und sich nicht befreien kann darf dreimal würfeln.; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
120: Gelingt ihm mit top der große Wurf darf der Glückliche ein Spielplanteil entfernen und zum allgemeinen Vorrat zurücklegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
121: Spielende; []
122: Wer mindestens die erforderliche besitzt und als erster das Zielfeld exakt erreicht ist Sieger.; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
123: Mit anderen Worten; [3173: Gemeinsames Spielfeld, ]
124: Er hat seine Firma top organisiert und seine Kunden am schnellsten mit beliefert.; []
125: Erweiterte Version; []
126: Es gibt zusätzlich 20 mit je punkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
127: Sie werden neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
128: Spielziel Sieger wird wer die meisten besitzt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
129: Der Clou; []
130: Die Spieler können das Zielfeld jederzeit direkt anlaufen unabhängig davon wie viele in ihrem Besitz sind.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
131: Tempo; []
132: 1 Punkt; []
133: Ein Spielablauf Gespielt wird wie in der Grundversion.; []
134: Es gelten aber folgende Regeln; []
135: Wer als erster das Zielfeld erreicht bekommt dafür 2; [8528: Siegpunkte, 1492: Siegbedingung, 166903: Ankommen, ]
136: Das Spiel endet dann wenn der letzte Spieler das Zielfeld erreicht hat oder verteilt wurden; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
137: Ein Spieler der bereits im Ziel ist darf sich zurücklehnen und zuschauen.; [164466: Loswerden, 8536: Aktionspunkte, ]
138: Immer wenn er an die Reihe kommt erhält er gratis Gewinnen kann nur ein Spieler der im Ziel ist.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
139: Das heißt alle nützen nichts wenn das Spiel beendet ist bevor das Zielfeld erreicht wurde; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
140: Das neue daran ist daß mehrere Spieler bilden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
141: Gespielt wird entweder nach den Regeln der Grundversion oder der erweiterten Version.; []
142: Bei 4 Spielern bilden jeweils 2 bei 6 Spielern je 3; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
143: Jedes Teammitglied besitzt seine eigene Spielfigur und kann nur diese ziehen; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
144: Die Spieler sprechen und ihre Züge ab Treffen; [3142: Verlierbedingung, ]
145: sich zwei Figuren eines Teams auf einem Feld halten sie ab; [7090: Kooperative Spielform, ]
146: Dies bedeutet für den Spielablauf; []
147: Solange ihre Figuren auf demselben Feld stehen können ihre und beliebig austauschen; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
148: Der ankommende Spieler darf noch einmal würfeln und ziehen Sieger wird nach den Regeln der Grundversion das Team dessen Mitglieder mit jeweils mindestens 14 als erste im Ziel sind nach den Regeln der erweiterten Version das die meisten und Tempo punkte besitzt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
149: Hier gilt daß alle im Ziel sein müssen bevor das Spiel endet.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
