0: Ziel Nacheinander klopfen drei Kinder je eine Zutat.; []
35: Je nach Rezept fehlen jetzt noch Eier Äpfel Karotten und Schokolade.; [1492: Siegbedingung, ]
36: Hört genau hin und findet heraus welchen Kuchen Karla backen will!; []
37: Ein Kind übernimmt die Rolle der Karla; []
38: Dazu nimmt es sich eine mit den Zutaten und den passenden und den Löffel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
39: Mit dem klopft es so oft auf den Tisch wie es die vorgibt.; []
40: Die anderen spitzen die Ohren und versuchen die passende zu finden.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
41: Je nach Spielvariante kommt es dabei auf ein gutes Gedächtnis oder auf Schnelligkeit an.; []
42: Wer zuerst eine bestimmte Anzahl Klopfkarten sammeln kann gewinnt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
43: Inhalt Kochlöffel 3; []
44: Rezeptkarten; []
45: 27 Zutaten karten 32 Klopfkarten Spielanleitung Seht euch vor dem ersten Spiel die Karten an Es gibt und Klopfkarten.; [1292: Zufall, 164466: Loswerden, ]
46: Die Rezeptkarten zeigen die vier unterschiedlichen Zutaten und ihre Sie liegen während des Spiels offen auf dem Tisch damit sie für jeden von euch gut sichtbar sind.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
47: Sie helfen euch die zu erkennen und euch die passenden Zutaten zu merken 1 Ei 2 3 4; []
48: Die zeigen jeweils eine zwei oder drei Zutaten.; [8536: Aktionspunkte, ]
49: Eine zeigt Emil die; []
50: Die Klopfkarten zeigen immer eine und die passenden Einige Klopfkarten zeigen Karla und Emil die Gut zu wissen; [1292: Zufall, ]
51: Die entsprechen den Silben der abgebildeten Zutaten dadurch wird das Merken der Zutaten einfacher.; []
52: Und gleichzeitig werden so spielerisch die Silbenstruktur und die Rhythmik der Wörter geübt; []
53: Die größeren zeigen an welche beim Sprechen starker betont werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
54: Wer das Wort auf der ersten Silbe betont bemerkt wie komisch sich das anhört So wird geklopft; []
55: Im Spiel übernimmt immer ein Kind die Rolle von Karla.; [164466: Loswerden, ]
56: Zuerst zieht es eine vom verdeckten Stapel und sieht sie sich geheim an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
57: Dann nimmt es den Kochlöffel in eine Hand.; [1292: Zufall, ]
58: Was ist auf der zu sehen?; []
59: Zutaten und das passende Signal; []
60: Die Punkte geben vor wie oft Karla mit dem Löffel auf den Tisch klopfen soll.; [8528: Siegpunkte, 1492: Siegbedingung, ]
61: Jedes Mal wenn das Signal für eine Zutat beendet ist zweimal Klopfen für rührt sie mit dem Löffel auf dem Tisch herum damit die anderen Kinder hören und sehen dass ein Signal und damit eine Zutat zu Ende ist.; [3142: Verlierbedingung, 8536: Aktionspunkte, ]
62: Sind alle Signale der abgebildeten Zutaten geklopft legt Karla den Löffel wieder auf den Tisch.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
63: Wichtig; []
64: In welcher Reihenfolge und wie schnell die Signale geklopft werden entscheidet jedes Kind selbst.; [1292: Zufall, 8536: Aktionspunkte, ]
65: Falls einige oder alle Kinder es möchten wird das Klopfen wiederholt.; []
66: Hier wird nicht geklopft.; []
67: Denn weil Mäuse natürlich überhaupt nicht gern in der Küche gesehen sind ruft Karla ganz laut Karla und Emil die Was geschieht dann?; []
68: Die anderen Kinder versuchen die passende zu finden.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
69: In Spiel ist ein gutes Gedächtnis gefordert denn es gilt die passenden Karten aufzudecken.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
70: In Spiel 2 4 und 5 ist Konzentration gefragt denn wer die passende Karte hat darf sie abgeben.; [1292: Zufall, 164466: Loswerden, ]
71: In Spiel 3 ist eine schnelle Reaktion erforderlich denn die Hand soll schnell auf die passende Karte gelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
72: Die passende Schaut euch die Zutaten den farbigen und das kleine Symbol genau an um zu überprüfen welche die richtige ist!; [1292: Zufall, 8536: Aktionspunkte, ]
73: Wenn Karla geschrien hat ist immer die Karte mit Emil die passende Spiel 1; [1292: Zufall, 164466: Loswerden, 166903: Ankommen, ]
74: Für für 3 6 Küche.; []
75: Ziel Wer genau zuhört und die gesuchten Zutatenkarten aufdeckt kann die meisten Klopfkarten sammeln.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
76: Vorbereitung; []
77: Haltet den Kochlöffel bereit.; []
78: Ordnet die Rezeptkarten so zwischen euch an dass jedes Kind sie gut sehen kann.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
79: Legt die und die Zutatenkarten beiseite die drei Zutaten zeigen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
80: Mischt die Zutatenkarten die eine oder zwei Zutaten oder Emil zeigen und legt sie verdeckt nebeneinander aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
81: Mischt die Klopfkarten die eine oder zwei Zutaten oder Emil zeigen und legt sie als verdeckten Stapel bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
82: Ablauf; []
83: Das älteste Kind übernimmt zuerst die Rolle von Karla.; [164466: Loswerden, ]
84: Es zieht eine vom verdeckten Stapel und sieht sie sich geheim an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
85: Dann nimmt es den Löffel in eine Hand.; [1292: Zufall, ]
86: Was ist auf der zu sehen?; []
87: Eine oder zwei Zutaten und das jeweils passende Signal Karla klopft alle Zutaten und rührt zwischendurch mit dem Löffel falls zwei Zutaten zu sehen sind.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
88: Danach legt sie den Löffel wieder auf dem Tisch ab.; [1292: Zufall, ]
89: Emil die Karla ruft; []
90: Was geschieht dann?; []
91: Das im Uhrzeigersinn folgende Kind versucht eine bzw.zwei passende Zutatenkarten aufzudecken.; [1292: Zufall, 7090: Kooperative Spielform, ]
92: Hat Karla eine Zutat geklopft soll eine zu diesem Signal passende Zutaten karte aufgedeckt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
93: Hat Karla zwei Zutaten geklopft soll die Karte aufgedeckt werden die die beiden passenden Zutaten zeigt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
94: Oder Karla deckt direkt hintereinander die zwei Karten auf die je eine der passenden Zutaten zeigen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
95: Hat Karla laut gerufen soll die Karte mit Emil aufgedeckt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
96: Nein?; []
97: Wie schade!; []
98: Zeigt eine Karte oder zeigen die beiden aufgedeckten Karten andere oder insgesamt zu viele Zutaten?; [1292: Zufall, ]
99: Dann bekommt das Kind leider keine Karte.; [1292: Zufall, ]
100: Die aufgedeckten Zutatenkarten werden wieder umgedreht.; [1292: Zufall, ]
101: Anschließend deckt das nächste Kind im Uhrzeigersinn eine Karte auf.; [1292: Zufall, ]
102: Das geht so lange weiter bis ein Kind die genau passende ten gefunden hat.; []
103: Ja; []
104: ?; []
105: Prima!; []
106: Ist wie gewünscht Emil zu sehen?; []
107: Oder zeigt die Karte genau die eine oder die beiden passenden Zutaten?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
108: Oder zeigen die beiden aufgedeckten Karten genau die beiden passenden Zutaten?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
109: Dann bekommt das Kind die zur Belohnung.; []
110: Anschließend nimmt es sich den Löffel und zieht eine neue vom Stapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
111: Die nächste Runde beginnt.; []
112: Ende; []
113: Das Spiel endet sobald alle Klopfkarten verteilt sind.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
114: Wer die meisten hat gewinnt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
115: Variante 2; []
116: Kinder; []
117: Die wird nach dem Klopfen offen auf den Tisch gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
118: Anschließend spielen die Kinder abwechselnd.; [164466: Loswerden, 7090: Kooperative Spielform, ]
119: Wer an der Reihe ist deckt eine auf und schaut sie sich geheim an nimmt dann den Löffel und klopft die Signale oder ruft laut je nach Motiv der Karte.; [1292: Zufall, ]
120: Wer eine bzw. zwei passende Karten findet bekommt die zur Belohnung.; [1292: Zufall, 1492: Siegbedingung, ]
121: Karla vergleicht die Abbildungen von und Zutatenkarten Passen sie genau zusammen?; [1292: Zufall, ]
122: Spiel 2; []
123: Für 2 5 aufmerksame Köche.; []
124: Ziel Wer gut zuhört und etwas Glück hat kann die eigenen Zutatenkarten zuerst abgeben und gewinnt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
125: Vorbereitung; []
126: Haltet den Kochlöffel bereit.; []
127: Ordnet die Rezeptkarten so zwischen euch an dass jedes Kind sie gut sehen kann.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
128: Legt alle und Zutatenkarten die eine oder zwei Zutaten oder Emil zeigen beiseite.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
129: Mischt die Klopfkarten die drei Zutaten zeigen und legt sie als verdeckten Stapel bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
130: Jedes Kind bekommt drei Zutatenkarten und legt sie offen in einer Reihe vor sich ab.; [1292: Zufall, ]
131: Übrige Zutatenkarten kommen offen in die Tischmitte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
132: Ablauf; []
133: Das älteste Kind übernimmt zuerst die Rolle von Karla.; [164466: Loswerden, ]
134: Es zieht eine vom verdeckten Stapel und sieht sie sich geheim an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
135: Anschließend nimmt es den Löffel in eine Hand klopft alle drei Zutaten und rührt zwischendurch mit dem Löffel.; [1292: Zufall, ]
136: Was geschieht dann?; []
137: Nun schauen alle Kinder die eigenen Karten an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
138: Wer die passende Karte vor sich liegen hat darf sie in die Tischmitte schieben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
139: Entdeckt ein Kind außer Karla dass die passende Karte schon in liegt legt es schnell seine Hand auf diese Karte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
140: Stimmt es darf es eine beliebige eigene Karte dazulegen.; [1292: Zufall, ]
141: Bemerkt; []
142: Karla; []
143: dass die gesuchte Karte vor ihr liegt darf sie diese ebenfalls in die Tischmitte legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
144: Dann wird der Löffel an das nächste Kind im Uhrzeigersinn weitergegeben.; []
145: Es nimmt eine neue vom Stapel und die nächste Runde beginnt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
146: Ende; []
147: Das Spiel endet sobald das erste Kind keine mehr vor sich hat und damit gewinnt.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
148: Spiel 3; []
149: 3 6 blitzschnelle Ziel; []
150: Wer genau zuhört und schnell reagiert kann die eigene Hand zuerst auf die passende legen als Erster fünf Klopfkarten sammeln und das Spiel gewinnen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
151: Vorbereitung; []
152: Haltet den Kochlöffel bereit.; []
153: Ordnet die Rezeptkarten so zwischen euch an dass jedes Kind sie gut sehen kann.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
154: Legt die und Klopfkarten die nur eine oder zwei Zutaten zeigen beiseite.; [1292: Zufall, ]
155: Legt die Zutatenkarten die drei Zutaten oder Emil zeigen offen in die Tischmitte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
156: Mischt die Klopfkarten die Emil oder drei Zutaten zeigen und legt sie als verdeckten Stapel bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
157: Ablauf; []
158: Das älteste Kind übernimmt zuerst die Rolle von Karla.; [164466: Loswerden, ]
159: Es nimmt die oberste auf die Hand und sieht sie sich geheim an.; [1292: Zufall, ]
160: In die andere Hand nimmt es den Löffel.; [1292: Zufall, ]
161: Was ist auf der Karte zu sehen?; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
162: Zutaten und das jeweils passende Signal Karla klopft alle Zutaten rührt... und legt den Löffel dann auf dem Tisch ab.; [1292: Zufall, ]
163: Emil die Karla ruft; []
164: Was geschieht dann?; []
165: Sobald Karla fertig geklopft hat versuchen die anderen Kinder so schnell wie möglich eine Hand auf die passende Karte zu legen; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
166: Hat Karla; []
167: geklopft soll die zu den Signalen passende gefunden werden.; [7090: Kooperative Spielform, ]
168: Hat Karla gerufen soll die Karte mit der Maus gefunden werden.; [1292: Zufall, ]
169: Wer seine Hand auf eine Karte gelegt hat darf sie nicht mehr bewegen.; [1292: Zufall, 164466: Loswerden, ]
170: Wenn alle Kinder ihre Hand auf einer Karte abgelegt haben wird die offen ausgelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
171: Das Kind dessen Hand auf der richtigen Karte liegt bekommt die Liegen mehrere Hände übereinander auf der richtigen Karte so zählt die Hand die ganz unten liegt.; [1292: Zufall, ]
172: Danach ist dieses Kind Karla.; []
173: Es bekommt den Löffel und nimmt sich die oberste Die nächste Runde beginnt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
174: Ende; []
175: Das Spiel endet sobald das erste Kind fünf Klopfkarten gesammelt hat und damit das Spiel gewinnt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
176: Einfacher; []
177: Es wird nur mit den und Zutatenkarten gespielt die eine oder zwei Zutaten zeigen.; [1292: Zufall, ]
178: Schwieriger Es wird mit allen Karten gespielt die zwei oder drei Zutaten zeigen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
179: Spiel 4; []
180: Für 2 4 Köche.; []
181: Ziel Reihum ist jedes Kind entweder Zuhörer oder Wer zuhört dreht sich erst danach zum Tisch um und versucht die Karte zu finden deren Signale er gerade gehört hat.; [1292: Zufall, 164466: Loswerden, ]
182: Vorbereitung; []
183: Legt den Kochlöffel bereit.; []
184: Legt die Zutatenkarten die eine oder zwei Zutaten zeigen offen auf den Tisch.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
185: Alle übrigen Zutatenkarten werden beiseitegelegt.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
186: Mischt alle Klopfkarten und legt sie als verdeckten Stapel bereit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
187: Ablauf Kind hat den Löffel sein linker Nachbar steht auf und dreht sich vom Tisch weg.; [1292: Zufall, 7090: Kooperative Spielform, ]
188: Kind zieht eine vom Stapel klopft die entsprechenden Signale und rührt dazwischen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
189: Anschließend dreht sich der Nachbar wieder um setzt sich hin und zeigt auf die passende Zutatenkarten Geschafft?; [1292: Zufall, 8536: Aktionspunkte, ]
190: Dann bekommt er die und den Löffel.; []
191: Leider nicht geschafft?; []
192: Dann bekommt er keine Karte sondern nur den Löffel.; [1292: Zufall, ]
193: Ende Ihr spielt fünf Runden.; [164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
194: Es gewinnt wer dann die meisten Karten hat.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
195: Sind das mehrere Kinder so gewinnen sie gemeinsam.; [164466: Loswerden, 7090: Kooperative Spielform, ]
