0: Georg Werkstraße; []
31: Zu dieser einfachen Version gibt es zwei aufeinander aufbauende Zusatzregeln die das Spiel auch für ältere Kinder interessant machen.; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
32: 1.; []
33: Einfache Grundregel für Kinder ab 4 Jahren; [7090: Kooperative Spielform, ]
34: Das jüngste Kind beginnt.; []
35: Dann geht es reihum im Uhrzeigersinn weiter.; []
36: Wer an der Reihe ist nimmt beide Würfel und wirft zuerst den Zahlenwürfel.; [1292: Zufall, 164466: Loswerden, ]
37: Dann nimmt er so viele Chips Körner in die Hand wie er Punkte gewürfelt hat und versteckt sie in seiner Wahl.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
38: Er darf alle in einen stecken oder sie beliebig verteilen.; [1292: Zufall, 8536: Aktionspunkte, ]
39: Anschließend wirft er den Farbwürfel und darf mit auf den fliegen dessen Farbe er gewürfelt hat.; [1292: Zufall, 8536: Aktionspunkte, ]
40: Hinweis; []
41: Hast du; []
42: blau gewürfelt darfst du zwischen den beiden blauen Stroh ballen wählen.; [1292: Zufall, 8536: Aktionspunkte, ]
43: Hast du die Farbe des gewürfelt auf dem gerade sitzt darfst du mit auf einen deiner Wahl fliegen.; [1292: Zufall, 8536: Aktionspunkte, ]
44: Nach dem Würfeln und Ziehen hat das Kind 2 Möglichkeiten den aufdecken auf dem jetzt steht.; [1292: Zufall, ]
45: Befinden sich Körner darin darf es diese nehmen und auf seiner ablegen.; [8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
46: Befinden sich keine Körner darin muss das Kind einen eigenen hin einstecken sofern es schon einen hat.; [3173: Gemeinsames Spielfeld, ]
47: 4 Oder den nicht aufdecken.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
48: Danach ist sein Zug beendet und sein linker Nachbar ist am Zug.; []
49: Spielende; []
50: Das Spiel endet sobald der erste Spieler; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
51: 6 Körner gesammelt hat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
52: 1 2.; []
53: Für alle denen die regel gefallen hat und die Geschichte weiterspielen wollen; [164466: Loswerden, 7090: Kooperative Spielform, ]
54: Jetzt kommt Otto die Vogelscheuche.; []
55: Sie wird vor Spielbeginn in die Mitte des zu den Körnern gestellt.; []
56: Dann wird gewürfelt es werden Körner verteilt es wird gezogen und aufgedeckt wie in der Grundregel beschrieben.; [1292: Zufall, ]
57: Zusätzlich gilt Landest du mit auf einem auf dem der Schatten der Vogelscheuche zu sehen ist holst du dir die Figur und stellst sie neben deine Mit ihrer Hilfe kannst du verscheuchen.; [7090: Kooperative Spielform, 3173: Gemeinsames Spielfeld, ]
58: Und zwar so Ein beliebiger Spieler ist am Zug.; [1292: Zufall, 8536: Aktionspunkte, ]
59: Er stellt auf dem ab dessen die gewürfelte Farbe hat.; [1292: Zufall, ]
60: Bevor er in den Ballen schaut muss er sagen Magie und wo ich jetzt suche ist was da!; [7090: Kooperative Spielform, ]
61: In dieser Zeit kannst du dich entscheiden als momentaner Besitzer von Otto die Vogelscheuche neben diesen zu stellen um zu vertreiben in diesem Fall muss der Rabe sofort zu einem der beiden benachbarten ausweichen.; [3142: Verlierbedingung, ]
62: Auf welchen das darf der Spieler am Zug selbst entscheiden.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
63: Im ausgewählten Stroh ballen darf jetzt natürlich nach Körnern suchen weiter nach der Grundregel Anschließend; []
64: stellst du Otto wieder neben deine Du darfst ihn beim nächsten Spieler wie beschrieben erneut verwenden.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
65: Wenn ein Spieler mit auf einem der mit landet auch nach dem Verscheuchen bekommt dieser Otto.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
66: Er darf die Figur auf die gleiche Weise wie oben beschrieben verwenden.; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
67: Tipp; []
68: Du darfst die Vogelscheuche auch dann einsetzen wenn; [8536: Aktionspunkte, ]
69: du; []
