0: 6; []
33: Eine wichtige Voraussetzung für das ist dass der Schatzsucher ehrlich spielt und nicht schummelt.; [164466: Loswerden, ]
34: Aber für einen richtigen Abenteurer ist das schließlich Ehrensache oder?; [8536: Aktionspunkte, ]
35: REGELN; []
36: FÜR; []
37: BESONDERE SPIELSITUATIONEN UND TIPPS; []
38: Was passiert wenn nach dem Würfeln alle fünf die zeigen?; [1292: Zufall, ]
39: Der Spieler verliert seinen Zug.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
40: Er muss seine Spielfigur stehen lassen wo sie ist.; []
41: Die Würfel werden zu Beginn des Zuges des nächsten Schatzsuchers zwangs weise aufgelöst und die Mumie darf einen durchführen.; [1292: Zufall, 8536: Aktionspunkte, ]
42: Passiert dies dem Schatzsucher der in der Spielrunde direkt vor der Mumie sitzt darf die Mumie erst ihren normalen Zug ausführen 5 Schritte Ergebnis des und dann noch einen 5 Schritte; [8536: Aktionspunkte, ]
43: Ein Schatzsucher kann sich nicht bewegen weder mit 1 2 3 4 noch mit dem Pfeil weil er auf drei Seiten von Wänden und auf der vierten Seite von der Mumie eingeschlossen ist.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
44: Der Spieler muss dies bekannt geben.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
45: Er führt seinen Zug nicht aus und wird übersprungen er darf auch nicht auflösen oder würfeln; [1292: Zufall, 8536: Aktionspunkte, ]
46: Das Verlies können die Schatzsucher in zwei Richtungen verlassen Durchbruch in den Wänden Wichtig; [8536: Aktionspunkte, ]
47: Damit der gut funktioniert sollten alle Spielfiguren immer in der Mitte der Gänge und Felder stehen.; [7090: Kooperative Spielform, ]
48: Sollte die Mumie ein Feld mit einer Schatzsucher figur betreten ohne dass diese von der Mumie geschnappt wird dann gilt der Schatzsucher dennoch als gefangen.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
49: Die Mumie darf bei den Schatzsuchern jederzeit die Kartenrückseiten der verbliebenen Auftragskarten anschauen um zu sehen welche Farben sie noch auf der Hand halten.; [1292: Zufall, 8536: Aktionspunkte, ]
50: Für die Schatz sucher ist es sinnvoll anfangs gegen einander zu spielen sich im späteren Verlauf aber zu helfen wenn die Mumie zu gewinnen droht.; [164466: Loswerden, 3142: Verlierbedingung, 7090: Kooperative Spielform, ]
51: 2008 Ravensburger Spieleverlag GmbH Ravensburg Ravensburger; []
52: Spieleverlag Postfach; []
53: 24 60 88194 Ravensburg Ravensburger 9 http; []
54: Eine abenteuerliche Schatzjagd für 2 bis 5 Spieler ab 8 Jahren; [164466: Loswerden, 7090: Kooperative Spielform, ]
55: Ravensburger Spiele; []
56: Nr. 26 464 3 Autor Illustration Michael Menzel Design DE Ravensburger; []
57: GESCHICHTE; []
58: Jahrhundertelang lag die verschollen geglaubte Pyramide des Amenophis tief im Wüstensand verborgen.; []
59: Nun wurde sie freigelegt und vier mutige Schatzsucher wagen sich ins Innere um ihre Schätze zu bergen.; []
60: Doch die Mumie des Amenophis findet keine Ruhe und streift durch die Gänge.; []
61: Sie ist nicht gerade erfreut dass die Forscher ihre mit nehmen möchten.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
62: Deshalb wirft sie jeden Schatzsucher den sie erwischt ins Verlies.; [8528: Siegpunkte, 1492: Siegbedingung, ]
63: Die Schatzsucher können jedoch wieder freikommen wenn sie der Mumie eines der drei wertvollen geben die sie zu ihrem Schutz bei sich tragen.; [8536: Aktionspunkte, ]
64: Gelingt es einem der Schatzsucher die gesuchten Schätze zu finden oder kann die Mumie die endgültig vertreiben?; [8536: Aktionspunkte, 7090: Kooperative Spielform, ]
65: IN HA 1 1 zweiteilig 4 rot türkis blau violett 12 je rot türkis blau violett 2 1 1 5 weiß 1 braun 23 Auftragskarten je rot blau und weiß je grün und gelb SPIELZIEL; [1292: Zufall, ]
66: Ein Spieler übernimmt die Rolle der Mumie alle anderen Spieler sind Schatzsucher.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
67: Jeder Schatzsucher erhält den Auftrag fünf verschiedene Gegenstände aus der Pyramide zu bergen.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
68: Ein Schatzsucher gewinnt sobald er alle seine fünf Gegenstände gefunden hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
69: Die Mumie versucht die Schatzsucher zu fangen.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
70: Jedes Mal wenn sie einen Schatzsucher gefangen hat bekommt sie von ihm einen Lebenspunkt; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
71: Die Mumie gewinnt wenn sie eine bestimmte Anzahl an Lebenspunkten gesammelt hat abhängig von der Spieleranzahl; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
72: VORBEREITUNG; []
73: Vor dem ersten Spiel werden die Karten und Ab vorsichtig aus den Stanztafeln gelöst.; [1292: Zufall, 164466: Loswerden, ]
74: Der Spielplan wird in die Mitte des gesteckt.; [3173: Gemeinsames Spielfeld, ]
75: Der Spielplan zeigt auf beiden Seiten dasselbe der Pyramide.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
76: Die Spieler entscheiden wer die Mumie spielt.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
77: Die Schachtel wird dann so platziert dass der Mumienspieler auf der einen Seite des sitzt und alle Schatzsucher auf der anderen Seite.; [1292: Zufall, 8536: Aktionspunkte, ]
78: Der Mumienspieler darf während des ganzen Spiels nicht auf die andere Spielplanseite schauen!; [3173: Gemeinsames Spielfeld, ]
79: Auf der Seite des wird die; []
80: für die Mumie auf den Schachteleinsatz gelegt auf der anderen Seite die für die Schatzsucher Abbildung Camp Jeder Schatzsucher wählt eine Spieler farbe nimmt die drei dieser Farbe an sich und setzt die entsprechende Spiel figur auf seiner Spielplan seite auf das Startfeld.; [1292: Zufall, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
81: Der Mumienspieler platziert den Kopf der auf seiner Spielplan seite auf dem Sarkophag Verlies und an derselben Stelle auf der Schatzsucher seite des Plans den Bei weniger als vier Schatzsuchern kommen die übrigen Spiel figuren und zurück in die Schachtel.; [3173: Gemeinsames Spielfeld, ]
82: Die Auftragskarten werden nach den farbigen Rückseiten sortiert und jeder der fünf Stapel verdeckt gemischt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
83: Danach erhält jeder Schatzsucher von jedem Stapel eine Karte die er verdeckt vor den Mitspielern auf die Hand nimmt.; [1292: Zufall, 1492: Siegbedingung, ]
84: Die restlichen Karten werden ohne sie beiseitegelegt.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
85: Nun erhält die Mumie noch den die werden bereitgelegt und dann geht los!; [8528: Siegpunkte, 1492: Siegbedingung, ]
86: 0 SPIELABLAUF für 3 bis 5 Spieler die Regeländerungen für 2 Spieler stehen auf Seite 4; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
87: Der Spieler links vom Mumienspieler beginnt danach geht es im Uhrzeigersinn weiter.; []
88: Es sind also zuerst alle Schatzsucher an der Reihe danach die Mumie dann wieder alle Schatzsucher usw. 3. Ziehen; [1292: Zufall, 164466: Loswerden, ]
89: Von den geworfenen Würfeln wählt der Spieler einen aus dessen Ergebnis er der Mumie laut verkündet 1 2 3 4 oder Pfeil Dann bewegt er seine auf dem Spielplan entsprechend viele Felder weit.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
90: Dabei gelten folgende Regeln; []
91: Es darf nur waagrecht und senkrecht gezogen werden nie diagonal sind erlaubt.; [1292: Zufall, 8536: Aktionspunkte, ]
92: Während des Zuges darf dasselbe Feld durch und auch mehrmals betreten werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
93: Die gewählte Zahl muss vollständig gezogen werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
94: Geht das nicht muss noch einmal gewürfelt werden.; [1292: Zufall, ]
95: Die Wände und das Feld auf dem die Mumie steht sind Hin und dürfen nicht betreten oder durchquert werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
96: Man darf nicht auf das Startfeld oder ins Verlies ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
97: Wählt der Spieler eine Zahl dürfen andere Schatzsucher über werden besetzte Felder werden dabei mitgezählt; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
98: Auf einem Feld darf aber immer nur eine Spielfigur stehen.; []
99: Wählt der Spieler den Pfeil muss die Spielfigur waagrecht oder senkrecht bis zum Feld vor dem nächsten Hindernis gezogen werden.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
100: Als Hindernisse zählen in diesem Fall die Mumie andere Schatzsucher Wände Startfeld oder Verlies.; [73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
101: Beim Pfeil muss die Spielfigur bewegt werden sie; [1292: Zufall, ]
102: darf nicht auf demselben Feld stehen bleiben.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
103: EINES SCHATZSUCHERS; []
104: 1. eventuell; []
105: Auflösen; []
106: 2. Würfeln; [1292: Zufall, ]
107: 3. Ziehen; [1292: Zufall, ]
108: 4. eventuell ausspielen 1. Auflösen; []
109: Liegen aus früheren der Schatzsucher noch Würfel mit der nach oben aus darf der Spieler vor seinem Zug auflösen die Mumie führt sofort einen Zwischen; [1292: Zufall, 8536: Aktionspunkte, ]
110: zug aus siehe der Mumie Seite 4; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
111: Danach würfelt der Spieler mit allen fünf Würfeln.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
112: 2. Würfeln; [1292: Zufall, ]
113: Der Spieler würfelt mit allen die nicht mit der Mumie nach oben ausliegen; [1292: Zufall, 1492: Siegbedingung, ]
114: Zu Beginn des Spiels würfelt der Spieler mit allen fünf Ist er mit dem Ergebnis zufrieden zieht er seine Spielfigur entsprechend.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
115: Ist er nicht zufrieden darf er erneut würfeln allerdings wieder nur mit den Würfeln die nach dem ersten Wurf nicht die zeigen.; [1292: Zufall, ]
116: Dies kann er beliebig oft wiederholen jedoch müssen jedes Mal die Würfel die eine Mumie zeigen beiseitegelegt werden.; [1292: Zufall, ]
117: Beispiel für einen Spielzug eines Schatzsuchers Spieler Blau ist am Zug.; [8536: Aktionspunkte, ]
118: Aus den Zügen liegen zwei Würfel mit der Mumie nach oben aus.; [1292: Zufall, ]
119: Er entscheidet sich nicht aufzulösen und würfelt deshalb nur mit den restlichen drei Würfeln.; [1292: Zufall, ]
120: Er würfelt Mumie 1 2.; [1292: Zufall, ]
121: Den legt er zur Seite.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
122: Mit den Zahlen ist er nicht zufrieden deshalb würfelt er noch einmal.; [1292: Zufall, ]
123: Er hat dazu nur noch zwei Würfel zur Verfügung.; [1292: Zufall, ]
124: Das Ergebnis ist; []
125: 1 und 4. Blau kündigt an vier Felder weit zu ziehen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
126: Er zieht zum roten Skarabäus.; [1292: Zufall, ]
127: Er besitzt die mit dem roten und legt sie offen vor sich ab.; [1292: Zufall, ]
128: Damit ist sein Zug beendet.; []
129: Spieler Rot ist an der Reihe und entscheidet sich die Würfel aufzulösen; [1292: Zufall, ]
130: Die Mumie führt einen aus siehe Seite 4 danach; [8536: Aktionspunkte, ]
131: darf Spieler Rot mit allen fünf Würfeln würfeln.; [1292: Zufall, 164466: Loswerden, ]
132: 4. ausspielen Beendet ein Schatzsucher seinen Zug auf einem seiner darf er die entsprechende Karte ausspielen indem er sie für alle sichtbar also auch für die Mumie offen ablegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
133: Legt ein Spieler seine letzte Karte ab hat er das Spiel gewonnen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
