0: Mayday!; []
34: UNd GEWINNER; []
35: Liegen nur noch 9 auf dem Tisch endet das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
36: Diese letzten drei Wesen bleiben dort liegen.; []
37: Jetzt zählt jeder seine offen vor sich liegenden Wesen zusammen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
38: Für jedes Wesen erhält er 3 Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
39: Für jeden zieht er wieder einen Punkt von seiner Summe ab.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
40: Wer jetzt die meisten Punkte hat gewinnt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
41: Bei einem Gleichstand gewinnt wer von den Beteiligten weniger gesammelt hat.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
42: Es kann mehrere Gewinner geben.; [1492: Siegbedingung, ]
43: Mayday!; []
44: After in planet well our aliens set back hand?; []
45: MATERIALS; []
46: 60 12 planet chips; []
47: GAME; []
48: 60 down in different after all an seen tobe first player hand down most in front game.; []
49: SET; []
50: Mix all 60 out down Put planet chips hand Takeoff all rings in order nobody; [164466: Loswerden, ]
51: GAME in order.; []
52: turn in such all see same all turn.; []
53: All part all an hand fastest player all down in front in Order.; []
54: not all planet chip.; [164466: Loswerden, ]
55: All an also planet chip.; [164466: Loswerden, 1492: Siegbedingung, ]
56: planet chips in player in chip player.; []
57: nobody not all happens.; [164466: Loswerden, ]
58: player turn All in ENd; []
59: GAME game 9 player in front 3 planet chip total.; []
60: player most in end; []
61: In player planet chips Rencontre du fete elle chose de compagnie de 19 amis elle de vers Mais Resultat de de de reflexes du corps ensemble plus rapide plus de 5 de de 60 12 60 20 corps de Des 3 de premier main de plus partie.; []
62: 60 reserve de de partie lesens des tour de monde tour termine.; []
63: partie du corps 3; []
64: du corps corps de main plus rapide de 3 de jeton corps jeton reserve de jeton de 3 passe; []
65: de; []
66: FINDE PARTIE partie des reste plus 9 3 plus 3 jeton 1 plus de partie.; []
67: de Visite ha sulla via ha 19 sie sulla terra.; []
68: tutti All sulla terra tutti in po hanno ben che numero da 5 latte 60 12 60 20 gambe.; []
69: Chi per sulla dell quell Chi numero ha 60 in in che tutti Tutti ache Chi che in gambe presto sulla mette in Chi in in Chi delle gambe Chi uno dell in solo 9 Per 3 Per chi ha numero; []
70: In; []
71: che ha; []
