0: Zum Spiel gehören 120 Karten; [1292: Zufall, 164466: Loswerden, ]
69: Mit Gold selbst können Sie nichts bauen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
70: 3 3; []
71: 3 1 0 3 3 9 3; []
72: Ihre 9 Startkarten mit schwarzer 4 39 Ihr Fürstentum!; [1292: Zufall, ]
73: Fangen Sie jetzt an und bauen Sie die Spielfläche auf!; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
74: 1. Sortieren Sie die 18 Karten aus die auf der Rückseite ein Wappen tragen!; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
75: 2.; []
76: Jeder Spieler erhält für seine die 9 Karten einer Wappenfarbe und legt sie folgendermaßen vor sich aus 2; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
77: Die Straße mit den Erklärungen in die Mitte.; []
78: Rechts und links davon jeweils 1 Siedlung.; []
79: Die 6 Landschaften werden diagonal um die Siedlungen herum abgelegt auf die Plätze 1 bis 6.; []
80: Die Anordnung welche Landschaft wohin ist beliebig.; [1292: Zufall, ]
81: Halten Sie zwischen den einzelnen Karten einen kleinen Abstand ein da Sie die drehen müssen.; [1292: Zufall, ]
82: 1 WICHTIG; []
83: Richten Sie die so aus daß zu Beginn des Spieles immer der Wert Eins 1 Symbol unten liegt.; [1292: Zufall, 8528: Siegpunkte, ]
84: Das bedeutet daß Sie einen Rohstoff dieser Art besitzen.; []
85: 3.; []
86: Die Vorbereitung der Ressourcen; []
87: Alle übrigen Karten werden nach den Symbolen auf ihren Rückseiten getrennt und in 10 verdeckten Stapeln ausgelegt; [1292: Zufall, 1492: Siegbedingung, ]
88: Die werden auf fünf ungefähr verdeckte Stapel verteilt und vervollständigen die Ressourcen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
89: Alle Kartenstapel stehen beiden Spielern zur Verfügung wenn sie neue Karten benötigen!; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
90: Ereignisse Straßen; []
91: Städte Siedlungen Landschaften 4.; [8528: Siegpunkte, 1492: Siegbedingung, ]
92: Die zwei Würfel und sowie und werden bereitgelegt.; [1292: Zufall, ]
93: 5.; []
94: Jeder Spieler zieht wie folgt; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
95: 3 Startkarten; []
96: Der Startspieler wird ermittelt wer die höhere Augenzahl wirft; [1292: Zufall, 8528: Siegpunkte, ]
97: Er sucht sich von den 5 Stapeln mit einen aus diesen Stapel; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
98: darf der Spieler durchsehen und 3 Karten daraus aussuchen.; [1292: Zufall, 164466: Loswerden, ]
99: Sein Mitspieler wählt einen anderen Stapel und sucht sich ebenfalls 3 Karten aus Jeder Spieler startet also mit 3 die geheim gehalten werden.; [1292: Zufall, 8528: Siegpunkte, 73230: Symmetrische Startbedingung, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
100: Beim Durchsuchen darf die Reihenfolge der Karten nicht verändert werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
101: Der Stapel wird dann wieder verdeckt an seinen Platz zurückgelegt ohne ihn zu mischen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
102: Tip; []
103: Für Einsteiger empfiehlt es sich nach Möglichkeit mit grünen auf die Hand zu nehmen Achtung Aktionskarten gelbe Textfelder dürfen nur dann ausgespielt werden wenn beide Spieler über mindestens je 3 Siegpunkte verfügen.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
104: 5; []
105: Die Spielregeln in der Übersicht; []
106: Die Spieler würfeln aus wer beginnt.; [1292: Zufall, 164466: Loswerden, ]
107: Wer an der Reihe ist wirft gleichzeitig die zwei Würfel Den mit Symbolen und den Würfel mit Augenzahlen 1.; [1292: Zufall, ]
108: Das gewürfelte Ereignis wird von beiden Spielern ausgeführt.; [1292: Zufall, 164466: Loswerden, ]
109: Das Ergebnis gilt für beide Spieler!; [164466: Loswerden, 1492: Siegbedingung, ]
110: 2.; []
111: Das Ergebnis des wird von beiden Spielern verbucht.; [164466: Loswerden, 1492: Siegbedingung, ]
112: Alle Landschaften auf denen die gewürfelte Ertragszahl abgebildet ist erhalten einen Rohstoff dazu.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
113: Keine Landschaft kann aber mehr als 3 Rohstoffe aufnehmen!; [164466: Loswerden, 1492: Siegbedingung, ]
114: 3.; []
115: Danach führt der Spieler der an der Reihe ist die aus!; [164466: Loswerden, ]
116: Die Reihenfolge der Aktionen darf der Spieler beliebig wählen Bauen!; [1292: Zufall, 8536: Aktionspunkte, ]
117: Er legt Karten in sein Fürstentum nachdem er zuvor die die erforderlichen Rohstoffe gezahlt hat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
118: Tauschen!; []
119: Er kann Rohstoffe tauschen mit seinem Gegner oder innerhalb seines Aktionskarten ausspielen!; [1292: Zufall, 8536: Aktionspunkte, ]
120: Er kann eine oder mehrere Aktionskarten die er auf der Hand hält; [1292: Zufall, 1492: Siegbedingung, ]
121: ausspielen vorausgesetzt jeder der beiden Spieler verfügt über mindestens 3 Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
122: 4 Hat der Spieler der an der Reihe ist seine Aktionen abgeschlossen füllt er seine Kartenhand wieder auf 3 Karten auf in dem er Karten von den nachzieht.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 1492: Siegbedingung, ]
123: Damit ist der Zug des Spielers beendet und sein Gegner ist an der Reihe.; []
124: Handelsmacht Jede dieser beiden Spielfiguren ist einen Siegpunkt wert.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
125: Ihr Besitz hängt von der aktuellen ab und die Figuren können zwischen den Spielern und herwechseln.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
126: Die Stärkste Der schwarze Handschuh ist das Symbol der 5 Ritter für ihre Stärke die schwarze Zahl daneben gibt an wie stark der Ritter ist.; [1292: Zufall, 8536: Aktionspunkte, ]
127: Hat ein Spieler auf seinen offen hegenden mehr Stärkepunkte als sein Gegner so besitzt er die Stärkste und erhält die die 1 Siegpunkt wert ist.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
128: Die Figur wird auf eine eigene Siedlung oder Stadt gestellt.; []
129: Sobald sich die Stärkepunkte verändern muß über prüft werden wer die Stärkste besitzt.; [8528: Siegpunkte, ]
130: Die Größte Handelsmacht; []
131: Die Mühle im Kreis ist das Symbol für Handelsmacht jedes Symbol zählt 1 Punkt.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
132: Hat ein Spieler auf seinen offen hegenden Karten mehr als sein Gegner und hat er mindestens eine Stadt gebaut so besitzt er die Größte Handelsmacht Er erhält die die 1 Siegpunkt wert ist und steht sie auf seine Stadt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
133: Keine Mehrheit bei oder Grundsätzlich gilt Hat keiner der Spieler eine Mehrheit so darf auch keiner die entsprechende Spielfigur besitzen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
134: Kommt es zu einem Gleichstand muß der Besitzer die entsprechende Figur zur Seite stehen der Siegpunkt geht verloren.; [8528: Siegpunkte, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
135: Der Spielablauf im Detail 1.; []
136: Das gewürfelte Ereignis Sie haben beide Würfel geworfen und führen zunächst das gewürfelte Ereignis aus.; [1292: Zufall, ]
137: Die folgenden Ereignisse können eintreten Wird der gewürfelt addieren beide Spieler die rote Zahlen ihrer aus liegenden Ritter.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
138: Wer die höhere Summe erreicht gewinnt und erhält zur Belohnung einen beliebigen Rohstoff.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
139: Das heißt er dreht eine seiner Landschaftskarten auf den Wert.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
140: Sind die beider Spieler gleich oder besitzen sie keine so erhält keiner eine Belohnung.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
141: Mühle Wird die Mühle; []
142: gewürfelt so darf der Spieler der die Spielfigur; [1292: Zufall, 164466: Loswerden, 8536: Aktionspunkte, ]
143: Mühle besitzt seinem Gegner einen Rohstoff abnehmen.; [1492: Siegbedingung, ]
144: Der darf sich den Rohstoff selbst aussuchen.; [8536: Aktionspunkte, ]
145: Beide müssen ihre Landschaftskarten entsprechend drehen.; [1292: Zufall, ]
146: Wichtig Besitzt; []
147: kein Spieler die Mühle so entfällt dieses Ereignis.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
148: Keule Wird die Keule gewürfelt so zählen alle Spieler die Rohstoffe auf ihren Landschaftskarten.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
149: Wer mehr als 7 Rohstoffe besitzt verliert alle und Wichtig Landschaften die durch ein Befestigtes Lager geschützt sind werden beim Zählen der Rohstoffe weggelassen.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
150: Erfolgreiches Jahr Sonne; []
151: Wird die Sonne gewürfelt so erhält jeder Spieler einen Rohstoff den er sich selbst aussuchen kann.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
152: Ereigniskarte Fragezeichen Wird das Fragezeichen gewürfelt; [1292: Zufall, ]
153: zieht der Spieler der gewürfelt hat die oberste Karte vom verdeck ten und best das Ereignis vor.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
154: Die Anweisungen der Karte müssen ausgeführt werden betreffen sie beide Spieler; [1292: Zufall, 164466: Loswerden, ]
155: gelten die Anweisungen natürlich für beide.; []
156: Danach wird die Karte wieder verdeckt unter den Stapel geschoben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
157: Sollte ein Spieler durch das Ereignis Bürgerkrieg eine Karte mehr als erlaubt auf der Hand halten muß er sofort eine Karte auswählen und verdeckt unter einen der 5 Ausbau stapel schieben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
158: 2.; []
159: Der Nach dem Ereigniswürfel ist der an der Reihe der mit den Würfelaugen Das Ergebnis des gilt für beide Spieler.; [1292: Zufall, 1492: Siegbedingung, ]
160: Alle Landschaften die mit der gewürfelten Augenzahl versehen sind erhalten 1 Rohstoff dazu.; [1292: Zufall, 8528: Siegpunkte, ]
161: Das heißt Jede dieser Karten wird auf ihren Wert gedreht.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
162: 1 Rohstoff; []
163: Keine Landschaft kann mehr als 3 Rohstoffe aufnehmen.; [164466: Loswerden, 1492: Siegbedingung, ]
164: 7 Beispiel; []
165: Ein Spieler besitzt die mit der Würfelzahl 5 und 2; [1292: Zufall, 1492: Siegbedingung, ]
166: Das hat schon 3 Rohstoffe das Zweier nur 1.; [8528: Siegpunkte, ]
167: Der Spieler würfelt eine 5; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
168: er erhält kein Erz dazu da das Gebirge mit der 5 schon das Maximum an Rohstoffen erreicht hat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
169: Ein Übertragen auf das ist nicht möglich.; [3173: Gemeinsames Spielfeld, ]
170: 3.; []
171: Die Der Spieler der an der Reihe ist kann nun in beliebiger Reihen folge eine oder mehrere der folgenden Aktionen ausführen!; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
172: 3.1; []
173: Aktionskarte ausspielen; []
174: gelbe In den befinden sich auch Aktionskarten gelbe die Sie auf die Hand nehmen können.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
175: Der Einsatz einer Aktionskarte kostet keine Rohstoffe.; [1292: Zufall, ]
176: Aktionskarten dürfen nur dann ausgespielt werden wenn jeder der Spieler über mindestens 3 Siegpunkte verfügt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
177: Ausnahme Kundschafter!; []
178: Ist ein Spieler an der Reihe kann er eine oder mehrere Aktionskarten ausspielen; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
179: offen auf den Tisch legen deren Anweisungen sofort befolgt werden müssen.; [3173: Gemeinsames Spielfeld, ]
180: Ist auf einer Aktionskarte nicht angegeben wann sie gespielt werden darf kann der Spieler sie jederzeit während der einsetzen Ausgespielte; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, ]
181: Aktionskarten legen Sie offen auf Ihren Ablage stapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
182: Sie dürfen in diesem Spiel nicht mehr eingesetzt werden.; [164466: Loswerden, ]
183: Wichtig Aktionskarten dürfen nur gespielt werden wenn die Aktion auch ausgeführt werden kann.; [1292: Zufall, 8536: Aktionspunkte, ]
184: Zwei dieser Aktionskarten Bischof und erlauben es dem Spieler sofort auf Aktionskarten des Gegners zu reagieren und selbst mit dieser Karte zu kontern.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
185: Sollte ein Spieler durch Einsatz einer Aktionskarte mehr als die erlaubte Anzahl Karten auf der Hand halten muß er sofort alle überzähligen Karten auswählen und verdeckt unter einen der 5 schieben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
186: Er kann selbst aussuchen welche Karten er abgeben möchte.; [1292: Zufall, ]
187: 3.2 Rohstoffe tauschen; []
188: Der Spieler kann jederzeit mit seinem Gegner Rohstoffe tauschen die Bedingungen; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
189: werden frei ausgehandelt.; []
190: Der Spieler kann jederzeit eigene Rohstoffe Umtauschen die; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
191: sich innerhalb seines befinden Er gibt 3 gleiche Rohstoffe ab reduziert den Wert der entsprechenden Landschaftskarte und erhält dafür 1 beliebigen anderen Rohstoff erhöht den Wert der betreffenden Landschaftskarte Dieses 3 1 läßt sich durch den Einsatz von auf 2 1 verbessern.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
192: Beispiel Ein Spieler mit einer darf immer innerhalb seines zwei gegen einen beliebigen anderen Rohstoff tauschen.; [1292: Zufall, 8536: Aktionspunkte, ]
193: Sein Fürstentum ausbauen; []
194: Der Spieler der an der Reihe ist kann beliebig viele Bauvorhaben durchführen so lange er über die; [1292: Zufall, ]
195: entsprechen den verfügt.; []
196: Grundsätzlich gilt Karten die links oben tragen können nur ausgespielt werden wenn der Spieler diese Rohstoffe bezahlen kann.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
197: Der Spieler legt die Karte von der Hand auf den Tisch in sein Fürstentum und bezahlt dann die abgebildeten Rohstoffe.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
198: Beispiel Wer den Ritter Götz in sein Fürstentum legen will muß 2 Getreide; [1292: Zufall, ]
199: 2 Wolle und 2 Erz zahlen das heißt er muß seine entsprechenden Landschaftskarten um jeweils 2 Rohstoffe reduzieren.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
200: 8 Straße Siedlung oder Stadt bauen Wer an der Reihe ist und eine Straße Siedlung oder Stadt bauen möchte nimmt sich die entsprechende Karte vom nachdem er die Baukosten auf den Rückseiten bezahlt hat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
201: Dann legt der Spieler diese Karte in sein Fürstentum.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
202: Straßen und Siedlungen dürfen nur in der mittleren Kartenreihe plaziert werden.; [1292: Zufall, ]
203: Straße; []
204: Neben einer Siedlung muß zunächst immer eine Straße gebaut werden sie erst; []
205: schafft die Möglichkeit daneben eine neue Siedlung zu errichten.; [1492: Siegbedingung, ]
206: Zwei Straßen aneinander dürfen nicht gebaut werden.; [8536: Aktionspunkte, ]
207: Siedlung; []
208: Jede Siedlung ist 1 Siegpunkt wert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
209: Wer eine Siedlung errichtet hat zieht sofort danach zwei verdeckte Karten vom Stapel der Landschaftskarten.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
210: Landschaftskarten werden in der oberen und unteren Kartenreihe angelegt diagonal zur Siedlung.; [1292: Zufall, ]
211: Der Spieler wählt selbst aus welche Landschaft er oben und welche er unten plaziert.; [1292: Zufall, 1492: Siegbedingung, ]
212: Neue Landschaften kommen immer Rohstoffen ins Spiel.; []
213: Stadt; []
214: Jede Stadt ist 2 Siegpunkte wert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
215: Wer eine Stadt errichtet legt diese Karte auf die Siedlung die er zur Stadt ausbauen möchte.; [1292: Zufall, 1492: Siegbedingung, ]
216: Die Siedlungs karte bleibt darunter hegen ihr Siegpunkt zählt nicht mehr Hinweis; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
217: Anders als im Brettspiel; []
218: Die Siedler von verdoppelt eine Stadt die nicht!; [1492: Siegbedingung, ]
219: 3.3.B Ausbau von Siedlungen und Städten; [8528: Siegpunkte, 1492: Siegbedingung, ]
220: Der Spieler der an der Reihe ist kann seine Siedlungen und Städte ausbauen mit Hilfe der grüne und rote Textfelder; [8528: Siegpunkte, 1492: Siegbedingung, ]
221: werden immer oder unterhalb der Siedlungen Städte plaziert.; [8528: Siegpunkte, 1492: Siegbedingung, ]
222: mit grünen können in Siedlungen und Städten ausgelegt werden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
223: mit roten können nur in Städten ausgelegt werden.; []
224: Siedlung; []
225: Eine Siedlung kann 2 Ausbauten auf nehmen.; []
226: Eine wird über der Siedlung abgelegt die zweite darunter.; [3173: Gemeinsames Spielfeld, ]
227: 2 1 Stadt; [8528: Siegpunkte, 1492: Siegbedingung, ]
228: Jede Stadt kann; []
229: 1 4 Ausbauten aufnehmen 1 2 über der Stadt 2 darunter.; [1492: Siegbedingung, ]
230: Bei die auf benachbarte Landschaften wirken spielt es keine Rolle ob sie in Position 1 oder 2 hegen.; []
231: Hinweise zu den grünen Diese für Siedlungen und Städte enthalten entweder Einheiten Ritter Flotten oder Gebäude Lager Sägewerk Burg; [8536: Aktionspunkte, 1492: Siegbedingung, ]
232: usw. Bestimmte müssen neben den zugehörigen Landschaften hegen Position 1 oder 2 siehe Seite 9 rechts unten um ihre Wirkung zu entfalten; [7090: Kooperative Spielform, ]
233: So muß zum Beispiel die neben einem Getreidefeld Hegen damit sich die Erträge dieser Landschaft verdoppeln.; [3173: Gemeinsames Spielfeld, ]
234: Liegt die Getreide mühle zwischen zwei verdoppeln sich bei beiden die Erträge wenn ihre Augenzahl gewürfelt wird Hinweise zu den roten Sie; [1292: Zufall, 8536: Aktionspunkte, ]
235: dürfen nur an Städte angelegt werden.; [8536: Aktionspunkte, ]
236: Diese Karten enthalten zusätzlich entweder Siegpunkte oder Alle roten gelten als Gebäude.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
237: 4.; []
238: Die eigene Kartenhand auffüllen; [1292: Zufall, ]
239: Am Ende seines Zuges und nur dann darf ein Spieler seine Kartenhand auf 3 Karten auffüllen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
240: Wer die entsprechenden Ausbauten Kloster in seinem Fürstentum ausliegen hat darf auch auf mehr als 3 Karten auffüllen.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, ]
241: Für das Auffüllen gibt es zwei Möglichkeiten.; [8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
242: Ergänzen einer Karte aDer; [1292: Zufall, ]
243: Spieler zieht von einem der 5 die ober Karte und nimmt sie auf die Hand.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
244: Der Spieler zahlt zwei beliebige auch verschiedene Rohstoffe und nimmt sich einen der Er darf sich alle Karten ansehen und eine Karte auswählen die er auf die Hand nimmt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
245: Danach legt er den Stapel wieder verdeckt zurück an seinen Platz.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
246: Wichtig; []
247: Beim Durchsuchen des Stapels darf die Reihenfolge der Karten nicht verändert werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
248: Auch darf der Stapel nie gemischt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
249: Ergänzen mehrerer Karten; [1292: Zufall, ]
