0: Man kann auch den Holzständer wie auf Abbildung 2 zu sehen so umbauen dass die Tiere über die Tischkante gehängt werden können.; []
43: Die Tiere können normalerweise beliebig aneinander gehängt werden.; [1292: Zufall, 8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
44: Am Kopf am Schwanz an den Armen oder an der Beinen usw.; [8536: Aktionspunkte, ]
45: Das gilt nicht bei der Kopf Schwanz; []
46: Beim Anhängen der Tiere darf nur eine Hand verwendet werden.; []
47: Sobald ein Spieler ein Tier angehängt hat kommt der nächste Spieler mit dem Würfeln an die Reihe und führt die auf dem Symbolwürfel vorgegebene Aktion durch.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
48: Was passiert wenn eines oder mehrere Tiere Hier gelten die folgenden Man hat immer nur einen Fällt dabei das Tier herunter wird es wieder zu den anderen eigenen Tieren gelegt.; [3173: Gemeinsames Spielfeld, ]
49: Fallen mehrere Tiere herunter so muss man sich maximal zwei Tiere davon nehmen.; []
50: Alle anderen heruntergefallenen Tiere kommen zurück in die Spielschachtel.; []
51: Ende des Spieles und Wertung; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
52: Das Spiel endet sobald ein Spieler sein letztes Tier an die hängen konnte.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
53: Den Schwierigkeitsgrad erhöhen; []
54: Wenn man möchte kann man den Schwierigkeitsgrad dadurch erhöhen dass man die beiden Holzständer näher zusammenstellt.; [8536: Aktionspunkte, ]
55: Das Anhängen von Tieren ist dann nicht mehr ganz so leicht möglich da man nur noch von vorne oder hinten Tiere anhängen kann.; []
56: Man kann versuchen alleine so viele Tiere wie möglich aneinander zu hängen.; [8536: Aktionspunkte, ]
57: Erst wenn eines oder mehrere Tiere herunterfallen endet der Versuch.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
58: Sofort kann man versuchen ein weiteres Mal seinen geraden aufgestellten Rekord zu brechen und wieder so viele Tiere wie möglich aneinanderhängen.; [8536: Aktionspunkte, ]
