0: Damals Heute Spielzeug Postfach 47 Telefon 49 0 Telefax 49 0 2005 Spielzeug Spiel OB; [164466: Loswerden, ]
59: Es wird so lange gespielt bis alle Holz tafeln einen Besitzer gefunden haben.; [164466: Loswerden, 3142: Verlierbedingung, ]
60: 8; []
61: Der Spieler mit den meisten Holztafeln hat gewonnen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 8528: Siegpunkte, ]
62: Variante für wenige Mitspieler Finden sich einmal nicht genügend Mitspieler so kann man auch die Spiel dauer verkürzen indem zwei bis drei Pärchen zur Seite gelegt werden.; []
63: Das Spiel wird dann wie in der Grundregel beschrie ben gespielt.; []
64: Für kommunikatives Spielen; []
65: Die Motive vom Memospiel Damals Heute rufen viele Erinnerungen her vor.; []
66: Legen Sie die Motive offen vor sich hin.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
67: Welche Erinnerungen wecken die Motive in Ihnen?; [1292: Zufall, ]
68: Gibt es kleine Geschichten die Sie zu den Motiven erzählen können?; []
69: Welche Geräusche gehörten zu den Motiven und wie hört es sich heute an?; [8536: Aktionspunkte, ]
70: In dieser Variante erzählen Sie sich gegenseitig Ihre Erinnerungen und Erlebnisse.; []
71: Wenn Sie Lust haben können Sie im Anschluss das Spiel wie vorher beschrie ben spielen.; [164466: Loswerden, 3142: Verlierbedingung, 166903: Ankommen, ]
72: 9001 Damals; []
73: Heute 5 Deutsche Frakturschrift alles?; []
74: Sie So mit elegant glänzenden Sind die dafür Sicherer und mit enormer; [1492: Siegbedingung, 8528: Siegpunkte, ]
75: Die deutsche Frakturschrift die wir auch als Altdeutsche Schrift oder als Deut Schreibschrift kennen ist heute fast gänzlich in Vergessenheit geraten.; []
76: Während man heute fast nur noch sehr Damals Lateinische Antiqua Damals war alles anders.; []
77: Die Schrift war geschwungen und nicht so gerade wie heute.; []
78: Autos waren mit elegant glänzenden Chrom leisten; []
79: versehen heute sind die Autos dafür sicherer und brausen mit enormer Geschwindigkeit dahin.; [1492: Siegbedingung, 8528: Siegpunkte, ]
80: Schriften sogenannte Antiqua; []
81: Schriften benutzt so war das Schriftbild früher von geschwungenen ten geprägt.; []
82: Heute Antiker Fotoapparat 1839 wurde die erste vorgestellt seitdem wurde die Technik der ständig weiterentwickelt.; []
83: Noch heute wird das Prinzip der Balgen kamera in der benutzt.; []
84: Heute ist es selbstverständlich dass man immer und überall seinen Fotoapparat dabei hat.; []
85: Früher war das nicht ohne weiteres möglich denn die Kamera war sehr schwer empfindlich und unhandlich Moderne die mussten teilweise sofort entwickelt werden.; []
86: Aus diesem Grund ließ man zu wichtigen Anlässen einen Fotografen kommen.; [3173: Gemeinsames Spielfeld, ]
87: wie heute gab es damals selten kein Wunder also; []
88: dass die jüngeren Generationen beim Betrachten der Fotos denken das Leben früher sei immer sehr steif und ernst gewesen.; []
89: Dabei ging es bei Ihnen doch sicher auch sehr lustig zu.; []
90: 6 9001 Damals Heute Altes; []
91: Das hatte schnell den Kosenamen erhalten denn ging etwas kaputt; []
92: so dampfte es recht kräftig und gab dann keinen Laut mehr von sich.; []
93: Ende der Jahre wurde das entwickelt das mit geringer Betriebsspannung funktionierte und kompakter gebaut war als das gute alte Aufgrund der kompakten Bauweise; [164466: Loswerden, 7090: Kooperative Spielform, ]
94: eignete sich das auch vorzüglich um mitgenommen zu wer Moderneres den.; [1492: Siegbedingung, ]
95: Nach und nach wurde die Technik immer ausgefeilter heute gibt es Fern bedienungen für Radios damit man bequem im Sitzen den Sender wechseln kann.; [8536: Aktionspunkte, ]
96: Auf Knopfdruck wird der Sender automatisch gesucht eine tolle Erfindung bei der heutzutage.; []
97: Seit Mitte der Jahre ist es sogar möglich Autos mit Radios auszustatten damals eine Revolution heute eine Selbstverständlichkeit.; []
98: Zylinder Foto GmbH Co. KG Hüte sind nicht nur modische deckungen lange Zeit dienten sie als oder waren Symbol für eine Der Zylinder bei entwickelte sich vom zum und Abend hut.; [1292: Zufall, ]
99: Erhalten hat sich der Zylinder bis oder wie die Jugend sagt heute als Bestandteil der Schornstein Der Hut als modische Kopfbedeckung; [3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
100: spielt heute eine eher untergeordnete Rolle.; [164466: Loswerden, ]
101: Lediglich die auch genannt ist bei den jungen Menschen noch sehr häufig als modisches Accessoire zu sehen.; []
102: 9001 Damals; []
103: Heute; []
104: 7 Musik hat schon immer die Menschheit bewegt.; [8528: Siegpunkte, ]
105: Die Frage war nur kann man Musik konservieren Ende des 19. Jahr wurde das Grammophon erfunden das es erlaubte gesangliche und musikalische Leistungen aufzuzeichnen.; [164466: Loswerden, ]
106: Die meisten Grammophone wurden mit angetrieben und mussten immer werden.; [1492: Siegbedingung, 8528: Siegpunkte, ]
107: Diese Technik führte nicht selten dazu dass das Plattenspieler Gerät beim Abspielen eierte und die Musik nicht ganz originalgetreu wiedergegeben wurde.; []
108: Ab etwa 1920 wurde dann das mechanische Verfahren durch ein Elektrisches ersetzt wobei der Ton durch eine Vorrichtung anstatt durch ein Horn verstärkt der Plattenspieler war erfunden.; []
109: Wissen Sie noch welches Ihre erste Platte war?; []
110: Altes Bügeleisen an sich gibt es schon sehr lange ganz am Anfang dienten erhitzte Steine oder Metalle als Im nächsten Schritt wurden kohlebeheizte Geräte; [8536: Aktionspunkte, ]
111: verwendet die aber nicht selten 8 Neues eine hässliche schwarze Spur auf der Wäsche hinterließen.; []
112: Um ein faltenloses Gewebe zu erhalten reicht bloße Hitze leider nicht aus erst mit etwas Feuchtigkeit wird das 9001 Damals Heute schön glatt.; [1492: Siegbedingung, ]
113: Zu diesem Zweck verwendete man früher einen in feuchtes Tuch das zwischen Eisen und Gewebe gelegt wurde.; [3173: Gemeinsames Spielfeld, ]
114: Sehr beschwerlich war damals das Bügeln die Eisen wogen immerhin zwischen 4 und 5 kg und konnten deshalb nicht auf den und hergeschoben sondern nur versetzt wer den.; [1492: Siegbedingung, ]
115: Die ersten waren über Schläuche mit einem Kesselhaus verbunden wo nur für die Dampf erzeugt wurde.; []
116: Mancherorts nutzte man aber auch den Dampf der zum Antrieb von anderen Maschinen genutzt wurde zum Bügeln.; [8536: Aktionspunkte, ]
117: Heute werden Bügeleisen mit Strom angetrieben und besitzen automatische damit jede mit der richtigen Temperatur geglättet werden kann.; [1492: Siegbedingung, 8528: Siegpunkte, ]
118: Eine regelrechte Revolution war in den sechziger Jahren der Einsatz der Teflon die es er das Bügeleisen über die Wäsche gleiten zu lassen und den Bügel lappen endgültig überflüssig machte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
119: Alte mechanische Nähmaschine Schon zu verband der Mensch Pelze Leder und Stoffe mit Fäden zu Erarbeitete mit und später dann mit Noch bis ins 19. Jahrhundert hinein nähte man mit der Hand ein guter und flinker Schneider schaffte 30 Stiche pro Minute.; [7090: Kooperative Spielform, ]
120: Der Wunsch diese Arbeit schneller und besser mit einer Maschine im damaligen Sprachgebrauch einer eisernen Hand machen zu Neue elektrische Nähmaschine führte Anfang des 19. Jahrhunderts zur Entwicklung der ersten Nähmaschinen.; [3142: Verlierbedingung, ]
121: Ungefähr 200 Stiche pro Minute schafften die ersten Modelle.; [1492: Siegbedingung, ]
122: Während die Nähmaschinen früher sehr schwergängig waren da sie mit einem Keilriemen angetrieben wurden so sind moderne Nähmaschinen von heute und nähen die Stoffe mit einer hohen Geschwindigkeit.; [8528: Siegpunkte, ]
123: 9001 Damals Heute 9 Schreibmaschine Erinnern Sie sich noch an das Klappern der Schreibmaschine und das typische Geräusch man das Papier herausgezogen hat?; [1292: Zufall, ]
124: Viele Jahre begleitete uns die Schreibmaschine die 1714 erfunden wurde und seit 1888 mit einer genormten Tastatur auf den Markt kam.; []
125: Heute stehen in Büros Computer und Drucker die Tastatur klappert nur leise.; []
126: Hatte man sich beim Schreiben vertippt so einem schnell ein Fluch schließlich verursachte die Korrektur mit Korrekturband nochmaliges Tippen erhebliche Arbeit.; [3173: Gemeinsames Spielfeld, ]
127: Heutzutage wird das Geschriebene auf sogenannte Chips und Festplatten gespeichert es kann jederzeit verändert und mit Hilfe eines Druckers nochmals ausgedruckt werden.; [8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
128: Älterer Traktor; []
129: Der erste Traktor mit Ottomotor wurde Ende des 19. Jahrhunderts entwickelt und vereinfachte die landwirtschaftliche Arbeit enorm.; [164466: Loswerden, 166903: Ankommen, ]
130: Während in den und in Groß britannien Traktoren eine wichtige Rolle in der Landwirtschaft spielten prägten in Deutschland weiterhin; [3142: Verlierbedingung, ]
131: Pferde Ochsen und Neuerer Traktor Kühe als das Bild.; []
132: Lediglich Groß betriebe nutzten die teuren die sich für einen Großteil der landwirt Arbeit noch nicht eigneten.; [8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
133: Erst Mitte des 20. Jahrhunderts setzten sich die Traktoren auch in Deutschland durch.; []
134: 9001 Damals Heute Einer der wichtigsten der Entwicklung des Traktors war unter die Entwicklung der reifen in den Jahren welche die Zugkraft der Schlepper erhöhten.; []
135: Zuvor wurden genutzt die nicht ohne weiteres auf der Straße gefahren werden konnten und die den Übergang zwischen Acker und Straße zu einem schwerwiegenden Problem machten.; [8536: Aktionspunkte, ]
136: Betrachtete man damals einen Traktor bereits als technisches Wunderwerk der das Pferd als und Arbeitstier ersetzte so kann man heute nur mit Staunen; [8536: Aktionspunkte, ]
137: die Traktoren bewundern riesige Gefährte mit starken Motoren sind das mit Fahrerkabinen die dem vom Radio über Lärmschutz bis hin zur Heizung jeden Komfort bieten.; []
138: Spülmaschine aus dem Jahr; []
139: 1929 Foto Moderne Spülmaschine; []
140: Foto leDer erste elektrische Geschirrspüler Europas wurde 1929 eingeführt und hatte einen runden Metallbottich.; [1492: Siegbedingung, 166903: Ankommen, ]
141: Nachdem Geschirr und Besteck von oben eingeräumt waren wurde heißes Wasser in den Bot gefüllt das mit Hilfe eines Schwung rades über das Geschirr gesprüht wurde.; [1492: Siegbedingung, ]
142: Nach wenigen Minuten war das gramm beendet; []
143: man ließ dann das Was ab und wiederholte den Vorgang noch mals.; []
144: Das Geschirr konnte danach nicht ganz trocken aber werden.; []
145: Die Kapazität reichte damals immerhin für das Geschirr einer Mahlzeit von einer Familie.; [8536: Aktionspunkte, ]
146: Die einzige Gemeinsamkeit die das alte und das aktuelle Gerät haben ist dass das Geschirr sauber wird.; []
147: Heute sind Geschirrspüler in vielen Haushalten anzutreffen sie säubern und trocknen das Geschirr auf Knopfdruck moderne Geräte arbeiten sogar und wassersparend.; []
148: 9001 Damals Heute; []
149: 11 Alter Fernseher mit Holzgehäuse 1929 gab es den ersten Fernseher versteht sich.; []
150: Zum Massen medium wurde er aber erst Anfang der als der Rundfunk mit seinem offiziellen Sende betrieb begann.; []
151: Einen Schub erlebte das Fernsehen durch die Übertragung der Krönungsfeierlichkeiten für Elisabeth und durch die Übertragung der Weltmeisterschaft in Bern 1955.; [8536: Aktionspunkte, ]
152: Das Fern sehen ist aus unserem Alltag heute kaum Moderner Fernseher mit Kunststoffgehäuse noch wegzudenken.; []
153: Das Fernsehgerät selbst wird immer weiterentwickelt Farb fernsehen gibt es in Deutschland seit 1967 und ist heute eine Selbstverständlichkeit ebenso wie Fernbedienung Videotext und gute Während damals nur ein Sender nämlich das Erste zur Verfügung stand so explodierte mit der Einführung des am 1.04.1963 die im Jahr 1964 waren über 10 Fernseh geräte angemeldet.; [7090: Kooperative Spielform, ]
154: 12 9001 Damals Heute Limousine von damals Des Deutschen liebstes Spielzeug ist sein Auto in Wunder denn das Auto mobil wurde ja auch in Deutschland erfunden.; []
155: Gottlieb; []
156: Daimler und Karl Benz entwickelten unabhängig voneinander fast zeitgleich den Viertaktmotor.; []
157: Die ersten Motoren waren jedoch zu groß und zu schwer um sie in ein Automobil einbauen zu können.; [3142: Verlierbedingung, ]
158: Im Jahr 1885 gelang es Daimler endlich einen Motor in der richtigen Größe zu erfinden der sodann in sein erstes Automobil den sogenannten eingebaut wurde.; [7090: Kooperative Spielform, ]
159: Der Wagen hatte 0 5 und erreichte eine Geschwindigkeit von 6 Karl Friedrich Benz stellte 1886 sein erstes Auto fertig dieses war bereits mit Teilen ausgestattet die auch heute noch in jedem Auto zu finden sind Aktuelles Auto Foto Zündung; [3142: Verlierbedingung, ]
160: Wasserkühlung für den Motor und Lenkung.; []
161: Schon bald wurden aus den sehr einfachen Autos der ersten Jahre teure die in Handarbeit gefertigt wurden.; []
162: Edle Ledersitze und Speichen felgen sowie glänzende zierten die meist schwarzen Wägen.; []
163: Heute sind Autos in jeder erdenklichen erhältlich mit Schiebedach oder als Cabriolet.; [1492: Siegbedingung, ]
164: Obwohl sie sehr hohe Geschwindigkeiten erreichen sind sie nicht so laut wie ihre Vorgänger aus früheren Jahren.; [7090: Kooperative Spielform, ]
165: Auch die hat sich weiterentwickelt; []
166: Sicherheitsgurt Airbag und viele andere technische Finessen sind heutzutage Standard um die Insassen zu schützen.; [8536: Aktionspunkte, ]
167: 9001 Damals Heute 13; []
168: Die erste Waschmaschine; []
169: Europas Wer heute eine Waschmaschine belädt und nach kurzer Zeit die saubere duftende fast trocken geschleuderte Wäsche aus der Trommel nimmt kann sich kaum noch vorstellen was vor vielen Jahren bedeutete.; []
170: Eine der ersten Waschmaschinen die auf dem Prinzip der basierte war sicherlich bereits ein Fortschritt gegenüber dem Waschbrett.; []
171: Moderne Waschmaschine Aber war immer noch harte Arbeit bei dem die Hausfrau meist einen ganzen Tag beschäftigt war.; [8528: Siegpunkte, ]
172: Heute sind Waschmaschinen mit einer großen Auswahl an Programmen ausgestattet von der Kochwäsche bis zur feinen wird alles bei der richtigen Temperatur gesäubert und mit der richtigen Drehzahl geschleudert.; [8536: Aktionspunkte, 3173: Gemeinsames Spielfeld, ]
173: 14 9001 Damals Heute Dampflok 1803 gelang die Konstruktion der ersten Dampflok doch erst über 20 Jahre später wurde die Bahn auch als für Personen genutzten Deutschland fuhr die erste Eisenbahn 1835 von Nürnberg nach Fürth.; [7090: Kooperative Spielform, ]
174: Mit der Bahn brach ein neues an langen gefährlichen und beschwerlichen Reisen mit der Postkutsche hatten ein Ende.; [164466: Loswerden, 3142: Verlierbedingung, ]
175: Gleichzeitig entwickelte sich auch der organisierte Buchhandel.; []
176: Da die Reise mit der Bahn relativ lang dauerte begannen die Reisenden auf der Fahrt zur Ablenkung zu lesen.; [7090: Kooperative Spielform, ]
177: wurden immer Moderner Schnellzug komfortabler.; []
178: 1893 begann mit der Jung des legendären von Paris nach Konstantinopel die glanz vollste Epoche der Luxuszüge die dann bereits mit Restaurants Betten und Bädern ausgestattet waren.; []
179: Doch 20 Jahre später wurde diese positive Entwicklung der durch den ersten Welt krieg gestoppt.; []
180: Fortan konzentrierte man sich auf die Weiterentwicklung von Auto mobilen und Flugzeugen.; []
181: Heute ist die Bahn ein komfortables und schnelles Verkehrsmittel der fährt auf manchen Strecken bis zu 9001 Damals Heute 15; []
