0: der Zauberer Spielregel Ravensburger Spiele Nr. 21 101 2; []
35: Von dort aus zieht er später beschwörend seine Runden um den Zauber trank...; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
36: 4; []
37: Erstes Ablagefeld; []
38: rechts außen Ziel des Spiels; [164466: Loswerden, ]
39: Wer als erster alle acht Zutaten abgelegt hat gewinnt das Spiel.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
40: Spielregel; []
41: Mit Krötenbein und schwarzen Spinnen kann das Spiel jetzt gleich beginnen.; [3142: Verlierbedingung, ]
42: Alle legen gleichzeitig eine ihrer Zutatenkarten verdeckt auf das erste Ablagefeld ihrer Farbe 4; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
43: Was abgelegt wird bestimmt jeder von euch selbst.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, 8528: Siegpunkte, ]
44: Nur die Karte mit den zwei Spinnen darf nicht als erste Karte abgelegt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
45: Dann setzt der jüngste von euch Zauberer um ein Feld im Uhrzeigersinn weiter.; [8536: Aktionspunkte, ]
46: Den Zauberer müßt ihr mit einem leichten Druck auf dem nächsten Feld aufsetzen.; [166903: Ankommen, ]
47: Damit löst ihr den elektronischen Kontakt aus und beginnt sofort ganz aufgeregt zu leuchten und zu piepen.; []
48: Er überlegt sich ob er den Kindern trauen soll oder ob er lieber nachschauen sollte was sie ihm dieses Mal wieder untergejubelt haben.; [3142: Verlierbedingung, ]
49: 9 Leuchtet sein Zauberhut nachdem der aufgehört hat möchte die Kinder kontrollieren.; []
50: Jetzt kommt die Wahrheit ans Licht!; []
51: Alle müssen die zuletzt abgelegte Karte umdrehen.; [1292: Zufall, 164466: Loswerden, ]
52: Und was hat sich darunter versteckt?; []
53: Wer eine passende Zutat abgelegt hat kann atmen.; [164466: Loswerden, ]
54: Ihm geschieht nichts.; []
55: Alle die eine gute Zutat abgelegt haben dürfen diese wieder umdrehen.; [164466: Loswerden, ]
56: Sie bleibt auf dem Ablage feld liegen.; [3173: Gemeinsames Spielfeld, ]
57: Aber wehe wenn bei einem Spieler eine Spinne entdeckt!; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
58: Dann wird er fürchterlich wütend und die Spieler müssen diese schleunigst wieder zu sich nehmen.; [3142: Verlierbedingung, ]
59: Bei einer Karte mit zwei Spinnen werdet ihr besonders hart bestraft.; [1292: Zufall, ]
60: Jetzt müßt ihr die zwei zuletzt abgelegten Karten wieder in euren Vorrat aufnehmen.; [1292: Zufall, ]
61: Also seid auf der Hut der Zauberer kennt kein Pardon!; []
62: Wenn alle ihre Karten überprüft haben weiter.; [1292: Zufall, 164466: Loswerden, ]
63: Alle legen wieder gleichzeitig eine Zutat verdeckt ab und der nächste von euch darf den Zauberer bewegen.; [1292: Zufall, ]
64: Erlischt das Lämpchen sofort nach dem möchte nicht nachschauen.; []
65: Alle dürfen die soeben abgelegte Zutat verdeckt liegen lassen.; [1292: Zufall, ]
66: Also legt ihr gleich wieder eine Karte ab und der Zauberer macht einen weiteren Schritt nach vorne.; [1292: Zufall, ]
67: Auf diese Weise setzt sich das Mischen des fort bis ein Spieler alle acht Zutaten abgelegt hat.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, ]
68: Aber auch nach der letzten Karte wird der Zauberer nochmals bewegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
69: Dann zeigt sich ob der Spieler wirklich gewonnen hat.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
70: Ende des Spiels; []
71: Wer als erster alle acht Zutaten verdeckt auf dem Plan ablegen konnte hat gewonnen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, 8528: Siegpunkte, ]
72: Dabei kann es natürlich passieren daß mehrere Spieler gleichzeitig fertig sind.; []
73: Noch ein Tip zum Schluß; []
74: Selbstverständlich könnt ihr auch in die Tasche stecken und so mit in die Schule oder auf den Spielplatz nehmen um damit eure Freunde zu erschrecken...; []
75: 1993 Otto Maier Verlag Ravensburg Otto Maier Verlag Ravensburg; []
76: 220 11 0; []
