0: DU ronde des pyramide ronde.; [1292: Zufall, ]
29: Je 1 Siegpunktmarker in den 5 Spielerfarben 6; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
30: Übersichtstafeln; []
31: 1 1 Spielregel; []
32: SPIELBEGINN; []
33: DIE OPFER; []
34: Kakao war der Trank der Götter und wurde in großen Mengen in den Tempeln der Azteken gefunden.; [3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
35: Bevor das eigentliche Spiel beginnt muss jeder Spieler den Göttern ein Opfer darbringen.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
36: Dazu legt er eine seiner 13 Kakaokarten verdeckt in den Tempel in der Spielplanmitte; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
37: siehe Spielplan Diese Karten bleiben hier bis zur Schlussabrechnung verdeckt liegen und stehen den Spielern während des Spieles nicht zur Verfügung.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
38: Am Ende des Spiels wird ihr Zahlenwert als Siegpunkte angerechnet.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
39: Zusätzlich erhält der Spieler mit dem höchsten Opfer 3 Bonuspunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
40: SPIELABLAUF; []
41: Das Spiel geht über mehrere Runden max. 7; [164466: Loswerden, 1492: Siegbedingung, ]
42: In jeder Runde müssen die Spieler je 2 ihrer Kakaokarten den 6 Stationen auf dem Spielplan zuordnen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
43: Dazu legen sie die Karten passend an ihre Übersichtstafel an.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
44: Nachdem die 6 Stationen nacheinander abgehandelt wurden beginnt eine neue Runde.; [1492: Siegbedingung, ]
45: VORBEREITUNG; []
46: EINER RUNDE; []
47: Vor jeder Runde müssen folgende Vorbereitungen getroffen werden; []
48: 1.; []
49: Die drei weißen Erntewürfel werden geworfen und mit den geworfenen Augen auf die drei Felder von Station 2 auf den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
50: 2.; []
51: Ein schwarzer Bonuswürfel muss auf den Brunnen in der Mitte der Stadt gelegt werden Station 3; [1292: Zufall, ]
52: Dabei spielt es keine Rolle welche Augenzahl der Würfel zeigt.; [1292: Zufall, ]
53: 3.; []
54: Der weiße Rundenanzeiger wird zu Beginn auf Station 5 auf das erste Feld gesetzt über 8 4 neben Zu Beginn jeder folgenden Runde wird der Feld weiter nach rechts versetzt und zeigt so die aktuelle Runde an max. 7 4.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
55: Die jeweils oberste Karte der beiden Aufbesserungsstapel werden offen auf die beiden Felder mit 6 und 3 in gelegt Station 6; [1292: Zufall, ]
56: GEBOTE; []
57: Die Spieler besitzen für das Spiel noch 12 Kakaokarten eine Karte haben sie ja bereits als Opfer in den Tempel gelegt.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
58: Mit diesen 12 Karten bieten sie an den 6 Stationen wobei immer zwei Karten je Station gesetzt werden müssen.; [1292: Zufall, ]
59: Aus diesen beiden Karten wird immer die Summe gebildet.; [1292: Zufall, 8528: Siegpunkte, ]
60: Es gibt drei verschiedene Arten des Bietens siehe Rückseite der Übersichtstafel; [8536: Aktionspunkte, 1492: Siegbedingung, ]
61: Das Feld auf dem der Siegpunktmarker des führenden Spielers steht gibt an welche Art zum Einsatz kommt; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
62: Wenn der Siegpunktmarker des Führenden auf einem gold Feld steht wird für die 6 Stationen einzeln nacheinander geboten.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
63: Die Spieler müssen also zunächst zwei verdeckte Kakaokarten zum Station 1 legen dann gemeinsam aufdecken und auswerten werden nacheinander im Uhrzeigersinn alle 6 Stationen abgehandelt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 7090: Kooperative Spielform, ]
64: Spielbeginn Jeder Spieler.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
65: wählt eine seiner Kakaokarten und legt sie verdeckt in den Tempel; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
66: Der Tempel Vorbereitung einer Runde; [8528: Siegpunkte, 1492: Siegbedingung, ]
67: Gebote; []
68: Jeder Spieler macht ein Gebot aus 2 Karten an jeder Station.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
69: Das Feld auf dem der Sieg des Führenden steht bestimmt die Art des Bietens.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
70: Wenn der Siegpunktmarker des Führenden auf einem roten Feld steht oder auf dem Feld 0 der Wertungsleiste müssen alle zu Rundenbeginn alle 12 Karten je 2 pro Station verdeckt den 6 Stationen zuteilen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
71: Sie werden dann nach und nach aufgedeckt und einzeln gewertet.; [8528: Siegpunkte, 1492: Siegbedingung, ]
72: Wenn der Siegpunktmarker des Führenden auf einem grünen Feld steht muss jeder Spieler zunächst zu jeder Station eine verdeckte Karte legen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
73: Dann werden diese 6 Karten von allen Spielern aufgedeckt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
74: Anschließend legt jeder Spieler zu jeder Station eine zweite Karte verdeckt.; [1292: Zufall, 1492: Siegbedingung, ]
75: Danach werden wieder jeweils alle Stationen einzeln nacheinander ausgewertet.; []
76: Führender auf goldenem Verdecktes; [1292: Zufall, ]
77: Gebot mit 2 Karten jede 1 einzeln nacheinander abhandeln.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
78: rotem Feld; []
79: Verdecktes Gebot für alle 6 Stationen zu Rundenbeginn grünem Feld Zunächst; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
80: 1 Karte verdeckt dann alle aufdecken dann die zweite Karte.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, ]
81: Achtung; []
82: Beim Bewegen der Siegpunktmarker auf der Wertungsleiste kann es Vorkommen dass Marker auf ein bereits besetztes Feld gezogen werden müssen.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
83: In diesem Fall bilden die Marker einen Stapel wobei der zuletzt angekommene Marker zuoberst platziert wird.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
84: Für die Spieler mit den höchsten oder niedrigsten Geboten gibt es an den Stationen nun Vorteile Siegpunkte Bonuspunkte oder Nachteile.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
85: Zur Erinnerung; []
86: An jeder Station wird die Summe aus den beiden gebotenen Karten gebildet Station 1; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
87: Der Sage nach Heß sich dazu verführen in den Spiegel der Zukunft zu schauen.; []
88: er sich selbst sieht ist er; []
89: schockiert; []
90: Er sieht sein Spiegelbild als alten Mann mit einem grauen Bart.; []
91: Der Spieler mit dem höchsten Gebot erhält die Er erhält sofort 1 Siegpunkt Wertungsleiste und gewinnt jeden Gleichstand solange die Figur vor ihm steht.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
92: Station 1; []
93: Höchstes; []
94: Gebot bekommt 1 und jedem Gleichstand; [8528: Siegpunkte, 1492: Siegbedingung, ]
95: Der Spieler mit dem niedrigsten Gebot muss die Figur Alter Mann nehmen und stellt sie vor sich.; []
96: Er muss bei den restlichen 5 Stationen dieser Runde immer 1 Punkt von seinen Geboten abziehen.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
97: Achtung; []
98: Die Figur; []
99: Alter Mann bringt seinem Besitzer in der folgenden Runde an und nur hier 1 Bonuspunkt beim Bieten!; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
100: Niedrigstes; []
101: Gebot bekommt Figur; [7090: Kooperative Spielform, ]
102: After Mann bei jedem Gebot dieser Runde 1 bei Gebot auf Station; [8528: Siegpunkte, 1492: Siegbedingung, ]
103: 1. Gleichstände bei Geboten; []
104: Gleichstände bei Geboten nach Berücksichtigung von eventuellen oder werden im er wie folgt auf gelöst Ist der Spieler der die aktuell vor sich stehen ha tandem; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
105: Gleichstand beteiligt entscheidet er diesen im er für sich.; [8528: Siegpunkte, ]
106: Ist dieser Spieler nicht an dem Gleichstand beteiligt gewinnt ihn der beteiligte Spieler dessen Siegpunktmarker auf der Wer weiter hinten steht.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
107: Gift dies für mehrere Spieler gewinnt der Spieler mit dem obersten Siegpunktmarker den Gleichstand.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
108: Gleichstände gewinnt ansonsten der Spieler mit weniger Station 2; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
109: ERNTE; []
110: DER der Gott des Kakaos sorgte für eine reiche Ernte an seinen geliebten Der Spieler mit dem höchsten Gebot erhält entsprechend dem Würfel mit der höchsten Augen zahl Siegpunkte und zieht seinen Siegpunktmarker entsprechend viele Felder auf der Wertungsleiste voran.; [1292: Zufall, 8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
111: Der Spieler mit dem Gebot erhält Siegpunkte entsprechend der Augen zahl und der Spieler mit dem Gebot entsprechend der Augenzahl.; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
112: Station 3; []
113: DIE STADT; []
114: Hier entsteht die Hauptstadt der Azteken.; []
115: Der Spieler mit dem höchsten Gebot hat die Wahl zwischen Eine Hütte bauen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
116: Der Spieler platziert einen seiner auf einem freien Bauplatz in Station 3. jede Hütte erhöht alle seine zukünftigen Gebote bis auf jene für Station 3 um 1.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
117: Als Erinnerung erhält der Spieler einen 1 den er offen oder Schwarzen Bonuswürfel von Station 3 nehmen.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
118: Den Bonuswürfel kann er im weiteren Spielverlauf einsetzen um sein Gebot aufzubessern.; [1292: Zufall, 8536: Aktionspunkte, ]
119: Um einen oder mehrere Bonuswürfel einzusetzen wird dieser werden diese nach dem Aufdecken der Gebote von dem Spieler geworfen und die gewürfelte Augen zahl zu einem seiner Gebot hinzugezählt.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, ]
120: Alle eingesetzten Bonuswürfel müssen nach einmaligem Gebrauch abgegeben werden.; [1292: Zufall, ]
121: Der Spieler mit dem Gebot muss sich für die andere Möglichkeit Achtung Bonuschips für die Hütten Jeder bringt seinem Besitzer auf Gebote für die Stationen 1 2 4 5 und 6 jeweils einen Bonus 1; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
122: er addiert je einen Punkt zu seinem Gebot hinzu.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
123: Da die Hütten jedoch unterhalten werden müssen bringt jeder seinem Besitzer einen Malus von auf jedes Gebot für die Station 3. Station 4; [8528: Siegpunkte, 1492: Siegbedingung, ]
124: DIE PYRAMIDE; []
125: Das wichtigste Heiligtum der Azteken lag in; []
126: Die Pyramide von ist dem Volumen nach die größte von Menschenhand errichtete Pyramide der Weit.; []
127: Die Pyramide wird von unten nach oben aufgebaut.; []
128: Dabei werden in jeder Runde immer genau 2 Markierungssteine gesetzt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
129: Am Spielende zählt jeder eigene Markierungsstein in der Pyramide 1 Siegpunkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
130: Aber sie können auch Bonuspunkte bringen; [8528: Siegpunkte, ]
131: Wenn die Gebote ausgewertet werden können zwei Fälle auftreten; [7090: Kooperative Spielform, ]
132: Ein Spieler setzt beide Markierungssteine.; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
133: Das ist dann der Fall wenn der Höchstbietende mindestens 3 Punkte mehr bietet als der Spieler mit dem Gebot.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
134: Station 2; []
135: Ernte; []
136: Meistbietender bekommt größte Augenzahl als Siegpunkte Zweiter und Dritter entsprechend die niedrigeren Augenzahlen Station 3; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
137: Die Stadt; []
138: Der Höchstbietende darf wählen Hütte bauen oder Würfel nehmen; [1292: Zufall, 8536: Aktionspunkte, ]
139: Der Zweitplatzierte führt die andere Möglichkeit durch.; [8536: Aktionspunkte, ]
140: Schwarzer Würfe!; []
141: Kann einmalig benutzt werden um eigenes Gebot aufzubessern.; [8536: Aktionspunkte, ]
142: Hütte 1 bei allen Geboten außer bei Station 3 bei Station; []
143: 3 Station 4; []
144: Die Pyramide; []
145: Der Höchstbietende setzt zwei wenn sein Gebot mindestens um 3 höher als das des ist.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
146: Ist die Differenz geringer setzen beide je einen Markierungsstein.; [1492: Siegbedingung, ]
147: Oder Der Höchstbietende und der Zweitplatzierte liegen mit ihren Geboten weniger als 3 Punkte auseinander.; [8528: Siegpunkte, 1492: Siegbedingung, ]
148: Dann setzen beide je einen ihrer Markierungssteine ein.; [8536: Aktionspunkte, ]
149: Der Höchstbietende bestimmt wer zuerst einsetzen muss.; [164466: Loswerden, ]
150: Dies kann für die Ermittlung von Bonuspunkten für fertiggestellte Ebenen entscheidend sein.; [8528: Siegpunkte, ]
151: Bonuspunkte Sobald eine Ebene voll ist erhält der Spieler der die meisten Steine in dieser Ebene besitzt sofort entsprechend der Zahl links neben dieser Ebene Bonus punkte 2 5 Punkte und zieht seinen Siegpunktmarker entsprechend viele Felder voran.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
152: Wie immer gewinnt auch hier der Spieler mit der bzw. der Spieler mit den wenigsten bei einem Gleichstand.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
153: Beispiel Orange erhält 5 Punkte für die Mehrheit in der ersten Ebene.; [8528: Siegpunkte, 1492: Siegbedingung, ]
154: Grün erhält 4 Punkte in der zweiten Ebene denn Grün besitzt aktuell die und gewinnt so den Gleichstand mit lila.; [8528: Siegpunkte, 1492: Siegbedingung, ]
155: Station 5; []
156: HERSTELLUNG; []
157: DES; []
158: Der Sage nach entdeckte den Kakao in einem geheimnisvollen voll mit Kakaopflanzen.; [3173: Gemeinsames Spielfeld, ]
159: Hier gibt es sofort Siegpunkte zu gewinnen.; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
160: Von Runde zu Runde werden es weniger.; [8528: Siegpunkte, 1492: Siegbedingung, ]
161: In Runde 1 erhält der Höchstbietende 8 und der Zweit 4; [8528: Siegpunkte, 1492: Siegbedingung, ]
162: In Runde 2 erhält der Höchstbietende 7 und der Zweit 3; [8528: Siegpunkte, 1492: Siegbedingung, ]
163: Ab Runde 4 erhält nur noch der Höchstbietende Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
164: Der Spieler mit dem niedrigsten Gebot verliert in jeder Runde 2 Siegpunkte.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
165: Station 5; []
166: Die Azteken liebten das Spiel; [164466: Loswerden, ]
167: Es wurde mit einem Hartgummiball gespielt und ähnelte wohl Basketball und Fußball.; []
168: Wer das Spiel am besten beherrscht erhält als Belohnung neue bessere Kakaokarten.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
169: Der Höchstbietende erhält die höhere der beiden Karten der Zweitplatzierte die niedrigere.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
170: Beide Spieler müssen dafür ihre niedrigste Kakaokarten abgeben und zurück in die Schachtel legen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
171: Achtung; []
172: In der letzten Runde das kann sich auch erst während der Runde heraus steilen Endbedingungen macht eine Aufbesserung der Karten keinen Sinn mehr.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
173: In dieser Runde gibt es keine Karten sondern 6 und 3 Punkte für die beiden besten Gebote.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
174: Bonuspunkte; []
175: Wenn eine Ebene voll ist gibt es Bonus; []
176: punkte für die Mehrheit dort.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
177: Station 5; []
178: Der Kakaotrunk Runde 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
179: Der Höchst bietende und der Zweit erhalten Runde; [8528: Siegpunkte, 1492: Siegbedingung, ]
180: Nur der Höchstbietende erhält Runde 1; [8528: Siegpunkte, 1492: Siegbedingung, ]
181: Der verliert 2 Station 6; [7090: Kooperative Spielform, ]
182: Der Höchstbietende erhält die höhere Karte.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
183: Der Zweitplatzierte erhält die andere Karte.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
184: Beide geben dann ihre niedrigste Karte dafür ab; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
185: ENDE; []
186: DES SPIELES; []
187: Das Spiel endet nach der Runde in der einer der folgenden Fälle eintritt; [164466: Loswerden, 1492: Siegbedingung, ]
188: Die Pyramide ist fertig.; []
189: In diesem Fall sind alle 7 Runden gespielt; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
190: Ein Siegpunktemarker erreicht oder überschreitet die 40 Punkte.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
191: Ein Spieler verbaut seinen letzten Markierungsstein.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
192: Die Spieler spielen die Runde komplett zu Ende; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 166903: Ankommen, ]
193: Bitte beachten; []
194: Bei Station 6 gibt es statt der Karten 6 und 3 Siegpunkte Falls ein Spieler alle Markierungssteine verbaut hat und noch weitere benötigen würde kann er weiter punkten als wenn er noch welche hätte.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
195: Dazu kann man eine nicht verwendete Farbe benutzen.; [1292: Zufall, 8536: Aktionspunkte, ]
196: SCHLUSSWERTUNG; []
197: Nachdem die Runde noch zu Ende gespielt wurde kommt es zur Schlusswertung.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
198: Hier gibt es Siegpunkte für Stein in der Pyramide 1 Punkt die Mehrheit in der Pyramide 3 Punkte der Spieler der die besitzt 3 Punkte; [8528: Siegpunkte, 1492: Siegbedingung, ]
199: den Spieler der die Figur Alter Mann besitzt Punkte die Opferkarte entsprechend ihrem Wert Punkte Bonus für die höchste Opferkarte 3 Punkte; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
200: Die Augenzahl von max. 1 schwarzen Bonuswürfel pro Spieler den dieser im Spielverlauf nicht zur Auf besserung eines Gebotes eingesetzt hatte Punkte der Schlusswertung erhalten bei einem evtl. Gleichstand immer alle daran beteiligten Spieler die entsprechende Punktzahl.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
201: Der Spieler mit den meisten hat die Götter am meisten erfreut und ist der Sieger des Spiels.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
202: Im Falle eines Gleichstandes gewinnt der Spieler mit der höheren Opferkarte herrscht auch hier; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
203: Gleichstand gibt es mehrere Sieger.; [8528: Siegpunkte, 1492: Siegbedingung, ]
204: Günter Burkhardt Illustration Design Editor Arno Frank; []
205: Der Autor bedankt sich für zahlreiche Testspiele und Anregungen bei Bernd Thomas und Dirk Games bedankt sich bei Van Holländer Leonie Steve Pascal Zimmermann info 2010 Games Günter Burkhardt Spielende wenn Pyramide vollständig; [8536: Aktionspunkte, ]
206: ODER; []
207: 1 Spieler hat 40 ODER; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
208: 1 Spieler hat alle Markierungssteine verbaut; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
209: SCHLUSSWERTUNG; []
210: In der Schlusswertung hat die keine Auswirkung bei Gleich ständen!; [8528: Siegpunkte, 1492: Siegbedingung, ]
211: http http info 45 1 3; []
212: GUNTER; []
213: BURKHARDT; []
214: ART game set in legend Cacao; []
215: best Cacao 6 different player most; []
216: Quetzal will game! simple 6; []
217: after; []
218: GAME SETUP game board in shows 6 in order 1; []
219: In board altar end game.; []
220: Man ion back these down board.; []
221: player set; []
222: cacao sacks cacao well 9; []
223: all score theO score so disc top will 1. player also player board in front 6 front back.; []
224: player board tobe game board so all see 5 9; [164466: Loswerden, ]
225: in 7 bonus Chips huts 1 man; []
226: 1 12 5 3 cacao in 7; []
227: bonus; []
228: 3 cacao 5 score; []
229: marker 6 Player 1; [8528: Siegpunkte, ]
230: game board Game Cacao was drink was in in game all Cacao down altar in game; []
231: board see illustration first; []
232: page down game end game plus 3 bonus made Cacao; []
233: GAME game max; []
234: 7; []
235: In will 2 6 board.; []
236: This player After after new see first page; []
237: 1.; []
238: Roll cacao in Cacao 2 board.; []
239: 2. die in in center City 3 board.; []
240: die not 3. in first 8 4 5 Cacao Drink.; []
241: will Start max; []
242: 7 4.; []
243: top; []
244: 6 3 6; []
245: top board.; []
246: 12 cacao These will will different kinds see back player will made box score; []
247: marker score; []
248: In in player score marker gold box made 6 down 1 player in Order; [1492: Siegbedingung, ]
249: all GAME START player...; [73230: Symmetrische Startbedingung, 164466: Loswerden, ]
250: Cacao down player an 2 per Position player; []
251: In in score marker box 0 score all 12 per down player Start 1 in order.; [73230: Symmetrische Startbedingung, ]
252: 1.; []
253: PLAYER; []
254: GOLDEN BOX 2 all player score marker box player put down player board.; []
255: player 6 player put down individual in Order.; []
256: 2.; []
257: PLAYER; []
258: BOX BOX all Start 2 per; [73230: Symmetrische Startbedingung, 164466: Loswerden, ]
259: all NOTE score player lands an box score marker top marker order break not See different made total; []
260: PLAYER BOX all 1 per 1 look in was image fasan man player box score will in player man In Symbol in front player board.; [1292: Zufall, ]
261: 5 1 total; []
262: NOTE; []
263: In man 1 player will 1 1 man minus 1 plus 1 1; []
264: In game after all bonus neo player not in player score score same box score player marker top see; []
265: NOTE score eise; []
266: player 2 CACAO fora Cacao player; []
267: these score player die die.; []
268: 3; []
269: Stands City player choice hut hut extra in rest game.; []
270: bonus chip 1 in front player board.; []
271: die in city.; []
272: This die in so after die player roll die player bonus first player; []
273: NOTE huts in City hut tobe 4 most in in top.; []
274: In 2 in end game.; []
275: Extra will in game player 3 maximum 2 in In player first.; []
