0: muss ein Mal vom abgezogen werden Zeigen sie zwei unterschiedliche Tiere muss allerdings das Dritte nicht sichtbare Tier ein Mal vom Bestand abgezogen werden.; [1292: Zufall, 8528: Siegpunkte, ]
46: Es gewinnt der die Spielrunde der als erster GNU gerufen hat; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
47: Warum Wir suchen genau drei Tiere und nur das Gnu ist; []
48: drei Mal vorhanden Soweit so leicht; []
49: Es gibt nun aber zwei Sonderfälle welche die Sache etwas kniffliger machen können NR.; []
50: 1 Hier sind Bzw ei Tiere gesucht auf den Tierwürfeln sind aber zwei und zwei Gnus sowie ein Bongo zu sehen.; [1292: Zufall, 7090: Kooperative Spielform, ]
51: Dies bedeutet dass man eben gerade nicht Rhino oder Gnu die beide zwei Mal vorhanden sind! sondern den Namen des dritten Tieres in diesem Fall; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
52: BONGO rufen muss Sind 2 genauso oft vorhanden wie es die vorgeben so ist immer die dritte Tierart gesucht; []
53: NR.; []
54: 2 Manchmal kommt es auch vor dass überhaupt kein Tier in der erforderlichen Anzahl vorhanden ist; []
55: Zwei Tiere sind gesucht die Würfel zeigen aber drei Rhinos ein Bongo und ein Gnu; [1292: Zufall, ]
56: In diesem Fall gibt es NICHTS zu rufen und das ist wörtlich zu nehmen; []
57: Wer in diesem Fall als erster NICHTS ruft gewinnt die Runde.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
58: Gewinner einer Runde ist immer wer als erster den Namen des gesuchten Tieres bzw. NICHTS ruft; [8528: Siegpunkte, 1492: Siegbedingung, ]
59: Der Gewinner einer Runde erhalt als Prämie einen es gibt immer nur einen Chip auch wenn mehrere 2 oder 3 Tiere gesucht; [8528: Siegpunkte, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
60: Für BONGO gibt es einen Chip.; [8528: Siegpunkte, 8536: Aktionspunkte, ]
61: Für 1 GNU gibt es einen hip; [8528: Siegpunkte, 8536: Aktionspunkte, ]
62: Für RHINO gibt es einen Chip; [8528: Siegpunkte, 8536: Aktionspunkte, ]
63: War NICHTS richtig so hat der Gewinner die freie Auswahl und darf sich einen beliebigen Chip nehmen Gewonnene werden aus dem Vorrat nachgezogen solange dort welche vorhanden sind Besonders beim Spiel zu viert oder zu kann recht schnell einmal eine Farbe vergriffen sein in diesem Fall nimmt man seinen von dem Mitspieler der zu diesem Zeitpunkt die meisten Chips dieser Farbe hat haben mehrere Spieler gleich viele Chips so darf sich der Rundensieger sein Opfer unter diesen aussuchen ALS Sie werden schnell feststellen dass es im er wieder; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
64: Mitspieler gibt die nicht genau hinschauen vorschnell dazwischenrufen oder unberechtigt; [8536: Aktionspunkte, ]
65: Irrtümer reklamieren; []
66: Das kann natürlich nicht ungestraft bleiben; []
67: STRAFE; []
68: MUSS SEIN Spieler die falsch gerufen haben müssen einen bereits gewonnenen an einen beliebigen Mitspieler verschenken; [1292: Zufall, 3142: Verlierbedingung, ]
69: Wenn sie noch keinen Chip besitzen hatten sie Glück im Unglück und kommen ausnahm eise nochmal ungeschoren davon.; [1292: Zufall, 3142: Verlierbedingung, 1492: Siegbedingung, ]
70: Unverzeihlich ist es wenn NICHTS ruft obwohl es in Wirklichkeit doch ein Tier zu entdecken gab; [3173: Gemeinsames Spielfeld, ]
71: In dem Fall muss der Schreihals alle seine bisher gewonnen Trophäen an beliebige Mitspieler verteilen.; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
72: Also Vorsicht mit dem NICHTS ist nicht zu spaßen; []
73: Es gewinnt derjenige Spieler der als erster mindestens 2 je der Sorte erbeuten konnte oder aber mindestens 6 einer Farbe besitzt; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, 166903: Ankommen, ]
74: REGELN; []
75: FÜR; []
76: FORTGESCHRITTENE; []
77: ODER VORSICHT; []
78: DIE WILDERER; []
79: KOMMEN; []
80: !; []
81: Wem das alles noch zu einfach scheint der nimmt die beiden roten Würfel lauch diese; [1292: Zufall, ]
82: zeigen die bekannten Tier Symbole mit ins Spiel; [1292: Zufall, ]
83: Wie weiß erschießen Wilderer Tiere und reduzieren dadurch ihren Bestand Zeigen die beiden roten Würfel das gleiche Tier so wird dieses Tier erschossen und; [1292: Zufall, ]
