0: 1994 Schmid Prien Made in Germany; []
87: entsprechend der Etappe und Plazierung Überquert ein Spieler die Ziellinie der letzten Etappe überzählige Würfelpunkte verfallen ist damit das Rennen für ihn beendet und er legt seine restlichen ten auf den Ablagestapel.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
88: Eine entsprechend der Etappe und Plazierung erhält ein Spieler immer um gehend wenn er eine Ziellinie überquert.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
89: Er legt 6 sie offen vor sich aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
90: Bei Spielende weiß man stets offen vor so genau wer welche Plazierungen erreicht hat.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
91: sich Übrigens Man sollte sich während des Spiels nicht anmerken lassen ob man eine richtige Plazierung erreicht hat oder nicht da dies den Mitspielern Hinweise auf die weiteren Absichten geben kann.; [7090: Kooperative Spielform, ]
92: DER Überquert der vorletzte Spieler die Ziel linie der letzten Etappe stehen damit alle Plazierungen fest.; [164466: Loswerden, 1492: Siegbedingung, ]
93: Die Wettkarten werden aufgedeckt und mit den tatsächlichen Plazierungen der Spieler verglichen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
94: Hierzu legt jeder seine 3 der Reihenfolge der Etappen entsprechend auf seine Wettkarte daß er beide Zahlen reihen direkt miteinander vergleichen kann.; [1292: Zufall, 1492: Siegbedingung, ]
95: Stimm eine Plazierung nicht überein wird die entsprechende anschließend wieder entfernt.; []
96: Ein Spiel mit 3 Teilnehmern Plazierungen in der 1. und 3. Etappe waren richtig und die entsprechenden bleiben zur besseren Übersicht auf der Wettkarte liegen.; [1292: Zufall, 7090: Kooperative Spielform, ]
97: Wettkarten aufdecken und mit tatsächlicher Plazierung vergleichen; [1292: Zufall, 1492: Siegbedingung, ]
98: Die Siegpunkte werden ermittelt; [8528: Siegpunkte, ]
99: Ein Spieler erhält für jede richtige Plazierung einen Punkt sowie für jeden Mitspieler der in dieser Etappe die gleiche Plazierung hätte erreichen wollen einen weiteren Punkt denn das Erreichen dieses Platzes war entsprechend schwerer.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
100: Siegpunkte ermitteln für jede richtige Plazierung; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
101: 1 Punkt plus 1 jeden Mitspieler der dasselbe wollte; [8528: Siegpunkte, 1492: Siegbedingung, ]
102: 7 BEISPIEL FÜR; []
103: EIN; []
104: SPIEL; []
105: ZU VIERT; []
106: SPIELER; []
107: Wette 4. 3.; []
108: 2.; []
109: Ergebnis; []
110: 3. 2.; []
111: 3.; []
112: SPIELER; []
113: Wette Ergebnis; []
114: SPIELER; []
115: Wette; []
116: 0 Ergebnis; []
117: 0 0 SPIELER; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
118: Wette Ergebnis; []
119: 0 3; []
120: Höchste Gesamt punktzahl gewinnt hat keine richtige Plazierung; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
121: 0 Punkte 6 erhält für 1. Etappe 1 Punkt; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
122: 2. Etappe; []
123: 1 Punkt plus Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
124: 1. Etappe 1; []
125: Punkt Spieler; []
126: 2. Etappe 1; []
127: Punkt Spieler; []
128: 2. Etappe; []
129: 1 Punkt gesamt 5 Punkte erhält für 2. Etappe 1 Punkt 3. Etappe; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
130: 1 Punkt plus Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
131: 3. Etappe; []
132: 1 Punkt; []
133: gesamt 3 Punkte erhält für 1. Etappe 1 Punkt; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
134: 3. Etappe; []
135: 1 Punkt plus Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
136: 1. Etappe 1; []
137: Punkt Spieler 3; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
138: 3. Etappe 1 gesamt; []
139: 4 Punkte Spieler; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
140: Bis Sieger dann folgen und Es gewinnt wer schließlich die höchste Gesamtpunktzahl verweisen kann.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 166903: Ankommen, ]
141: Wer das gerade erklärte Grundspiel DAS mal gespielt hat ist nun fit für das eigentliche mit Aktionskarten Rennen.; [1292: Zufall, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
142: Hier tritt das nicht mehr so stark auf und und Taktik kommen mehr zum Tragen.; []
143: Es wird nun zusätzlich mit den Aktionskarten gespielt.; [1292: Zufall, 1492: Siegbedingung, ]
144: Zu Beginn erhält jeder Spieler neben den 4 Aktionskarten 4 auch 4 Aktionskarten.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
145: Die pro Spieler restlichen Aktionskarten werden ebenfalls als verdeckter Aufnahmestapel neben dem Spielplan bereitgelegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
146: Die Aktionskarten werden nach denselben Regeln wie die ausgespielt Ebenfalls eine Karte vor dem Würfeln wenn gewünscht.; [1292: Zufall, ]
147: Ob im Zug auch eine gespielt wird oder nicht ob sie vorher oder hinterher gelegt wird ist ohne Belang.; []
148: Es kann auch hiervon eine Karte auf einen Ablagestapel gespielt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
149: Ebenfalls vor dem Würfeln eine Karte spielen wenn gewünscht; [1292: Zufall, 164466: Loswerden, ]
150: Nach dem Ausspielen wird wieder eine Karte nachgezogen so daß man also auch von den Aktionskarten immer 4 auf der Hand hat.; [1292: Zufall, ]
151: 9 Karten mit nur für eich selbst Aktionskarten mit Punkt können nur für sich selbst eingesetzt werden lege eine beliebige 5; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
152: recke karte um.; [1292: Zufall, 164466: Loswerden, ]
153: Lege eine beliebige um Spielt ein Spieler eine solche Aktionskarte aus kann er eine die bereits auf dem Spielplan liegt und von keiner Figur besetzt ist auf einen beliebigen anderen freien Abschnitt umlegen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
154: Die gerade gespielte Karte verfällt wirkungslos.; [1292: Zufall, 73230: Symmetrische Startbedingung, ]
155: Karten mit nur gegen andere Anweisungen müssen ausgeführt werden; [1292: Zufall, ]
156: Eine Aktionskarte pro Spieler; [1292: Zufall, 164466: Loswerden, 1492: Siegbedingung, ]
157: Die gerade gespielte Karte verfällt wirkungs los; [1292: Zufall, 73230: Symmetrische Startbedingung, 164466: Loswerden, ]
158: Diese Karte kann von einem Spieler so fort wenn ihm selbst von einem Mitspieler eine Aktionskarte vorgelegt wird und er diese nicht akzeptieren möchte eingesetzt werden; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
159: beide Karten werden dann umgehend auf den Ablagestapel gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
160: Man kann mit dieser Karte aber nicht gegen ausgespielte Strecken karten oder gegen Aktionskarten die ein Mitspieler einem Dritten vorlegt Vorgehen.; [1292: Zufall, ]
161: Obwohl eine solche Karte immer außer der Reihe ausgespielt wird darf ein Spieler sie erst am Ende seines Zuges durch Nachziehen ergänzen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 164466: Loswerden, 166903: Ankommen, ]
162: Aktionskarten mit Pfeil können nur gegen Mitspieler eingesetzt werden; [1292: Zufall, 8536: Aktionspunkte, ]
163: Eine solche Karte wird offen vor dem aus gewählten Mitspieler ausgelegt.; [1292: Zufall, ]
164: Kommt die dann an die Reihe muß er die entsprechende Anweisung ausführen.; [8536: Aktionspunkte, ]
165: Anschließend legt er die Karte auf den Ablagestapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
166: Jeder Spieler darf höchstens eine Aktions karte offen vor sich liegen haben.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
167: 10; []
168: Du machet einen zusätzlichen Zug bedeute daß der betroffene Spieler zweimal hintereinander an der Reihe ist also zunächst einmal Karten spielt wenn gewünscht dann würfelt und schließlich noch einmal Karten spielt und würfelt.; [1292: Zufall, 3142: Verlierbedingung, ]
169: Erst am Ende darf er dann seine und Aktions karten wieder auf je 4 ergänzen.; [1292: Zufall, 164466: Loswerden, ]
170: Du machst einen zusätzlichen Zug.; [8536: Aktionspunkte, ]
171: Du setzt aus heißt daß der betroffene Spieler für diesen Zug komplett aussetzt also weder Karten spielen noch würfeln darf.; [1292: Zufall, 3142: Verlierbedingung, ]
172: Die Bedeutung aller anderen Aktionskarten erklärt sich von selbst und muß an dieser Stelle nicht näher erläutert werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
173: Du setz taus.; []
174: Ist der Aufnahmestapel aufgebraucht wer den die abgelegten Aktionskarten gut gemischt und als neuer Aufnahmestapel bereit gelegt.; [1292: Zufall, ]
175: Entsprechendes gilt auch für die hier können auch alle Karten die hinter den Spielfiguren auf dem Spielplan liegen abgeräumt und untergemischt werden.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
176: Ansonsten gelten alle für das Grundspiel genannten Regeln unverändert weiter.; []
177: Sieger ist ebenfalls derjenige der am Schluß die meisten vorweisen kann.; [8528: Siegpunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
178: 11; []
