0: Spielidee; []
22: Auf diese Felder werden die Aktionsplättchen gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
23: KOSMOS; []
24: Auf den Spielplan wird folgendes Material platziert; [3173: Gemeinsames Spielfeld, ]
25: Die Drehscheibe wird in die Mitte des gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
26: Zu Spielbeginn zeigt das Feld mit dem Anker auf das Bonusfeld mit den 3 Arbeitern.; []
27: Der Rundenmarker wird auf das Feld 1 der Rundenanzeige gestellt.; [3173: Gemeinsames Spielfeld, ]
28: Die Siegpunktmarker der teilnehmenden Spielerfarben werden auf das Feld 10 der Siegpunktleiste gestellt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
29: Das weitere Spielmaterial wird folgendermaßen sortiert; []
30: Die Arbeiter werden als allgemeiner Vorrat neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
31: Die Schiffsplättchen und Masten Segel werden nach ihrer Art sortiert und in 14 offenen Stapeln neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
32: Hierbei empfiehlt es sich Masten Segel und Rumpfteile jeweils zusammen zu gruppieren sowie die Kronensegel und von den anderen Segeln Masten zu separieren.; []
33: Die Warenplättchen werden ebenfalls nach ihrer Art sortiert und in 4 offenen Stapeln neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
34: Die Münzen werden als allgemeiner Vorrat neben den Spielplan gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
35: Die 8 Aktionsplättchen das Ankerplättchen und die runde Übersicht Siegpunkte bei Spielende werden vorerst beiseite gelegt.; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
36: Jeder Spieler erhält nun einmalig bei Spielbeginn 1 Lager das er vor sich auf den Tisch legt 4 Arbeiter vom allgemeinen Vorrat; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
37: die er neben sein Lager als seinen persönlichen Vorrat legt 15 Taler in beliebiger die er neben sein Lager als seinen persönlichen Vorrat legt 1 Plättchen 1; [1292: Zufall, 1492: Siegbedingung, ]
38: Set mit; []
39: Die Plättchen werden mit der Passe nach oben neben das Lager gelegt.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
40: Am besten stapelt man die drei Plättchen so dass das Plättchen mit Siegpunkte ganz unten im Stapel liegt das Plättchen mit Siegpunkte sichtbar ganz oben.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
41: Hinweis zum Umgang mit dem Spielmaterial Anzahl und ggf. Art aller Arbeiter und Taler im persönlichen Vorrat Plättchen im Lager bereits ausgelieferte Waren sowie der Status der und der Besitz des Plättchens sind grundsätzlich offene Informationen.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
42: Das Material ist sichtbar auf dem Tisch zu halten und die genaue Anzahl ist auf Nachfrage den Mitspielern mitzuteilen.; []
43: Arbeiter und Taler im allgemeinen Vorrat sind unbegrenzt verfügbar.; []
44: Sollte der unwahr Fall eintreten dass die Arbeiter oder Taler dort nicht ausreichen so wird mit geeignetem anderen Material ein Engpass überbrückt.; []
45: Die Schiffsplättchen und Waren sind in ihrer Anzahl begrenzt.; [1492: Siegbedingung, ]
46: Sollte der Stapel einer Plättchenart aufgebraucht sein so können die Spieler diese Plättchenart nicht mehr er werben oder auf Weg erhalten.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
47: Es ist jederzeit erlaubt nachzuzählen wie viele Plättchen einer Art noch sind.; [8528: Siegpunkte, 1492: Siegbedingung, ]
48: Der unerfahrenste Spieler wird Startspieler und erhält die Startspielerfigur.; [8528: Siegpunkte, 1492: Siegbedingung, ]
49: Der Spieler an Position 2 erhält 1 Taler zusätzlich.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
50: Im Spiel zu dritt erhält der Spieler an Position 3 2 Taler und 1 Arbeiter zusätzlich.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
51: Im Spiel zu viert erhält der Spieler an Position 3; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
52: 1 Taler und 1 Arbeiter zusätzlich der Spieler an Position 4 erhält 2 Taler und 2 Arbeiter zusätzlich.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
53: Hinweis; []
54: Die Startspielerfigur wird nach Abschluss jeder Aktionsphase an den nächsten Spieler im Uhrzeigersinn weitergegeben.; [1492: Siegbedingung, ]
55: Die Startspielerfigur wird nicht zusätzlich am Rundenende weitergegeben.; []
56: Spielvorbereitung; []
57: Drehscheibe in Spielplanmitte legen und ausrichten Anker zeigt auf Bonusfeld mit 3 Arbeitern Rundenmarker auf Feld 1 der Rundenanzeige Siegpunktmarker auf Feld 10 der Siegpunktleiste setzen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
58: Arbeiter als Vorrat neben Spielplan legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
59: Schiffsplättchen nach Art in 14 Stapel sortieren.; [1292: Zufall, ]
60: Warenplättchen nach Art in 4 Stapel sortieren.; [1292: Zufall, ]
61: Münzen als Vorrat neben Spielplan legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
62: Jeder Spieler erhält 1 Lager 4 Arbeiter 15 Taler 1 Aktion 1; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
63: Set; []
64: Alle Informationen über den Besitz von Arbeitern Talern; [164466: Loswerden, ]
65: Plättchen sind grundsätzlich offen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
66: Arbeiter und Taler im allgemeinen Vorrat sind unbegrenzt verfügbar.; []
67: Schiffsplättchen und Waren sind auf die vorhandene Menge begrenzt.; []
68: Der unerfahrenste Spieler wird Startspieler.; [1492: Siegbedingung, ]
69: Spieler 2 erhält 1 Taler zusätzlich.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
70: Spieler 3 erhält 2 Taler 1 Arbeiter zusätzlich.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
71: Spieler 3 erhält 1 Taler 1 Arbeiter zusätzlich.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
72: Spieler 4 erhält 2 Taler 2 Arbeiter zusätzlich.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
73: 2; []
74: Spielablauf; []
75: Übersicht; []
76: Das Hauptaugenmerk in liegt auf dem Schiffsbau.; []
77: Fertiggestellte Schiffe bringen bei Spielende Siegpunkte und sind unabdingbar um über Waren zusätzliche Siegpunkte zu erlangen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
78: Es können 4 verschiedene Schiffsgrößen gebaut werden und Große Schiffe bringen deutlich mehr Siegpunkte sind aber schwieriger fertig zustellen und benötigen daher länger bis sie für den genutzt werden können.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
79: Denn jedes Schiff muss zusammenpassende und Segelreihen aufweisen.; [1492: Siegbedingung, ]
80: wird in Runden gespielt.; [1492: Siegbedingung, ]
81: Im Spiel zu dritt und zu viert werden 5 Runden gespielt.; [1492: Siegbedingung, ]
82: Im Spiel zu zweit werden nur 4 Runden gespielt.; [1492: Siegbedingung, ]
83: Jede Runde besteht aus genau 7 Aktionsphasen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
84: Welche Aktionsphasen das sind und in welcher Reihenfolge sie ausgeführt werden entscheiden die Spieler.; [1292: Zufall, ]
85: Zu Beginn einer Aktionsphase wählt der aktuelle Startspieler eine Aktion aus.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
86: Diese Aktion wird dann zunächst von ihm danach im Uhrzeigersinn von allen anderen Spielern ausgeführt.; [8536: Aktionspunkte, ]
87: Somit sind alle Spieler ständig am Spielgeschehen beteiligt.; [8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, ]
88: Haben alle Spieler die aktuelle Aktion ausgeführt oder gepasst wechselt der Startspieler.; [73230: Symmetrische Startbedingung, 164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
89: Dieser wählt dann die nächste Aktion aus.; [3173: Gemeinsames Spielfeld, ]
90: Am Ende der Runde findet eine kurze Zwischenphase statt in der die Aktionsauswahl für die nächste Runde neu zusammengestellt wird und in der ggf. Minuspunkte für übrige Passe vergeben werden.; [8528: Siegpunkte, 1492: Siegbedingung, ]
91: Dann schließt sich sofort die nächste Runde an bzw. folgt nach 4 oder 5 Runden die Schlussabrechnung.; [8528: Siegpunkte, 1492: Siegbedingung, ]
92: Die Goldene Regel; []
93: In gilt grundsätzlich und ohne Ausnahme die folgende Regel Wann immer ein Spieler ein Plättchen Schiffsteil oder Ware kostenlos erhält muss er dieses Plättchen zunächst in sein Lager legen.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
94: Kostenlos bedeutet dass man dafür keine Taler aufwenden musste.; []
95: Da es nicht unwahrscheinlich ist dass Sie diese Regel vergessen werden wir sie noch ein paar Mal wiederholen.; []
96: Und wenn Sie das Spiel erklären sollten Sie nicht versäumen diese Goldene Regel oft zu wiederholen und auf Fragen wie Muss das jetzt ins Lager?; [3142: Verlierbedingung, ]
97: mit einem bestimmten Ja wie immer! zu antworten.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
98: Vorbereitung einer neuen Runde; []
99: Der Rundenmarker wird eine Position auf der Rundenanzeige weitergeschoben.; []
100: Entfällt zu Spielbeginn.; []
101: Die Drehscheibe wird so gedreht dass der Anker auf der Scheibe zu dem Aktions plättchen zeigt auf dem das Ankerplättchen liegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
102: Entfällt zu Spielbeginn.; []
103: Sobald die Drehscheibe neu ausgerichtet ist wird das Ankerplättchen beiseite gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
104: Dann werden die 8 Aktionsplättchen vom aktuellen Startspieler eingesammelt verdeckt gemischt und dann zufällig offen auf die 8 des gelegt beginnend bei dem Feld auf das der Anker der Drehscheibe zeigt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
105: Hierbei müssen die Bonusfelder sichtbar bleiben!; []
106: Rundenablauf; []
107: Eine Runde besteht aus insgesamt 7 Aktionsphasen.; [8528: Siegpunkte, ]
108: Der Startspieler beginnt die erste Aktions phase indem er eines der 8 Aktionsplättchen auswählt und die Aktion durchführt.; [8536: Aktionspunkte, ]
109: Alternativ kann er auch ein Aktionsplättchen auswählen die Aktion aber nicht durchführen sondern passen.; [8536: Aktionspunkte, ]
110: Anschließend entscheidet der nächste Spieler im Uhrzeigersinn ob er diese Aktion durchführt oder passt.; [8536: Aktionspunkte, ]
111: Dies setzt sich so lange fort bis alle Spieler die Gelegenheit hatten die Aktion durchzuführen oder zu passen.; [164466: Loswerden, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
112: Dann ist diese Aktionsphase beendet.; []
113: Das zugehörige Aktionsplättchen wird umgedreht und steht für den Rest der Runde nicht mehr zur Verfügung.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
114: Nach der jeweils ersten Aktionsphase einer Runde wird das Ankerplättchen auf das umgedrehte Aktionsplättchen gelegt.; [1292: Zufall, 1492: Siegbedingung, ]
115: Die Startspielerfigur wird an den nächsten Spieler im Uhrzeigersinn weitergegeben.; [164466: Loswerden, ]
116: Nun wählt dieser aus den verbleibenden Aktionsplättchen eines aus und entscheidet ob er die Aktion durchführen oder passen will.; [8536: Aktionspunkte, ]
117: Danach folgen wieder die anderen Spieler reihum im Uhrzeigersinn das Aktionsplättchen wird umgedreht die Start spielerfigur wird weitergegeben.; [164466: Loswerden, ]
118: Dies geht so lange bis 7 der 8 Aktionsplättchen ausgewählt und durchgeführt worden sind.; []
119: Danach ist die Runde beendet die verbleibende achte Aktion wird in dieser Runde nicht ausgeführt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
120: 4 Schiffsarten können gebaut werden und Je Schiff; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
121: Nur 1 Art Masten Segel.; []
122: Spiel zu zweit; []
123: 4; []
124: Runden Spiel zu dritt zu viert 5 Runden; [1492: Siegbedingung, ]
125: Jede Runde besteht aus 7 Aktionsphasen.; [8528: Siegpunkte, 1492: Siegbedingung, ]
126: Startspieler wählt Aktion führt sie aus da nach führen alle anderen Spieler diese Aktion aus.; [8536: Aktionspunkte, ]
127: Danach wechselt der Startspieler.; []
128: Ende der Runde Aktionen für nächste Runde neu bestimmen Minuspunkte gemäß vergeben.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
129: Goldene Regel; []
130: Wer ein Plättchen kostenlos erhält ohne Taler zu bezahlen muss dieses zunächst ins Lager legen.; [1492: Siegbedingung, ]
131: Vorbereitung neue Runde Rundenmarker weitersetzen.; [8528: Siegpunkte, ]
132: Drehscheibe drehen auf Aktionsplättchen mit Ankerplättchen ausrichten.; [1292: Zufall, ]
133: Ankerplättchen beiseite legen Aktionsplättchen mischen und zufällig neu auslegen bei Ankersymbol auf Drehscheibe beginnen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
134: Rundenablauf Runde 7; [8528: Siegpunkte, ]
135: Aktionsphasen; []
136: Startspieler Aktion auswählen Aktion durchführen oder passen.; [8536: Aktionspunkte, ]
137: Alle anderen Spieler im Uhrzeigersinn Aktion durchführen oder passen.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, ]
138: Ende Aktionsphase Aktionsplättchen; [164466: Loswerden, 1492: Siegbedingung, ]
139: umdrehen ggf.; []
140: Ankerplättchen darauflegen Startspielerfigur weitergeben neuer Start; []
141: spieler wählt nächste Aktion usw.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
142: Ende der Runde; []
143: Nach der 7. Aktionsphase; []
144: .; []
145: 8.; []
146: Aktionsplättchen wird nicht ausgeführt.; []
147: 3 Durchführen einer Aktion; [8536: Aktionspunkte, ]
148: 1. Bonus; []
149: Durchführen einer Aktion Bonus; [8536: Aktionspunkte, ]
150: Der jeweilige Startspieler der die Aktion auswählt erhält zunächst den auf dem Spielplan Bonus dem die gewählte Aktion zugeordnet ist.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
151: Der Spieler erhält diesen Bonus in jedem Fall unabhängig davon ob er im Anschluss die gewählte Aktion ausführt oder passt.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
152: Hat der Spieler den Bonus erhalten schiebt er das Aktionsplättchen nach unten so dass der Bonus verdeckt wird.; [8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
153: Dann entscheidet er ob er die Aktion ausführt im Beispiel unten Rumpfteile kaufen oder nicht.; []
154: Wichtig Nur der Startspieler der die Aktion auswählt erhält den Bonus.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
155: Alle anderen Spieler führen nur die gewählte Aktion aus bzw. passen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
156: Nur der Startspieler erhält den auf dem Spielplan Bonus der gewählten Aktion egal ob er die Aktion ausführt oder passt.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
157: Alle anderen Spieler erhalten den Bonus dieser Aktion nicht.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
158: Beispiel Spieler ist der Startspieler und wählt die Aktion Rumpfteile kaufen; [1492: Siegbedingung, ]
159: Er erhält zunächst den Bonus dem diese Aktion zugeordnet ist 2 Siegpunkte; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
160: Danach schiebt er das Aktionsplättchen nach unten so dass der Bonus verdeckt wird.; [1292: Zufall, ]
161: Es gibt folgende Boni in der Reihenfolge in der sie auf dem Spielplan aufgedruckt sind; [3173: Gemeinsames Spielfeld, ]
162: 3 Arbeiter beige Kleidung; []
163: Der Startspieler erhält 3 Arbeiter aus dem allgemeinen Vorrat und legt diese in seinen persönlichen Vorrat.; [1292: Zufall, 1492: Siegbedingung, ]
164: Mast; []
165: Der Startspieler erhält kostenlos 1 regulären Mast keinen Kronenmast! seiner Wahl und legt ihn in sein Lager.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
166: Sie erinnern sich noch an die Goldene Regel?; []
167: Segel; []
168: Der Startspieler erhält kostenlos 1 reguläres Segel kein Kronensegel! seiner Wahl und legt es in sein Lager.; [3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
169: 2 Siegpunkte; []
170: Der Startspieler erhält 2 Siegpunkte und sofort 2 Felder auf der Siegpunktleiste voran.; [8528: Siegpunkte, 1492: Siegbedingung, ]
171: 2 Arbeiter beige Kleidung; []
172: Der Startspieler erhält 2 Arbeiter aus dem Vorrat und legt diese in seinen persönlichen Vorrat.; [1492: Siegbedingung, ]
173: 1 Arbeiter beige Kleidung 1 Ware; []
174: Der Startspieler erhält 1 Arbeiter aus dem allgemeinen Vorrat und legt diesen in seinen persönlichen Vorrat.; [1292: Zufall, 1492: Siegbedingung, ]
175: Außerdem erhält er 1 Ware beliebiger Art die er in sein Lager legt.; [1292: Zufall, 1492: Siegbedingung, ]
176: 1 Arbeiter beige Kleidung; []
177: 1 Siegpunkt; []
178: Der Startspieler erhält 1 Arbeiter aus dem allgemeinen Vorrat und legt diesen in seinen persönlichen Vorrat.; [1292: Zufall, 1492: Siegbedingung, ]
179: Außerdem erhält er 1 Siegpunkt und sofort 1 Feld auf der Siegpunktleiste voran.; [8528: Siegpunkte, 1492: Siegbedingung, ]
180: 4 Taler; []
181: Der Startspieler erhält 4 Taler aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 1492: Siegbedingung, ]
182: 2.; []
183: Blaue Arbeiter auf der Drehscheibe; [1292: Zufall, ]
184: Auf der Drehscheibe sind ebenfalls Arbeiter abgebildet allerdings mit blauer Kleidung.; [1292: Zufall, ]
185: Jedes Feld mit Ausnahme des Ankerfeldes zeigt 1 2 oder 3 Arbeiter.; [8536: Aktionspunkte, ]
186: Wird eine Aktion gewählt so stehen die Arbeiter die auf der Drehscheibe der gewählten Aktion zugeordnet sind allen Spielern; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
187: die diese Aktion ausführen zur Verfügung.; [8536: Aktionspunkte, ]
188: Wichtig Anders als die Arbeiter mit Kleidung erhält man diese Arbeiter nicht in Form von aus dem allgemeinen Vorrat.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
189: Diese 0 1 2 oder 3 Arbeiter stehen nur für die Durchführung der Aktion zur Verfügung.; [8536: Aktionspunkte, ]
190: Benötigt ein Spieler nicht alle Arbeiter oder passt er verfallen diese Arbeiter.; [3142: Verlierbedingung, 1492: Siegbedingung, ]
191: Boni 3; []
192: Arbeiter; []
193: Spieler erhält 3 Arbeiter.; [8528: Siegpunkte, 1492: Siegbedingung, ]
194: Mast Segel; []
195: Spieler erhält oder Segelplättchen; [8528: Siegpunkte, 1492: Siegbedingung, ]
196: Es stehen nur die regulären Masten Segel zur Wahl nicht die segel.; [8536: Aktionspunkte, ]
197: 2 Siegpunkte; []
198: Spieler erhält 2 Siegpunkte.; [8528: Siegpunkte, 1492: Siegbedingung, ]
199: 2 Arbeiter; []
200: Spieler erhält 2 Arbeiter.; [8528: Siegpunkte, 1492: Siegbedingung, ]
201: 1 Arbeiter und 1 Ware; []
202: Spieler erhält 1 Arbeiter und 1 Ware.; [8528: Siegpunkte, 1492: Siegbedingung, ]
203: 1 Arbeiter und 1 Siegpunkt; [8528: Siegpunkte, 1492: Siegbedingung, ]
204: Spieler erhält 1 Arbeiter und 1 Siegpunkt.; [8528: Siegpunkte, 1492: Siegbedingung, ]
205: 4 Taler Spieler erhält 4 Taler.; [8528: Siegpunkte, 1492: Siegbedingung, ]
206: Blaue Arbeiter auf Drehscheibe; [1292: Zufall, ]
207: Diese Arbeiter stehen jedem Spieler der diese Aktion ausführt zur Verfügung.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
208: Man erhält sie nicht als sondern nur virtuell; []
209: man kann sie nur für die aktuelle Aktion nutzen.; [8536: Aktionspunkte, ]
210: 4 3.1; []
211: Grundsätzliches zu Aktionen; []
212: Wenn eine Aktion ausgewählt wurde fuhrt zunächst der Startspieler danach im Uhrzeigersinn jeder andere Spieler die gewählte Aktion durch.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
213: Keine der 8 Aktionen muss ausgeführt werden.; []
214: Alternativ kann ein Spieler passen; [164466: Loswerden, 1492: Siegbedingung, ]
215: auch der Startspieler darf eine Aktion auswählen und dann passen.; [8536: Aktionspunkte, ]
216: Wenn ein Spieler passt dreht er eines seiner 3 auf die Rückseite.; [3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
217: Es ist sinnvoll hierbei zunächst das umzudrehen danach das und beim dritten Passen; []
218: das Die Rückseite zeigt eine Krone deren Bedeutung in 3.2.2.4 Wertung der Kronen erklärt wird.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, ]
219: Jede der 8 Aktionen kann von den Spielern innerhalb einer Aktionsphase mehrfach genutzt werden.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
220: Allerdings benötigt man für jede Nutzung der Aktion 1 Arbeiter.; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
221: Man kann und wird natürlich zunächst die auf der Drehscheibe abgebildeten blauen Arbeiter einsetzen.; [1292: Zufall, 8536: Aktionspunkte, ]
222: Möchte man eine Aktion öfter nutzen als blaue Arbeiter zur Verfügung stehen muss man entsprechend viele aus seinem persönlichen Vorrat abgeben.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
223: 4 Aktionsplättchen haben einen blauen Hintergrund die 4 anderen haben einen hellen Hintergrund.; [8536: Aktionspunkte, ]
224: Die Zahlen 0 3 die auf dem Spielplan neben den Ablageflächen für die Aktionsplättchen aufgedruckt sind sind nur für die blauen Aktionsplättchen von Bedeutung.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, ]
225: Mit den blauen Aktionen kauft man Schiffsteile bzw. Waren.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
226: Diese kosten nicht nur Arbeiter sondern auch Taler.; [8536: Aktionspunkte, ]
227: Der Preis eines bestimmten Schiffsteils einer Ware richtet sich nach der Zahl die neben dem entsprechenden Schiffsteil der Ware zu sehen ist.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
228: Für die hellen Aktionen entstehen keine Talerkosten daher sind die Zahlen für diese Aktionen ohne Bedeutung.; [8536: Aktionspunkte, ]
229: Möchte ein Spieler mehr als 1 Schiffsteil bzw. 1 Ware zum regulären Preis kaufen so müssen diese Teile alle unterschiedlicher Art sein.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
230: Möchte ein Spieler mehr als 1 Schiffsteil bzw. 1 Ware einer Art kaufen so kostet das zweite und jedes weitere identische Plättchen 4 Taler und 1 Arbeiter unabhängig vom eigentlichen Preis dieses Plättchens.; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
231: Kauft ein Spieler innerhalb einer Aktion alle 4 verschiedenen Schiffsteile Waren so erhält er 1 zusätzliches Schiffsteil bzw. 1 Ware dieses Aktionsplättchens geschenkt ohne Einsatz von Talern oder eines Arbeiters; [8528: Siegpunkte, 3142: Verlierbedingung, 8536: Aktionspunkte, 1492: Siegbedingung, ]
232: Zur Erinnerung; []
233: Alle Plättchen die man kostenlos erhält müssen ins Lager gelegt werden.; [8528: Siegpunkte, 73230: Symmetrische Startbedingung, 1492: Siegbedingung, ]
234: Arbeiter gelten nicht als Kosten.; []
235: Ein Plättchen das man für 0 Taler und einen Arbeiter kauft ist kostenlos; [8528: Siegpunkte, 1492: Siegbedingung, ]
236: Daraus folgt im Umkehrschluss dass man alle Plättchen für die man Taler gezahlt hat sofort und ohne den Umweg über das Lager nutzen kann.; [8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
237: Mehr dazu bei der Erklärung der einzelnen Aktionen.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
238: 3.; []
239: Die Aktionen Aktionen müssen nicht ausgeführt werden.; [8536: Aktionspunkte, ]
240: Wer passt dreht eines seiner auf die Kronenseite.; [8536: Aktionspunkte, 1492: Siegbedingung, ]
241: Aktionen; []
242: Aktionen können von einem Spieler mehr fach ausgeführt werden.; [3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 1492: Siegbedingung, ]
243: Jede Nutzung kostet 1 Arbeiter.; [1492: Siegbedingung, ]
