0: Auszählung; []
38: SPIELVORBEREITUNG City auf bauen; []
39: Zu Beginn werden die 25 zur Heimatgemeinde der Spielerinnen und Spieler zusammengesetzt.; [1292: Zufall, ]
40: Auf jedem ist zur besseren Orientierung eine von 1 bis 5 links oben aufgedruckt.; [7090: Kooperative Spielform, ]
41: wählen Jemand übernimmt den Job der Sie er mischt zu Beginn die und legt sie zusammen mit der vor sich aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
42: Außerdem erhält sie er die Sanduhr.; [8528: Siegpunkte, 1492: Siegbedingung, ]
43: Sie er übernimmt die folgenden Aufgaben Leiten der und Vorlesen der Leiten der Kontrollieren der Ermitteln der Gewinnerin des Gewinners am Spielende Teams bilden; [8528: Siegpunkte, ]
44: Bei 4 bis 6 Spielerinnen und Spielern führt jede Spielerin jeder Spieler alleine ein Team.; [164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
45: Bei 6 und mehr Spielerinnen und Spielern führen jeweils zwei gemeinsam ein Team.; [164466: Loswerden, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
46: Die veranschaulicht die folgende Tabelle Spielerinnen Spieler Teams 4 3 5 4 6 5 7 3 8 3 1 9 4 10 4 1; [1292: Zufall, 8528: Siegpunkte, 164466: Loswerden, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
47: Jedes Team entscheidet sich für eine also Rot Schwarz Weiß Blau und Grün.; []
48: In dieser erhält es eine Spielfigur sowie 12 kleine und 3 große Kandidatinnen und Kandidaten auswählen Jedes Team wählt aus 22 Kandidatinnen und Kandidaten die fürs antreten 3 Bewerberinnen und Bewerber aus deren dem Team gefallen.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, ]
49: Damit kein Team benachteiligt wird gilt das folgende hI verfahren; [7090: Kooperative Spielform, ]
50: Die mischt die 22 und verteilt sie so dass alle Teams gleich viele Karten erhalten.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 3142: Verlierbedingung, 1492: Siegbedingung, ]
51: Bei 3 Teams erhält jedes Team 7 Karten; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
52: 4 Teams erhält jedes Team 5 Karten; [1292: Zufall, 8528: Siegpunkte, 1492: Siegbedingung, ]
53: 5 Teams erhält jedes Team 4 Karten Sobald alle Teams einen Kartensatz haben dreht die die Sanduhr um.; [1292: Zufall, 8528: Siegpunkte, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
54: Jedes Team hat nun eine Minute Zeit aus dem mit eine Karte mit einem Programmpunkt der dem Team gefällt auszuwählen.; [1292: Zufall, 8528: Siegpunkte, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
55: Sobald die Sanduhr abgelaufen ist ruft die Kartensatz weiter geben!; [1292: Zufall, 8536: Aktionspunkte, ]
56: !; []
57: !; []
58: Jedes Team gibt nun den übrig gebliebenen Kartensatz im Uhrzeigersinn an das Nachbarteam weiter.; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
59: Dieses wählt wiederum innerhalb einer Minute eine Karte aus.; [1292: Zufall, ]
60: Nach einer weiteren Weitergabe des übrig bleibenden Kartensatzes wird die Runde mit der Auswahl der 3. abgeschlossen.; [1292: Zufall, 1492: Siegbedingung, ]
61: Ihre 3 legen die Teams offen vor sich aus.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
62: Gleichzeitig markieren sie in der die die sie ausgewählt haben.; []
63: Dies geschieht indem sie jeweils einen auf die Abbildung ihrer Kandidatin ihres Kandidaten legen.; []
64: Beispiel Jugendtreff.; []
65: SPIELVERLAUF; []
66: Im Spielverlauf ziehen die Teams durch ihre Heimat gemeinde um sich in der Stadtbücherei und zu informieren in allen Mitspielerinnen und Mitspieler zu treffen und im Rathaus ihre zur Abstimmung zu stellen.; [1292: Zufall, 3142: Verlierbedingung, 8536: Aktionspunkte, ]
67: Zu Beginn setzen die Teams ihre Spielfigur auf einen ihrer Heimatgemeinde dessen Verbesserung sie anstreben.; [3142: Verlierbedingung, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
68: Beispiel Kai vom roten Team verlangt und setzt seine Spielfigur auf 3 Anschließend würfeln die Teams reihum und ziehen entsprechend der Würfelzahl mit ihrer Spielfigur.; [1292: Zufall, 3142: Verlierbedingung, ]
69: Dabei dürfen sie einmal die Zugrichtung ändern.; [8536: Aktionspunkte, ]
70: Beispiele Sonderregeln; []
71: Rathaus 3 und Würfelzahl; [1292: Zufall, ]
72: Steht eine Spielfigur in der Mitte der City auf dem Rathaus und würfelt eine hat die Spielfigur keine Möglichkeit einen anderen Teil der City zu erreichen.; [1292: Zufall, 8536: Aktionspunkte, 7090: Kooperative Spielform, 166903: Ankommen, ]
73: Das Team muss daher einmal aussetzen.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
74: Würfelseite; []
75: Zeigt der Würfel die Würfelseite hat das Team die freie Auswahl ob es 1 2 3 4 oder 5 Felder ziehen will.; [1292: Zufall, 8536: Aktionspunkte, 166903: Ankommen, ]
76: Die Teams haben also viele Zugmöglichkeiten.; [3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, ]
77: Die nächsten zwei Seiten zeigen was alles beim Landen auf den verschiedenen passieren kann.; []
78: Die Spielfigur des die dieses erreicht überzeugt die besuchten Teams von ihren Die besuchten Teams müssen einen ihrer Farbe auf einen der des legen.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 7090: Kooperative Spielform, ]
79: Beispiel Schwarz besucht Blau.; []
80: Blau muß einen auf einen Vorschlag von Schwarz setzen auf 5 Jugendtreff ohne Spielfigur; [8536: Aktionspunkte, ]
81: Auf ein auf der keine andere Figur steht ziehen die Teams nur wenn keine andere Möglichkeit besteht.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 8536: Aktionspunkte, 7090: Kooperative Spielform, ]
82: Denn es passiert nichts.; []
83: Das nächste Team kommt sofort an die Reihe.; [7090: Kooperative Spielform, ]
84: mit einer oder mehreren Spielfiguren Jugendtreff.; []
85: BLAU Stadtbücherei 4 und; []
86: 1 Sobald eine Spielfigur auf das Stadtbücherei oder zieht nimmt die eine Karte mit einer vom Stapel.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
87: Das ratende Team entscheidet ob es die erste oder zweite Frage auf der Karte beantworten will.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
88: Anschließend liest die diese Frage vor.; []
89: Als mögliche Lösung werden meist mehrere Alternativen vorgegeben.; [1492: Siegbedingung, ]
90: Welche Steuern legt die Gemein de fes Hundesteuer; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
91: Mehrwertsteuer Gewerbesteuer; []
92: Wo muss ein Bürge in an gemeldet werde 7 Stadtverwaltung Amtsgericht nirgends Finanzamt; []
93: Die richtige Lösung ist durch Fettdruck und einen Haken markiert.; [8536: Aktionspunkte, ]
94: Hat das Team die Frage richtig beantwortet legt es einen seiner Farbe auf einen seiner Beispiel Schwarz; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
95: löst richtig und legt einen auf seinen 5 ab.; []
96: Jugendtreff Jungarbeiterin; []
97: Die wird anschließend zur Seite gelegt.; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
98: Rathaus 3; []
99: Sobald ein Team auf das mit der Aufschrift Rathaus zieht beginnt; [1292: Zufall, 8536: Aktionspunkte, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
100: eine Das Team wählt aus seinen einen; []
101: aus den es zur Abstimmung stellt Zunächst liest die Team Vertreterin der den der vor.; [7090: Kooperative Spielform, ]
102: Danach dreht die die Sanduhr um.; [8536: Aktionspunkte, ]
103: Das vorschlagende Team hat jetzt genau eine Minute Zeit den möglichst überzeugend vorzustellen.; [3142: Verlierbedingung, 7090: Kooperative Spielform, ]
104: Alle anderen Teams überlegen anschließend ob sie dem Vorschlag zustimmen wollen.; [1492: Siegbedingung, 7090: Kooperative Spielform, ]
105: Teams die ablehnen tun einfach nichts.; []
106: Teams die zustimmen legen einen großen ihrer auf das Rathaus; [1292: Zufall, 3173: Gemeinsames Spielfeld, ]
107: Nach dem Ende der Abstimmung nimmt die die Abstimmungs Steine und legt sie als auf die Beispiel Kandidatin Petra von der schwarzen Partei schlägt 5 vor dem Vorschlag stimmt Rot und Weiß zu.; [3173: Gemeinsames Spielfeld, ]
108: Jugendtreff; []
109: PETRA; []
110: Jungarbeiterin BLAU; []
111: ROT; []
112: Sonderfall; []
113: Überzahl an; []
114: Eine Überzahl von entsteht wenn kurz vor Spielende noch alle Spieler ihre letzten einsetzen.; [8528: Siegpunkte, 164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, ]
115: Dann werden häufig weniger zum Durchbringen eines benötigt als für diesen Vorschlag vergeben wurden.; []
116: Beispiel Nicht nur Rot und Weiß sondern zusätzlich auch Grün und Blau legen einen für den Vorschlag von Petra Dann stehen insgesamt 4 zur Verfügung.; [3173: Gemeinsames Spielfeld, ]
117: Benötigt werden jedoch lediglich 3 um den Vorschlag zu realisieren.; []
118: Ein ist zu viel.; []
119: Welcher entscheidet der Würfel.; [1292: Zufall, ]
120: Alle Teams würfeln Das Team mit der geringsten Würfelzahl geht bei der Vergabe der leer aus.; [1292: Zufall, 164466: Loswerden, 7090: Kooperative Spielform, ]
121: Die Würfelseite entspricht einer sechs Beispiel Blau würfelt eine eins und damit die geringste Würfelzahl.; [1292: Zufall, ]
122: Die legt die von Rot Weiß und Grün als bei 5 ab; [1292: Zufall, ]
123: Damit ist der 5 realisiert.; []
124: Der von Blau wird nicht benötigt und von der kassiert.; [1292: Zufall, ]
125: BiT 1; []
126: Stadtbücherei und Rathaus mit einer oder mehreren Spielfiguren; []
127: Im Rathaus in der Stadtbücherei und bei der herrscht häufig großes Gedränge.; []
128: Dann gilt bei weiterem Besuch eine Kombination der Regeln lösen beginnen mit einer oder mehreren Spielfiguren; []
129: Zunächst erhält das von den Besuchten danach rät das Stadtbücherei oder macht einen Rathaus durchbringen; [8528: Siegpunkte, 8536: Aktionspunkte, 1492: Siegbedingung, ]
130: Ein auf den im Spielverlauf der fünfte gesetzt wird hat eine Mehrheit gefunden.; [1492: Siegbedingung, ]
131: Er wird realisiert indem das entsprechende umgedreht wird.; []
132: Auf der umgedrehten Seite sieht man wie der Teil der City nach der Umsetzung des aussieht.; []
133: So entsteht nach und nach durch den Einsatz der Spielerinnen und Spieler eine attraktivere Heimatgemeinde.; [1292: Zufall, 3173: Gemeinsames Spielfeld, 1492: Siegbedingung, ]
134: Die neuen umgedrehten dürfen im weiteren Spielverlauf genauso betreten werden wie vorher die alten Beispiel; [3173: Gemeinsames Spielfeld, ]
135: Rot setzt den fünften auf 5. Jugend.tr; []
136: er BLAU 5 wird umgedreht so dass der neue Jugendtreff zu sehen ist.; []
137: SPIELENDE; []
138: Wenn entweder der fünfte eine Mehrheit gefunden hat oder das erste Team alle 12 vergeben hat ist das Spiel zu Ende.; [164466: Loswerden, 3142: Verlierbedingung, 1492: Siegbedingung, 7090: Kooperative Spielform, 166903: Ankommen, ]
